date_obj,Merfolk%20trident price
2017-09-07,14868
2017-09-08,14868
2017-09-09,15586
2017-09-10,15586
2017-09-11,16324
2017-09-12,16324
2017-09-13,16324
2017-09-14,17037
2017-09-15,17037
2017-09-16,17037
2017-09-17,17037
2017-09-19,17774
2017-09-20,17774
2017-09-21,17774
2017-09-22,17774
2017-09-23,18575
2017-09-24,18575
2017-09-25,18575
2017-09-26,18575
2017-09-27,18575
2017-09-28,18575
2017-09-29,19418
2017-09-30,19418
2017-10-01,19418
2017-10-02,19418
2017-10-03,19418
2017-10-04,19418
2017-10-05,19418
2017-10-06,19418
2017-10-07,20242
2017-10-08,20242
2017-10-09,20242
2017-10-10,20242
2017-10-11,20242
2017-10-12,20242
2017-10-13,20242
2017-10-14,20242
2017-10-15,21180
2017-10-16,21180
2017-10-17,21180
2017-10-18,21180
2017-10-19,21180
2017-10-20,21180
2017-10-21,21180
2017-10-22,22056
2017-10-23,22056
2017-10-24,22056
2017-10-25,22056
2017-10-26,22056
2017-10-27,22056
2017-10-28,22056
2017-10-29,22056
2017-10-30,22056
2017-10-31,22056
2017-11-02,23065
2017-11-03,23065
2017-11-04,23065
2017-11-05,23065
2017-11-06,23065
2017-11-07,23065
2017-11-08,23065
2017-11-09,23065
2017-11-10,23065
2017-11-11,24083
2017-11-12,24083
2017-11-13,24083
2017-11-14,24083
2017-11-15,24083
2017-11-16,24083
2017-11-17,24083
2017-11-18,24083
2017-11-19,24083
2017-11-20,24083
2017-11-21,24083
2017-11-22,24083
2017-11-23,25162
2017-11-24,25162
2017-11-25,25162
2017-11-26,25162
2017-11-27,25162
2017-11-28,25162
2017-11-29,25162
2017-11-30,25162
2017-12-01,25162
2017-12-02,25162
2017-12-03,25162
2017-12-04,25162
2017-12-05,25162
2017-12-06,26261
2017-12-07,26261
2017-12-08,26261
2017-12-09,26261
2017-12-10,26261
2017-12-11,26261
2017-12-12,26261
2017-12-14,26261
2017-12-15,26261
2017-12-17,26261
2017-12-18,27485
2017-12-19,27485
2017-12-20,27485
2017-12-21,27485
2017-12-22,27485
2017-12-23,27485
2017-12-24,27485
2017-12-25,27485
2017-12-26,27485
2017-12-27,27485
2017-12-28,27485
2017-12-29,27485
2017-12-30,27485
2017-12-31,27485
2018-01-01,28735
2018-01-02,28735
2018-01-03,28735
2018-01-04,28735
2018-01-05,28735
2018-01-06,28735
2018-01-07,28735
2018-01-08,28735
2018-01-09,28735
2018-01-10,28735
2018-01-11,28735
2018-01-12,28735
2018-01-13,28735
2018-01-14,29974
2018-01-15,29974
2018-01-16,29974
2018-01-17,29974
2018-01-18,31431
2018-01-19,31431
2018-01-20,31431
