date_obj,Amylase%20crystal price
2015-03-26,1417
2015-03-27,1417
2015-03-28,1380
2015-03-29,1330
2015-03-30,1330
2015-03-31,1268
2015-04-01,1268
2015-04-02,1210
2015-04-03,1210
2015-04-04,1194
2015-04-05,1194
2015-04-06,1180
2015-04-07,1180
2015-04-08,1155
2015-04-09,1155
2015-04-10,1111
2015-04-11,1111
2015-04-12,1058
2015-04-13,1058
2015-04-14,1039
2015-04-15,1039
2015-04-16,1034
2015-04-17,1034
2015-04-18,1022
2015-04-19,1022
2015-04-20,998
2015-04-21,998
2015-04-22,1032
2015-04-23,1032
2015-04-24,1069
2015-04-25,1069
2015-04-26,1043
2015-04-27,1043
2015-04-28,1051
2015-04-29,1051
2015-04-30,1051
2015-05-01,1089
2015-05-02,1089
2015-05-03,1135
2015-05-04,1135
2015-05-05,1175
2015-05-06,1175
2015-05-07,1207
2015-05-08,1207
2015-05-09,1171
2015-05-10,1171
2015-05-11,1149
2015-05-12,1149
2015-05-13,1114
2015-05-14,1114
2015-05-15,1122
2015-05-16,1122
2015-05-17,1085
2015-05-18,1085
2015-05-19,1058
2015-05-20,1058
2015-05-21,1058
2015-05-22,1011
2015-05-23,1011
2015-05-24,960
2015-05-25,960
2015-05-26,912
2015-05-27,912
2015-05-28,866
2015-05-29,866
2015-05-30,825
2015-05-31,825
2015-06-01,803
2015-06-02,803
2015-06-03,820
2015-06-04,820
2015-06-05,828
2015-06-06,828
2015-06-07,835
2015-06-08,835
2015-06-09,819
2015-06-10,819
2015-06-11,833
2015-06-12,833
2015-06-13,827
2015-06-14,827
2015-06-15,824
2015-06-16,824
2015-06-17,799
2015-06-18,799
2015-06-19,791
2015-06-20,791
2015-06-21,793
2015-06-22,793
2015-06-23,774
2015-06-24,774
2015-06-25,758
2015-06-26,758
2015-06-27,737
2015-06-28,711
2015-06-29,711
2015-06-30,705
2015-07-01,705
2015-07-02,730
2015-07-03,730
2015-07-04,764
2015-07-05,764
2015-07-06,793
2015-07-07,793
2015-07-08,821
2015-07-09,821
2015-07-10,860
2015-07-11,860
2015-07-12,865
2015-07-13,865
2015-07-14,864
2015-07-15,864
2015-07-16,853
2015-07-17,853
2015-07-18,845
2015-07-19,845
2015-07-20,820
2015-07-21,820
2015-07-22,799
2015-07-23,799
2015-07-24,788
2015-07-25,788
2015-07-26,788
2015-07-27,754
2015-07-28,754
2015-07-29,724
2015-07-30,724
2015-07-31,727
2015-08-01,727
2015-08-02,731
2015-08-03,731
2015-08-04,731
