date_obj,Purple%20flowers price
2015-03-04,2414
2015-03-05,2414
2015-03-06,2414
2015-03-07,2414
2015-03-08,2299
2015-03-09,2299
2015-03-10,2299
2015-03-11,2299
2015-03-12,2299
2015-03-13,2189
2015-03-14,2189
2015-03-15,2189
2015-03-16,2189
2015-03-17,2089
2015-03-18,2089
2015-03-19,2089
2015-03-20,2089
2015-03-21,2089
2015-03-22,1991
2015-03-23,1991
2015-03-24,1991
2015-03-25,1991
2015-03-26,1991
2015-03-27,1897
2015-03-28,1897
2015-03-29,1897
2015-03-30,1897
2015-03-31,1807
2015-04-01,1807
2015-04-02,1807
2015-04-03,1807
2015-04-04,1721
2015-04-05,1721
2015-04-06,1721
2015-04-07,1721
2015-04-08,1721
2015-04-09,1638
2015-04-10,1638
2015-04-11,1638
2015-04-12,1638
2015-04-13,1560
2015-04-14,1560
2015-04-15,1560
2015-04-16,1560
2015-04-17,1560
2015-04-18,1485
2015-04-19,1485
2015-04-20,1485
2015-04-21,1485
2015-04-22,1485
2015-04-23,1413
2015-04-24,1413
2015-04-25,1413
2015-04-26,1413
2015-04-27,1413
2015-04-28,1345
2015-04-29,1345
2015-04-30,1345
2015-05-01,1345
2015-05-02,1345
2015-05-03,1280
2015-05-04,1280
2015-05-05,1280
2015-05-06,1280
2015-05-07,1280
2015-05-08,1280
2015-05-09,1219
2015-05-10,1219
2015-05-11,1219
2015-05-12,1219
2015-05-13,1219
2015-05-14,1219
2015-05-15,1161
2015-05-16,1161
2015-05-17,1161
2015-05-18,1161
2015-05-19,1161
2015-05-20,1161
2015-05-21,1161
2015-05-22,1104
2015-05-23,1104
2015-05-24,1104
2015-05-25,1104
2015-05-26,1104
2015-05-27,1104
2015-05-28,1050
2015-05-29,1050
2015-05-30,1050
2015-05-31,1050
2015-06-01,999
2015-06-02,999
2015-06-03,999
2015-06-04,999
2015-06-05,999
2015-06-06,999
2015-06-07,954
2015-06-08,954
2015-06-09,954
2015-06-10,954
2015-06-11,954
2015-06-12,954
2015-06-13,911
2015-06-14,911
2015-06-15,911
2015-06-16,911
2015-06-17,911
2015-06-18,911
2015-06-19,867
2015-06-20,867
2015-06-21,867
2015-06-22,867
2015-06-23,867
2015-06-24,825
2015-06-25,825
2015-06-26,825
2015-06-27,825
2015-06-28,825
2015-06-29,825
2015-06-30,785
2015-07-01,785
2015-07-02,785
2015-07-03,785
2015-07-04,785
2015-07-05,785
2015-07-06,748
2015-07-07,748
2015-07-08,748
2015-07-09,748
2015-07-10,748
2015-07-11,748
2015-07-12,713
2015-07-13,713
2015-07-14,713
2015-07-15,713
2015-07-16,713
2015-07-17,713
2015-07-18,680
2015-07-19,680
2015-07-20,680
2015-07-21,680
2015-07-22,680
2015-07-23,680
2015-07-24,649
2015-07-25,649
2015-07-26,649
2015-07-27,649
2015-07-28,649
2015-07-29,618
2015-07-30,618
2015-07-31,618
2015-08-01,618
2015-08-02,618
2015-08-03,618
2015-08-04,589
2015-08-05,589
2015-08-06,589
2015-08-07,589
2015-08-08,589
2015-08-09,561
2015-08-10,561
2015-08-11,561
2015-08-12,561
