date_obj,Blue%20boater price
2015-03-26,23068
2015-03-27,23068
2015-03-28,23068
2015-03-29,23068
2015-03-30,23068
2015-03-31,23068
2015-04-01,22110
2015-04-02,22110
2015-04-03,22110
2015-04-04,22110
2015-04-05,22110
2015-04-06,22110
2015-04-07,22110
2015-04-08,22110
2015-04-09,21055
2015-04-10,21055
2015-04-11,21055
2015-04-12,21055
2015-04-13,21055
2015-04-14,21055
2015-04-15,21055
2015-04-16,21055
2015-04-17,20060
2015-04-18,20060
2015-04-19,20060
2015-04-20,20060
2015-04-21,20060
2015-04-22,20060
2015-04-23,20060
2015-04-24,20060
2015-04-25,20060
2015-04-26,19119
2015-04-27,19119
2015-04-28,19119
2015-04-29,19119
2015-04-30,19119
2015-05-01,19119
2015-05-02,19119
2015-05-03,19119
2015-05-04,18233
2015-05-05,18233
2015-05-06,18233
2015-05-07,18233
2015-05-08,18233
2015-05-09,18233
2015-05-10,18233
2015-05-11,17368
2015-05-12,17368
2015-05-13,17368
2015-05-14,17368
2015-05-15,17368
2015-05-16,17368
2015-05-17,17368
2015-05-18,16529
2015-05-19,16529
2015-05-20,16529
2015-05-21,16529
2015-05-22,16529
2015-05-23,16529
2015-05-24,16529
2015-05-25,16529
2015-05-26,15733
2015-05-27,15733
2015-05-28,15733
2015-05-29,15733
2015-05-30,15027
2015-05-31,15027
2015-06-01,15027
2015-06-02,15027
2015-06-03,15027
2015-06-04,15027
2015-06-05,14455
2015-06-06,14455
2015-06-07,14455
2015-06-08,14455
2015-06-09,14455
2015-06-10,14455
2015-06-11,14455
2015-06-12,14131
2015-06-13,14131
2015-06-14,14131
2015-06-15,14131
2015-06-16,14131
2015-06-17,14131
2015-06-18,13675
2015-06-19,13675
2015-06-20,13675
2015-06-21,13675
2015-06-22,13675
2015-06-23,13675
2015-06-24,13323
2015-06-25,13323
2015-06-26,13323
2015-06-27,13323
2015-06-28,13323
2015-06-29,13323
2015-06-30,13323
2015-07-01,12776
2015-07-02,12776
2015-07-03,12776
2015-07-04,12776
2015-07-05,12776
2015-07-06,12776
2015-07-07,12277
2015-07-08,12277
2015-07-09,12277
2015-07-10,12277
2015-07-11,12277
2015-07-12,12277
2015-07-13,11724
2015-07-14,11724
2015-07-15,11724
2015-07-16,11724
2015-07-17,11724
2015-07-18,11724
2015-07-19,11461
2015-07-20,11461
2015-07-21,11461
2015-07-22,11461
2015-07-23,11461
2015-07-24,11403
2015-07-25,11403
2015-07-26,11403
2015-07-27,11403
2015-07-28,11403
2015-07-29,11403
2015-07-30,10999
2015-07-31,10999
2015-08-01,10999
2015-08-02,10999
2015-08-03,10999
2015-08-04,10999
2015-08-05,10780
2015-08-06,10780
2015-08-07,10780
2015-08-08,10780
2015-08-09,10780
2015-08-10,10539
2015-08-11,10539
2015-08-12,10539
2015-08-13,10539
2015-08-14,10539
2015-08-15,10539
2015-08-16,10279
2015-08-17,10279
2015-08-18,10279
2015-08-19,10279
2015-08-20,10279
2015-08-21,10279
2015-08-22,10128
2015-08-23,10128
2015-08-24,10128
2015-08-25,10128
2015-08-26,10128
2015-08-27,10128
2015-08-28,10128
2015-08-29,9946
2015-08-30,9946
2015-08-31,9946
2015-09-01,9946
2015-09-02,9946
2015-09-03,9946
2015-09-04,9946
2015-09-05,9908
2015-09-06,9908
2015-09-07,9908
2015-09-08,9908
2015-09-09,9908
2015-09-10,9908
2015-09-11,9908
2015-09-12,9800
2015-09-13,9800
2015-09-14,9800
2015-09-15,9800
2015-09-16,9800
2015-09-17,9800
2015-09-18,9800
2015-09-19,9903
2015-09-20,9903
2015-09-21,9903
2015-09-22,9903
2015-09-23,9903
2015-09-24,9903
2015-09-25,9903
2015-09-27,9831
2015-09-28,9831
2015-09-29,9831
2015-09-30,9831
2015-10-05,10018
2015-10-06,10018
2015-10-07,10018
2015-10-08,10018
2015-10-09,10018
2015-10-10,10018
2015-10-11,10018
2015-10-12,9911
2015-10-13,9911
2015-10-14,9911
2015-10-15,9911
2015-10-16,9911
2015-10-17,9911
2015-10-18,9911
2015-10-19,9911
2015-10-20,9549
2015-10-22,9549
2015-10-23,9549
2015-10-24,9549
2015-10-25,9549
2015-10-26,9549
2015-10-27,9291
2015-10-29,9291
2015-10-30,9291
2015-10-31,9291
2015-11-01,9291
2015-11-02,9291
2015-11-03,8869
2015-11-04,8869
2015-11-05,8869
2015-11-06,8869
2015-11-07,8869
2015-11-08,8869
2015-11-09,8869
2015-11-10,8869
2015-11-11,8518
2015-11-12,8518
2015-11-13,8518
2015-11-14,8518
2015-11-15,8518
2015-11-16,8518
2015-11-17,8518
2015-11-18,8518
2015-11-19,8246
2015-11-20,8246
2015-11-21,8246
2015-11-22,8246
2015-11-23,8246
2015-11-24,8246
2015-11-25,8246
2015-11-26,8246
2015-11-27,8080
2015-11-28,8080
2015-11-29,8080
2015-11-30,8080
2015-12-01,8080
2015-12-02,8080
2015-12-03,8080
2015-12-04,8080
2015-12-05,8080
2015-12-06,8029
2015-12-07,8029
2015-12-08,8029
2015-12-09,8029
2015-12-10,8029
2015-12-11,8029
2015-12-12,8029
2015-12-13,8029
2015-12-14,7881
2015-12-15,7881
2015-12-16,7881
2015-12-17,7881
2015-12-18,7881
2015-12-19,7881
2015-12-20,7881
2015-12-21,7881
2015-12-22,7565
2015-12-23,7565
2015-12-24,7565
2015-12-25,7565
2015-12-26,7565
2015-12-27,7565
2015-12-28,7565
2015-12-29,7343
2015-12-30,7343
2015-12-31,7343
2016-01-01,7343
2016-01-02,7343
2016-01-03,7343
2016-01-04,7343
2016-01-05,7335
2016-01-06,7335
2016-01-07,7335
2016-01-08,7335
2016-01-09,7335
2016-01-10,7335
2016-01-11,7335
2016-01-12,7222
2016-01-13,7222
2016-01-14,7222
2016-01-15,7222
2016-01-16,7222
2016-01-17,7222
2016-01-18,6944
2016-01-19,6944
2016-01-20,6944
2016-01-21,6944
2016-01-22,6944
2016-01-23,6944
2016-01-24,6618
2016-01-25,6618
2016-01-26,6618
2016-01-27,6618
2016-01-28,6618
2016-01-29,6618
2016-01-30,6296
2016-01-31,6296
2016-02-01,6296
2016-02-02,6296
2016-02-03,6002
2016-02-04,6002
2016-02-05,6002
2016-02-06,6002
2016-02-07,6002
2016-02-08,5725
2016-02-09,5725
2016-02-10,5725
2016-02-11,5725
2016-02-12,5725
2016-02-13,5452
2016-02-14,5452
2016-02-15,5452
2016-02-16,5452
2016-02-17,5452
2016-02-18,5205
2016-02-19,5205
2016-02-20,5205
2016-02-21,5205
2016-02-22,5205
2016-02-23,4961
2016-02-24,4961
2016-02-25,4961
2016-02-26,4961
2016-02-27,4734
2016-02-28,4734
2016-02-29,4734
2016-03-01,4734
2016-03-02,4734
2016-03-03,4515
2016-03-04,4515
2016-03-05,4515
2016-03-06,4515
2016-03-07,4314
2016-03-08,4314
2016-03-09,4314
2016-03-10,4314
2016-03-11,4230
2016-03-12,4230
2016-03-13,4230
2016-03-14,4230
2016-03-15,4230
2016-03-16,4172
2016-03-17,4172
2016-03-18,4172
2016-03-19,4172
2016-03-20,4172
2016-03-21,4193
2016-03-22,4193
