date_obj,Pink%20headband price
2015-03-26,111963
2015-03-27,111963
2015-03-28,109013
2015-03-29,106304
2015-03-30,104990
2015-03-31,103118
2015-04-01,103118
2015-04-02,101656
2015-04-03,98792
2015-04-04,95952
2015-04-05,95272
2015-04-06,93293
2015-04-07,91431
2015-04-08,91431
2015-04-09,89843
2015-04-10,87858
2015-04-11,85791
2015-04-12,84189
2015-04-13,82324
2015-04-14,82324
2015-04-15,81112
2015-04-16,80618
2015-04-17,79519
2015-04-18,78649
2015-04-19,77430
2015-04-20,77430
2015-04-21,76865
2015-04-22,76914
2015-04-23,74550
2015-04-24,73081
2015-04-25,71516
2015-04-26,70505
2015-04-27,69801
2015-04-28,68941
2015-04-29,68941
2015-04-30,67879
2015-05-01,66697
2015-05-02,65315
2015-05-03,64721
2015-05-04,63693
2015-05-05,62886
2015-05-06,60736
2015-05-07,59175
2015-05-08,58071
2015-05-09,58037
2015-05-10,57787
2015-05-11,58811
2015-05-12,59210
2015-05-13,58526
2015-05-14,58854
2015-05-15,60290
2015-05-16,61742
2015-05-17,62469
2015-05-18,64061
2015-05-19,65852
2015-05-20,66414
2015-05-21,66414
2015-05-22,66560
2015-05-23,66407
2015-05-24,65798
2015-05-25,64894
2015-05-26,62964
2015-05-27,60814
2015-05-28,58405
2015-05-29,57634
2015-05-30,55753
2015-05-31,55753
2015-06-01,53128
2015-06-02,53128
2015-06-03,50700
2015-06-04,50700
2015-06-05,49144
2015-06-06,47595
2015-06-07,46620
2015-06-08,46620
2015-06-09,45777
2015-06-10,45715
2015-06-11,45715
2015-06-12,45032
2015-06-13,45730
2015-06-14,45730
2015-06-15,44748
2015-06-16,44748
2015-06-17,44328
2015-06-18,44062
2015-06-19,44062
2015-06-20,42800
2015-06-21,42800
2015-06-22,41942
2015-06-23,41942
2015-06-24,40666
2015-06-25,40666
2015-06-26,39719
2015-06-27,39719
2015-06-28,38808
2015-06-29,38042
2015-06-30,38042
2015-07-01,36981
2015-07-02,36981
2015-07-03,36515
2015-07-04,36515
2015-07-05,36515
2015-07-06,36386
2015-07-07,35633
2015-07-08,35420
2015-07-09,35420
2015-07-10,34092
2015-07-11,34092
2015-07-12,33000
2015-07-13,33000
2015-07-14,32568
2015-07-15,32568
2015-07-16,32204
2015-07-17,31998
2015-07-18,31998
2015-07-19,31739
2015-07-20,31632
2015-07-21,31632
2015-07-22,31326
2015-07-23,31326
2015-07-24,31197
2015-07-25,31197
2015-07-26,30746
2015-07-27,30746
2015-07-28,30088
2015-07-29,29717
2015-07-30,29717
2015-07-31,29910
2015-08-01,29910
2015-08-02,29754
2015-08-03,29754
2015-08-04,29490
2015-08-05,29040
2015-08-06,29040
2015-08-07,28932
2015-08-08,28539
2015-08-09,28912
2015-08-10,28965
2015-08-11,28776
2015-08-12,28776
2015-08-13,29026
2015-08-14,28889
2015-08-15,28889
2015-08-16,28228
2015-08-17,27732
2015-08-18,27732
2015-08-19,27360
2015-08-20,27360
2015-08-21,27145
2015-08-22,27145
2015-08-23,27562
2015-08-24,27562
2015-08-25,27868
2015-08-26,27868
2015-08-27,27217
2015-08-28,27217
2015-08-29,26426
2015-08-30,26426
2015-08-31,25614
2015-09-01,25614
2015-09-02,25202
2015-09-03,25202
2015-09-04,24693
2015-09-05,24693
2015-09-06,24500
2015-09-07,24500
2015-09-08,24007
2015-09-09,24007
