date_obj,White%20unicorn%20mask price
2016-07-06,1036068
2016-07-07,1036068
2016-07-08,1036068
2016-07-09,1059158
2016-07-10,1059158
2016-07-11,1059158
2016-07-12,1006683
2016-07-13,1006683
2016-07-14,1006683
2016-07-15,1006683
2016-07-16,956348
2016-07-17,956348
2016-07-18,956348
2016-07-24,908530
2016-07-25,863963
2016-07-26,863963
2016-07-27,863963
2016-07-28,863963
2016-07-29,821123
2016-07-30,821123
2016-07-31,821123
2016-08-01,821123
2016-08-02,781070
2016-08-03,781070
2016-08-04,781070
2016-08-05,781070
2016-08-06,781070
2016-08-07,781070
2016-08-08,742016
2016-08-09,742016
2016-08-10,742016
2016-08-11,742016
2016-08-12,742016
2016-08-13,742016
2016-08-14,704915
2016-08-15,704915
2016-08-16,704915
2016-08-17,704915
2016-08-18,704915
2016-08-19,670262
2016-08-20,670262
2016-08-21,670262
2016-08-22,670262
2016-08-23,637646
2016-08-24,637646
2016-08-25,637646
2016-08-26,637646
2016-08-28,637646
2016-08-31,605763
2016-09-01,605763
2016-09-02,605763
2016-09-03,605763
2016-09-04,575813
2016-09-05,575813
2016-09-06,575813
2016-09-07,575813
2016-09-08,575813
2016-09-09,575813
2016-09-10,575813
2016-09-11,547625
2016-09-12,547625
2016-09-13,547625
2016-09-14,547625
2016-09-15,547625
2016-09-16,547625
2016-09-17,520243
2016-09-18,520243
2016-09-19,520243
2016-09-20,520243
2016-09-21,520243
2016-09-22,520243
2016-09-23,494892
2016-09-24,494892
2016-09-25,494892
2016-09-26,494892
2016-09-27,494892
2016-09-28,494892
2016-09-29,494892
2016-09-30,470147
2016-10-01,470147
2016-10-02,470147
2016-10-03,470147
2016-10-04,470147
2016-10-05,470147
2016-10-06,446793
2016-10-07,446793
2016-10-08,446793
2016-10-09,446793
2016-10-10,446793
2016-10-11,446793
2016-10-12,446793
2016-10-13,425037
2016-10-14,425037
2016-10-15,425037
2016-10-16,425037
2016-10-17,425037
2016-10-18,425037
2016-10-19,425037
2016-10-20,404033
2016-10-21,404033
2016-10-22,404033
2016-10-23,404033
2016-10-24,404033
2016-10-25,404033
2016-10-26,384778
2016-10-27,384778
2016-10-28,384778
2016-10-29,384778
2016-10-30,384778
2016-10-31,384778
2016-11-01,384778
2016-11-02,365843
2016-11-03,365843
2016-11-04,365843
2016-11-05,365843
2016-11-06,365843
2016-11-07,365843
2016-11-08,365843
2016-11-09,348037
2016-11-10,348037
2016-11-11,348037
2016-11-12,348037
2016-11-13,348037
2016-11-14,348037
2016-12-08,284303
2016-12-09,270408
2016-12-10,270408
2016-12-11,270408
2016-12-12,270408
2016-12-13,270408
2016-12-14,257329
2016-12-15,257329
2016-12-16,257329
2016-12-17,257329
2016-12-18,257329
2016-12-19,244555
2016-12-20,244555
2016-12-21,244555
2016-12-22,244555
2016-12-23,244555
2016-12-24,232644
2016-12-25,232644
2016-12-26,232644
2016-12-27,232644
2016-12-28,232644
2016-12-29,232644
2016-12-30,221455
2016-12-31,221455
2017-01-01,221455
2017-01-02,221455
2017-01-03,221455
2017-01-04,210382
2017-01-05,210382
2017-01-06,210382
2017-01-07,210382
2017-01-08,210382
2017-01-09,199928
2017-01-10,199928
2017-01-11,199928
2017-01-12,199928
2017-01-13,199928
2017-01-14,190099
2017-01-15,190099
2017-01-16,190099
2017-01-17,190099
2017-01-18,180594
2017-01-19,180594
2017-01-20,180594
2017-01-21,180594
2017-01-22,180594
2017-01-27,163425
2017-01-28,163425
2017-01-29,163425
2017-01-30,163425
2017-01-31,155253
2017-02-01,155253
2017-02-02,155253
2017-02-03,155253
2017-02-04,147806
2017-02-05,147806
2017-02-06,147806
2017-02-07,147806
2017-02-08,147806
2017-02-09,140568
2017-02-10,140568
2017-02-11,140568
2017-02-12,140568
2017-02-13,133560
2017-02-14,133560
2017-02-15,133560
2017-02-16,133560
2017-02-18,126882
2017-02-19,126882
2017-02-20,126882
2017-02-21,126882
2017-02-22,120729
2017-02-23,120729
2017-02-24,120729
2017-02-25,120729
2017-02-26,120729
2017-02-27,115251
2017-02-28,115251
2017-03-01,115251
2017-03-02,115251
2017-03-03,110011
2017-03-04,110011
2017-03-05,110011
2017-03-06,110011
2017-03-07,104644
2017-03-08,104644
2017-03-09,104644
2017-03-10,104644
2017-03-11,100430
2017-03-12,100430
2017-03-13,100430
2017-03-14,100430
2017-03-15,96513
2017-03-16,96513
2017-03-17,96513
2017-03-18,96513
2017-03-19,92772
2017-03-20,92772
2017-03-21,92772
2017-03-22,92772
2017-03-23,88252
2017-03-24,88252
2017-03-25,88252
2017-03-26,88252
2017-03-27,88252
2017-03-28,83839
2017-03-29,83839
2017-03-30,83839
2017-03-31,79917
2017-04-01,79917
2017-04-02,79917
2017-04-03,78092
2017-04-04,78092
2017-04-12,74680
2017-04-13,74680
2017-04-14,74680
2017-04-15,74929
2017-04-16,74929
2017-04-17,74929
2017-04-18,75027
2017-04-19,75027
2017-04-20,75027
2017-04-21,75027
2017-04-22,76272
2017-04-23,76272
2017-04-24,76272
2017-04-25,76764
2017-04-26,76764
2017-04-27,76764
2017-04-28,76764
2017-04-29,76296
2017-04-30,76296
2017-05-01,76296
2017-05-02,76296
2017-05-03,74564
2017-05-04,74564
2017-05-05,74564
2017-05-06,74564
2017-05-07,72111
2017-05-08,72111
2017-05-09,72111
2017-05-10,72111
2017-05-11,70537
2017-05-12,70537
2017-05-13,70537
2017-05-14,70537
2017-05-15,69665
2017-05-16,69665
2017-05-17,69665
2017-05-18,69665
2017-05-19,66882
2017-05-20,66882
2017-05-21,66882
2017-05-22,66882
2017-05-23,64677
2017-05-24,64677
2017-05-25,64677
2017-05-26,64677
2017-05-27,62542
2017-05-28,62542
2017-05-29,62542
2017-05-30,62542
2017-05-31,59649
2017-06-01,59649
2017-06-02,59649
2017-06-03,59649
2017-06-06,57719
2017-06-07,58229
2017-06-08,58229
2017-06-09,58229
2017-06-10,59808
2017-06-11,59808
2017-06-12,59808
2017-06-13,59808
2017-06-14,59298
2017-06-15,59298
2017-06-16,59298
2017-06-17,59298
2017-06-18,58028
2017-06-19,58028
2017-06-20,58028
2017-06-21,58028
2017-06-22,58826
2017-06-23,58826
2017-06-24,58826
2017-06-25,58826
2017-06-26,58807
2017-06-27,58807
2017-06-28,58807
2017-06-29,58807
2017-06-30,59376
2017-07-01,59376
2017-07-02,59376
2017-07-03,59376
2017-07-04,59376
2017-07-05,59376
2017-07-06,60556
2017-07-07,60556
2017-07-08,60556
2017-07-13,62220
2017-07-14,62220
2017-07-15,63959
2017-07-16,63959
2017-07-17,63959
2017-07-18,63959
2017-07-19,63586
2017-07-20,63586
2017-07-21,63586
2017-07-22,63586
2017-07-23,62979
2017-07-24,62979
2017-07-25,62979
2017-07-26,62979
2017-07-27,62857
2017-07-28,62857
2017-07-29,62857
2017-07-30,63852
2017-07-31,63852
2017-08-01,63852
2017-08-02,63852
2017-08-03,65711
2017-08-04,65711
2017-08-05,65711
2017-08-06,65711
2017-08-09,67966
2017-08-10,69308
2017-08-11,69308
2017-08-12,69308
2017-08-13,69308
2017-08-14,69308
2017-08-15,69615
