date_obj,Belladonna%20seed price
2015-03-05,608
2015-03-06,583
2015-03-07,583
2015-03-08,562
2015-03-09,562
2015-03-10,562
2015-03-11,533
2015-03-12,533
2015-03-13,533
2015-03-14,506
2015-03-15,506
2015-03-16,481
2015-03-17,481
2015-03-18,481
2015-03-19,457
2015-03-20,457
2015-03-21,457
2015-03-22,434
2015-03-23,434
2015-03-24,434
2015-03-25,413
2015-03-26,413
2015-03-27,413
2015-03-28,393
2015-03-29,393
2015-03-30,374
2015-03-31,374
2015-04-01,374
2015-04-02,356
2015-04-03,356
2015-04-04,339
2015-04-05,339
2015-04-06,339
2015-04-07,323
2015-04-08,323
2015-04-09,323
2015-04-10,310
2015-04-11,310
2015-04-12,310
2015-04-13,294
2015-04-14,294
2015-04-15,294
2015-04-16,279
2015-04-17,279
2015-04-18,266
2015-04-19,266
2015-04-20,266
2015-04-21,256
2015-04-22,256
2015-04-23,256
2015-04-24,243
2015-04-25,243
2015-04-26,243
2015-04-27,230
2015-04-28,230
2015-04-29,230
2015-04-30,218
2015-05-01,218
2015-05-02,218
2015-05-03,207
2015-05-04,207
2015-05-05,207
2015-05-06,196
2015-05-07,196
2015-05-08,196
2015-05-09,186
2015-05-10,186
2015-05-11,186
2015-05-12,177
2015-05-13,177
2015-05-14,177
2015-05-15,169
2015-05-16,169
2015-05-17,169
2015-05-18,162
2015-05-19,162
2015-05-20,162
2015-05-21,162
2015-05-22,154
2015-05-23,154
2015-05-24,154
2015-05-25,154
2015-05-26,146
2015-05-27,146
2015-05-28,146
2015-05-29,138
2015-05-30,138
2015-05-31,131
2015-06-01,131
2015-06-02,131
2015-06-03,125
2015-06-04,125
2015-06-05,125
2015-06-06,121
2015-06-07,121
2015-06-08,121
2015-06-09,116
2015-06-10,116
2015-06-11,116
2015-06-12,111
2015-06-13,111
2015-06-14,111
2015-06-15,105
2015-06-16,105
2015-06-17,105
2015-06-18,100
2015-06-19,100
2015-06-20,95
2015-06-21,95
2015-06-22,90
2015-06-23,90
2015-06-24,85
2015-06-25,85
2015-06-26,85
2015-06-27,80
2015-06-28,80
2015-06-29,77
2015-06-30,77
2015-07-01,73
2015-07-02,73
2015-07-03,73
2015-07-04,69
2015-07-05,69
2015-07-06,69
2015-07-07,65
2015-07-08,65
2015-07-09,65
2015-07-10,61
2015-07-11,61
2015-07-12,61
2015-07-13,59
2015-07-14,59
2015-07-15,59
2015-07-16,62
2015-07-17,62
2015-07-18,62
2015-07-19,63
2015-07-20,63
2015-07-21,63
2015-07-22,64
2015-07-23,64
2015-07-24,64
2015-07-25,60
2015-07-26,60
2015-07-27,60
2015-07-28,58
2015-07-29,58
2015-07-30,58
2015-07-31,55
2015-08-01,55
2015-08-02,53
2015-08-03,53
2015-08-04,53
2015-08-05,50
2015-08-06,50
2015-08-07,50
2015-08-08,48
2015-08-09,48
2015-08-10,46
2015-08-11,46
2015-08-12,46
2015-08-13,45
2015-08-14,45
2015-08-15,45
2015-08-16,43
2015-08-17,43
2015-08-18,43
2015-08-19,42
2015-08-20,42
2015-08-21,42
2015-08-22,43
2015-08-23,43
2015-08-24,43
2015-08-25,43
2015-08-26,41
2015-08-27,41
2015-08-28,42
2015-08-29,42
2015-08-30,42
2015-08-31,42
2015-09-02,42
2015-09-07,40
2015-09-08,40
2015-09-10,42
2015-09-14,47
2015-09-16,47
2015-09-22,53
2015-09-23,51
2015-09-24,51
2015-09-25,51
2015-09-27,49
2015-09-28,49
2015-09-29,49
2015-09-30,48
2015-10-05,46
2015-10-06,46
2015-10-07,45
2015-10-08,45
2015-10-09,45
2015-10-10,45
2015-10-11,43
2015-10-12,43
2015-10-13,43
