date_obj,Mahogany%20seed price
2017-09-07,32166
2017-09-08,33775
2017-09-09,35464
2017-09-10,37238
2017-09-11,38805
2017-09-12,37262
2017-09-13,35398
2017-09-14,33628
2017-09-15,31990
2017-09-16,30390
2017-09-17,31363
2017-09-19,34579
2017-09-20,36232
2017-09-21,37735
2017-09-22,35883
2017-09-23,34282
2017-09-24,32567
2017-09-25,30938
2017-09-26,29394
2017-09-27,27924
2017-09-28,26527
2017-09-29,25200
2017-09-30,23940
2017-10-01,22743
2017-10-02,21605
2017-10-03,20524
2017-10-04,19543
2017-10-05,18565
2017-10-06,17636
2017-10-07,16754
2017-10-08,15916
2017-10-09,15120
2017-10-10,14364
2017-10-11,13699
2017-10-12,13014
2017-10-13,12363
2017-10-14,11744
2017-10-15,11178
2017-10-16,10619
2017-10-17,10131
2017-10-18,9624
2017-10-19,9142
2017-10-20,8684
2017-10-21,8249
2017-10-22,7836
2017-10-23,7444
2017-10-24,7071
2017-10-25,6717
2017-10-26,6381
2017-10-27,6061
2017-10-28,6061
2017-10-29,5757
2017-10-30,5469
2017-10-31,5195
2017-11-01,5195
2017-11-02,4935
2017-11-03,4688
2017-11-04,4453
2017-11-05,4231
2017-11-06,4302
2017-11-07,4245
2017-11-08,4121
2017-11-09,4170
2017-11-10,4353
2017-11-11,4476
2017-11-12,4603
2017-11-13,4675
2017-11-14,4621
2017-11-15,4672
2017-11-16,4713
2017-11-17,4730
2017-11-18,4608
2017-11-19,4654
2017-11-20,4646
2017-11-21,4724
2017-11-22,4785
2017-11-23,4840
2017-11-24,4715
2017-11-25,4626
2017-11-26,4616
2017-11-27,4616
2017-11-28,4687
2017-11-29,4600
2017-11-30,4594
2017-12-01,4653
2017-12-02,4580
2017-12-03,4691
2017-12-04,4751
2017-12-05,4767
2017-12-06,4778
2017-12-07,4641
2017-12-08,4646
2017-12-09,4555
2017-12-10,4476
2017-12-11,4568
2017-12-12,4550
2017-12-14,4552
2017-12-15,4695
2017-12-17,4667
2017-12-18,4611
2017-12-19,4463
2017-12-20,4373
2017-12-21,4324
2017-12-22,4216
2017-12-23,4207
2017-12-24,4007
2017-12-25,3819
2017-12-26,3674
2017-12-27,3494
2017-12-28,3322
2017-12-29,3165
2017-12-30,3116
2017-12-31,3171
2018-01-01,3049
2018-01-02,3075
2018-01-03,3167
2018-01-04,3144
2018-01-05,3070
2018-01-06,2995
2018-01-07,2847
2018-01-08,2757
2018-01-09,2628
2018-01-10,2497
2018-01-11,2378
2018-01-12,2314
2018-01-13,2258
2018-01-14,2184
2018-01-15,2082
2018-01-16,2128
2018-01-17,2232
2018-01-18,2344
2018-01-19,2344
2018-01-20,2462
2018-01-21,2586
2018-01-22,2716
2018-01-23,2852
2018-01-25,3145
2018-01-26,3303
2018-01-27,3469
2018-01-28,3643
2018-01-29,3826
2018-01-31,3991
2018-02-01,4191
2018-02-02,4401
2018-02-03,4622
2018-02-04,4854
2018-02-05,5097
2018-02-06,5352
2018-02-07,5620
2018-02-08,5901
2018-02-09,6197
2018-02-10,6507
2018-02-11,6833
2018-02-12,7175
2018-02-13,7534
2018-02-14,7911
2018-02-15,8103
2018-02-16,7918
2018-02-17,7522
2018-02-18,7145
2018-02-19,6787
2018-02-20,6447
2018-02-21,6124
2018-02-22,5817
2018-02-23,5526
2018-02-24,5249
2018-02-25,5182
2018-02-26,5350
2018-02-27,5462
2018-02-28,5563
2018-03-01,5832
