date_obj,Fremennik%20brown%20shirt price
2015-03-04,2000
2015-03-05,2000
2015-03-06,2000
2015-03-07,2000
2015-03-08,2000
2015-03-09,2000
2015-03-10,2000
2015-03-11,2000
2015-03-12,2000
2015-03-13,2000
2015-03-14,2000
2015-03-15,2000
2015-03-16,2000
2015-03-17,2000
2015-03-18,2000
2015-03-19,2000
2015-03-20,2000
2015-03-21,2000
2015-03-22,2000
2015-03-23,2000
2015-03-24,2000
2015-03-25,2000
2015-03-26,2000
2015-03-27,2000
2015-03-28,2000
2015-03-29,2000
2015-03-30,2000
2015-03-31,2000
2015-04-01,2000
2015-04-02,1980
2015-04-03,1980
2015-04-04,1980
2015-04-05,1980
2015-04-06,1980
2015-04-07,1980
2015-04-08,1980
2015-04-09,1980
2015-04-10,1980
2015-04-11,1980
2015-04-12,1980
2015-04-13,1980
2015-04-14,1980
2015-04-15,1980
2015-04-16,1980
2015-04-17,1980
2015-04-18,1980
2015-04-19,1980
2015-04-20,1980
2015-04-21,1980
2015-04-22,1980
2015-04-23,1980
2015-04-24,1980
2015-04-25,1980
2015-04-26,1980
2015-04-27,1980
2015-04-28,1980
2015-04-29,1980
2015-04-30,1952
2015-05-01,1952
2015-05-02,1952
2015-05-03,1952
2015-05-04,1952
2015-05-05,1952
2015-05-06,1952
2015-05-07,1952
2015-05-08,1952
2015-05-09,1952
2015-05-10,1952
2015-05-11,1952
2015-05-12,1952
2015-05-13,1952
2015-05-14,1952
2015-05-15,1952
2015-05-16,1952
2015-05-17,1952
2015-05-18,1952
2015-05-19,1952
2015-05-20,1952
2015-05-21,1952
2015-05-22,1952
2015-05-23,1952
2015-05-24,1952
2015-05-25,1952
2015-05-26,1952
2015-05-27,1952
2015-05-28,1905
2015-05-29,1905
2015-05-30,1905
2015-05-31,1905
2015-06-01,1905
2015-06-02,1905
2015-06-03,1905
2015-06-04,1905
2015-06-05,1905
2015-06-06,1905
2015-06-07,1905
2015-06-08,1905
2015-06-09,1905
2015-06-10,1905
2015-06-11,1905
2015-06-12,1905
2015-06-13,1905
2015-06-14,1905
2015-06-15,1905
2015-06-16,1824
2015-06-17,1824
2015-06-18,1824
2015-06-19,1824
2015-06-20,1824
2015-06-21,1824
2015-06-22,1824
2015-06-23,1824
2015-06-24,1824
2015-06-25,1824
2015-06-26,1824
2015-06-27,1824
2015-06-28,1824
2015-06-29,1824
2015-06-30,1824
2015-07-01,1824
2015-07-02,1824
2015-07-03,1824
2015-07-04,1824
2015-07-05,1824
2015-07-06,1740
2015-07-07,1740
2015-07-08,1740
2015-07-09,1740
2015-07-10,1740
2015-07-11,1740
2015-07-12,1740
2015-07-13,1740
2015-07-14,1740
2015-07-15,1740
2015-07-16,1740
2015-07-17,1740
2015-07-18,1740
2015-07-19,1740
2015-07-20,1740
2015-07-21,1740
2015-07-22,1740
2015-07-23,1740
2015-07-24,1740
2015-07-25,1697
2015-07-26,1697
2015-07-27,1697
2015-07-28,1697
2015-07-29,1697
2015-07-30,1697
2015-07-31,1697
2015-08-01,1697
2015-08-02,1697
2015-08-03,1697
2015-08-04,1697
2015-08-05,1697
2015-08-06,1697
2015-08-07,1697
2015-08-08,1697
2015-08-09,1697
2015-08-10,1697
2015-08-11,1697
2015-08-12,1697
2015-08-13,1697
2015-08-14,1657
2015-08-15,1657
2015-08-16,1657
2015-08-17,1657
2015-08-18,1657
2015-08-19,1657
2015-08-20,1657
2015-08-21,1657
2015-08-22,1657
2015-08-23,1657
2015-08-24,1657
2015-08-25,1657
2015-08-26,1657
2015-08-27,1657
2015-08-28,1657
2015-08-29,1657
2015-08-30,1657
2015-08-31,1657
2015-09-02,1600
2015-09-07,1600
2015-09-08,1600
2015-09-10,1600
2015-09-14,1600
2015-09-16,1600
2015-09-22,1529
2015-09-23,1529
2015-09-24,1529
2015-09-25,1529
2015-09-27,1529
2015-09-28,1529
2015-09-29,1529
2015-09-30,1529
2015-10-05,1512
2015-10-06,1512
2015-10-07,1512
2015-10-08,1512
2015-10-09,1512
2015-10-10,1512
2015-10-11,1512
2015-10-12,1512
2015-10-13,1512
2015-10-14,1512
2015-10-15,1512
2015-10-16,1512
2015-10-17,1512
2015-10-18,1512
2015-10-19,1512
2015-10-20,1512
2015-10-22,1512
2015-10-23,1512
2015-10-24,1498
2015-10-25,1498
2015-10-26,1498
2015-10-27,1498
2015-10-29,1498
2015-10-30,1498
2015-10-31,1498
2015-11-01,1498
2015-11-02,1498
2015-11-03,1498
2015-11-04,1498
2015-11-05,1498
2015-11-06,1498
2015-11-07,1498
2015-11-08,1498
2015-11-09,1498
2015-11-10,1498
2015-11-11,1498
2015-11-12,1498
2015-11-13,1498
2015-11-14,1498
2015-11-15,1434
2015-11-16,1434
2015-11-17,1434
2015-11-18,1434
2015-11-19,1434
2015-11-20,1434
2015-11-21,1434
2015-11-22,1434
2015-11-23,1434
2015-11-24,1434
2015-11-25,1434
2015-11-26,1434
2015-11-27,1434
2015-11-28,1434
2015-11-29,1434
2015-11-30,1434
2015-12-01,1434
2015-12-02,1434
2015-12-03,1434
2015-12-04,1401
2015-12-05,1401
2015-12-06,1401
2015-12-07,1401
2015-12-08,1401
2015-12-09,1401
2015-12-10,1401
2015-12-11,1401
2015-12-12,1401
2015-12-13,1401
2015-12-14,1401
2015-12-15,1401
2015-12-16,1401
2015-12-17,1401
2015-12-18,1401
2015-12-19,1401
2015-12-20,1337
2015-12-21,1337
2015-12-22,1337
2015-12-23,1337
2015-12-24,1337
2015-12-25,1337
2015-12-26,1337
2015-12-27,1337
2015-12-28,1337
2015-12-29,1337
2015-12-30,1337
2015-12-31,1337
2016-01-01,1337
2016-01-02,1337
2016-01-03,1337
2016-01-04,1314
2016-01-05,1314
2016-01-06,1314
2016-01-07,1314
2016-01-08,1314
2016-01-09,1314
2016-01-10,1314
2016-01-11,1314
2016-01-12,1314
2016-01-13,1314
2016-01-14,1314
2016-01-15,1314
2016-01-16,1314
2016-01-17,1314
2016-01-18,1314
2016-01-19,1314
2016-01-20,1274
2016-01-21,1274
2016-01-22,1274
2016-01-23,1274
2016-01-24,1274
2016-01-25,1274
2016-01-26,1274
2016-01-27,1274
2016-01-28,1274
2016-01-29,1274
2016-01-30,1274
2016-01-31,1274
2016-02-01,1274
2016-02-02,1274
2016-02-03,1274
2016-02-04,1274
2016-02-05,1274
2016-02-06,1219
2016-02-07,1219
2016-02-08,1219
2016-02-09,1219
2016-02-10,1219
2016-02-11,1219
2016-02-12,1219
2016-02-13,1219
2016-02-14,1219
2016-02-15,1219
2016-02-16,1219
2016-02-17,1219
2016-02-18,1219
2016-02-19,1219
2016-02-20,1219
2016-02-21,1219
2016-02-22,1219
2016-02-23,1182
2016-02-24,1182
2016-02-25,1182
2016-02-26,1182
2016-02-27,1182
2016-02-28,1182
2016-02-29,1182
2016-03-01,1182
2016-03-02,1182
2016-03-03,1182
2016-03-04,1182
2016-03-05,1182
2016-03-06,1182
2016-03-07,1182
2016-03-08,1182
2016-03-09,1139
2016-03-10,1139
2016-03-11,1139
2016-03-12,1139
2016-03-13,1139
2016-03-14,1139
2016-03-15,1139
2016-03-16,1139
2016-03-17,1139
2016-03-18,1139
2016-03-19,1139
2016-03-20,1139
2016-03-21,1139
2016-03-22,1139
2016-03-23,1139
2016-03-24,1139
2016-03-25,1091
2016-03-26,1091
2016-03-27,1091
2016-03-28,1091
2016-03-29,1091
2016-03-30,1091
2016-03-31,1091
2016-04-01,1091
2016-04-02,1091
2016-04-03,1091
2016-04-04,1091
2016-04-05,1091
2016-04-06,1091
2016-04-07,1091
2016-04-08,1091
2016-04-09,1091
2016-04-10,1038
2016-04-11,1038
2016-04-12,1038
2016-04-13,1038
2016-04-14,1038
2016-04-15,1038
2016-04-16,1038
2016-04-17,1038
2016-04-18,1038
2016-04-19,1038
2016-04-20,1038
2016-04-21,1038
2016-04-22,1038
2016-04-23,1038
2016-04-24,1038
2016-04-25,989
