date_obj,Jungle%20demon%20mask price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,4872042
2016-07-09,4872042
2016-07-10,4872042
2016-07-11,4872042
2016-07-12,4872042
2016-07-13,4872042
2016-07-14,4628439
2016-07-15,4628439
2016-07-16,4628439
2016-07-17,4628439
2016-07-18,4628439
2016-07-23,4397017
2016-07-24,4397017
2016-07-25,4397017
2016-07-26,4397017
2016-07-27,4178358
2016-07-28,4178358
2016-07-29,4178358
2016-07-30,4178358
2016-07-31,4178358
2016-08-01,4178358
2016-08-02,3972330
2016-08-03,3972330
2016-08-04,3972330
2016-08-05,3972330
2016-08-06,3972330
2016-08-07,3972330
2016-08-08,3972330
2016-08-09,3775813
2016-08-10,3775813
2016-08-11,3775813
2016-08-12,3775813
2016-08-13,3775813
2016-08-14,3775813
2016-08-15,3775813
2016-08-16,3775813
2016-08-17,3775813
2016-08-18,3775813
2016-08-19,3587022
2016-08-20,3587022
2016-08-21,3587022
2016-08-22,3587022
2016-08-23,3587022
2016-08-24,3587022
2016-08-25,3587022
2016-08-26,3587022
2016-08-28,3409717
2016-08-31,3409717
2016-09-01,3409717
2016-09-02,3409717
2016-09-03,3241397
2016-09-04,3241397
2016-09-05,3241397
2016-09-06,3241397
2016-09-07,3241397
2016-09-08,3241397
2016-09-09,3241397
2016-09-10,3081316
2016-09-11,3081316
2016-09-12,3081316
2016-09-13,3081316
2016-09-14,3081316
2016-09-15,3081316
2016-09-16,3081316
2016-09-17,3081316
2016-09-18,3081316
2016-09-19,3081316
2016-09-20,2929041
2016-09-21,2929041
2016-09-22,2929041
2016-09-23,2929041
2016-09-24,2929041
2016-09-25,2929041
2016-09-26,2929041
2016-09-27,2929041
2016-09-28,2929041
2016-09-29,2929041
2016-09-30,2929041
2016-10-01,2783826
2016-10-02,2783826
2016-10-03,2783826
2016-10-04,2783826
2016-10-05,2783826
2016-10-06,2783826
2016-10-07,2783826
2016-10-08,2783826
2016-10-09,2783826
2016-10-10,2783826
2016-10-11,2648192
2016-10-12,2648192
2016-10-13,2648192
2016-10-14,2648192
2016-10-15,2648192
2016-10-16,2648192
2016-10-17,2648192
2016-10-18,2648192
2016-10-19,2648192
2016-10-20,2518286
2016-10-21,2518286
2016-10-22,2518286
2016-10-23,2518286
2016-10-24,2518286
2016-10-25,2518286
2016-10-26,2518286
2016-10-27,2518286
2016-10-28,2395001
2016-10-29,2395001
2016-10-30,2395001
2016-10-31,2395001
2016-11-01,2395001
2016-11-02,2395001
2016-11-03,2395001
2016-11-04,2395001
2016-11-05,2395001
2016-11-06,2276115
2016-11-07,2276115
2016-11-08,2276115
2016-11-09,2276115
2016-11-10,2276115
2016-11-11,2276115
2016-11-12,2276115
2016-11-13,2276115
2016-11-14,2276115
2016-12-07,1956674
2016-12-08,1956674
2016-12-09,1956674
2016-12-10,1860903
2016-12-11,1860903
2016-12-12,1860903
2016-12-13,1860903
2016-12-14,1860903
2016-12-15,1860903
2016-12-16,1860903
2016-12-17,1769686
2016-12-18,1769686
2016-12-19,1769686
2016-12-20,1769686
2016-12-21,1769686
2016-12-22,1769686
2016-12-23,1769686
2016-12-24,1769686
2016-12-25,1769686
2016-12-26,1683662
2016-12-27,1683662
2016-12-28,1683662
2016-12-29,1683662
2016-12-30,1683662
2016-12-31,1683662
2017-01-01,1683662
2017-01-02,1683662
2017-01-03,1600834
2017-01-04,1600834
2017-01-05,1600834
2017-01-06,1600834
2017-01-07,1600834
2017-01-08,1600834
2017-01-09,1600834
2017-01-10,1600834
2017-01-11,1521938
2017-01-12,1521938
2017-01-13,1521938
2017-01-14,1521938
2017-01-15,1521938
2017-01-16,1521938
2017-01-17,1447415
2017-01-18,1447415
2017-01-19,1447415
2017-01-20,1447415
2017-01-21,1447415
2017-01-22,1447415
2017-01-27,1376600
2017-01-28,1376600
2017-01-29,1376600
2017-01-30,1308763
2017-01-31,1308763
2017-02-01,1308763
2017-02-02,1308763
2017-02-03,1308763
2017-02-04,1308763
2017-02-05,1308763
2017-02-06,1244824
2017-02-07,1244824
2017-02-08,1244824
2017-02-09,1244824
2017-02-10,1244824
2017-02-11,1244824
2017-02-12,1244824
2017-02-13,1182967
2017-02-14,1182967
2017-02-15,1182967
2017-02-16,1182967
2017-02-18,1182967
2017-02-19,1182967
2017-02-20,1124425
2017-02-21,1124425
2017-02-22,1124425
2017-02-23,1124425
2017-02-24,1124425
2017-02-25,1124425
2017-02-26,1124425
2017-02-27,1124425
2017-02-28,1068957
2017-03-01,1068957
2017-03-02,1068957
2017-03-03,1068957
2017-03-04,1068957
2017-03-05,1068957
2017-03-06,1016509
2017-03-07,1016509
2017-03-08,1016509
2017-03-09,1016509
2017-03-10,1016509
2017-03-11,1016509
2017-03-12,1016509
2017-03-13,967562
2017-03-14,967562
2017-03-15,967562
2017-03-16,967562
2017-03-17,967562
2017-03-18,967562
2017-03-19,967562
2017-03-20,919901
2017-03-21,919901
2017-03-22,919901
2017-03-23,919901
2017-03-24,919901
2017-03-25,919901
2017-03-26,874911
2017-03-27,874911
2017-03-28,874911
2017-03-29,874911
2017-03-30,874911
2017-03-31,874911
2017-04-01,874911
2017-04-02,833366
2017-04-03,833366
2017-04-04,833366
2017-04-12,149500
2017-04-13,149500
2017-04-14,149500
2017-04-15,149500
2017-04-16,149500
2017-04-17,149500
2017-04-18,142769
2017-04-19,142769
2017-04-20,142769
2017-04-21,142769
2017-04-22,142769
2017-04-23,142769
2017-04-24,142769
2017-04-25,142769
2017-04-26,135851
2017-04-27,135851
2017-04-28,135851
2017-04-29,135851
2017-04-30,135851
2017-05-01,135851
2017-05-02,135851
2017-05-03,131508
2017-05-04,131508
2017-05-05,131508
2017-05-06,131508
2017-05-07,131508
2017-05-08,131508
2017-05-09,131508
2017-05-10,126651
2017-05-11,126651
2017-05-12,126651
2017-05-13,126651
2017-05-14,126651
2017-05-15,126651
2017-05-16,126651
2017-05-17,126651
2017-05-18,126651
2017-05-19,121004
2017-05-20,121004
2017-05-21,121004
2017-05-22,121004
2017-05-23,121004
2017-05-24,121004
2017-05-25,121004
2017-05-26,121004
2017-05-27,121004
2017-05-28,115451
2017-05-29,115451
2017-05-30,115451
2017-05-31,115451
2017-06-01,115451
2017-06-02,115451
2017-06-03,115451
2017-06-04,115451
2017-06-06,110355
2017-06-07,110355
2017-06-08,110355
2017-06-09,110355
2017-06-10,110355
2017-06-11,110355
2017-06-12,110355
2017-06-13,106143
2017-06-14,106143
2017-06-15,106143
2017-06-16,106143
2017-06-17,106143
2017-06-18,106143
2017-06-19,106143
2017-06-20,102978
2017-06-21,102978
2017-06-22,102978
2017-06-23,102978
2017-06-24,102978
