date_obj,Curry price
2015-03-26,341
2015-03-27,341
2015-03-28,356
2015-03-29,356
2015-03-30,356
2015-03-31,356
2015-04-01,356
2015-04-02,356
2015-04-03,356
2015-04-04,374
2015-04-05,374
2015-04-06,374
2015-04-07,374
2015-04-08,374
2015-04-09,374
2015-04-10,374
2015-04-11,392
2015-04-12,392
2015-04-13,392
2015-04-14,392
2015-04-15,392
2015-04-16,392
2015-04-17,392
2015-04-18,410
2015-04-19,410
2015-04-20,410
2015-04-21,410
2015-04-22,410
2015-04-23,410
2015-04-24,410
2015-04-25,430
2015-04-26,430
2015-04-27,430
2015-04-28,430
2015-04-29,430
2015-04-30,430
2015-05-01,430
2015-05-02,451
2015-05-03,451
2015-05-04,451
2015-05-05,451
2015-05-06,451
2015-05-07,451
2015-05-08,451
2015-05-09,451
2015-05-10,473
2015-05-11,473
2015-05-12,473
2015-05-13,473
2015-05-14,473
2015-05-15,473
2015-05-16,473
2015-05-17,496
2015-05-18,496
2015-05-19,496
2015-05-20,496
2015-05-21,496
2015-05-22,496
2015-05-23,496
2015-05-24,519
2015-05-25,519
2015-05-26,519
2015-05-27,519
2015-05-28,543
2015-05-29,543
2015-05-30,543
2015-05-31,543
2015-06-01,570
2015-06-02,570
2015-06-03,570
2015-06-04,570
2015-06-05,591
2015-06-06,591
2015-06-07,591
2015-06-08,591
2015-06-09,618
2015-06-10,618
2015-06-11,618
2015-06-12,618
2015-06-13,618
2015-06-14,648
2015-06-15,648
2015-06-16,648
2015-06-17,648
2015-06-18,648
2015-06-19,679
2015-06-20,679
2015-06-21,679
2015-06-22,679
2015-06-23,679
2015-06-24,712
2015-06-25,712
2015-06-26,712
2015-06-27,712
2015-06-28,712
2015-06-29,744
2015-06-30,744
2015-07-01,744
2015-07-02,744
2015-07-03,744
2015-07-04,781
2015-07-05,781
2015-07-06,781
2015-07-07,781
2015-07-08,781
2015-07-09,781
2015-07-10,816
2015-07-11,816
2015-07-12,816
2015-07-13,816
2015-07-14,816
2015-07-15,856
2015-07-16,856
2015-07-17,856
2015-07-18,856
2015-07-19,856
2015-07-20,899
2015-07-21,899
2015-07-22,899
2015-07-23,899
2015-07-24,899
2015-07-25,943
2015-07-26,943
2015-07-27,943
2015-07-28,943
2015-07-29,989
2015-07-30,989
2015-07-31,989
2015-08-01,989
2015-08-02,989
2015-08-03,1036
2015-08-04,1036
2015-08-05,1036
2015-08-06,1036
2015-08-07,1036
2015-08-08,1036
2015-08-09,1086
2015-08-10,1086
2015-08-11,1086
2015-08-12,1086
