date_obj,Topaz%20dragon%20bolts%20(e) price
2018-01-03,1300
2018-01-04,1300
2018-01-05,1300
2018-01-06,1300
2018-01-07,1300
2018-01-08,1300
2018-01-09,1300
2018-01-10,1300
2018-01-11,1300
2018-01-12,1300
2018-01-13,1300
2018-01-14,1300
2018-01-15,1300
2018-01-16,1300
2018-01-17,1300
2018-01-18,1300
2018-01-19,1331
2018-01-20,1331
2018-01-21,1331
2018-01-22,1331
2018-01-23,1331
2018-01-24,1331
2018-01-25,1331
2018-01-26,1331
2018-01-27,1331
2018-01-28,1331
2018-01-29,1331
2018-01-30,1299
2018-02-01,1299
2018-02-02,1299
2018-02-03,1299
2018-02-04,1299
2018-02-05,1299
2018-02-06,1299
2018-02-07,1299
2018-02-08,1239
2018-02-09,1239
2018-02-10,1239
2018-02-11,1239
2018-02-12,1239
2018-02-13,1184
2018-02-14,1184
2018-02-15,1184
2018-02-16,1184
2018-02-17,1184
2018-02-18,1184
2018-02-19,1136
2018-02-20,1136
2018-02-21,1136
2018-02-22,1136
2018-02-23,1136
2018-02-24,1136
2018-02-25,1136
2018-02-26,1136
2018-02-27,1135
2018-02-28,1135
2018-03-01,1135
2018-03-02,1135
2018-03-03,1135
2018-03-04,1135
2018-03-05,1135
2018-03-06,1135
2018-03-07,1135
2018-03-08,1135
2018-03-09,1135
2018-03-10,1135
2018-03-11,1135
2018-03-12,1154
2018-03-13,1154
2018-03-14,1154
2018-03-15,1154
2018-03-16,1154
2018-03-17,1154
2018-03-18,1154
2018-03-19,1154
2018-03-20,1154
2018-03-21,1154
2018-03-23,1154
2018-03-24,1154
2018-03-26,1154
2018-03-27,1154
2018-03-28,1154
2018-03-29,1154
2018-03-30,1154
2018-03-31,1201
2018-04-01,1201
2018-04-02,1201
2018-04-03,1201
2018-04-04,1201
2018-04-05,1201
2018-04-06,1201
2018-04-08,1201
2018-04-09,1201
2018-04-10,1201
2018-04-11,1201
2018-04-12,1201
2018-04-13,1201
2018-04-14,1201
2018-04-16,1201
2018-04-17,1201
2018-04-18,1201
2018-04-19,1201
2018-04-20,1201
2018-04-21,1201
2018-04-22,1201
2018-04-23,1201
2018-04-24,1236
2018-04-25,1236
2018-04-26,1236
2018-04-27,1236
2018-04-28,1236
2018-04-29,1236
2018-04-30,1236
2018-05-01,1236
2018-05-02,1236
2018-05-03,1236
2018-05-04,1236
2018-05-05,1236
2018-05-06,1236
2018-05-08,1236
2018-05-09,1236
2018-05-10,1236
2018-05-11,1236
2018-05-12,1236
2018-05-13,1236
2018-05-14,1236
2018-05-15,1236
2018-05-16,1281
2018-05-17,1281
2018-05-18,1281
2018-05-19,1281
2018-05-20,1281
2018-05-21,1281
2018-05-22,1281
2018-05-23,1281
2018-05-24,1281
2018-05-25,1281
2018-05-26,1281
2018-05-27,1281
2018-05-28,1281
2018-05-29,1281
2018-05-30,1281
2018-05-31,1281
2018-06-01,1281
2018-06-02,1281
2018-06-03,1281
2018-06-04,1281
2018-06-05,1281
2018-06-06,1337
2018-06-07,1337
2018-06-08,1337
2018-06-09,1337
2018-06-10,1337
2018-06-11,1337
2018-06-12,1337
2018-06-13,1337
2018-06-14,1337
2018-06-15,1337
2018-06-16,1337
2018-06-17,1337
2018-06-18,1337
2018-06-19,1337
2018-06-20,1337
2018-06-21,1337
2018-06-22,1337
2018-06-23,1337
2018-06-24,1337
2018-06-25,1337
2018-06-26,1337
2018-06-27,1337
2018-06-28,1337
2018-06-29,1337
2018-06-30,1337
2018-07-01,1337
2018-07-02,1337
2018-07-03,1337
2018-07-04,1337
