date_obj,Elder%20chaos%20hood price
2016-08-10,5201
2016-08-11,5452
2016-08-12,5721
2016-08-13,5999
2016-08-14,6288
2016-08-15,6592
2016-08-16,6917
2016-08-17,7205
2016-08-18,7551
2016-08-19,7923
2016-08-20,8304
2016-08-21,8714
2016-08-22,9140
2016-08-23,9589
2016-08-24,10058
2016-08-25,10550
2016-08-26,11063
2016-08-28,12153
2016-08-31,13990
2016-09-01,14506
2016-09-02,15217
2016-09-03,15968
2016-09-04,16736
2016-09-05,17553
2016-09-06,18413
2016-09-07,19310
2016-09-08,20223
2016-09-09,21154
2016-09-10,22181
2016-09-11,23249
2016-09-12,24383
2016-09-13,25570
2016-09-14,26801
2016-09-15,28025
2016-09-16,29367
2016-09-17,30769
2016-09-18,32246
2016-09-19,33830
2016-09-20,35462
2016-09-21,37167
2016-09-22,38933
2016-09-23,40740
2016-09-24,42721
2016-09-25,44829
2016-09-26,46992
2016-09-27,49305
2016-09-28,51582
2016-09-29,54047
2016-09-30,56702
2016-10-01,59371
2016-10-02,61550
2016-10-03,64189
2016-10-04,67300
2016-10-05,69848
2016-10-06,73214
2016-10-07,76667
2016-10-08,80181
2016-10-09,83767
2016-10-10,87233
2016-10-11,91435
2016-10-12,95789
2016-10-13,100126
2016-10-14,103869
2016-10-15,107581
2016-10-16,112774
2016-10-17,118413
2016-10-18,124053
2016-10-19,129821
2016-10-20,135979
2016-10-21,142401
2016-10-22,142401
2016-10-23,149522
2016-10-24,156644
2016-10-25,156644
2016-10-26,164477
2016-10-27,164477
2016-10-28,172185
2016-10-29,180492
2016-10-30,189025
2016-10-31,197962
2016-11-01,197962
2016-11-02,207861
2016-11-03,207861
2016-11-04,218255
2016-11-05,218255
2016-11-06,229168
2016-11-07,229168
2016-11-08,240627
2016-11-09,252117
2016-11-10,264170
2016-11-11,276452
2016-11-12,289520
2016-11-13,289520
2016-11-14,303996
2016-11-15,318289
2016-12-07,649494
2016-12-08,681969
2016-12-09,710491
2016-12-10,710491
2016-12-11,746016
2016-12-12,746016
2016-12-13,773553
2016-12-14,804910
2016-12-15,804910
2016-12-16,842451
2016-12-17,882049
2016-12-18,882049
2016-12-19,914563
2016-12-20,929830
2016-12-21,953460
2016-12-22,953460
2016-12-23,986847
2016-12-24,986847
2016-12-25,1021140
2016-12-26,1021140
2016-12-27,1072021
2016-12-28,1072021
2016-12-29,1048380
2016-12-30,1048380
2016-12-31,995961
2017-01-01,949479
2017-01-02,914571
2017-01-03,914571
2017-01-04,876286
2017-01-05,876286
2017-01-06,843768
2017-01-07,806782
2017-01-08,780335
2017-01-09,771479
2017-01-10,775409
2017-01-11,786775
2017-01-12,824300
2017-01-13,824300
2017-01-14,865515
2017-01-15,908774
2017-01-16,936249
2017-01-17,964961
2017-01-18,1012894
2017-01-19,1012894
2017-01-20,1029659
2017-01-21,1020082
2017-01-22,1017386
2017-01-23,1038289
2017-01-27,1101714
2017-01-28,1103954
2017-01-29,1126762
2017-01-30,1126762
2017-01-31,1096095
2017-02-01,1069054
2017-02-02,1083337
2017-02-03,1137259
2017-02-04,1134210
2017-02-05,1078988
2017-02-06,1035391
2017-02-07,983965
2017-02-08,934995
2017-02-09,934995
2017-02-10,962751
2017-02-11,976074
2017-02-12,976074
2017-02-13,965558
2017-02-14,951175
2017-02-15,915348
2017-02-16,902205
2017-02-18,871171
2017-02-19,842158
2017-02-20,817899
2017-02-21,807200
2017-02-22,807200
2017-02-23,791730
2017-02-24,791730
2017-02-25,765978
2017-02-26,734206
2017-02-27,702459
2017-02-28,679824
2017-03-01,656092
2017-03-02,654912
2017-03-03,654912
2017-03-04,644451
2017-03-05,636231
2017-03-06,625503
2017-03-07,607942
2017-03-08,607942
2017-03-09,586172
2017-03-10,561971
2017-03-11,537093
2017-03-12,517145
2017-03-13,495384
2017-03-14,471817
2017-03-15,448234
2017-03-16,425822
2017-03-17,413977
2017-03-18,417317
2017-03-19,437234
2017-03-20,458700
2017-03-21,479317
2017-03-22,500809
2017-03-23,525820
2017-03-24,551498
2017-03-25,551498
2017-03-26,579073
2017-03-27,603983
2017-03-28,616258
2017-03-29,633061
2017-03-30,653903
2017-03-31,686599
2017-04-01,719717
2017-04-02,750683
2017-04-03,758269
2017-04-04,751383
2017-04-12,735586
2017-04-13,714702
2017-04-14,721770
2017-04-15,755668
2017-04-16,786970
2017-04-17,820084
2017-04-18,789246
2017-04-19,787506
2017-04-20,790337
2017-04-21,778932
2017-04-22,778932
2017-04-23,768490
2017-04-24,779919
2017-04-25,772740
2017-04-26,772740
2017-04-27,782458
2017-04-28,788126
2017-04-29,776710
2017-04-30,768558
2017-05-01,762350
2017-05-02,755704
2017-05-03,749016
2017-05-04,751905
2017-05-05,757903
2017-05-06,759042
2017-05-07,758208
2017-05-08,746972
2017-05-09,731221
2017-05-10,742976
2017-05-11,752685
2017-05-12,770492
2017-05-13,772760
2017-05-14,772760
2017-05-15,765191
2017-05-16,759153
2017-05-17,759153
2017-05-18,751813
2017-05-19,751813
2017-05-20,743112
2017-05-21,743112
2017-05-22,729741
2017-05-23,709841
2017-05-24,695987
2017-05-25,669018
2017-05-26,636505
2017-05-27,607599
2017-05-28,582936
2017-05-29,560115
2017-05-30,543351
2017-05-31,547813
2017-06-01,534856
2017-06-02,520726
2017-06-03,520726
2017-06-04,514085
2017-06-05,534198
2017-06-06,542269
2017-06-07,558669
2017-06-08,558669
2017-06-09,577929
2017-06-10,572471
2017-06-11,559034
2017-06-12,555749
2017-06-13,576270
2017-06-14,569411
2017-06-15,580808
2017-06-16,583212
2017-06-17,578574
2017-06-18,589296
2017-06-19,589296
2017-06-20,583248
2017-06-21,580798
2017-06-22,580798
2017-06-23,600445
2017-06-24,626223
2017-06-25,620856
2017-06-26,623338
2017-06-27,644450
2017-06-28,633964
2017-06-29,616322
2017-06-30,610125
2017-07-01,610125
2017-07-02,595002
2017-07-03,593549
2017-07-04,575588
2017-07-05,575588
2017-07-06,574198
2017-07-07,574198
2017-07-08,585556
2017-07-13,640262
2017-07-14,661719
2017-07-15,661719
2017-07-16,669090
2017-07-17,667828
2017-07-18,644188
2017-07-19,644087
2017-07-20,633544
2017-07-21,628253
2017-07-22,616350
2017-07-23,600195
2017-07-24,600195
2017-07-25,601912
2017-07-26,585768
2017-07-27,578286
2017-07-28,562489
2017-07-29,562489
2017-07-30,561403
2017-07-31,561403
2017-08-01,557373
2017-08-02,556418
2017-08-03,555133
2017-08-04,575106
2017-08-05,588184
2017-08-06,613310
2017-08-09,644918
2017-08-10,671132
2017-08-11,698922
2017-08-12,733315
2017-08-13,767213
2017-08-14,805264
2017-08-15,840129
2017-08-16,869464
2017-08-17,868678
2017-08-18,868678
2017-08-19,887010
2017-08-20,885914
2017-08-21,860538
2017-08-22,868010
2017-08-23,843756
2017-08-24,832236
