date_obj,Rune%202h%20sword price
2015-03-26,41517
2015-03-27,41417
2015-03-28,41586
2015-03-29,41811
2015-03-30,41806
2015-03-31,41878
2015-04-01,41851
2015-04-02,41667
2015-04-03,41075
2015-04-04,40915
2015-04-05,40423
2015-04-06,40007
2015-04-07,40326
2015-04-08,40679
2015-04-09,41026
2015-04-10,41039
2015-04-11,40427
2015-04-12,40501
2015-04-13,40995
2015-04-14,41143
2015-04-15,41420
2015-04-16,41412
2015-04-17,40620
2015-04-18,40681
2015-04-19,41644
2015-04-20,41723
2015-04-21,41904
2015-04-22,42099
2015-04-23,41644
2015-04-24,41814
2015-04-25,41856
2015-04-26,41593
2015-04-27,41695
2015-04-28,41991
2015-04-29,41860
2015-04-30,41980
2015-05-01,42034
2015-05-02,41982
2015-05-03,42027
2015-05-04,42199
2015-05-05,41882
2015-05-06,41779
2015-05-07,41556
2015-05-08,41622
2015-05-09,41722
2015-05-10,41539
2015-05-11,41515
2015-05-12,41641
2015-05-13,41866
2015-05-14,41628
2015-05-15,41127
2015-05-16,41613
2015-05-17,41535
2015-05-18,41568
2015-05-19,41839
2015-05-20,41792
2015-05-21,41857
2015-05-22,42045
2015-05-23,41875
2015-05-24,41803
2015-05-25,42048
2015-05-26,41866
2015-05-27,42279
2015-05-28,42081
2015-05-29,41753
2015-05-30,41151
2015-05-31,42488
2015-06-01,42568
2015-06-02,41763
2015-06-03,41613
2015-06-04,41237
2015-06-05,41073
2015-06-06,40866
2015-06-07,41206
2015-06-08,41548
2015-06-09,41739
2015-06-10,41259
2015-06-11,40561
2015-06-12,39893
2015-06-13,40340
2015-06-14,40673
2015-06-15,40738
2015-06-16,41028
2015-06-17,41275
2015-06-18,41182
2015-06-19,40882
2015-06-20,40823
2015-06-21,40848
2015-06-22,41016
2015-06-23,41218
2015-06-24,41054
2015-06-25,41035
2015-06-26,40755
2015-06-27,40422
2015-06-28,41106
2015-06-29,41028
2015-06-30,41726
2015-07-01,41723
2015-07-02,41172
2015-07-03,40936
2015-07-04,40588
2015-07-05,40385
2015-07-06,40338
2015-07-07,40856
2015-07-08,40434
2015-07-09,40658
2015-07-10,40886
2015-07-11,40798
2015-07-12,40827
2015-07-13,41418
2015-07-14,41053
2015-07-15,40879
2015-07-16,41468
2015-07-17,41179
2015-07-18,41530
2015-07-19,41840
2015-07-20,41520
2015-07-21,41537
2015-07-22,41693
2015-07-23,41457
2015-07-24,40975
2015-07-25,39634
2015-07-26,40264
2015-07-27,39927
2015-07-28,40602
2015-07-29,41443
2015-07-30,41823
2015-07-31,41748
2015-08-01,41397
2015-08-02,41432
2015-08-03,41849
2015-08-04,41971
2015-08-05,41763
2015-08-06,41802
2015-08-07,41834
2015-08-08,41924
2015-08-09,42114
2015-08-10,42237
2015-08-11,42333
2015-08-12,42027
2015-08-13,41857
2015-08-14,42012
2015-08-15,41835
2015-08-16,41411
2015-08-17,41836
2015-08-18,42156
2015-08-19,42083
2015-08-20,42032
2015-08-21,42240
2015-08-22,41504
2015-08-23,41460
2015-08-24,41863
2015-08-25,42049
2015-08-26,42225
2015-08-27,41484
2015-08-28,41518
2015-08-29,41841
2015-08-30,41547
2015-08-31,41381
2015-09-01,41288
2015-09-02,41552
2015-09-03,41553
2015-09-04,41367
2015-09-05,41337
2015-09-06,41276
2015-09-07,41404
2015-09-08,41741
2015-09-09,41811
2015-09-10,42018
2015-09-11,41843
2015-09-12,41768
2015-09-13,41356
2015-09-14,41257
2015-09-15,41341
2015-09-16,41103
2015-09-17,40984
2015-09-18,40970
2015-09-19,41265
2015-09-20,41396
2015-09-21,41538
2015-09-22,41523
2015-09-23,41619
2015-09-24,42067
2015-09-25,41898
2015-09-27,41827
2015-09-28,42436
2015-09-29,42018
2015-09-30,41967
2015-10-05,40798
2015-10-06,41149
2015-10-07,40124
2015-10-08,40185
2015-10-09,40807
2015-10-10,41459
2015-10-11,40719
2015-10-12,41238
2015-10-13,41632
2015-10-14,42225
2015-10-15,41857
2015-10-16,41227
2015-10-17,39288
2015-10-18,39062
2015-10-19,40994
2015-10-20,42133
2015-10-22,41749
2015-10-23,41607
2015-10-24,41499
2015-10-25,41197
2015-10-26,41831
2015-10-27,41938
2015-10-29,42209
2015-10-30,42356
2015-10-31,42234
2015-11-01,42386
2015-11-02,42014
2015-11-03,42195
2015-11-04,41878
2015-11-05,42696
2015-11-06,42759
2015-11-07,43207
2015-11-08,43662
2015-11-09,43217
2015-11-10,43014
2015-11-11,42354
2015-11-12,41818
2015-11-13,41881
2015-11-14,42034
2015-11-15,42146
2015-11-16,42189
2015-11-17,42626
2015-11-18,43624
2015-11-19,43534
2015-11-20,42675
2015-11-21,42561
2015-11-22,42651
2015-11-23,43126
2015-11-24,43127
2015-11-25,42871
2015-11-26,43376
2015-11-27,43127
2015-11-28,42962
2015-11-29,42971
2015-11-30,43105
2015-12-01,42811
2015-12-02,42727
2015-12-03,42886
2015-12-04,42741
2015-12-05,42921
2015-12-06,42687
2015-12-07,42810
2015-12-08,42738
2015-12-09,42371
2015-12-10,42622
2015-12-11,42352
2015-12-12,42288
2015-12-13,42067
2015-12-14,42254
2015-12-15,42261
2015-12-16,42792
2015-12-17,43338
2015-12-18,42640
2015-12-19,42596
2015-12-20,42912
2015-12-21,42899
2015-12-22,42564
2015-12-23,42705
2015-12-24,42560
2015-12-25,42710
2015-12-26,42767
2015-12-27,42641
2015-12-28,42467
2015-12-29,42701
2015-12-30,42724
2015-12-31,42218
2016-01-01,42188
2016-01-02,41408
2016-01-03,41741
2016-01-04,42249
2016-01-05,41546
2016-01-06,41435
2016-01-07,42030
2016-01-08,41932
2016-01-09,41655
2016-01-10,41528
2016-01-11,41143
2016-01-12,41627
2016-01-13,41488
2016-01-14,41316
2016-01-15,41264
2016-01-16,41536
2016-01-17,41986
2016-01-18,41887
2016-01-19,42091
2016-01-20,42290
2016-01-21,42304
2016-01-22,41970
2016-01-23,42270
2016-01-24,41452
2016-01-25,41267
2016-01-26,41257
2016-01-27,41121
2016-01-28,40734
2016-01-29,41104
2016-01-30,40996
2016-01-31,41708
2016-02-01,42222
2016-02-02,42309
2016-02-03,41888
2016-02-04,41394
2016-02-05,41205
2016-02-06,41232
2016-02-07,41437
2016-02-08,41355
2016-02-09,41720
2016-02-10,41595
2016-02-11,41264
2016-02-12,41424
2016-02-13,41944
2016-02-14,42063
2016-02-15,42161
2016-02-16,42093
2016-02-17,42136
