date_obj,Guthix%20cloak price
2015-03-26,272432
2015-03-27,269485
2015-03-28,265576
2015-03-29,263778
2015-03-30,262560
2015-03-31,262746
2015-04-01,263824
2015-04-02,264021
2015-04-03,264347
2015-04-04,266932
2015-04-05,267840
2015-04-06,268751
2015-04-07,270308
2015-04-08,272100
2015-04-09,271395
2015-04-10,268805
2015-04-11,268944
2015-04-12,269145
2015-04-13,265875
2015-04-14,259898
2015-04-15,252848
2015-04-16,246092
2015-04-17,239521
2015-04-18,231695
2015-04-19,225803
2015-04-20,219424
2015-04-21,212955
2015-04-22,205633
2015-04-23,200527
2015-04-24,196884
2015-04-25,192704
2015-04-26,195501
2015-04-27,199782
2015-04-28,201040
2015-04-29,198988
2015-04-30,197119
2015-05-01,197785
2015-05-02,194849
2015-05-03,189951
2015-05-04,187933
2015-05-05,183837
2015-05-06,177673
2015-05-07,170944
2015-05-08,166590
2015-05-09,163251
2015-05-10,158686
2015-05-11,151959
2015-05-12,144826
2015-05-13,138740
2015-05-14,135324
2015-05-15,131342
2015-05-16,128479
2015-05-17,128021
2015-05-18,127825
2015-05-19,126975
2015-05-20,125938
2015-05-21,126446
2015-05-22,124730
2015-05-23,123014
2015-05-24,120856
2015-05-25,118486
2015-05-26,116131
2015-05-27,112842
2015-05-28,109521
2015-05-29,107186
2015-05-30,105648
2015-05-31,103965
2015-06-01,102665
2015-06-02,104034
2015-06-03,103868
2015-06-04,105164
2015-06-05,107077
2015-06-06,110066
2015-06-07,115155
2015-06-08,119734
2015-06-09,124755
2015-06-10,130860
2015-06-11,137403
2015-06-12,143404
2015-06-13,149838
2015-06-14,153723
2015-06-15,154131
2015-06-16,153067
2015-06-17,155278
2015-06-18,159556
2015-06-19,160665
2015-06-20,164096
2015-06-21,167280
2015-06-22,165966
2015-06-23,164002
2015-06-24,161118
2015-06-25,160618
2015-06-26,161043
2015-06-27,163970
2015-06-28,168920
2015-06-29,174681
2015-06-30,177780
2015-07-01,173293
2015-07-02,170698
2015-07-03,169718
2015-07-04,168818
2015-07-05,169624
2015-07-06,168301
2015-07-07,167907
2015-07-08,164961
2015-07-09,163422
2015-07-10,163934
2015-07-11,160830
2015-07-12,158971
2015-07-13,158152
2015-07-14,158393
2015-07-15,160609
2015-07-16,159330
2015-07-17,161288
2015-07-18,164995
2015-07-19,163881
2015-07-20,167585
2015-07-21,170028
2015-07-22,171452
2015-07-23,175677
2015-07-24,177725
2015-07-25,180134
2015-07-26,178940
2015-07-27,177883
2015-07-28,176072
2015-07-29,176673
2015-07-30,178924
2015-07-31,175971
2015-08-01,176670
2015-08-02,176194
2015-08-03,174363
2015-08-04,169788
2015-08-05,165992
2015-08-06,168667
2015-08-07,172388
2015-08-08,173641
2015-08-09,169270
2015-08-10,168546
2015-08-11,166245
2015-08-12,164870
2015-08-13,159061
2015-08-14,155744
2015-08-15,153172
2015-08-16,148244
2015-08-17,142999
2015-08-18,141219
2015-08-19,141945
2015-08-20,140489
2015-08-21,138558
2015-08-22,140041
2015-08-23,140438
2015-08-24,143712
2015-08-25,145017
2015-08-26,147114
2015-08-27,145924
2015-08-28,148133
2015-08-29,150239
2015-08-30,149171
2015-08-31,142490
2015-09-01,139884
2015-09-02,137263
2015-09-03,135990
2015-09-04,136824
2015-09-05,137807
2015-09-06,138457
2015-09-07,136915
2015-09-08,135685
2015-09-09,137286
2015-09-10,138793
2015-09-11,138838
2015-09-12,138036
2015-09-13,132300
2015-09-14,125820
2015-09-15,119868
2015-09-16,114291
2015-09-17,110091
2015-09-18,107883
2015-09-19,111378
2015-09-20,113017
2015-09-21,110212
2015-09-22,109755
2015-09-23,111978
2015-09-24,115666
2015-09-25,120480
2015-09-27,124659
2015-09-28,126513
2015-09-29,129362
2015-09-30,130667
2015-10-05,117170
2015-10-06,115529
2015-10-07,115598
2015-10-08,114384
2015-10-09,112504
2015-10-10,112504
2015-10-11,111574
2015-10-12,107499
2015-10-13,105509
2015-10-14,103940
2015-10-15,101446
2015-10-16,99925
2015-10-17,98955
2015-10-18,99419
2015-10-19,100315
2015-10-20,101063
2015-10-22,105823
2015-10-23,109122
2015-10-24,110943
2015-10-25,110719
2015-10-26,110044
2015-10-27,106436
2015-10-29,106765
2015-10-30,106584
2015-10-31,108173
2015-11-01,110487
2015-11-02,111471
2015-11-03,110595
2015-11-04,111071
2015-11-05,108691
2015-11-06,108811
2015-11-07,108888
2015-11-08,109177
2015-11-09,109368
2015-11-10,108885
2015-11-11,108833
2015-11-12,109566
2015-11-13,110725
2015-11-14,111844
2015-11-15,113498
2015-11-16,115440
2015-11-17,118501
2015-11-18,122858
2015-11-19,126328
2015-11-20,126208
2015-11-21,126208
2015-11-22,126432
2015-11-23,126432
2015-11-24,127164
2015-11-25,126704
2015-11-26,126704
2015-11-27,130742
2015-11-28,134217
2015-11-29,137943
2015-11-30,137619
2015-12-01,132740
2015-12-02,133452
2015-12-03,135103
2015-12-04,136639
2015-12-05,133601
2015-12-06,133338
2015-12-07,132458
2015-12-08,133282
2015-12-09,138638
2015-12-10,143099
2015-12-11,143959
2015-12-12,147914
2015-12-13,151896
2015-12-14,152786
2015-12-15,153135
2015-12-16,151575
2015-12-17,150301
2015-12-18,151421
2015-12-19,153048
2015-12-20,150524
2015-12-21,154144
2015-12-22,156048
2015-12-23,158714
2015-12-24,161215
2015-12-25,162880
2015-12-26,165717
2015-12-27,167208
2015-12-28,167567
2015-12-29,167497
2015-12-30,164801
2015-12-31,161604
2016-01-01,159835
2016-01-02,155788
2016-01-03,154455
2016-01-04,150771
2016-01-05,152069
2016-01-06,154261
2016-01-07,155231
2016-01-08,157531
2016-01-09,159499
2016-01-10,157476
2016-01-11,153394
2016-01-12,153027
2016-01-13,148888
2016-01-14,147365
2016-01-15,149182
2016-01-16,146771
2016-01-17,143915
2016-01-18,142792
2016-01-19,139415
2016-01-20,135255
2016-01-21,130802
2016-01-22,129197
2016-01-23,126404
2016-01-24,124642
2016-01-25,121508
2016-01-26,119235
2016-01-27,116964
2016-01-28,116964
2016-01-29,116329
2016-01-30,114249
2016-01-31,116517
2016-02-01,116989
2016-02-02,119013
2016-02-03,120590
2016-02-04,121595
2016-02-05,122243
2016-02-06,120576
2016-02-07,118867
2016-02-08,118047
2016-02-09,115725
2016-02-10,114862
2016-02-11,114632
2016-02-12,112334
2016-02-13,109590
2016-02-14,108590
2016-02-15,106460
2016-02-16,107069
2016-02-17,106851
2016-02-18,106039
2016-02-19,104568
2016-02-20,103431
2016-02-21,101258
2016-02-22,100763
2016-02-23,101218
2016-02-24,98895
2016-02-25,95368
2016-02-26,95368
2016-02-27,93709
2016-02-28,92184
2016-02-29,90373
2016-03-01,89443
2016-03-02,86875
2016-03-03,82950
2016-03-04,80794
2016-03-05,79112
2016-03-06,78638
2016-03-07,76440
2016-03-08,74291
