date_obj,Iron%20plateskirt%20(t) price
2015-03-26,96219
2015-03-27,91583
2015-03-28,87101
2015-03-29,82879
2015-03-30,78906
2015-03-31,75286
2015-04-01,71721
2015-04-02,68321
2015-04-03,65142
2015-04-04,62244
2015-04-05,59369
2015-04-06,56533
2015-04-07,53948
2015-04-08,51488
2015-04-09,49298
2015-04-10,47010
2015-04-11,44817
2015-04-12,44817
2015-04-13,42742
2015-04-14,40878
2015-04-15,38974
2015-04-16,37067
2015-04-17,35405
2015-04-18,33815
2015-04-19,32197
2015-04-20,30766
2015-04-21,29336
2015-04-22,29336
2015-04-23,27965
2015-04-24,26641
2015-04-25,26641
2015-04-26,25406
2015-04-27,24211
2015-04-28,23048
2015-04-29,23048
2015-04-30,21977
2015-05-01,20947
2015-05-02,19985
2015-05-03,19985
2015-05-04,19035
2015-05-05,18174
2015-05-06,17383
2015-05-07,16565
2015-05-08,15805
2015-05-09,15805
2015-05-10,15081
2015-05-11,15081
2015-05-12,14454
2015-05-13,14454
2015-05-14,13813
2015-05-15,13813
2015-05-16,13271
2015-05-17,13271
2015-05-18,12676
2015-05-19,12676
2015-05-20,12676
2015-05-21,12116
2015-05-22,12116
2015-05-23,11575
2015-05-24,11575
2015-05-25,11061
2015-05-26,11061
2015-05-27,10566
2015-05-28,10566
2015-05-29,10080
2015-05-30,10080
2015-05-31,9643
2015-06-01,9643
2015-06-02,9643
2015-06-03,9247
2015-06-04,9247
2015-06-05,9247
2015-06-06,8833
2015-06-07,8833
2015-06-08,8833
2015-06-09,8489
2015-06-10,8489
2015-06-11,8489
2015-06-12,8489
2015-06-13,8151
2015-06-14,8151
2015-06-15,8151
2015-06-16,7896
2015-06-17,7896
2015-06-18,7896
2015-06-19,7586
2015-06-20,7586
2015-06-21,7586
2015-06-22,7280
2015-06-23,7280
2015-06-24,7280
2015-06-25,7280
2015-06-26,6958
2015-06-27,6958
2015-06-28,6958
2015-06-29,6632
2015-06-30,6632
2015-07-01,6632
2015-07-02,6632
2015-07-03,6300
2015-07-04,6300
2015-07-05,6300
2015-07-06,6102
2015-07-07,6102
2015-07-08,6006
2015-07-09,6006
2015-07-10,6006
2015-07-11,6006
2015-07-12,5777
2015-07-13,5777
2015-07-14,5777
2015-07-15,5647
2015-07-16,5647
2015-07-17,5647
2015-07-18,5421
2015-07-19,5421
2015-07-20,5224
2015-07-21,5224
2015-07-22,5224
2015-07-23,5224
2015-07-24,5227
2015-07-25,5227
2015-07-26,5227
2015-07-27,5227
2015-07-28,5094
2015-07-29,5094
2015-07-30,5094
2015-07-31,4890
2015-08-01,4890
2015-08-02,4890
2015-08-03,4763
2015-08-04,4763
2015-08-05,4763
2015-08-06,4751
2015-08-07,4751
2015-08-08,4751
2015-08-09,4774
2015-08-10,4774
2015-08-11,4896
2015-08-12,4896
2015-08-13,4896
2015-08-14,5072
2015-08-15,5072
2015-08-16,5072
2015-08-17,5163
2015-08-18,5163
2015-08-19,5163
2015-08-20,5041
2015-08-21,5041
2015-08-22,5041
2015-08-23,4889
2015-08-24,4889
2015-08-25,4889
2015-08-26,4889
2015-08-27,4906
2015-08-28,4906
2015-08-29,4906
2015-08-30,4961
2015-08-31,4961
2015-09-01,4961
2015-09-02,4961
2015-09-03,4904
2015-09-04,4904
2015-09-05,4904
2015-09-06,4869
2015-09-07,4869
2015-09-08,4869
2015-09-09,4844
2015-09-10,4844
2015-09-11,4844
2015-09-12,4844
2015-09-13,4806
2015-09-14,4806
2015-09-15,4806
2015-09-16,4855
2015-09-17,4855
2015-09-18,4855
2015-09-19,4920
2015-09-20,4920
2015-09-21,4920
2015-09-22,4918
2015-09-23,4918
2015-09-24,4918
2015-09-25,5124
2015-09-27,5124
2015-09-28,5164
2015-09-29,5164
2015-09-30,5164
2015-10-05,5454
2015-10-06,5454
2015-10-07,5454
2015-10-08,5707
2015-10-09,5707
2015-10-10,5707
2015-10-11,5884
2015-10-12,5884
2015-10-13,5884
2015-10-14,5884
2015-10-15,6015
2015-10-16,6015
2015-10-17,6015
2015-10-18,6015
2015-10-19,6200
2015-10-20,6200
2015-10-22,6200
2015-10-23,6438
2015-10-24,6438
2015-10-25,6438
2015-10-26,6438
2015-10-27,6749
2015-10-29,6749
2015-10-30,6749
2015-10-31,7069
2015-11-01,7069
2015-11-02,7069
2015-11-03,7069
2015-11-04,7069
2015-11-05,7340
2015-11-06,7340
2015-11-07,7340
2015-11-08,7340
2015-11-09,7340
2015-11-10,7667
2015-11-11,7667
2015-11-12,7667
2015-11-13,7667
2015-11-14,7667
2015-11-15,7904
2015-11-16,7904
2015-11-17,7904
2015-11-18,7904
2015-11-19,7944
2015-11-20,7944
2015-11-21,7944
2015-11-22,7944
2015-11-23,7961
2015-11-24,7961
2015-11-25,7961
2015-11-26,7716
2015-11-27,7716
2015-11-28,7716
2015-11-29,7716
2015-11-30,7505
2015-12-01,7505
2015-12-02,7505
2015-12-03,7183
2015-12-04,7183
2015-12-05,7183
2015-12-06,7183
2015-12-07,6916
2015-12-08,6916
2015-12-09,6916
2015-12-10,6630
2015-12-11,6630
2015-12-12,6630
2015-12-13,6630
2015-12-14,6430
2015-12-15,6430
2015-12-16,6293
2015-12-17,6293
2015-12-18,6293
2015-12-19,6078
2015-12-20,6078
2015-12-21,6078
2015-12-22,5799
2015-12-23,5799
2015-12-24,5799
2015-12-25,5621
2015-12-26,5621
2015-12-27,5621
2015-12-28,5472
2015-12-29,5472
2015-12-30,5299
2015-12-31,5299
2016-01-01,5299
2016-01-02,5299
2016-01-03,5034
2016-01-04,5034
2016-01-05,4978
2016-01-06,4978
2016-01-07,4978
2016-01-08,4876
2016-01-09,4876
2016-01-10,4876
2016-01-11,4662
2016-01-12,4662
2016-01-13,4533
2016-01-14,4533
2016-01-15,4494
2016-01-16,4494
2016-01-17,4494
2016-01-18,4352
2016-01-19,4352
2016-01-20,4352
2016-01-21,4159
2016-01-22,4159
2016-01-23,4159
2016-01-24,3985
2016-01-25,3985
2016-01-26,3985
2016-01-27,3822
2016-01-28,3822
2016-01-29,3822
2016-01-30,3669
2016-01-31,3669
2016-02-01,3792
2016-02-02,3792
2016-02-03,3792
2016-02-04,3921
2016-02-05,3921
2016-02-06,3921
2016-02-07,3921
2016-02-08,4013
2016-02-09,4013
2016-02-10,3846
2016-02-11,3846
2016-02-12,3846
2016-02-13,3842
2016-02-14,3842
2016-02-15,3842
2016-02-16,3657
2016-02-17,3657
2016-02-18,3657
2016-02-19,3659
2016-02-20,3659
2016-02-21,3659
2016-02-22,3724
2016-02-23,3724
2016-02-24,3724
2016-02-25,3763
2016-02-26,3763
2016-02-27,3763
2016-02-28,3918
2016-02-29,3918
2016-03-01,4069
2016-03-02,4069
2016-03-03,4069
2016-03-04,4218
2016-03-05,4218
2016-03-06,4218
2016-03-07,4218
2016-03-08,4331
2016-03-09,4331
2016-03-10,4331
2016-03-11,4293
2016-03-12,4293
2016-03-13,4293
2016-03-14,4386
2016-03-15,4386
2016-03-16,4386
2016-03-17,4413
2016-03-18,4413
2016-03-19,4413
2016-03-20,4277
2016-03-21,4277
2016-03-22,4277
2016-03-23,4096
2016-03-24,4096
2016-03-25,3911
2016-03-26,3911
2016-03-27,3911
2016-03-28,3920
2016-03-29,3920
2016-03-30,3920
2016-03-31,3920
2016-04-01,4116
2016-04-02,4116
2016-04-03,4116
2016-04-04,4302
2016-04-05,4302
2016-04-06,4302
2016-04-07,4302
2016-04-08,4400
2016-04-09,4400
2016-04-10,4211
2016-04-11,4211
2016-04-12,4211
2016-04-13,4211
2016-04-14,4218
2016-04-15,4218
2016-04-16,4218
2016-04-17,4044
2016-04-18,4044
2016-04-19,4044
2016-04-20,3881
2016-04-21,3881
2016-04-22,3881
2016-04-23,3881
2016-04-24,3789
2016-04-25,3789
2016-04-26,3789
2016-04-27,3771
2016-04-28,3771
2016-04-29,3771
2016-04-30,3593
2016-05-01,3593
2016-05-02,3593
2016-05-03,3421
2016-05-04,3421
2016-05-05,3303
2016-05-06,3303
2016-05-07,3303
2016-05-08,3292
