date_obj,Dragon%20chainbody%20ornament%20kit price
2016-02-06,165584
2016-02-07,164686
2016-02-08,162764
2016-02-09,161111
2016-02-10,159914
2016-02-11,157429
2016-02-12,157429
2016-02-13,155343
2016-02-14,155343
2016-02-15,153592
2016-02-16,151609
2016-02-17,150262
2016-02-18,150262
2016-02-19,152123
2016-02-20,155341
2016-02-21,157128
2016-02-22,157128
2016-02-23,159552
2016-02-24,163369
2016-02-25,161393
2016-02-26,161393
2016-02-27,155686
2016-02-28,148309
2016-02-29,143365
2016-03-01,140195
2016-03-02,136677
2016-03-03,134503
2016-03-04,133936
2016-03-05,131899
2016-03-06,133479
2016-03-07,133479
2016-03-08,137328
2016-03-09,141566
2016-03-10,144222
2016-03-11,144222
2016-03-12,144120
2016-03-13,142796
2016-03-14,142322
2016-03-15,140256
2016-03-16,141055
2016-03-17,141116
2016-03-18,142682
2016-03-19,148402
2016-03-20,153038
2016-03-21,158817
2016-03-22,165952
2016-03-23,170303
2016-03-24,174830
2016-03-25,181136
2016-03-26,185380
2016-03-27,181625
2016-03-28,174924
2016-03-29,168075
2016-03-30,168075
2016-03-31,166144
2016-04-01,158648
2016-04-02,152931
2016-04-03,152708
2016-04-04,153859
2016-04-05,153859
2016-04-06,156895
2016-04-07,158124
2016-04-08,155748
2016-04-09,156791
2016-04-10,160079
2016-04-11,160079
2016-04-12,168083
2016-04-13,175791
2016-04-14,183621
2016-04-15,192700
2016-04-16,198850
2016-04-17,207647
2016-04-18,208705
2016-04-19,212105
2016-04-20,206311
2016-04-21,202422
2016-04-22,202422
2016-04-23,194710
2016-04-24,192381
2016-04-25,187080
2016-04-26,182664
2016-04-27,180643
2016-04-28,181945
2016-04-29,181945
2016-04-30,178990
2016-05-01,174532
2016-05-02,169741
2016-05-03,165469
2016-05-04,160622
2016-05-05,159269
2016-05-06,159269
2016-05-07,161698
2016-05-08,161698
2016-05-09,167852
2016-05-10,166352
2016-05-11,166352
2016-05-12,168412
2016-05-13,169602
2016-05-14,167233
2016-05-15,167593
2016-05-16,168205
2016-05-17,166467
2016-05-18,166286
2016-05-19,167472
2016-05-22,165209
2016-05-23,163025
2016-05-24,158457
2016-05-25,153682
2016-05-26,153163
2016-05-27,153898
2016-05-28,153898
2016-05-29,155183
2016-05-30,155183
2016-05-31,153410
2016-06-01,151122
2016-06-02,147461
2016-06-03,147461
2016-06-04,145281
2016-06-05,143967
2016-06-06,144625
2016-06-07,144625
2016-06-08,145868
2016-06-09,151469
2016-06-10,155906
2016-06-11,162956
2016-06-12,170456
2016-06-13,178729
2016-06-14,187650
2016-06-15,190843
2016-06-16,196852
2016-06-17,200353
2016-06-18,200353
2016-06-19,202525
2016-06-20,203784
2016-06-21,207787
2016-06-22,211091
2016-06-23,210255
