date_obj,Black%20flowers price
2015-03-04,66000
2015-03-05,66000
2015-03-06,66000
2015-03-07,66000
2015-03-08,66000
2015-03-09,66000
2015-03-10,63168
2015-03-11,63168
2015-03-12,63168
2015-03-13,63168
2015-03-14,63168
2015-03-15,63168
2015-03-16,63168
2015-03-17,63168
2015-03-18,63168
2015-03-19,63168
2015-03-20,63168
2015-03-21,63168
2015-03-22,63168
2015-03-23,63168
2015-03-24,63168
2015-03-25,63168
2015-03-26,63168
2015-03-27,63168
2015-03-28,60454
2015-03-29,60454
2015-03-30,60454
2015-03-31,60454
2015-04-01,60454
2015-04-02,60454
2015-04-03,60454
2015-04-04,60454
2015-04-05,60454
2015-04-06,60454
2015-04-07,60454
2015-04-08,60454
2015-04-09,60454
2015-04-10,60454
2015-04-11,60454
2015-04-12,60454
2015-04-13,60454
2015-04-14,60454
2015-04-15,57532
2015-04-16,57532
2015-04-17,57532
2015-04-18,57532
2015-04-19,57532
2015-04-20,57532
2015-04-21,57532
2015-04-22,57532
2015-04-23,57532
2015-04-24,57532
2015-04-25,57532
2015-04-26,57532
2015-04-27,57532
2015-04-28,57532
2015-04-29,57532
2015-04-30,57532
2015-05-01,57532
2015-05-02,57532
2015-05-03,57532
2015-05-04,54834
2015-05-05,54834
2015-05-06,54834
2015-05-07,54834
2015-05-08,54834
2015-05-09,54834
2015-05-10,54834
2015-05-11,54834
2015-05-12,54834
2015-05-13,54834
2015-05-14,54834
2015-05-15,54834
2015-05-16,54834
2015-05-17,54834
2015-05-18,54834
2015-05-19,54834
2015-05-20,54834
2015-05-21,54834
2015-05-22,54834
2015-05-23,54834
2015-05-24,54834
2015-05-25,52173
2015-05-26,52173
2015-05-27,52173
2015-05-28,52173
2015-05-29,52173
2015-05-30,52173
2015-05-31,52173
2015-06-01,52173
2015-06-02,52173
2015-06-03,52173
2015-06-04,52173
2015-06-05,52173
2015-06-06,52173
2015-06-07,52173
2015-06-08,52173
2015-06-09,52173
2015-06-10,52173
2015-06-11,52173
2015-06-12,52173
2015-06-13,52173
2015-06-14,49642
2015-06-15,49642
2015-06-16,49642
2015-06-17,49642
2015-06-18,49642
2015-06-19,49642
2015-06-20,49642
2015-06-21,49642
2015-06-22,49642
2015-06-23,49642
2015-06-24,49642
2015-06-25,49642
2015-06-26,49642
2015-06-27,49642
2015-06-28,49642
2015-06-29,49642
2015-06-30,49642
2015-07-01,49642
2015-07-02,49642
2015-07-03,49642
2015-07-04,47237
2015-07-05,47237
2015-07-06,47237
2015-07-07,47237
2015-07-08,47237
2015-07-09,47237
2015-07-10,47237
2015-07-11,47237
2015-07-12,47237
2015-07-13,47237
2015-07-14,47237
2015-07-15,47237
2015-07-16,47237
2015-07-17,47237
2015-07-18,47237
2015-07-19,47237
2015-07-20,47237
2015-07-21,47237
2015-07-22,47237
2015-07-23,47237
2015-07-24,44958
2015-07-25,44958
2015-07-26,44958
2015-07-27,44958
2015-07-28,44958
2015-07-29,44958
2015-07-30,44958
2015-07-31,44958
2015-08-01,44958
2015-08-02,44958
2015-08-03,44958
2015-08-04,44958
2015-08-05,44958
2015-08-06,44958
2015-08-07,44958
2015-08-08,44958
2015-08-09,44958
2015-08-10,44958
2015-08-11,42796
2015-08-12,42796
2015-08-13,42796
2015-08-14,42796
2015-08-15,42796
2015-08-16,42796
2015-08-17,42796
2015-08-18,42796
2015-08-19,42796
2015-08-20,42796
2015-08-21,42796
2015-08-22,42796
2015-08-23,42796
2015-08-24,42796
2015-08-25,42796
2015-08-26,42796
2015-08-27,42796
2015-08-28,42796
2015-08-29,42796
2015-08-30,42796
2015-08-31,42796
2015-09-02,42796
2015-09-07,42796
2015-09-08,40714
2015-09-10,40714
2015-09-14,40714
2015-09-16,40714
2015-09-22,40714
2015-09-23,40714
2015-09-24,40714
2015-09-25,40714
2015-09-27,40714
2015-09-28,40714
2015-09-29,40714
2015-09-30,40714
2015-10-05,40714
2015-10-06,40714
2015-10-07,40714
2015-10-08,38739
2015-10-09,38739
2015-10-10,38739
2015-10-11,38739
2015-10-12,38739
2015-10-13,38739
2015-10-14,38739
2015-10-15,38739
2015-10-16,38739
2015-10-17,38739
2015-10-18,38739
2015-10-19,38739
2015-10-20,38739
2015-10-22,38739
2015-10-23,38739
2015-10-24,38739
2015-10-25,38739
2015-10-26,38739
2015-10-27,38739
2015-10-29,38739
2015-10-30,38739
2015-10-31,38739
2015-11-01,38739
2015-11-02,38739
2015-11-03,38739
2015-11-04,38739
2015-11-05,38739
2015-11-06,37554
2015-11-07,37554
2015-11-08,37554
2015-11-09,37554
2015-11-10,37554
2015-11-11,37554
2015-11-12,37554
2015-11-13,37554
2015-11-14,37554
2015-11-15,37554
2015-11-16,37554
2015-11-17,37554
2015-11-18,37554
2015-11-19,37554
2015-11-20,37554
2015-11-21,37554
2015-11-22,37554
2015-11-23,37554
2015-11-24,37554
2015-11-25,37554
2015-11-26,37554
2015-11-27,37554
2015-11-28,37554
2015-11-29,37554
2015-11-30,37554
2015-12-01,37554
2015-12-02,37554
2015-12-03,37554
2015-12-04,37554
2015-12-05,37554
2015-12-06,37554
2015-12-07,37554
2015-12-08,37554
2015-12-09,37554
2015-12-10,37523
2015-12-11,37523
2015-12-12,37523
2015-12-13,37523
2015-12-14,37523
2015-12-15,37523
2015-12-16,37523
2015-12-17,37523
2015-12-18,37523
2015-12-19,37523
2015-12-20,37523
2015-12-21,37523
2015-12-22,37523
2015-12-23,37523
2015-12-24,37523
2015-12-25,37523
2015-12-26,37523
2015-12-27,37523
2015-12-28,37523
2015-12-29,37523
2015-12-30,37523
2015-12-31,37523
2016-01-01,37523
2016-01-02,37523
2016-01-03,37523
2016-01-04,37523
2016-01-05,37523
2016-01-06,37523
2016-01-07,37523
2016-01-08,37523
2016-01-09,37523
2016-01-10,38458
2016-01-11,38458
2016-01-12,38458
2016-01-13,38458
2016-01-14,38458
2016-01-15,38458
2016-01-16,38458
2016-01-17,38458
2016-01-18,38458
2016-01-19,38458
2016-01-20,38458
2016-01-21,38458
2016-01-22,38458
2016-01-23,38458
2016-01-24,38458
2016-01-25,38458
2016-01-26,38458
2016-01-27,38458
2016-01-28,38458
2016-01-29,38458
2016-01-30,38458
2016-01-31,38458
2016-02-01,38458
2016-02-02,38458
2016-02-03,38458
2016-02-04,38458
2016-02-05,38458
2016-02-06,38458
2016-02-07,38458
2016-02-08,37757
2016-02-09,37757
