date_obj,Zamorak%20coif price
2015-03-26,24413
2015-03-27,24253
2015-03-28,24051
2015-03-29,23871
2015-03-30,24052
2015-03-31,23871
2015-04-01,23769
2015-04-02,23599
2015-04-03,23708
2015-04-04,24364
2015-04-05,24391
2015-04-06,24207
2015-04-07,24431
2015-04-08,24374
2015-04-09,24640
2015-04-10,25142
2015-04-11,25949
2015-04-12,26351
2015-04-13,27209
2015-04-14,28435
2015-04-15,28098
2015-04-16,28006
2015-04-17,27932
2015-04-18,27822
2015-04-19,27239
2015-04-20,27097
2015-04-21,26890
2015-04-22,26730
2015-04-23,26845
2015-04-24,27288
2015-04-25,27587
2015-04-26,27787
2015-04-27,28454
2015-04-28,28394
2015-04-29,28601
2015-04-30,28213
2015-05-01,28284
2015-05-02,28115
2015-05-03,27591
2015-05-04,27755
2015-05-05,28057
2015-05-06,28127
2015-05-07,28186
2015-05-08,28183
2015-05-09,28115
2015-05-10,27874
2015-05-11,27343
2015-05-12,27200
2015-05-13,26745
2015-05-14,26477
2015-05-15,26297
2015-05-16,26270
2015-05-17,26150
2015-05-18,26082
2015-05-19,25654
2015-05-20,25931
2015-05-21,26083
2015-05-22,26328
2015-05-23,26618
2015-05-24,27075
2015-05-25,27046
2015-05-26,26955
2015-05-27,26887
2015-05-28,27305
2015-05-29,27536
2015-05-30,27751
2015-05-31,27688
2015-06-01,27581
2015-06-02,27366
2015-06-03,27539
2015-06-04,27034
2015-06-05,26974
2015-06-06,26249
2015-06-07,25878
2015-06-08,25668
2015-06-09,25294
2015-06-10,25211
2015-06-11,24944
2015-06-12,25011
2015-06-13,25317
2015-06-14,25605
2015-06-15,25707
2015-06-16,26258
2015-06-17,26692
2015-06-18,27350
2015-06-19,27845
2015-06-20,28132
2015-06-21,28258
2015-06-22,28161
2015-06-23,28318
2015-06-24,29084
2015-06-25,29855
2015-06-26,30418
2015-06-27,31057
2015-06-28,31059
2015-06-29,31217
2015-06-30,31666
2015-07-01,31987
2015-07-02,31504
2015-07-03,31534
2015-07-04,31391
2015-07-05,31537
2015-07-06,31655
2015-07-07,31969
2015-07-08,32098
2015-07-09,32120
2015-07-10,31598
2015-07-11,30792
2015-07-12,30400
2015-07-13,30200
2015-07-14,30180
2015-07-15,29770
2015-07-16,29463
2015-07-17,29114
2015-07-18,28884
2015-07-19,28684
2015-07-20,28465
2015-07-21,28450
2015-07-22,28028
2015-07-23,27529
2015-07-24,27644
2015-07-25,27802
2015-07-26,27893
2015-07-27,27880
2015-07-28,28352
2015-07-29,28294
2015-07-30,28168
2015-07-31,28187
2015-08-01,27533
2015-08-02,27546
2015-08-03,27289
2015-08-04,27247
2015-08-05,27611
2015-08-06,28177
2015-08-07,28843
2015-08-08,29657
2015-08-09,30586
2015-08-10,30965
2015-08-11,31229
2015-08-12,31539
2015-08-13,31746
2015-08-14,32268
2015-08-15,32707
2015-08-16,32832
2015-08-17,32715
2015-08-18,32565
2015-08-19,32996
2015-08-20,32858
2015-08-21,33736
2015-08-22,33619
2015-08-23,33975
2015-08-24,34133
2015-08-25,34388
2015-08-26,33464
2015-08-27,33445
2015-08-28,33376
2015-08-29,33191
2015-08-30,33183
2015-08-31,32593
2015-09-01,32317
2015-09-02,31855
2015-09-03,31739
2015-09-04,32261
2015-09-05,32016
2015-09-06,31672
2015-09-07,31908
2015-09-08,31993
2015-09-09,31417
2015-09-10,31575
2015-09-11,31640
2015-09-12,31497
2015-09-13,30769
2015-09-14,30573
2015-09-15,30215
2015-09-16,30191
2015-09-17,29724
2015-09-18,29509
2015-09-19,29670
2015-09-20,29342
2015-09-21,29222
2015-09-22,28138
2015-09-23,27863
2015-09-24,28322
2015-09-25,27971
2015-09-27,27265
2015-09-28,26837
2015-09-29,26188
2015-09-30,25788
2015-10-05,24580
2015-10-06,24103
2015-10-07,23576
2015-10-08,23337
2015-10-09,23376
2015-10-10,23421
2015-10-11,23207
2015-10-12,22785
2015-10-13,22665
2015-10-14,22571
2015-10-15,22492
2015-10-16,22320
2015-10-17,22516
2015-10-18,22315
2015-10-19,22326
2015-10-20,22204
2015-10-22,22554
2015-10-23,22752
2015-10-24,23036
2015-10-25,23388
2015-10-26,24240
2015-10-27,25119
2015-10-29,25921
2015-10-30,26377
2015-10-31,27136
2015-11-01,27389
2015-11-02,28305
2015-11-03,29284
2015-11-05,29769
2015-11-06,29240
2015-11-07,29061
2015-11-08,28885
2015-11-09,28745
2015-11-10,28607
2015-11-11,28775
2015-11-12,28606
2015-11-13,28946
2015-11-14,29380
2015-11-15,29018
2015-11-16,29197
2015-11-17,28858
2015-11-18,28566
2015-11-19,28187
2015-11-20,28573
2015-11-21,28573
2015-11-22,29263
2015-11-23,29263
2015-11-24,29889
2015-11-25,30526
2015-11-26,31351
2015-11-27,32182
2015-11-28,32577
2015-11-29,32489
2015-11-30,32432
2015-12-01,31909
2015-12-02,31023
2015-12-03,30962
2015-12-04,31106
2015-12-05,31021
2015-12-06,30935
2015-12-07,31190
2015-12-08,31130
2015-12-09,31664
2015-12-10,31961
2015-12-11,31929
2015-12-13,31192
2015-12-14,31935
2015-12-15,32006
2015-12-16,31880
2015-12-17,31316
2015-12-18,31251
2015-12-19,31756
2015-12-20,31855
2015-12-21,31979
2015-12-22,32507
2015-12-23,32717
2015-12-24,32379
2015-12-25,32144
2015-12-26,32203
2015-12-27,32478
2015-12-28,32283
2015-12-29,32222
2015-12-30,31960
2015-12-31,31738
2016-01-01,31598
2016-01-02,30960
2016-01-03,30942
2016-01-04,30375
2016-01-05,30366
2016-01-06,29947
2016-01-07,29458
2016-01-08,29124
2016-01-09,28834
2016-01-10,28470
2016-01-11,28178
2016-01-12,27896
2016-01-13,27138
2016-01-14,26489
2016-01-15,26400
2016-01-16,26608
2016-01-17,26954
2016-01-18,27260
2016-01-19,27280
2016-01-20,27384
2016-01-21,27335
2016-01-22,27271
2016-01-23,26519
2016-01-24,25697
2016-01-25,25454
2016-01-26,25503
2016-01-27,25495
2016-01-28,24876
2016-01-29,24511
2016-01-30,24411
2016-01-31,24186
2016-02-01,23832
2016-02-02,23715
2016-02-03,23521
2016-02-04,23193
2016-02-05,23030
2016-02-06,22991
2016-02-07,23315
2016-02-08,23608
2016-02-09,24060
2016-02-10,24730
2016-02-11,25688
2016-02-12,25381
2016-02-13,25629
2016-02-14,24900
2016-02-15,24212
2016-02-16,23842
2016-02-17,23854
2016-02-18,23525
2016-02-19,23323
2016-02-20,23301
2016-02-21,23392
2016-02-22,23928
2016-02-23,25035
2016-02-24,26049
2016-02-25,26913
2016-02-26,27046
2016-02-27,27306
2016-02-28,27764
2016-02-29,28256
2016-03-01,28719
2016-03-02,28349
2016-03-03,27469
2016-03-04,26965
2016-03-05,26436
2016-03-06,26942
2016-03-07,27839
2016-03-08,28346
2016-03-09,28995
2016-03-10,28512
2016-03-11,27838
2016-03-12,27788
2016-03-13,27904
2016-03-14,26933
2016-03-15,26966
2016-03-16,26877
2016-03-17,26740
2016-03-18,26762
2016-03-19,26888
2016-03-20,27027
2016-03-21,27201
2016-03-22,27444
2016-03-23,27660
2016-03-24,28006
2016-03-25,28584
2016-03-26,28669
2016-03-27,28582
2016-03-28,28080
2016-03-29,28003
2016-03-30,27594
2016-03-31,27441
2016-04-01,27352
2016-04-02,27647
2016-04-03,28859
2016-04-04,29984
2016-04-05,29976
2016-04-06,29248
2016-04-07,29006
2016-04-08,29321
2016-04-09,29348
2016-04-10,30052
2016-04-11,30934
2016-04-12,31814
2016-04-13,32561
2016-04-14,31789
2016-04-15,31464
2016-04-16,30592
2016-04-17,30179
2016-04-18,30313
2016-04-19,30093
2016-04-20,30198
2016-04-21,30030
2016-04-22,30161
2016-04-23,29200
2016-04-24,29069
2016-04-25,28921
2016-04-26,28071
2016-04-27,27045
2016-04-28,26384
2016-04-29,25878
2016-04-30,25458
2016-05-01,24975
2016-05-02,24639
2016-05-03,24150
2016-05-04,23958
2016-05-05,23729
2016-05-06,23492
2016-05-07,23191
2016-05-08,22410
2016-05-09,22057
2016-05-10,21383
2016-05-11,20837
2016-05-12,20018
2016-05-13,19689
2016-05-14,19216
2016-05-15,19128
2016-05-16,18595
2016-05-17,18246
2016-05-18,18124
2016-05-19,18165
2016-05-22,18038
2016-05-23,18004
2016-05-24,17903
2016-05-25,17609
2016-05-26,17580
2016-05-27,17749
2016-05-28,18049
2016-05-29,17982
2016-05-30,18226
2016-05-31,18693
2016-06-01,19075
2016-06-02,19119
2016-06-03,19023
2016-06-04,19151
2016-06-05,19153
2016-06-06,19448
2016-06-07,19747
2016-06-08,20035
2016-06-09,20172
2016-06-10,20187
2016-06-11,20230
2016-06-12,20183
2016-06-13,20204
2016-06-14,20241
2016-06-15,20331
2016-06-16,20185
2016-06-17,19923
2016-06-18,19667
2016-06-19,18940
2016-06-20,19033
2016-06-21,18542
2016-06-22,18343
2016-06-23,18636
2016-06-24,19020
2016-06-25,19416
2016-06-26,19579
2016-06-27,19389
2016-06-28,19623
2016-06-29,19508
2016-06-30,19746
2016-07-01,20016
2016-07-02,19812
2016-07-03,19479
2016-07-04,19289
2016-07-05,19394
2016-07-06,19397
2016-07-07,19258
2016-07-08,19188
2016-07-09,19271
2016-07-10,19297
2016-07-11,19520
2016-07-12,19397
2016-07-13,19436
2016-07-14,19373
2016-07-15,19460
2016-07-16,19864
2016-07-17,19833
2016-07-18,19907
2016-07-24,19660
2016-07-25,19740
2016-07-26,19471
2016-07-27,19330
2016-07-28,19401
2016-07-29,19593
2016-07-30,19347
2016-07-31,18859
2016-08-01,18477
2016-08-02,18219
2016-08-03,18071
2016-08-04,17959
2016-08-05,17866
2016-08-06,17436
2016-08-07,16979
2016-08-08,16843
2016-08-09,16569
2016-08-10,16315
2016-08-11,15991
2016-08-12,15810
2016-08-13,15938
2016-08-14,16070
2016-08-15,16233
2016-08-16,16673
2016-08-17,17128
2016-08-18,17538
2016-08-19,17890
2016-08-20,18539
2016-08-21,18657
2016-08-22,18807
2016-08-23,19072
2016-08-24,19431
2016-08-25,18885
2016-08-26,19052
2016-08-28,19206
2016-08-31,18097
2016-09-01,17655
2016-09-02,17655
2016-09-03,17368
2016-09-04,17676
2016-09-05,17421
2016-09-06,17534
2016-09-07,17777
2016-09-08,18082
2016-09-09,18721
2016-09-10,19564
2016-09-11,19996
2016-09-12,20785
2016-09-13,21822
2016-09-14,22725
2016-09-15,23406
2016-09-16,24534
2016-09-17,25419
2016-09-18,26147
2016-09-19,25844
2016-09-20,24641
2016-09-21,23450
2016-09-22,22338
2016-09-23,21255
2016-09-24,21255
2016-09-25,20192
2016-09-26,19375
2016-09-27,18959
2016-09-28,18666
2016-09-29,17919
2016-09-30,18258
2016-10-01,18054
2016-10-02,18009
2016-10-03,17974
2016-10-04,17836
2016-10-05,17632
2016-10-06,17185
2016-10-07,17005
2016-10-08,17198
2016-10-09,17864
2016-10-10,18064
2016-10-11,17647
2016-10-12,17863
2016-10-13,17342
2016-10-14,17247
2016-10-15,16905
2016-10-16,16953
2016-10-17,17234
2016-10-18,17495
2016-10-19,18008
2016-10-20,18329
2016-10-21,18306
2016-10-22,17671
2016-10-23,17274
2016-10-24,16952
2016-10-25,16785
2016-10-26,16767
2016-10-27,17035
2016-10-28,16931
2016-10-29,16975
2016-10-30,16511
2016-10-31,15965
2016-11-01,16285
2016-11-02,16593
2016-11-03,16575
2016-11-04,16644
2016-11-05,16863
2016-11-06,16822
2016-11-07,16857
2016-11-08,17174
2016-11-09,17046
2016-11-10,16745
2016-11-11,16774
2016-11-12,16772
2016-11-13,16697
2016-11-14,16691
2016-12-08,16237
2016-12-09,16431
2016-12-10,16323
2016-12-11,16510
2016-12-12,16664
2016-12-13,16863
2016-12-14,17203
2016-12-15,17072
2016-12-16,17269
2016-12-17,17792
2016-12-18,18283
2016-12-19,18490
2016-12-20,18674
2016-12-21,18990
2016-12-22,19431
2016-12-23,19647
2016-12-24,19749
2016-12-25,19868
2016-12-26,20019
2016-12-27,20402
2016-12-28,20491
2016-12-29,20261
2016-12-30,19778
2016-12-31,19611
2017-01-01,19449
2017-01-02,19390
2017-01-03,19413
2017-01-04,19076
2017-01-05,19102
2017-01-06,19311
2017-01-07,19262
2017-01-08,19230
2017-01-09,19361
2017-01-10,18930
2017-01-11,18654
2017-01-12,18714
2017-01-13,19024
2017-01-14,19062
2017-01-15,18952
2017-01-16,18710
2017-01-17,18753
2017-01-18,18478
2017-01-19,18206
2017-01-20,18220
2017-01-21,18743
2017-01-22,18794
2017-01-27,18193
2017-01-28,18314
2017-01-29,17997
2017-01-30,17988
2017-01-31,17855
2017-02-01,17876
2017-02-02,17558
2017-02-03,17507
2017-02-04,17401
2017-02-05,17324
2017-02-06,17161
2017-02-07,17178
2017-02-08,17278
2017-02-09,17503
2017-02-10,17455
2017-02-11,17463
2017-02-12,17406
2017-02-13,17319
2017-02-14,17228
2017-02-15,17113
2017-02-16,16908
2017-02-18,16234
2017-02-19,16286
2017-02-20,16546
2017-02-21,16538
2017-02-22,16715
2017-02-23,16507
2017-02-24,16517
2017-02-25,16666
2017-02-26,16692
2017-02-27,16527
2017-02-28,16585
2017-03-01,16866
2017-03-02,16771
2017-03-03,16946
2017-03-04,17120
2017-03-05,17004
2017-03-06,16797
2017-03-07,16871
2017-03-08,16594
2017-03-09,16663
2017-03-10,16878
2017-03-11,16798
2017-03-12,17118
2017-03-13,17282
2017-03-14,17146
2017-03-15,17211
2017-03-16,17011
2017-03-17,17203
2017-03-18,17280
2017-03-19,17320
2017-03-20,17315
2017-03-21,17320
2017-03-22,17840
2017-03-23,17917
2017-03-24,17821
2017-03-25,17571
2017-03-26,17405
2017-03-27,17393
2017-03-28,17444
2017-03-29,17343
2017-03-30,17210
2017-03-31,17567
2017-04-01,17984
2017-04-02,18047
2017-04-03,18265
2017-04-04,18698
2017-04-12,21681
2017-04-13,21886
2017-04-14,21299
2017-04-15,20662
2017-04-16,20225
2017-04-17,19854
2017-04-18,19616
2017-04-19,19640
2017-04-20,19504
2017-04-21,20081
2017-04-22,20994
2017-04-23,22035
2017-04-24,23069
2017-04-25,23546
2017-04-26,24122
2017-04-27,24642
2017-04-28,24777
2017-04-29,25067
2017-04-30,25661
2017-05-01,26399
2017-05-02,26780
2017-05-03,26928
2017-05-04,26535
2017-05-05,26271
2017-05-06,26273
2017-05-07,26139
2017-05-08,25641
2017-05-09,24965
2017-05-10,24383
2017-05-11,23481
2017-05-12,23845
2017-05-13,23789
2017-05-14,23491
2017-05-15,23508
2017-05-16,23355
2017-05-17,23813
2017-05-18,23906
2017-05-19,24092
2017-05-20,24481
2017-05-21,24048
2017-05-22,24329
2017-05-23,24224
2017-05-24,24195
2017-05-25,24285
2017-05-26,24101
2017-05-27,24474
2017-05-28,25522
2017-05-29,26361
2017-05-30,27608
2017-05-31,28989
2017-06-01,30439
2017-06-02,31938
2017-06-03,33535
2017-06-06,38731
2017-06-07,40251
2017-06-08,41668
2017-06-09,42777
2017-06-10,44671
2017-06-11,44698
2017-06-12,44500
2017-06-13,43991
2017-06-14,42457
2017-06-15,41129
2017-06-16,40487
2017-06-17,40094
2017-06-18,39944
2017-06-19,39196
2017-06-20,38327
2017-06-21,36928
2017-06-22,35806
2017-06-23,34946
2017-06-24,34483
2017-06-25,34761
2017-06-26,34852
2017-06-27,35375
2017-06-28,36346
2017-06-29,36651
2017-06-30,36103
2017-07-01,35626
2017-07-02,35430
2017-07-03,35304
2017-07-04,35177
2017-07-05,35069
2017-07-06,35108
2017-07-07,35873
2017-07-08,36610
2017-07-13,40104
2017-07-14,40009
2017-07-15,39789
2017-07-16,39578
2017-07-17,40271
2017-07-18,41896
