date_obj,Rune%20scimitar%20ornament%20kit%20(guthix) price
2019-04-11,50000
2019-04-11,52500
2019-04-12,55125
2019-04-13,57882
2019-04-14,60777
2019-04-15,280000
2019-04-16,267820
2019-04-17,272676
2019-04-18,281768
2019-04-19,275536
2019-04-20,268816
2019-04-21,260386
2019-04-22,247847
2019-04-23,235454
2019-04-24,223681
2019-04-25,212496
2019-04-26,201871
2019-04-27,193259
2019-04-28,184595
2019-04-29,176974
2019-04-30,169610
2019-05-01,162757
2019-05-02,161310
2019-05-03,162859
2019-05-04,159009
2019-05-05,156572
2019-05-06,151848
2019-05-07,147896
2019-05-08,145173
2019-05-09,146977
2019-05-10,145943
2019-05-11,145659
2019-05-12,147637
2019-05-13,149898
2019-05-14,155325
2019-05-15,157975
2019-05-16,158257
2019-05-17,157024
2019-05-18,155242
2019-05-19,155199
2019-05-20,152100
2019-05-21,153011
2019-05-22,150312
2019-05-23,149590
2019-05-24,150264
2019-05-25,149676
2019-05-26,151539
2019-05-27,155970
2019-05-28,161903
2019-05-29,156434
2019-05-30,158903
2019-05-31,163569
2019-06-01,165488
2019-06-02,165617
2019-06-03,171302
2019-06-04,175604
2019-06-05,183504
2019-06-06,181921
2019-06-07,183145
2019-06-08,184815
2019-06-09,184817
2019-06-10,184817
2019-06-11,180931
2019-06-12,179299
2019-06-13,178170
2019-06-14,179839
2019-06-15,179733
2019-06-16,178940
2019-06-17,178454
2019-06-18,178295
2019-06-19,178040
2019-06-20,179682
2019-06-21,180568
2019-06-22,177732
2019-06-23,179539
2019-06-24,177822
2019-06-25,175874
2019-06-26,173087
2019-06-27,168754
2019-06-28,168754
2019-06-29,165373
2019-06-30,158688
2019-07-01,152866
2019-07-02,146415
2019-07-03,141687
2019-07-04,135609
2019-07-05,129683
2019-07-06,124301
2019-07-07,119688
2019-07-08,114538
2019-07-09,109661
2019-07-10,107283
2019-07-11,105284
2019-07-12,103451
2019-07-13,102959
2019-07-14,103852
2019-07-15,107413
2019-07-16,111185
2019-07-17,112389
2019-07-18,111100
2019-07-19,109598
2019-07-20,108743
2019-07-21,107325
2019-07-22,106369
2019-07-23,104985
2019-07-24,105596
2019-07-25,107554
2019-07-26,107967
2019-07-27,108432
2019-07-28,111494
2019-07-29,110445
2019-07-30,109350
2019-07-31,108226
2019-08-01,108967
2019-08-02,111268
2019-08-03,110611
2019-08-04,110936
2019-08-05,110914
2019-08-06,112985
2019-08-07,113644
2019-08-08,114875
2019-08-09,116668
2019-08-10,117938
2019-08-11,118056
2019-08-12,119937
2019-08-13,120470
2019-08-14,120824
2019-08-15,120447
2019-08-16,121598
2019-08-17,121598
2019-08-18,122028
2019-08-19,122734
2019-08-20,122282
2019-08-21,120501
2019-08-22,120542
2019-08-23,120568
2019-08-24,122157
2019-08-24,122157
2019-08-25,124438
2019-08-25,124438
2019-08-26,126982
2019-08-26,126982
2019-08-27,130442
2019-08-27,130442
2019-08-28,131602
2019-08-29,131549
2019-08-30,129844
2019-08-31,129844
2019-09-01,129187
2019-09-02,128835
2019-09-03,128362
2019-09-04,128909
2019-09-05,129303
2019-09-06,129303
2019-09-07,128912
2019-09-08,127466
2019-09-09,127934
2019-09-10,127761
2019-09-11,127567
2019-09-12,126452
2019-09-13,126391
2019-09-14,124819
2019-09-15,122684
2019-09-16,120945
2019-09-17,120925
2019-09-18,120211
2019-09-19,119713
2019-09-20,117247
2019-09-21,116686
2019-09-22,114489
2019-09-23,114718
2019-09-24,114718
2019-09-25,113918
2019-09-26,111594
2019-09-27,110571
2019-09-28,109403
2019-09-29,108262
2019-09-30,106760
2019-10-01,105558
2019-10-02,103476
2019-10-03,101953
2019-10-04,101686
2019-10-05,99964
2019-10-06,99341
2019-10-07,99344
2019-10-08,97122
2019-10-09,97122
2019-10-10,96063
2019-10-11,96889
2019-10-12,95264
2019-10-13,94850
2019-10-14,94560
2019-10-15,94410
2019-10-16,94011
2019-10-17,94047
2019-10-18,94522
2019-10-19,94540
2019-10-20,95611
2019-10-21,95529
2019-10-22,95762
2019-10-23,97567
2019-10-24,98973
2019-10-25,100724
2019-10-26,99331
2019-10-27,97767
2019-10-28,96756
2019-10-29,96457
2019-10-30,95152
2019-10-31,96793
2019-11-01,97236
2019-11-02,98926
2019-11-03,99228
2019-11-04,101190
2019-11-05,103126
2019-11-06,104632
2019-11-07,104747
2019-11-08,103643
2019-11-09,103648
2019-11-10,104676
2019-11-11,104625
2019-11-12,103944
2019-11-13,104377
2019-11-14,104187
2019-11-15,104716
2019-11-16,104377
2019-11-17,104377
2019-11-18,103720
2019-11-19,102632
2019-11-20,102381
2019-11-21,100777
2019-11-22,100319
2019-11-23,99782
2019-11-24,98189
2019-11-25,99351
2019-11-26,99573
2019-11-27,100084
2019-11-28,100268
2019-11-29,98695
2019-11-30,98037
2019-12-01,98330
2019-12-02,99181
2019-12-03,99399
2019-12-04,97758
2019-12-05,97758
2019-12-06,97776
2019-12-07,97360
2019-12-08,98118
2019-12-09,97432
2019-12-10,98368
2019-12-11,99051
2019-12-12,99277
2019-12-13,99237
2019-12-14,100822
2019-12-15,100791
2019-12-16,100986
2019-12-17,101084
2019-12-18,101181
2019-12-19,101345
2019-12-20,102157
2019-12-21,101825
2019-12-22,101684
2019-12-23,101189
2019-12-24,101780
2019-12-25,102998
2019-12-26,103331
2019-12-27,103266
2019-12-28,101907
2019-12-29,100114
2019-12-30,99813
2019-12-31,99852
2020-01-01,99215
2020-01-02,100530
2020-01-03,101723
2020-01-04,100004
2020-01-05,99431
2020-01-06,98688
2020-01-07,98695
2020-01-08,98695
2020-01-09,99329
2020-01-10,99483
2020-01-11,99311
2020-01-12,99455
2020-01-13,99455
2020-01-14,98257
2020-01-15,97886
2020-01-16,97213
2020-01-17,96079
2020-01-18,94918
2020-01-19,93365
2020-01-20,91933
2020-01-21,90312
2020-01-22,87551
2020-01-23,85512
2020-01-24,84251
2020-01-25,81912
2020-01-26,81106
2020-01-27,79703
2020-01-28,77338
2020-01-29,75078
2020-01-30,72988
2020-01-31,71393
2020-02-01,68769
2020-02-02,67998
2020-02-03,66851
2020-02-04,67186
2020-02-05,66098
2020-02-06,65159
2020-02-07,63546
2020-02-08,62590
2020-02-09,60746
2020-02-10,58894
2020-02-11,56564
2020-02-12,54228
2020-02-13,52729
2020-02-14,52027
2020-02-15,51493
2020-02-16,50082
2020-02-17,49626
2020-02-18,48090
2020-02-19,47389
2020-02-20,46869
2020-02-21,46869
2020-02-22,46592
2020-02-23,46503
2020-02-24,46036
2020-02-25,46483
2020-02-26,46797
2020-02-27,46476
2020-02-28,47160
2020-02-29,46967
2020-03-01,47502
2020-03-02,48063
2020-03-03,47691
2020-03-04,47691
2020-03-05,47131
2020-03-06,47169
2020-03-07,46803
2020-03-08,46636
2020-03-09,46118
2020-03-10,46097
2020-03-11,45413
2020-03-12,45419
2020-03-13,45517
2020-03-14,45030
2020-03-15,45191
2020-03-16,45238
2020-03-17,45184
2020-03-18,45066
2020-03-19,44966
2020-03-20,45162
2020-03-21,45376
2020-03-22,45652
2020-03-23,45865
2020-03-24,46037
2020-03-25,46104
2020-03-26,46141
2020-03-27,46396
2020-03-28,46262
2020-03-29,46126
2020-03-30,46009
2020-03-31,45965
2020-04-01,46719
2020-04-02,46545
2020-04-03,46545
2020-04-04,46525
2020-04-05,46392
2020-04-06,46193
2020-04-07,46066
2020-04-08,47004
2020-04-09,47225
2020-04-10,47347
2020-04-11,46733
2020-04-12,46863
2020-04-13,46796
2020-04-14,47107
2020-04-15,47200
2020-04-16,47902
2020-04-17,47603
2020-04-18,47717
