date_obj,Rock-shell%20gloves price
2015-03-26,84343
2015-03-27,84343
2015-03-28,84343
2015-03-29,84343
2015-03-30,84343
2015-03-31,84343
2015-04-01,84343
2015-04-02,84343
2015-04-03,84343
2015-04-04,84343
2015-04-05,84343
2015-04-06,84343
2015-04-07,84343
2015-04-08,84343
2015-04-09,84343
2015-04-10,84343
2015-04-11,87546
2015-04-12,87546
2015-04-13,87546
2015-04-14,87546
2015-04-15,87546
2015-04-16,87546
2015-04-17,87546
2015-04-18,87546
2015-04-19,87546
2015-04-20,87546
2015-04-21,87546
2015-04-22,87546
2015-04-23,87546
2015-04-24,87546
2015-04-25,87546
2015-04-26,87546
2015-04-27,87546
2015-04-28,87546
2015-04-29,87546
2015-04-30,91057
2015-05-01,91057
2015-05-02,91057
2015-05-03,91057
2015-05-04,91057
2015-05-05,91057
2015-05-06,91057
2015-05-07,91057
2015-05-08,91057
2015-05-09,91057
2015-05-10,91057
2015-05-11,91057
2015-05-12,91057
2015-05-13,91057
2015-05-14,91057
2015-05-15,91057
2015-05-16,91057
2015-05-17,91057
2015-05-18,91057
2015-05-19,91057
2015-05-20,91057
2015-05-21,94782
2015-05-22,94782
2015-05-23,94782
2015-05-24,94782
2015-05-25,94782
2015-05-26,94782
2015-05-27,94782
2015-05-28,94782
2015-05-29,94782
2015-05-30,94782
2015-05-31,94782
2015-06-01,98653
2015-06-02,98653
2015-06-03,98653
2015-06-04,98653
2015-06-05,98653
2015-06-06,98653
2015-06-07,98653
2015-06-08,98653
2015-06-09,98653
2015-06-10,98653
2015-06-11,98653
2015-06-12,98653
2015-06-13,98653
2015-06-14,102814
2015-06-15,102814
2015-06-16,102814
2015-06-17,102814
2015-06-18,102814
2015-06-19,102814
2015-06-20,102814
2015-06-21,102814
2015-06-22,102814
2015-06-23,102814
2015-06-24,102814
2015-06-25,102814
2015-06-26,102814
2015-06-27,102814
2015-06-28,102814
2015-06-29,102814
2015-06-30,106877
2015-07-01,106877
2015-07-02,106877
2015-07-03,106877
2015-07-04,106877
2015-07-05,106877
2015-07-06,106877
2015-07-07,106877
2015-07-08,106877
2015-07-09,106877
2015-07-10,106877
2015-07-11,106877
2015-07-12,106877
2015-07-13,106877
2015-07-14,106877
2015-07-15,106877
2015-07-16,106877
2015-07-17,111292
2015-07-18,111292
2015-07-19,111292
2015-07-20,111292
2015-07-21,111292
2015-07-22,111292
2015-07-23,111292
2015-07-24,111292
2015-07-25,111292
2015-07-26,111292
2015-07-27,111292
2015-07-28,111292
2015-07-29,111292
2015-07-30,111292
2015-07-31,111292
2015-08-01,111292
2015-08-02,116153
2015-08-03,116153
2015-08-04,116153
2015-08-05,116153
2015-08-06,116153
2015-08-07,116153
2015-08-08,116153
2015-08-09,116153
2015-08-10,116153
2015-08-11,116153
2015-08-12,116153
2015-08-13,116153
2015-08-14,116153
2015-08-15,116153
2015-08-16,116153
2015-08-17,116153
2015-08-18,121193
2015-08-19,121193
2015-08-20,121193
2015-08-21,121193
2015-08-22,121193
2015-08-23,121193
2015-08-24,121193
2015-08-25,121193
2015-08-26,121193
2015-08-27,121193
2015-08-28,121193
2015-08-29,121193
2015-08-30,121193
2015-08-31,126526
2015-09-01,126526
2015-09-02,126526
2015-09-03,126526
2015-09-04,126526
2015-09-05,126526
2015-09-06,126526
2015-09-07,126526
2015-09-08,126526
2015-09-09,126526
2015-09-10,126526
2015-09-11,126526
2015-09-12,126526
2015-09-13,126526
2015-09-14,131861
2015-09-15,131861
2015-09-16,131861
2015-09-17,131861
2015-09-18,131861
2015-09-19,131861
2015-09-20,131861
2015-09-21,131861
2015-09-22,131861
2015-09-23,131861
2015-09-24,131861
2015-09-25,131861
2015-09-27,131861
2015-09-28,131861
2015-09-29,131861
2015-09-30,131861
2015-10-05,137706
2015-10-06,137706
2015-10-07,137706
2015-10-08,137706
2015-10-09,137706
2015-10-10,137706
2015-10-11,137706
2015-10-12,137706
2015-10-13,137706
2015-10-14,137706
2015-10-15,137706
2015-10-16,143654
2015-10-17,143654
2015-10-18,143654
2015-10-19,143654
2015-10-20,143654
2015-10-22,143654
2015-10-23,143654
2015-10-24,143654
2015-10-25,143654
2015-10-26,143654
2015-10-27,143654
2015-10-29,143654
2015-10-30,143654
2015-10-31,143654
2015-11-01,143654
2015-11-02,149938
2015-11-03,149938
2015-11-04,149938
