date_obj,Arceuus%20hood price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,4751813
2016-07-10,4751813
2016-07-11,4751813
2016-07-12,4751813
2016-07-13,4751813
2016-07-14,4514222
2016-07-15,4514222
2016-07-16,4514222
2016-07-17,4514222
2016-07-18,4514222
2016-07-23,4288510
2016-07-24,4288510
2016-07-25,4288510
2016-07-26,4288510
2016-07-27,4288510
2016-07-28,4288510
2016-07-29,4075906
2016-07-30,4075906
2016-07-31,4075906
2016-08-01,4075906
2016-08-02,4075906
2016-08-03,4075906
2016-08-04,4075906
2016-08-05,4075906
2016-08-06,3872110
2016-08-07,3872110
2016-08-08,3872110
2016-08-09,3872110
2016-08-10,3872110
2016-08-11,3872110
2016-08-12,3872110
2016-08-13,3872110
2016-08-14,3678504
2016-08-15,3678504
2016-08-16,3678504
2016-08-17,3678504
2016-08-18,3678504
2016-08-19,3678504
2016-08-20,3678504
2016-08-21,3678504
2016-08-22,3496191
2016-08-23,3496191
2016-08-24,3496191
2016-08-25,3496191
2016-08-26,3496191
2016-08-28,3496191
2016-08-31,3324641
2016-09-01,3324641
2016-09-02,3324641
2016-09-03,3324641
2016-09-04,3324641
2016-09-05,3324641
2016-09-06,3324641
2016-09-07,3324641
2016-09-08,3324641
2016-09-09,3324641
2016-09-10,3158408
2016-09-11,3158408
2016-09-12,3158408
2016-09-13,3158408
2016-09-14,3158408
2016-09-15,3158408
2016-09-16,3158408
2016-09-17,3158408
2016-09-18,3158408
2016-09-19,3158408
2016-09-20,3002119
2016-09-21,3002119
2016-09-22,3002119
2016-09-23,3002119
2016-09-24,3002119
2016-09-25,3002119
2016-09-26,3002119
2016-09-27,3002119
2016-09-28,3002119
2016-09-29,3002119
2016-09-30,3002119
2016-10-01,3002119
2016-10-02,2855328
2016-10-03,2855328
2016-10-04,2855328
2016-10-05,2855328
2016-10-06,2855328
2016-10-07,2855328
2016-10-08,2855328
2016-10-09,2855328
2016-10-10,2855328
2016-10-11,2855328
2016-10-12,2713381
2016-10-13,2713381
2016-10-14,2713381
2016-10-15,2713381
2016-10-16,2713381
2016-10-17,2713381
2016-10-18,2713381
2016-10-19,2713381
2016-10-20,2713381
2016-10-21,2713381
2016-10-22,2579003
2016-10-23,2579003
2016-10-24,2579003
2016-10-25,2579003
2016-10-26,2579003
2016-10-27,2579003
2016-10-28,2579003
2016-10-29,2579003
2016-10-30,2579003
2016-10-31,2451184
2016-11-01,2451184
2016-11-02,2451184
2016-11-03,2451184
2016-11-04,2451184
2016-11-05,2451184
2016-11-06,2451184
2016-11-07,2451184
2016-11-08,2451184
2016-11-09,2332057
2016-11-10,2332057
2016-11-11,2332057
2016-11-12,2332057
2016-11-13,2332057
2016-11-14,2332057
2016-11-15,2332057
2016-12-07,2107096
2016-12-08,2107096
2016-12-09,2107096
2016-12-10,2002320
2016-12-11,2002320
2016-12-12,2002320
2016-12-13,2002320
2016-12-14,2002320
2016-12-15,2002320
2016-12-16,2002320
2016-12-17,2002320
2016-12-18,2002320
2016-12-19,1904582
2016-12-20,1904582
2016-12-21,1904582
2016-12-22,1904582
2016-12-23,1904582
2016-12-24,1904582
2016-12-25,1904582
2016-12-26,1904582
2016-12-27,1904582
2016-12-28,1904582
2016-12-29,1811042
2016-12-30,1811042
2016-12-31,1811042
2017-01-01,1811042
2017-01-02,1811042
2017-01-03,1811042
2017-01-04,1811042
2017-01-05,1811042
2017-01-06,1811042
2017-01-07,1811042
2017-01-08,1811042
2017-01-09,1722531
2017-01-10,1722531
2017-01-11,1722531
2017-01-12,1722531
2017-01-13,1722531
2017-01-14,1722531
2017-01-15,1722531
2017-01-16,1722531
2017-01-17,1722531
2017-01-18,1638082
2017-01-19,1638082
2017-01-20,1638082
2017-01-21,1638082
2017-01-22,1638082
2017-01-23,1638082
2017-01-27,1638082
2017-01-28,1557730
2017-01-29,1557730
2017-01-30,1557730
2017-01-31,1557730
2017-02-01,1557730
2017-02-02,1557730
2017-02-03,1557730
2017-02-04,1557730
2017-02-05,1557730
2017-02-06,1480225
2017-02-07,1480225
2017-02-08,1480225
2017-02-09,1480225
2017-02-10,1480225
2017-02-11,1480225
2017-02-12,1480225
2017-02-13,1406670
2017-02-14,1406670
2017-02-15,1406670
2017-02-16,1406670
2017-02-18,1406670
2017-02-19,1406670
2017-02-20,1406670
2017-02-21,1337593
2017-02-22,1337593
2017-02-23,1337593
2017-02-24,1337593
2017-02-25,1337593
2017-02-26,1337593
2017-02-27,1337593
2017-02-28,1272983
2017-03-01,1272983
2017-03-02,1272983
2017-03-03,1272983
2017-03-04,1272983
2017-03-05,1272983
2017-03-06,1272983
2017-03-07,1211183
2017-03-08,1211183
2017-03-09,1211183
2017-03-10,1211183
2017-03-11,1211183
2017-03-12,1211183
2017-03-13,1211183
2017-03-14,1151428
2017-03-15,1151428
2017-03-16,1151428
2017-03-17,1151428
2017-03-18,1151428
2017-03-19,1151428
2017-03-20,1151428
2017-03-21,1094431
2017-03-22,1094431
2017-03-23,1094431
2017-03-24,1094431
2017-03-25,1094431
2017-03-26,1094431
2017-03-27,1094431
2017-03-28,1040909
2017-03-29,1040909
2017-03-30,1040909
2017-03-31,1040909
2017-04-01,1040909
2017-04-02,1040909
2017-04-03,990275
2017-04-04,990275
2017-04-05,990275
2017-04-12,88012
2017-04-13,88012
2017-04-14,88012
2017-04-15,88012
2017-04-16,88012
2017-04-17,88012
2017-04-18,88012
2017-04-19,84980
2017-04-20,84980
2017-04-21,84980
2017-04-22,84980
2017-04-23,84980
2017-04-24,84980
2017-04-25,84980
2017-04-26,84980
2017-04-27,84980
2017-04-28,81076
2017-04-29,81076
2017-04-30,81076
2017-05-01,81076
2017-05-02,81076
2017-05-03,81076
2017-05-04,81076
2017-05-05,81076
2017-05-06,77058
2017-05-07,77058
2017-05-08,77058
2017-05-09,77058
2017-05-10,77058
2017-05-11,77058
2017-05-12,77058
2017-05-13,77058
2017-05-14,73327
2017-05-15,73327
2017-05-16,73327
2017-05-17,73327
2017-05-18,73327
2017-05-19,73327
2017-05-20,73327
2017-05-21,73327
2017-05-22,73327
2017-05-23,73327
2017-05-24,73327
2017-05-25,69799
2017-05-26,69799
2017-05-27,69799
2017-05-28,69799
2017-05-29,69799
2017-05-30,69799
2017-05-31,69799
2017-06-01,69799
2017-06-02,69799
2017-06-03,69799
2017-06-04,68458
2017-06-05,68458
2017-06-06,68458
2017-06-07,68458
2017-06-08,68458
2017-06-09,68458
2017-06-10,68458
2017-06-11,68458
2017-06-12,68458
2017-06-13,65838
2017-06-14,65838
2017-06-15,65838
2017-06-16,65838
2017-06-17,65838
2017-06-18,65838
