date_obj,Twisted%20buckler price
2017-01-04,20683620
2017-01-05,21622664
2017-01-06,22525217
2017-01-07,23533892
2017-01-08,24636391
2017-01-09,25868211
2017-01-10,27115629
2017-01-11,28471411
2017-01-12,29894982
2017-01-13,31389732
2017-01-14,32959219
2017-01-15,34607180
2017-01-16,36337539
2017-01-17,38154416
2017-01-18,40062137
2017-01-19,42065244
2017-01-20,44168507
2017-01-21,46376933
2017-01-22,48695780
2017-01-27,44416796
2017-01-28,42283603
2017-01-29,42652411
2017-01-30,43775484
2017-01-31,45611571
2017-02-01,43911109
2017-02-02,43921379
2017-02-03,46052443
2017-02-04,48267349
2017-02-05,50667679
2017-02-06,51826286
2017-02-07,51619976
2017-02-08,51504946
2017-02-09,49006838
2017-02-10,48098125
2017-02-11,49803609
2017-02-12,49426414
2017-02-13,48334068
2017-02-14,47639963
2017-02-15,47185009
2017-02-16,47757777
2017-02-18,49030894
2017-02-19,49987931
2017-02-20,48373771
2017-02-21,47821293
2017-02-22,46364797
2017-02-23,44580441
2017-02-24,42905323
2017-02-25,44403017
2017-02-26,44725521
2017-02-27,46224121
2017-02-28,47008955
2017-03-01,48111050
2017-03-02,48964300
2017-03-03,49796026
2017-03-04,49556357
2017-03-05,50512436
2017-03-06,50996590
2017-03-07,49711936
2017-03-08,47650168
2017-03-09,47069560
2017-03-10,46494789
2017-03-11,47209884
2017-03-12,46440969
2017-03-13,44273839
2017-03-14,42067221
2017-03-15,41497474
2017-03-16,40772345
2017-03-17,39693021
2017-03-18,37948981
2017-03-19,36051531
2017-03-20,34248954
2017-03-21,32565574
2017-03-22,31872697
2017-03-23,32515470
2017-03-24,33402632
2017-03-25,34372008
2017-03-26,34815873
2017-03-27,34498893
2017-03-28,34483188
2017-03-29,34028436
2017-03-30,33068189
2017-03-31,32447857
2017-04-01,32505198
2017-04-02,32880809
2017-04-03,32884429
2017-04-04,32985652
2017-04-12,34077422
2017-04-13,34257952
2017-04-14,34851968
2017-04-15,35082580
2017-04-16,34904209
2017-04-17,34674042
2017-04-18,34932538
2017-04-19,34902251
2017-04-20,34540571
2017-04-21,34543455
2017-04-22,34443806
2017-04-23,34225492
2017-04-24,34083270
2017-04-25,33135904
2017-04-26,32614234
2017-04-27,32159895
2017-04-28,31123380
2017-04-29,29965651
2017-04-30,30043469
2017-05-01,30475472
2017-05-02,29966543
2017-05-03,29963590
2017-05-04,29880300
2017-05-05,30835970
2017-05-06,30284692
2017-05-07,29717451
2017-05-08,29628875
2017-05-09,29837823
2017-05-10,29845337
2017-05-11,29445752
2017-05-12,29532615
2017-05-13,29593306
2017-05-14,29389373
2017-05-15,29503960
2017-05-16,30133387
2017-05-17,30731658
2017-05-18,30751928
2017-05-19,31350613
2017-05-20,31962879
2017-05-21,31772950
2017-05-22,31441034
2017-05-23,31174487
2017-05-24,30886874
2017-05-25,29688490
2017-05-26,28204065
2017-05-27,27714661
2017-05-28,28604616
2017-05-29,28235441
2017-05-30,29312339
2017-05-31,29010856
2017-06-01,27807292
2017-06-02,26417443
2017-06-03,25184212
2017-06-06,25682617
2017-06-07,25923441
2017-06-08,25472865
2017-06-09,25133164
2017-06-10,23975872
2017-06-11,22777078
2017-06-12,21638224
2017-06-13,21247080
2017-06-14,21088707
2017-06-15,21530690
2017-06-16,21957607
2017-06-17,22531016
2017-06-18,22584820
2017-06-19,22593153
2017-06-20,22005682
2017-06-21,21414518
2017-06-22,21266250
2017-06-23,20998327
