date_obj,Pirate%20boots price
2015-03-26,7299
2015-03-27,7299
2015-03-28,7299
2015-03-29,6942
2015-03-30,6942
2015-03-31,6613
2015-04-01,6613
2015-04-02,6293
2015-04-03,6293
2015-04-04,5988
2015-04-05,5988
2015-04-06,5694
2015-04-07,5694
2015-04-08,5419
2015-04-09,5419
2015-04-10,5158
2015-04-11,5158
2015-04-12,4914
2015-04-13,4914
2015-04-14,4683
2015-04-15,4683
2015-04-16,4455
2015-04-17,4455
2015-04-18,4236
2015-04-19,4236
2015-04-20,4032
2015-04-21,4032
2015-04-22,3859
2015-04-23,3859
2015-04-24,3677
2015-04-25,3677
2015-04-26,3495
2015-04-27,3495
2015-04-28,3329
2015-04-29,3329
2015-04-30,3329
2015-05-01,3169
2015-05-02,3169
2015-05-03,3020
2015-05-04,3020
2015-05-05,2870
2015-05-06,2870
2015-05-07,2734
2015-05-08,2734
2015-05-09,2601
2015-05-10,2601
2015-05-11,2601
2015-05-12,2473
2015-05-13,2473
2015-05-14,2354
2015-05-15,2354
2015-05-16,2354
2015-05-17,2240
2015-05-18,2240
2015-05-19,2134
2015-05-20,2134
2015-05-21,2134
2015-05-22,2033
2015-05-23,2033
2015-05-24,1937
2015-05-25,1937
2015-05-26,1937
2015-05-27,1848
2015-05-28,1848
2015-05-29,1758
2015-05-30,1677
2015-05-31,1677
2015-06-01,1593
2015-06-02,1593
2015-06-03,1517
2015-06-04,1517
2015-06-05,1441
2015-06-06,1441
2015-06-07,1369
2015-06-08,1369
2015-06-09,1307
2015-06-10,1244
2015-06-11,1244
2015-06-12,1183
2015-06-13,1183
2015-06-14,1124
2015-06-15,1124
2015-06-16,1070
2015-06-17,1070
2015-06-18,1016
2015-06-19,1016
2015-06-20,965
2015-06-21,965
2015-06-22,929
2015-06-23,929
2015-06-24,941
2015-06-25,941
2015-06-26,893
2015-06-27,893
2015-06-28,856
2015-06-29,856
2015-06-30,856
2015-07-01,814
2015-07-02,814
2015-07-03,777
2015-07-04,777
2015-07-05,750
2015-07-06,750
2015-07-07,728
2015-07-08,728
2015-07-09,728
2015-07-10,692
2015-07-11,692
2015-07-12,692
2015-07-13,657
2015-07-14,657
2015-07-15,626
2015-07-16,626
2015-07-17,604
2015-07-18,604
2015-07-19,604
2015-07-20,588
2015-07-21,588
2015-07-22,565
2015-07-23,565
2015-07-24,540
2015-07-25,540
2015-07-26,523
2015-07-27,523
2015-07-28,499
2015-07-29,499
2015-07-30,482
2015-07-31,482
2015-08-01,466
2015-08-02,454
2015-08-03,454
2015-08-04,443
2015-08-05,443
2015-08-06,435
2015-08-07,435
2015-08-08,441
2015-08-09,441
2015-08-10,433
2015-08-11,433
2015-08-12,414
2015-08-13,414
2015-08-14,408
2015-08-15,408
2015-08-16,402
2015-08-17,402
2015-08-18,395
2015-08-19,395
2015-08-20,375
2015-08-21,362
2015-08-22,362
2015-08-23,346
2015-08-24,346
2015-08-25,333
2015-08-26,333
2015-08-27,316
2015-08-28,316
2015-08-29,303
2015-08-30,303
2015-08-31,299
2015-09-01,299
2015-09-02,299
2015-09-03,299
2015-09-04,299
2015-09-05,303
2015-09-06,303
2015-09-07,306
2015-09-08,306
2015-09-09,304
2015-09-10,304
2015-09-11,313
2015-09-12,313
2015-09-13,307
2015-09-14,307
2015-09-15,301
2015-09-16,301
2015-09-17,296
2015-09-18,296
2015-09-19,300
2015-09-20,300
2015-09-21,300
2015-09-22,292
2015-09-23,292
2015-09-24,292
2015-09-25,288
2015-09-27,288
2015-09-28,288
2015-09-29,284
2015-09-30,284
2015-10-05,266
2015-10-06,265
2015-10-07,265
2015-10-08,261
2015-10-09,261
2015-10-10,261
2015-10-11,255
2015-10-12,255
2015-10-13,255
2015-10-14,251
2015-10-15,251
2015-10-16,244
2015-10-17,244
2015-10-18,244
2015-10-19,241
2015-10-20,241
2015-10-22,243
2015-10-23,243
2015-10-24,255
2015-10-25,255
2015-10-26,261
2015-10-27,261
2015-10-29,268
2015-10-30,268
2015-10-31,280
2015-11-01,280
2015-11-02,280
2015-11-03,286
2015-11-04,286
2015-11-05,286
2015-11-06,277
2015-11-07,277
2015-11-08,271
2015-11-09,271
2015-11-10,271
2015-11-11,275
2015-11-12,275
2015-11-13,275
2015-11-14,272
2015-11-15,272
2015-11-16,275
2015-11-17,275
2015-11-18,275
2015-11-19,268
2015-11-20,268
2015-11-21,268
2015-11-22,278
2015-11-23,278
2015-11-24,278
2015-11-25,291
2015-11-26,291
2015-11-27,291
2015-11-28,284
2015-11-29,284
2015-11-30,278
2015-12-01,278
2015-12-02,278
2015-12-03,273
2015-12-04,273
2015-12-05,273
2015-12-06,269
2015-12-07,269
2015-12-08,269
2015-12-09,272
2015-12-10,272
2015-12-11,272
2015-12-12,267
2015-12-13,267
2015-12-14,267
2015-12-15,259
2015-12-16,259
2015-12-17,259
2015-12-18,247
2015-12-19,247
2015-12-20,234
2015-12-21,234
2015-12-22,223
2015-12-23,223
2015-12-24,212
2015-12-25,212
2015-12-26,201
2015-12-27,201
2015-12-28,190
2015-12-29,190
2015-12-30,180
2015-12-31,180
2016-01-01,173
2016-01-02,173
2016-01-03,172
2016-01-04,172
2016-01-05,180
2016-01-06,180
2016-01-07,189
2016-01-08,189
2016-01-09,189
2016-01-10,199
2016-01-11,199
2016-01-12,205
2016-01-13,205
2016-01-14,212
2016-01-15,212
2016-01-16,212
2016-01-17,215
2016-01-18,215
2016-01-19,213
2016-01-20,213
2016-01-21,203
2016-01-22,203
2016-01-23,192
2016-01-24,192
2016-01-25,182
2016-01-26,182
2016-01-27,173
2016-01-28,173
2016-01-29,168
2016-01-30,168
2016-01-31,163
2016-02-01,163
2016-02-02,167
2016-02-03,167
2016-02-04,176
2016-02-05,176
2016-02-06,185
2016-02-07,185
2016-02-08,185
2016-02-09,188
2016-02-10,188
2016-02-11,198
2016-02-12,198
2016-02-13,207
2016-02-14,207
2016-02-15,207
2016-02-16,218
2016-02-17,218
2016-02-18,218
2016-02-19,228
2016-02-20,228
2016-02-21,228
2016-02-22,228
2016-02-23,228
2016-02-24,239
2016-02-25,239
2016-02-26,242
2016-02-27,242
2016-02-28,242
2016-02-29,242
2016-03-01,255
2016-03-02,255
2016-03-03,268
2016-03-04,268
2016-03-05,274
2016-03-06,274
2016-03-07,287
2016-03-08,287
2016-03-09,301
2016-03-10,301
2016-03-11,305
2016-03-12,305
2016-03-13,311
2016-03-14,311
2016-03-15,326
2016-03-16,326
2016-03-17,336
2016-03-18,336
2016-03-19,345
2016-03-20,345
2016-03-21,362
2016-03-22,362
2016-03-23,378
2016-03-24,378
2016-03-25,382
2016-03-26,382
2016-03-27,389
2016-03-28,402
2016-03-29,402
2016-03-30,402
2016-03-31,409
2016-04-01,409
2016-04-02,402
2016-04-03,402
2016-04-04,389
2016-04-05,389
2016-04-06,379
2016-04-07,379
2016-04-08,380
2016-04-09,380
2016-04-10,385
2016-04-11,385
2016-04-12,385
2016-04-14,390
2016-04-15,384
2016-04-16,384
2016-04-17,383
2016-04-18,383
2016-04-19,367
2016-04-20,367
2016-04-21,385
2016-04-22,385
2016-04-23,400
2016-04-24,400
2016-04-25,392
2016-04-26,392
2016-04-27,379
2016-04-28,379
2016-04-29,391
2016-04-30,391
2016-05-01,391
2016-05-02,391
2016-05-03,400
2016-05-04,400
2016-05-05,390
2016-05-06,390
2016-05-07,377
2016-05-08,377
2016-05-09,364
2016-05-10,353
2016-05-11,353
2016-05-12,348
2016-05-13,348
2016-05-14,337
2016-05-15,337
2016-05-16,328
2016-05-17,328
2016-05-18,317
2016-05-19,317
2016-05-22,303
2016-05-23,303
2016-05-24,293
2016-05-25,293
2016-05-26,286
2016-05-27,275
2016-05-28,275
2016-05-29,276
2016-05-30,276
2016-05-31,282
2016-06-01,282
2016-06-02,289
2016-06-03,289
2016-06-04,286
2016-06-05,286
2016-06-06,283
2016-06-07,283
2016-06-08,284
2016-06-09,284
2016-06-10,288
2016-06-11,288
2016-06-12,285
2016-06-13,285
2016-06-14,297
2016-06-15,297
2016-06-16,297
2016-06-17,309
2016-06-18,309
2016-06-19,307
2016-06-20,307
2016-06-21,311
2016-06-22,311
2016-06-23,327
2016-06-24,327
2016-06-25,343
2016-06-26,343
2016-06-27,328
2016-06-28,328
2016-06-29,314
2016-06-30,314
2016-07-01,301
2016-07-02,301
2016-07-03,292
2016-07-04,292
2016-07-05,279
2016-07-06,279
2016-07-07,274
2016-07-08,274
2016-07-09,272
2016-07-10,272
2016-07-11,280
2016-07-12,280
2016-07-13,268
2016-07-14,268
2016-07-15,255
2016-07-16,255
2016-07-17,242
2016-07-18,242
2016-07-23,209
2016-07-24,209
2016-07-25,200
2016-07-26,200
2016-07-27,198
2016-07-28,198
2016-07-29,193
2016-07-30,193
2016-07-31,193
2016-08-01,183
2016-08-02,183
2016-08-03,179
2016-08-04,179
2016-08-05,179
2016-08-06,175
2016-08-07,175
2016-08-08,180
2016-08-09,180
2016-08-10,181
2016-08-11,181
2016-08-12,181
2016-08-13,182
2016-08-14,182
2016-08-15,182
2016-08-16,182
2016-08-17,182
2016-08-18,182
2016-08-19,183
2016-08-20,183
2016-08-21,179
2016-08-22,179
2016-08-23,175
2016-08-24,175
2016-08-25,170
2016-08-26,170
2016-08-28,166
2016-08-31,161
2016-09-01,157
2016-09-02,157
2016-09-03,157
2016-09-04,154
2016-09-05,154
2016-09-06,151
2016-09-07,151
2016-09-08,151
2016-09-09,148
2016-09-10,148
2016-09-11,148
2016-09-12,151
2016-09-13,151
2016-09-14,154
2016-09-15,154
2016-09-16,154
2016-09-17,152
2016-09-18,152
2016-09-19,148
2016-09-20,148
2016-09-21,148
2016-09-22,142
2016-09-23,142
2016-09-24,142
2016-09-25,137
2016-09-26,137
2016-09-27,137
2016-09-28,140
2016-09-29,140
2016-09-30,137
2016-10-01,137
2016-10-02,137
2016-10-03,130
2016-10-04,130
2016-10-05,123
2016-10-06,123
2016-10-07,117
2016-10-08,117
2016-10-09,123
2016-10-10,123
2016-10-11,130
2016-10-12,130
2016-10-13,137
2016-10-14,137
2016-10-15,142
2016-10-16,142
2016-10-17,148
2016-10-18,148
2016-10-19,155
2016-10-20,155
2016-10-21,153
2016-10-22,153
2016-10-23,152
2016-10-24,152
2016-10-25,150
2016-10-26,150
2016-10-27,144
2016-10-28,144
2016-10-29,144
2016-10-30,144
2016-10-31,144
2016-11-01,144
2016-11-02,143
