date_obj,White%20firelighter price
2015-03-26,322
2015-03-27,322
2015-03-28,306
2015-03-29,306
2015-03-30,291
2015-03-31,291
2015-04-01,291
2015-04-02,277
2015-04-03,277
2015-04-04,264
2015-04-05,264
2015-04-06,251
2015-04-07,251
2015-04-08,251
2015-04-09,239
2015-04-10,239
2015-04-11,228
2015-04-12,228
2015-04-13,217
2015-04-14,217
2015-04-15,217
2015-04-16,207
2015-04-17,207
2015-04-18,197
2015-04-19,197
2015-04-20,197
2015-04-21,188
2015-04-22,188
2015-04-23,188
2015-04-24,179
2015-04-25,179
2015-04-26,179
2015-04-27,170
2015-04-28,170
2015-04-29,170
2015-04-30,161
2015-05-01,161
2015-05-02,153
2015-05-03,153
2015-05-04,146
2015-05-05,146
2015-05-06,138
2015-05-07,138
2015-05-08,131
2015-05-09,131
2015-05-10,125
2015-05-11,125
2015-05-12,125
2015-05-13,118
2015-05-14,118
2015-05-15,112
2015-05-16,112
2015-05-17,107
2015-05-18,107
2015-05-19,107
2015-05-20,102
2015-05-21,102
2015-05-22,102
2015-05-23,96
2015-05-24,96
2015-05-25,91
2015-05-26,91
2015-05-27,91
2015-05-28,86
2015-05-29,86
2015-05-30,82
2015-05-31,82
2015-06-01,78
2015-06-02,78
2015-06-03,76
2015-06-04,76
2015-06-05,72
2015-06-06,72
2015-06-07,68
2015-06-08,68
2015-06-09,68
2015-06-10,68
2015-06-11,69
2015-06-12,69
2015-06-13,69
2015-06-14,72
2015-06-15,72
2015-06-16,76
2015-06-17,76
2015-06-18,80
2015-06-19,80
2015-06-20,83
2015-06-21,83
2015-06-22,86
2015-06-23,86
2015-06-24,87
2015-06-25,87
2015-06-26,87
2015-06-27,87
2015-06-28,83
2015-06-29,83
2015-06-30,83
2015-07-01,84
2015-07-02,84
2015-07-03,83
2015-07-04,83
2015-07-05,83
2015-07-06,79
2015-07-07,79
2015-07-08,75
2015-07-09,75
2015-07-10,72
2015-07-11,72
2015-07-12,72
2015-07-13,68
2015-07-14,68
2015-07-15,65
2015-07-16,65
2015-07-17,63
2015-07-18,63
2015-07-19,63
2015-07-20,59
2015-07-21,59
2015-07-22,56
2015-07-23,56
2015-07-24,53
2015-07-25,53
2015-07-26,53
2015-07-27,50
2015-07-28,50
2015-07-29,47
2015-07-30,47
2015-07-31,47
2015-08-01,44
2015-08-02,44
2015-08-03,42
2015-08-04,42
2015-08-05,40
2015-08-06,40
2015-08-07,38
2015-08-08,38
2015-08-09,36
2015-08-10,36
2015-08-11,36
2015-08-12,36
2015-08-13,36
2015-08-14,35
2015-08-15,35
2015-08-16,35
2015-08-17,34
2015-08-18,34
2015-08-19,34
2015-08-20,34
2015-08-21,34
2015-08-22,34
2015-08-23,34
2015-08-24,32
2015-08-25,32
2015-08-26,32
2015-08-27,32
2015-08-28,32
2015-08-29,33
2015-08-30,33
2015-08-31,33
2015-09-01,34
2015-09-02,34
2015-09-03,34
2015-09-04,35
2015-09-05,35
2015-09-06,35
2015-09-07,37
2015-09-08,37
2015-09-09,37
2015-09-10,38
2015-09-11,38
2015-09-12,38
2015-09-13,38
2015-09-14,38
2015-09-15,38
2015-09-16,38
2015-09-17,38
2015-09-18,38
2015-09-19,39
2015-09-20,39
2015-09-21,39
2015-09-22,41
2015-09-23,41
2015-09-24,41
2015-09-25,44
2015-09-27,44
2015-09-28,46
2015-09-29,46
2015-09-30,49
2015-10-05,53
2015-10-06,53
2015-10-07,53
2015-10-08,56
2015-10-09,56
2015-10-10,56
2015-10-11,56
2015-10-12,56
2015-10-13,56
2015-10-14,58
2015-10-15,58
2015-10-16,59
2015-10-17,59
2015-10-18,59
2015-10-19,60
2015-10-20,60
2015-10-22,58
2015-10-23,55
2015-10-24,55
2015-10-25,54
2015-10-26,54
2015-10-27,54
2015-10-29,55
2015-10-30,55
2015-10-31,57
2015-11-01,57
2015-11-02,57
2015-11-03,56
2015-11-04,56
2015-11-05,56
2015-11-06,55
2015-11-07,55
2015-11-08,55
2015-11-09,54
2015-11-10,54
