date_obj,Warrior%20helm price
2015-03-26,57471
2015-03-27,57471
2015-03-28,57471
2015-03-29,57446
2015-03-30,57446
2015-03-31,57446
2015-04-01,57446
2015-04-02,57113
2015-04-03,57113
2015-04-04,57113
2015-04-05,59017
2015-04-06,59017
2015-04-07,59017
2015-04-08,59017
2015-04-09,60397
2015-04-10,60397
2015-04-11,60397
2015-04-12,62228
2015-04-13,62228
2015-04-14,62228
2015-04-15,64379
2015-04-16,64379
2015-04-17,64379
2015-04-18,65769
2015-04-19,65769
2015-04-20,65769
2015-04-21,64450
2015-04-22,64450
2015-04-23,64450
2015-04-24,61893
2015-04-25,61893
2015-04-26,61893
2015-04-27,60091
2015-04-28,60091
2015-04-29,60091
2015-04-30,57585
2015-05-01,57585
2015-05-02,57585
2015-05-03,56348
2015-05-04,56348
2015-05-05,56348
2015-05-06,58242
2015-05-07,58242
2015-05-08,58242
2015-05-09,57452
2015-05-10,57452
2015-05-11,57452
2015-05-12,56618
2015-05-13,56618
2015-05-14,56618
2015-05-15,58138
2015-05-16,58138
2015-05-17,58138
2015-05-18,56524
2015-05-19,56524
2015-05-20,56524
2015-05-21,56524
2015-05-22,54757
2015-05-23,54757
2015-05-24,54757
2015-05-25,53712
2015-05-26,53712
2015-05-27,53712
2015-05-28,52556
2015-05-29,52556
2015-05-30,52318
2015-05-31,52318
2015-06-01,53654
2015-06-02,53654
2015-06-03,53654
2015-06-04,52590
2015-06-05,52590
2015-06-06,49987
2015-06-07,49987
2015-06-08,48105
2015-06-09,48105
2015-06-10,46989
2015-06-11,46989
2015-06-12,46989
2015-06-13,47035
2015-06-14,47035
2015-06-15,48642
2015-06-16,48642
2015-06-17,49477
2015-06-18,49477
2015-06-19,49652
2015-06-20,49652
2015-06-21,49767
2015-06-22,49767
2015-06-23,49995
2015-06-24,49995
2015-06-25,50522
2015-06-26,50522
2015-06-27,52053
2015-06-28,52053
2015-06-29,53445
2015-06-30,53445
2015-07-01,52934
2015-07-02,52934
2015-07-03,53283
2015-07-04,53283
2015-07-05,53283
2015-07-06,53844
2015-07-07,53844
2015-07-08,54226
2015-07-09,54226
2015-07-10,54226
2015-07-11,53240
2015-07-12,53240
2015-07-13,51427
2015-07-14,51427
2015-07-15,50013
2015-07-16,50013
2015-07-17,49665
2015-07-18,49665
2015-07-19,49665
2015-07-20,51099
2015-07-21,51099
2015-07-22,53608
2015-07-23,53608
2015-07-24,56243
2015-07-25,56243
2015-07-26,56243
2015-07-27,58600
2015-07-28,58600
2015-07-29,60907
2015-07-30,60907
2015-07-31,60907
2015-08-01,62064
2015-08-02,62064
2015-08-03,61444
2015-08-04,61444
2015-08-05,62308
2015-08-06,62308
2015-08-07,62308
2015-08-08,61316
2015-08-09,61316
2015-08-10,59766
2015-08-11,59766
2015-08-12,59766
2015-08-13,57463
2015-08-14,57463
2015-08-15,57528
2015-08-16,57528
2015-08-17,58146
2015-08-18,58146
2015-08-19,56777
2015-08-20,56777
2015-08-21,55170
2015-08-22,55170
2015-08-23,55170
2015-08-24,56467
2015-08-25,56467
2015-08-26,56467
2015-08-27,58146
2015-08-28,58146
2015-08-29,57688
2015-08-30,57688
2015-08-31,57688
2015-09-01,55478
2015-09-02,55478
2015-09-03,55478
2015-09-04,53529
2015-09-05,53529
2015-09-06,53529
2015-09-07,51048
2015-09-08,51048
2015-09-09,49800
2015-09-10,49800
2015-09-11,47310
2015-09-12,47310
2015-09-13,45795
2015-09-14,45795
2015-09-15,45242
2015-09-16,45242
2015-09-17,45242
2015-09-18,43985
2015-09-19,43985
2015-09-20,44310
2015-09-21,44310
2015-09-22,43911
2015-09-23,43911
2015-09-24,43911
2015-09-25,45066
2015-09-27,45066
2015-09-28,47203
2015-09-29,47203
2015-09-30,48488
2015-10-05,46169
2015-10-06,46169
2015-10-07,44500
2015-10-08,44500
2015-10-09,44246
2015-10-10,44246
2015-10-11,44338
2015-10-12,44338
2015-10-13,44338
2015-10-14,46554
2015-10-15,46554
2015-10-16,47943
2015-10-17,47943
2015-10-18,47943
2015-10-19,49145
2015-10-20,49145
2015-10-22,49729
2015-10-23,49729
2015-10-24,50095
2015-10-25,50095
2015-10-26,47696
2015-10-27,47696
2015-10-29,45386
2015-10-30,45386
2015-10-31,43767
2015-11-01,43767
2015-11-02,43767
2015-11-03,45350
2015-11-04,45350
2015-11-05,45350
2015-11-06,47618
2015-11-07,47618
2015-11-08,47618
2015-11-09,47938
2015-11-10,47938
2015-11-11,47938
2015-11-12,48416
2015-11-13,48416
2015-11-14,48416
2015-11-15,47295
2015-11-16,47295
2015-11-17,47295
2015-11-18,45835
2015-11-19,45835
2015-11-20,46464
2015-11-21,46464
2015-11-22,46464
2015-11-23,47018
2015-11-24,47018
2015-11-25,47906
2015-11-26,47906
2015-11-27,47906
2015-11-28,47378
2015-11-29,47378
2015-11-30,46956
2015-12-01,46956
2015-12-02,46956
2015-12-03,45612
2015-12-04,45612
2015-12-05,45612
2015-12-06,44099
2015-12-07,44099
2015-12-08,44099
2015-12-09,45139
2015-12-10,45139
2015-12-11,45139
2015-12-13,45883
2015-12-14,45883
2015-12-15,47067
2015-12-16,47067
2015-12-17,47067
2015-12-18,46977
2015-12-19,46977
2015-12-20,48333
2015-12-21,48333
2015-12-22,49169
2015-12-23,49169
2015-12-24,51176
2015-12-25,51176
2015-12-26,51176
2015-12-27,53735
2015-12-28,53735
2015-12-29,56378
2015-12-30,56378
2015-12-31,59078
2016-01-01,59078
2016-01-02,59078
2016-01-03,60857
2016-01-04,60857
2016-01-05,60304
2016-01-06,60304
2016-01-07,58656
2016-01-08,58656
2016-01-09,58656
2016-01-10,58302
2016-01-11,58302
2016-01-12,57696
2016-01-13,57696
2016-01-14,57381
2016-01-15,57381
2016-01-16,57381
2016-01-17,56088
2016-01-18,56088
2016-01-19,54970
2016-01-20,54970
2016-01-21,53272
2016-01-22,53272
2016-01-23,50939
2016-01-24,50939
2016-01-25,49804
2016-01-26,49804
2016-01-27,50790
2016-01-28,50790
2016-01-29,49801
2016-01-30,49801
2016-01-31,49510
2016-02-01,49510
2016-02-02,50156
2016-02-03,50156
2016-02-04,49680
2016-02-05,49680
2016-02-06,49759
2016-02-07,49759
2016-02-08,49815
2016-02-09,49815
2016-02-10,51810
2016-02-11,51810
2016-02-12,51810
2016-02-13,53430
2016-02-14,53430
2016-02-15,54764
2016-02-16,54764
2016-02-17,55062
2016-02-18,55062
2016-02-19,55062
2016-02-20,56197
2016-02-21,58556
2016-02-22,58556
2016-02-23,60270
2016-02-24,60270
2016-02-25,58914
2016-02-26,58914
2016-02-27,56408
2016-02-28,56408
2016-02-29,53881
2016-03-01,53881
2016-03-02,52303
2016-03-03,52303
2016-03-04,51622
2016-03-05,51622
2016-03-06,49862
2016-03-07,49862
2016-03-08,49862
2016-03-09,48724
2016-03-10,48724
2016-03-11,48531
2016-03-12,48531
2016-03-13,50840
2016-03-14,50840
2016-03-15,53232
2016-03-16,53232
2016-03-17,54016
2016-03-18,54016
2016-03-19,55268
2016-03-20,55268
2016-03-21,55803
2016-03-22,55803
2016-03-23,55002
2016-03-24,55002
2016-03-25,55049
2016-03-26,55049
2016-03-27,53766
2016-03-28,53766
2016-03-29,51527
2016-03-30,51527
2016-03-31,51527
2016-04-01,49372
2016-04-02,49372
2016-04-03,47448
2016-04-04,47448
2016-04-05,46750
2016-04-06,46750
2016-04-07,45542
2016-04-08,45542
2016-04-09,45306
2016-04-10,45306
2016-04-11,44677
2016-04-12,44677
2016-04-13,42633
2016-04-14,42633
2016-04-15,41130
2016-04-16,41130
2016-04-17,40640
2016-04-18,40640
2016-04-19,39306
2016-04-20,39306
2016-04-21,39976
2016-04-22,39976
2016-04-23,39991
2016-04-24,39991
2016-04-25,40036
2016-04-26,40036
2016-04-27,41066
2016-04-28,41066
2016-04-29,42441
2016-04-30,42441
2016-05-01,44081
2016-05-02,44081
2016-05-03,45175
2016-05-04,45175
2016-05-05,43337
2016-05-06,43337
2016-05-07,43534
2016-05-08,43534
2016-05-09,43712
2016-05-10,43712
2016-05-11,44990
2016-05-12,44990
2016-05-13,44862
2016-05-14,44862
2016-05-15,44356
2016-05-16,44356
2016-05-17,44424
2016-05-18,44424
2016-05-19,43900
2016-05-22,42493
2016-05-23,41219
2016-05-24,41219
2016-05-25,40174
2016-05-26,40174
2016-05-27,39170
2016-05-28,39170
2016-05-29,39169
2016-05-30,39169
2016-05-31,39169
2016-06-01,40274
2016-06-02,40274
2016-06-03,41809
2016-06-04,41809
2016-06-05,43331
2016-06-06,43331
2016-06-07,44393
2016-06-08,44393
2016-06-09,44759
2016-06-10,44759
2016-06-11,43581
2016-06-12,43581
2016-06-13,42545
2016-06-14,42545
2016-06-15,41644
2016-06-16,41644
2016-06-17,42240
2016-06-18,42240
2016-06-19,44352
2016-06-20,44352
2016-06-21,46383
2016-06-22,46383
2016-06-23,47619
2016-06-24,47619
2016-06-25,47468
2016-06-26,47468
2016-06-27,47468
2016-06-28,47414
2016-06-29,47414
2016-06-30,47625
2016-07-01,47625
2016-07-02,46150
2016-07-03,46150
2016-07-04,45294
2016-07-05,45294
2016-07-06,44734
2016-07-07,44734
2016-07-08,44974
2016-07-09,44974
2016-07-10,46068
2016-07-11,46068
2016-07-12,46544
2016-07-13,46544
2016-07-14,46747
2016-07-15,46747
2016-07-16,45826
2016-07-17,45826
2016-07-18,45211
2016-07-24,43406
2016-07-25,41956
2016-07-26,41956
2016-07-27,41956
2016-07-28,40754
2016-07-29,40754
2016-07-30,40258
2016-07-31,40258
2016-08-01,40258
2016-08-02,41998
2016-08-03,41998
2016-08-04,43254
2016-08-05,43254
2016-08-06,45100
2016-08-07,45100
2016-08-08,46470
2016-08-09,46470
2016-08-10,47847
2016-08-11,47847
2016-08-12,47847
2016-08-13,48137
2016-08-14,48137
2016-08-15,48393
2016-08-16,48393
2016-08-17,48393
2016-08-18,46990
2016-08-19,46990
2016-08-20,45812
2016-08-21,45812
2016-08-22,45841
2016-08-23,45841
2016-08-24,46204
2016-08-25,46204
2016-08-26,46204
2016-08-28,47253
2016-08-31,46807
2016-09-01,45421
2016-09-02,45421
2016-09-03,45421
2016-09-04,44609
2016-09-05,44609
2016-09-06,43891
2016-09-07,43891
2016-09-08,43891
2016-09-09,44934
2016-09-10,44934
2016-09-11,45590
2016-09-12,45590
2016-09-13,45155
2016-09-14,45155
2016-09-15,45155
2016-09-16,44149
2016-09-17,44149
2016-09-18,43903
2016-09-19,43903
2016-09-20,43903
2016-09-21,44577
2016-09-22,44577
2016-09-23,45681
2016-09-24,45681
2016-09-25,45681
2016-09-26,46813
2016-09-27,46813
2016-09-28,46668
