date_obj,Tai%20bwo%20wannai%20teleport price
2015-03-26,5047
2015-03-27,5047
2015-03-28,4897
2015-03-29,4897
2015-03-30,4821
2015-03-31,4821
2015-04-01,4925
2015-04-02,4925
2015-04-03,4899
2015-04-04,5060
2015-04-05,5060
2015-04-06,5297
2015-04-07,5297
2015-04-08,5219
2015-04-09,5219
2015-04-10,4959
2015-04-11,4959
2015-04-12,4733
2015-04-13,4733
2015-04-14,4508
2015-04-15,4508
2015-04-16,4289
2015-04-17,4289
2015-04-18,4250
2015-04-19,4250
2015-04-20,4448
2015-04-21,4448
2015-04-22,4642
2015-04-23,4642
2015-04-24,4556
2015-04-25,4556
2015-04-26,4494
2015-04-27,4494
2015-04-28,4378
2015-04-29,4378
2015-04-30,4437
2015-05-01,4509
2015-05-02,4365
2015-05-03,4365
2015-05-04,4162
2015-05-05,4162
2015-05-06,4023
2015-05-07,4023
2015-05-08,3953
2015-05-09,3953
2015-05-10,3879
2015-05-11,3879
2015-05-12,3790
2015-05-13,3790
2015-05-14,3848
2015-05-15,3848
2015-05-16,4041
2015-05-17,4244
2015-05-18,4244
2015-05-19,4457
2015-05-20,4457
2015-05-21,4663
2015-05-22,4894
2015-05-23,4894
2015-05-24,5139
2015-05-25,5396
2015-05-26,5396
2015-05-27,5655
2015-05-28,5745
2015-05-29,5716
2015-05-30,5687
2015-05-31,5687
2015-06-01,5772
2015-06-02,5772
2015-06-03,5942
2015-06-04,5942
2015-06-05,5833
2015-06-06,5558
2015-06-07,5558
2015-06-08,5341
2015-06-09,5076
2015-06-10,4837
2015-06-11,4837
2015-06-12,4688
2015-06-13,4638
2015-06-14,4638
2015-06-15,4537
2015-06-16,4537
2015-06-17,4625
2015-06-18,4844
2015-06-19,4844
2015-06-20,4631
2015-06-21,4631
2015-06-22,4487
2015-06-23,4487
2015-06-24,4558
2015-06-25,4558
2015-06-26,4786
2015-06-27,4786
2015-06-28,5026
2015-06-29,5026
2015-06-30,5278
2015-07-01,5278
2015-07-02,5542
2015-07-03,5820
2015-07-04,5820
2015-07-05,6111
2015-07-06,6111
2015-07-07,6321
2015-07-08,6130
2015-07-09,6130
2015-07-10,5874
2015-07-11,5874
2015-07-12,5685
2015-07-13,5685
2015-07-14,5589
2015-07-15,5589
2015-07-16,5550
2015-07-17,5365
2015-07-18,5365
2015-07-19,5195
