date_obj,Yew%20shortbow price
2016-02-08,434
2016-02-09,431
2016-02-10,433
2016-02-11,429
2016-02-12,431
2016-02-13,432
2016-02-14,432
2016-02-15,428
2016-02-16,423
2016-02-17,423
2016-02-18,422
2016-02-19,429
2016-02-20,421
2016-02-21,424
2016-02-22,424
2016-02-23,418
2016-02-24,416
2016-02-25,404
2016-02-26,404
2016-02-27,402
2016-02-28,398
2016-02-29,402
2016-03-01,389
2016-03-02,384
2016-03-03,382
2016-03-04,376
2016-03-05,382
2016-03-06,392
2016-03-07,391
2016-03-08,393
2016-03-09,398
2016-03-10,399
2016-03-11,389
2016-03-12,390
2016-03-13,388
2016-03-14,391
2016-03-15,397
2016-03-16,401
2016-03-17,399
2016-03-18,400
2016-03-19,393
2016-03-20,384
2016-03-21,380
2016-03-22,384
2016-03-23,392
2016-03-24,402
2016-03-25,396
2016-03-26,395
2016-03-27,400
2016-03-28,401
2016-03-29,401
2016-03-30,401
2016-03-31,403
2016-04-01,404
2016-04-02,410
2016-04-03,404
2016-04-04,398
2016-04-05,390
2016-04-06,388
2016-04-07,390
2016-04-08,403
2016-04-09,401
2016-04-10,399
2016-04-11,399
2016-04-12,405
2016-04-13,410
2016-04-14,405
2016-04-15,407
2016-04-16,410
2016-04-17,402
2016-04-18,399
2016-04-19,398
2016-04-20,399
2016-04-21,403
2016-04-22,403
2016-04-23,406
2016-04-24,400
2016-04-25,403
2016-04-26,406
2016-04-27,406
2016-04-28,406
2016-04-29,402
2016-04-30,408
2016-05-01,402
2016-05-02,406
2016-05-03,410
2016-05-04,412
2016-05-05,410
2016-05-06,410
2016-05-07,409
2016-05-08,403
2016-05-09,407
2016-05-10,400
2016-05-11,399
2016-05-12,408
2016-05-13,408
2016-05-14,410
2016-05-15,398
2016-05-16,401
2016-05-17,397
2016-05-18,391
2016-05-19,386
2016-05-22,398
2016-05-23,398
2016-05-24,399
2016-05-25,400
2016-05-26,404
2016-05-27,412
2016-05-28,408
2016-05-29,399
2016-05-30,388
2016-05-31,383
2016-06-01,388
2016-06-02,398
2016-06-03,404
2016-06-04,400
2016-06-05,399
2016-06-06,394
2016-06-07,394
2016-06-08,399
2016-06-09,412
2016-06-10,423
2016-06-11,416
2016-06-12,402
2016-06-13,394
2016-06-14,384
2016-06-15,383
2016-06-16,385
2016-06-17,387
2016-06-18,392
2016-06-19,403
2016-06-20,411
2016-06-21,405
2016-06-22,406
2016-06-23,399
2016-06-24,402
2016-06-25,409
2016-06-26,410
2016-06-27,409
2016-06-28,399
2016-06-29,405
2016-06-30,407
2016-07-01,411
2016-07-02,409
2016-07-03,407
2016-07-04,412
2016-07-05,413
2016-07-06,407
2016-07-07,403
2016-07-08,412
2016-07-09,413
2016-07-10,421
2016-07-11,416
2016-07-12,428
2016-07-13,439
2016-07-14,461
2016-07-15,481
2016-07-16,468
2016-07-17,450
2016-07-18,449
2016-07-24,404
2016-07-25,399
2016-07-26,407
2016-07-27,402
2016-07-28,403
2016-07-29,401
2016-07-30,410
2016-07-31,410
2016-08-01,408
2016-08-02,403
2016-08-03,404
2016-08-04,403
2016-08-05,411
2016-08-06,406
2016-08-07,397
2016-08-08,412
2016-08-09,411
2016-08-10,398
2016-08-11,394
2016-08-12,396
2016-08-13,393
2016-08-14,396
2016-08-15,402
2016-08-16,409
2016-08-17,410
2016-08-18,405
2016-08-19,408
2016-08-20,416
2016-08-21,404
2016-08-22,398
2016-08-23,402
2016-08-24,407
2016-08-25,411
2016-08-26,411
2016-08-28,406
2016-08-31,404
2016-09-01,409
2016-09-02,409
2016-09-03,411
2016-09-04,408
2016-09-05,411
2016-09-06,411
2016-09-07,412
2016-09-08,412
2016-09-09,412
2016-09-10,416
2016-09-11,416
2016-09-12,423
2016-09-13,423
2016-09-14,423
2016-09-15,415
2016-09-16,415
2016-09-17,411
2016-09-18,408
2016-09-19,405
2016-09-20,405
2016-09-21,399
2016-09-22,392
2016-09-23,384
2016-09-24,384
2016-09-25,377
2016-09-26,377
2016-09-27,375
2016-09-28,386
2016-09-29,386
2016-09-30,390
2016-10-01,390
2016-10-02,390
2016-10-03,382
2016-10-04,381
2016-10-05,391
2016-10-06,394
2016-10-07,394
2016-10-08,397
2016-10-09,397
2016-10-10,395
2016-10-11,394
2016-10-12,394
2016-10-13,395
2016-10-14,403
2016-10-15,400
2016-10-16,399
2016-10-17,405
2016-10-18,399
2016-10-19,401
2016-10-20,412
2016-10-21,413
2016-10-22,413
2016-10-23,402
2016-10-24,401
2016-10-25,401
2016-10-26,403
2016-10-27,403
2016-10-28,401
2016-10-29,390
2016-10-30,391
2016-10-31,391
2016-11-01,391
2016-11-02,393
2016-11-03,393
2016-11-04,398
2016-11-05,398
2016-11-06,405
2016-11-07,405
2016-11-08,404
2016-11-09,398
2016-11-10,392
2016-11-11,392
2016-11-12,401
2016-11-13,401
2016-11-14,401
2016-12-08,401
2016-12-09,398
2016-12-10,390
2016-12-11,390
2016-12-12,397
2016-12-13,400
2016-12-14,399
2016-12-15,399
2016-12-16,398
2016-12-17,401
2016-12-18,403
2016-12-19,397
2016-12-20,401
2016-12-21,409
2016-12-22,410
2016-12-23,407
2016-12-24,411
2016-12-25,406
2016-12-26,415
2016-12-27,404
2016-12-28,401
2016-12-29,396
2016-12-30,395
2016-12-31,385
2017-01-01,386
2017-01-02,377
2017-01-03,364
2017-01-04,367
2017-01-05,376
2017-01-06,385
2017-01-07,386
2017-01-08,391
2017-01-09,394
2017-01-10,409
2017-01-11,410
2017-01-12,405
2017-01-13,400
2017-01-14,404
2017-01-15,406
2017-01-16,396
2017-01-17,393
2017-01-18,404
2017-01-19,405
2017-01-20,409
2017-01-21,405
2017-01-22,404
2017-01-27,387
2017-01-28,384
2017-01-29,387
2017-01-30,396
2017-01-31,404
2017-02-01,404
2017-02-02,395
2017-02-03,405
2017-02-04,400
2017-02-05,394
2017-02-06,394
2017-02-07,388
2017-02-08,385
2017-02-09,385
2017-02-10,391
2017-02-11,396
2017-02-12,389
2017-02-13,385
2017-02-14,376
2017-02-15,375
2017-02-16,384
2017-02-18,382
2017-02-19,377
2017-02-20,379
2017-02-21,371
2017-02-22,371
2017-02-23,383
2017-02-24,379
2017-02-25,381
2017-02-26,375
2017-02-27,374
2017-02-28,383
2017-03-01,391
2017-03-02,382
2017-03-03,377
2017-03-04,376
2017-03-05,380
2017-03-06,384
2017-03-07,388
2017-03-08,393
2017-03-09,380
2017-03-10,381
2017-03-11,383
2017-03-12,385
2017-03-13,383
2017-03-14,385
2017-03-15,389
2017-03-16,392
2017-03-17,381
2017-03-18,376
2017-03-19,376
2017-03-20,383
2017-03-21,386
2017-03-22,391
2017-03-23,391
2017-03-24,396
2017-03-25,413
2017-03-26,404
2017-03-27,396
2017-03-28,392
2017-03-29,389
2017-03-30,390
2017-03-31,385
2017-04-01,388
2017-04-02,389
2017-04-03,394
2017-04-04,393
2017-04-12,391
2017-04-13,398
2017-04-14,393
2017-04-15,398
2017-04-16,400
2017-04-17,406
2017-04-18,409
2017-04-19,414
2017-04-20,397
2017-04-21,391
2017-04-22,391
2017-04-23,394
2017-04-24,408
2017-04-25,408
2017-04-26,404
2017-04-27,405
2017-04-28,396
2017-04-29,399
2017-04-30,391
2017-05-01,389
2017-05-02,396
2017-05-03,399
2017-05-04,400
2017-05-05,400
2017-05-06,398
2017-05-07,389
2017-05-08,390
2017-05-09,387
2017-05-10,380
2017-05-11,375
2017-05-12,384
2017-05-13,391
2017-05-14,387
2017-05-15,386
2017-05-16,387
2017-05-17,378
2017-05-18,380
2017-05-19,373
2017-05-20,369
2017-05-21,369
2017-05-22,372
2017-05-23,370
2017-05-24,374
2017-05-25,364
2017-05-26,354
2017-05-27,352
2017-05-28,346
2017-05-29,346
2017-05-30,352
2017-05-31,365
2017-06-01,373
2017-06-02,373
2017-06-03,374
2017-06-06,375
2017-06-07,372
2017-06-08,368
2017-06-09,359
2017-06-10,356
2017-06-11,356
2017-06-12,352
2017-06-13,365
2017-06-14,357
2017-06-15,360
2017-06-16,367
2017-06-17,364
2017-06-18,366
2017-06-19,366
2017-06-20,370
2017-06-21,370
2017-06-22,379
2017-06-23,380
2017-06-24,381
2017-06-25,383
2017-06-26,389
2017-06-27,384
2017-06-28,378
2017-06-29,379
2017-06-30,391
2017-07-01,391
2017-07-02,381
2017-07-03,373
2017-07-04,382
2017-07-05,382
2017-07-06,381
2017-07-07,381
2017-07-08,378
2017-07-13,367
2017-07-14,364
2017-07-15,365
2017-07-16,361
2017-07-17,369
2017-07-18,369
2017-07-19,385
2017-07-20,403
2017-07-21,392
2017-07-22,381
2017-07-23,385
2017-07-24,374
2017-07-25,376
2017-07-26,387
