date_obj,Shayzien%20hood price
2016-07-06,5000000
2016-07-07,4768130
2016-07-08,4768130
2016-07-09,4768130
2016-07-10,4529723
2016-07-11,4529723
2016-07-12,4305373
2016-07-13,4305373
2016-07-14,4305373
2016-07-15,4093770
2016-07-16,4093770
2016-07-17,4093770
2016-07-18,4093770
2016-07-23,3697925
2016-07-24,3697925
2016-07-25,3513028
2016-07-26,3513028
2016-07-27,3513028
2016-07-28,3513028
2016-07-29,3337376
2016-07-30,3337376
2016-07-31,3337376
2016-08-01,3337376
2016-08-02,3172891
2016-08-03,3172891
2016-08-04,3172891
2016-08-05,3172891
2016-08-06,3014246
2016-08-07,3014246
2016-08-08,3014246
2016-08-09,3014246
2016-08-10,2865115
2016-08-11,2865115
2016-08-12,2865115
2016-08-13,2865115
2016-08-14,2865115
2016-08-15,2721859
2016-08-16,2721859
2016-08-17,2721859
2016-08-18,2721859
2016-08-19,2721859
2016-08-20,2585766
2016-08-21,2585766
2016-08-22,2585766
2016-08-23,2585766
2016-08-24,2585766
2016-08-25,2458930
2016-08-26,2458930
2016-08-28,2458930
2016-08-31,2338648
2016-09-01,2338648
2016-09-02,2338648
2016-09-03,2338648
2016-09-04,2222001
2016-09-05,2222001
2016-09-06,2222001
2016-09-07,2222001
2016-09-08,2222001
2016-09-09,2112455
2016-09-10,2112455
2016-09-11,2112455
2016-09-12,2112455
2016-09-13,2112455
2016-09-14,2112455
2016-09-15,2006832
2016-09-16,2006832
2016-09-17,2006832
2016-09-18,2006832
2016-09-19,2006832
2016-09-20,2006832
2016-09-21,1908142
2016-09-22,1908142
2016-09-23,1908142
2016-09-24,1908142
2016-09-25,1908142
2016-09-26,1814589
2016-09-27,1814589
2016-09-28,1814589
2016-09-29,1814589
2016-09-30,1725314
2016-10-01,1725314
2016-10-02,1725314
2016-10-03,1725314
2016-10-04,1725314
2016-10-05,1640106
2016-10-06,1640106
2016-10-07,1640106
2016-10-08,1640106
2016-10-09,1640106
2016-10-11,1559551
2016-10-12,1559551
2016-10-13,1559551
2016-10-14,1482609
2016-10-15,1482609
2016-10-16,1482609
2016-10-17,1482609
2016-10-18,1482609
2016-10-19,1409776
2016-10-20,1409776
2016-10-21,1409776
2016-10-22,1409776
2016-10-23,1409776
2016-10-24,1340068
2016-10-25,1340068
2016-10-26,1340068
2016-10-27,1340068
2016-10-28,1340068
2016-10-29,1340068
2016-10-30,1274530
2016-10-31,1274530
2016-11-01,1274530
2016-11-02,1274530
2016-11-03,1274530
2016-11-04,1211942
