date_obj,Blue%20d'hide%20body%20(t) price
2015-03-26,5373
2015-03-27,5373
2015-03-28,5175
2015-03-29,5001
2015-03-30,4844
2015-03-31,4844
2015-04-01,4908
2015-04-02,4908
2015-04-03,4795
2015-04-04,4734
2015-04-05,4734
2015-04-06,4742
2015-04-07,4742
2015-04-08,4739
2015-04-09,4739
2015-04-10,4934
2015-04-11,4934
2015-04-12,4963
2015-04-13,4963
2015-04-14,4964
2015-04-15,4964
2015-04-16,4852
2015-04-17,4852
2015-04-18,4970
2015-04-19,4970
2015-04-20,5117
2015-04-21,5117
2015-04-22,5150
2015-04-23,5182
2015-04-24,5182
2015-04-25,5287
2015-04-26,5287
2015-04-27,5243
2015-04-28,5243
2015-04-29,5329
2015-04-30,5329
2015-05-01,5256
2015-05-02,5284
2015-05-03,5284
2015-05-04,5341
2015-05-05,5341
2015-05-06,5405
2015-05-07,5405
2015-05-08,5379
2015-05-09,5379
2015-05-10,5274
2015-05-11,5274
2015-05-12,5413
2015-05-13,5413
2015-05-14,5358
2015-05-15,5358
2015-05-16,5368
2015-05-17,5257
2015-05-18,5257
2015-05-19,5268
2015-05-20,5268
2015-05-21,5268
2015-05-22,5303
2015-05-23,5303
2015-05-24,5318
2015-05-25,5318
2015-05-26,5331
2015-05-27,5331
2015-05-28,5389
2015-05-29,5389
2015-05-30,5366
2015-05-31,5366
2015-06-01,5312
2015-06-02,5312
2015-06-03,5312
2015-06-04,5345
2015-06-05,5428
2015-06-06,5428
2015-06-07,5370
2015-06-08,5370
2015-06-09,5312
2015-06-10,5312
2015-06-11,5374
2015-06-12,5374
2015-06-13,5417
2015-06-14,5417
2015-06-15,5413
2015-06-16,5413
2015-06-17,5413
2015-06-18,5331
2015-06-19,5331
2015-06-20,5201
2015-06-21,5201
2015-06-22,5335
2015-06-23,5335
2015-06-24,5265
2015-06-25,5265
2015-06-26,5325
2015-06-27,5325
2015-06-28,5334
2015-06-29,5334
2015-06-30,5327
2015-07-01,5327
2015-07-02,5351
2015-07-03,5351
2015-07-04,5356
2015-07-05,5356
2015-07-06,5356
2015-07-07,5400
2015-07-08,5400
2015-07-09,5411
2015-07-10,5411
2015-07-11,5458
2015-07-12,5458
2015-07-13,5452
2015-07-14,5452
2015-07-15,5456
2015-07-16,5456
2015-07-17,5436
2015-07-18,5436
2015-07-19,5436
2015-07-20,5491
2015-07-21,5491
2015-07-22,5428
2015-07-23,5428
2015-07-24,5375
2015-07-25,5375
2015-07-26,5375
2015-07-27,5281
2015-07-28,5281
2015-07-29,5350
2015-07-30,5350
2015-07-31,5350
2015-08-01,5359
2015-08-02,5359
2015-08-03,5387
2015-08-04,5387
2015-08-05,5372
2015-08-06,5372
2015-08-07,5372
2015-08-08,5334
2015-08-09,5334
2015-08-10,5318
2015-08-11,5318
2015-08-12,5318
2015-08-13,5243
2015-08-14,5243
2015-08-15,5295
2015-08-16,5295
2015-08-17,5195
2015-08-18,5195
2015-08-19,5201
2015-08-20,5201
2015-08-21,5312
2015-08-22,5312
2015-08-23,5312
2015-08-24,5318
2015-08-25,5318
2015-08-26,5318
2015-08-27,5292
2015-08-28,5292
2015-08-29,5353
2015-08-30,5353
2015-08-31,5402
2015-09-01,5402
2015-09-02,5402
2015-09-03,5368
2015-09-04,5368
2015-09-05,5373
2015-09-06,5373
2015-09-07,5408
2015-09-08,5408
2015-09-09,5417
2015-09-10,5417
2015-09-11,5282
2015-09-12,5282
2015-09-13,5147
2015-09-14,5147
2015-09-15,5184
2015-09-16,5184
2015-09-17,5333
2015-09-18,5333
2015-09-19,5419
2015-09-20,5419
2015-09-21,5440
