date_obj,Armadyl%20chainskirt price
2015-03-26,16300194
2015-03-27,16771471
2015-03-28,16771471
2015-03-29,17437032
2015-03-30,17437032
2015-03-31,17437032
2015-04-01,17311654
2015-04-02,17311654
2015-04-03,17311654
2015-04-04,17891604
2015-04-05,17891604
2015-04-06,17891604
2015-04-07,18063535
2015-04-08,18063535
2015-04-09,18063535
2015-04-10,18294495
2015-04-11,18294495
2015-04-12,18294495
2015-04-13,18559552
2015-04-14,18559552
2015-04-15,19101955
2015-04-16,19101955
2015-04-17,19101955
2015-04-18,19239563
2015-04-19,19239563
2015-04-20,19239563
2015-04-21,19502587
2015-04-22,19502587
2015-04-23,19528776
2015-04-24,19528776
2015-04-25,19528776
2015-04-26,19372436
2015-04-27,19372436
2015-04-28,18976443
2015-04-29,18976443
2015-04-30,18976443
2015-05-01,18678522
2015-05-02,18678522
2015-05-03,18678522
2015-05-04,18396101
2015-05-05,18396101
2015-05-06,17988200
2015-05-07,17988200
2015-05-08,18135093
2015-05-09,18135093
2015-05-10,18099004
2015-05-11,18099004
2015-05-12,18099004
2015-05-13,18105278
2015-05-14,18105278
2015-05-15,17862833
2015-05-16,17862833
2015-05-17,18016689
2015-05-18,18016689
2015-05-19,18113827
2015-05-20,18113827
2015-05-21,18113827
2015-05-22,17839877
2015-05-23,17839877
2015-05-24,17708145
2015-05-25,17708145
2015-05-26,17622927
2015-05-27,17622927
2015-05-28,17463144
2015-05-29,17463144
2015-05-30,17456498
2015-05-31,17456498
2015-06-01,17414789
2015-06-02,17414789
2015-06-03,17635030
2015-06-04,17635030
2015-06-05,17573330
2015-06-06,17720204
2015-06-07,17720204
2015-06-08,17771471
2015-06-09,18301600
2015-06-10,18215598
2015-06-11,18215598
2015-06-12,17461330
2015-06-13,16666068
2015-06-14,16666068
2015-06-15,16081889
2015-06-16,16288885
2015-06-17,16288885
2015-06-18,16173254
2015-06-19,16173254
2015-06-20,15759831
2015-06-21,15759831
2015-06-22,16049477
2015-06-23,16049477
2015-06-24,16338875
2015-06-25,16338875
2015-06-26,16317060
2015-06-27,16317060
2015-06-28,16517076
2015-06-29,16517076
2015-06-30,16523992
2015-07-01,16247803
2015-07-02,16247803
2015-07-03,16176309
2015-07-04,16176309
2015-07-05,16067124
2015-07-06,16067124
2015-07-07,16206324
2015-07-08,16280587
2015-07-09,16280587
2015-07-10,16389311
2015-07-11,16389311
2015-07-12,16197607
2015-07-13,16091690
2015-07-14,16091690
2015-07-15,16083077
2015-07-16,16083077
2015-07-17,16133142
2015-07-18,16133142
2015-07-19,16124424
2015-07-20,15935750
2015-07-21,15935750
2015-07-22,15826393
2015-07-23,15826393
2015-07-24,15685394
2015-07-25,15685394
2015-07-26,15611582
2015-07-27,15756350
2015-07-28,15756350
2015-07-29,15675313
2015-07-30,15675313
2015-07-31,15507410
2015-08-01,15483215
2015-08-02,15404588
2015-08-03,15380521
2015-08-04,15380521
2015-08-05,15366066
2015-08-06,15783373
2015-08-07,16296516
2015-08-08,16617346
2015-08-09,17351964
2015-08-10,17313662
2015-08-11,17470163
2015-08-12,17470163
2015-08-13,17297704
2015-08-14,17166673
2015-08-15,17166673
2015-08-16,16953608
2015-08-17,17064801
2015-08-18,17028616
2015-08-19,17153930
2015-08-20,17255416
2015-08-21,17832073
2015-08-22,17837048
2015-08-23,17837048
2015-08-24,17989811
2015-08-25,17989811
2015-08-26,17772966
2015-08-27,17024271
2015-08-28,16216106
2015-08-29,15650404
2015-08-30,15650404
2015-08-31,15341367
2015-09-01,15268570
2015-09-02,15268570
2015-09-03,15487876
2015-09-04,15376013
2015-09-05,15376013
2015-09-06,15272597
2015-09-07,15267614
2015-09-08,15491777
2015-09-09,15135953
2015-09-10,14976689
2015-09-11,14820248
2015-09-12,14782073
2015-09-13,14572402
2015-09-14,14393648
2015-09-15,14326393
2015-09-16,14326393
2015-09-17,14293725
2015-09-18,14293725
2015-09-19,14161303
2015-09-20,14069365
2015-09-21,13962435
2015-09-22,13755497
2015-09-23,13399644
2015-09-24,13399644
2015-09-25,12803461
2015-09-27,12516602
2015-09-28,12909576
2015-09-29,13280532
2015-09-30,13378910
2015-10-05,12400251
2015-10-06,12392515
2015-10-07,12146341
2015-10-08,12076301
2015-10-09,12073523
2015-10-10,12073523
2015-10-11,12081934
2015-10-12,12282834
2015-10-13,12282834
2015-10-14,12436592
2015-10-15,12164783
2015-10-16,12131402
2015-10-17,12131402
2015-10-18,12151641
2015-10-19,11955928
2015-10-20,11936584
2015-10-22,12014870
2015-10-23,12018959
2015-10-24,12067195
2015-10-25,12066263
2015-10-26,12477363
2015-10-27,12477363
2015-10-28,12547582
2015-10-29,12431778
2015-10-30,12431778
2015-10-31,12331944
2015-11-01,12331944
2015-11-02,12231553
2015-11-03,12231553
2015-11-04,11986512
2015-11-05,11722268
2015-11-06,11722268
2015-11-07,12041873
2015-11-08,12041873
2015-11-09,12004271
2015-11-10,12004271
2015-11-11,12130537
2015-11-12,12130537
2015-11-13,11968877
2015-11-14,11968877
2015-11-15,11981981
2015-11-16,11835135
2015-11-17,11835135
2015-11-18,11918684
2015-11-19,12201053
2015-11-20,12615674
2015-11-21,12615674
2015-11-22,12520113
2015-11-23,12520113
2015-11-24,12481904
2015-11-25,12743192
2015-11-26,12743192
2015-11-27,13013469
2015-11-28,12760943
2015-11-29,12336137
2015-11-30,12176409
2015-12-01,12176409
2015-12-02,12066333
2015-12-03,12022037
2015-12-04,12022037
2015-12-05,12152294
2015-12-06,12252622
2015-12-07,12516216
2015-12-08,12646967
2015-12-09,12679100
2015-12-10,12642370
2015-12-11,12693686
2015-12-12,12936810
2015-12-13,12940357
2015-12-14,12940357
2015-12-15,12770803
2015-12-16,12650065
2015-12-17,12650065
2015-12-18,12682944
2015-12-19,12761275
2015-12-20,12890881
2015-12-21,13196861
2015-12-22,13104232
2015-12-23,13099099
2015-12-24,13059808
2015-12-25,13502354
2015-12-26,13548990
2015-12-27,13510354
2015-12-28,13522792
2015-12-29,13316763
2015-12-30,13240778
2015-12-31,13274334
2016-01-01,13303002
2016-01-02,13871291
2016-01-03,14160144
2016-01-04,13954699
2016-01-05,13761705
2016-01-06,13602746
2016-01-07,13621332
2016-01-08,13677975
2016-01-09,13738233
2016-01-10,13737839
