date_obj,Pirate%20leggings%20(brown) price
2015-02-25,47250
2015-02-26,47250
2015-02-27,47250
2015-02-28,47250
2015-03-01,47250
2015-03-02,47250
2015-03-03,47250
2015-03-04,47250
2015-03-05,47250
2015-03-06,47250
2015-03-07,47250
2015-03-08,47250
2015-03-09,47250
2015-03-10,47250
2015-03-11,47250
2015-03-12,47250
2015-03-13,47250
2015-03-14,47250
2015-03-15,47250
2015-03-16,47250
2015-03-17,47250
2015-03-18,47250
2015-03-19,47250
2015-03-20,47250
2015-03-21,47250
2015-03-22,47250
2015-03-23,47250
2015-03-24,47250
2015-03-25,47250
2015-03-26,47250
2015-03-27,47250
2015-03-28,47250
2015-03-29,47250
2015-03-30,47250
2015-03-31,47250
2015-04-01,47250
2015-04-02,44964
2015-04-03,44964
2015-04-04,44964
2015-04-05,44964
2015-04-06,44964
2015-04-07,44964
2015-04-08,44964
2015-04-09,44964
2015-04-10,44964
2015-04-11,44964
2015-04-12,44964
2015-04-13,44964
2015-04-14,44964
2015-04-15,44964
2015-04-16,44964
2015-04-17,44964
2015-04-18,44964
2015-04-19,44964
2015-04-20,44964
2015-04-21,44964
2015-04-22,44964
2015-04-23,44964
2015-04-24,44964
2015-04-25,44964
2015-04-26,44964
2015-04-27,44964
2015-04-28,44964
2015-04-29,44964
2015-04-30,44964
2015-05-01,44964
2015-05-02,44964
2015-05-03,44964
2015-05-04,44964
2015-05-05,44964
2015-05-06,44964
2015-05-07,44964
2015-05-08,44964
2015-05-09,44964
2015-05-10,44964
2015-05-11,44964
2015-05-12,42745
2015-05-13,42745
2015-05-14,42745
2015-05-15,42745
2015-05-16,42745
2015-05-17,42745
2015-05-18,42745
2015-05-19,42745
2015-05-20,42745
2015-05-21,42745
2015-05-22,42745
2015-05-23,42745
2015-05-24,42745
2015-05-25,42745
2015-05-26,42745
2015-05-27,42745
2015-05-28,42745
2015-05-29,42745
2015-05-30,42745
2015-05-31,42745
2015-06-01,42745
2015-06-02,42745
2015-06-03,42745
2015-06-04,42745
2015-06-05,42745
2015-06-06,42745
2015-06-07,42745
2015-06-08,40804
2015-06-09,40804
2015-06-10,40804
2015-06-11,40804
2015-06-12,40804
2015-06-13,40804
2015-06-14,40804
2015-06-15,40804
2015-06-16,40804
2015-06-17,40804
2015-06-18,40804
2015-06-19,40804
2015-06-20,40804
2015-06-21,40804
2015-06-22,40804
2015-06-23,40804
2015-06-24,40804
2015-06-25,40804
2015-06-26,40804
2015-06-27,40804
2015-06-28,40804
2015-06-29,40804
2015-06-30,40804
2015-07-01,40804
2015-07-02,40804
2015-07-03,38784
2015-07-04,38784
2015-07-05,38784
2015-07-06,38784
2015-07-07,38784
2015-07-08,38784
2015-07-09,38784
2015-07-10,38784
2015-07-11,38784
2015-07-12,38784
2015-07-13,38784
2015-07-14,38784
2015-07-15,38784
2015-07-16,38784
2015-07-17,38784
2015-07-18,38784
2015-07-19,38784
2015-07-20,38784
2015-07-21,38784
2015-07-22,36875
2015-07-23,36875
2015-07-24,36875
2015-07-25,36875
2015-07-26,36875
2015-07-27,36875
2015-07-28,36875
2015-07-29,36875
2015-07-30,36875
2015-07-31,36875
2015-08-01,36875
2015-08-02,36875
2015-08-03,36875
2015-08-04,36875
2015-08-05,36875
2015-08-06,36875
2015-08-07,36875
2015-08-08,35075
2015-08-09,35075
2015-08-10,35075
2015-08-11,35075
2015-08-12,35075
2015-08-13,35075
2015-08-14,35075
2015-08-15,35075
2015-08-16,35075
2015-08-17,35075
2015-08-18,35075
2015-08-19,35075
2015-08-20,35075
2015-08-21,35075
2015-08-22,35075
2015-08-23,35075
2015-08-24,35075
2015-08-25,35075
2015-08-26,35075
2015-08-27,35075
2015-08-28,35075
2015-08-29,33368
2015-08-30,33368
2015-08-31,33368
2015-09-01,33368
2015-09-02,33368
2015-09-03,33368
2015-09-04,33368
2015-09-05,33368
2015-09-06,33368
2015-09-07,33368
2015-09-08,33368
2015-09-09,33368
2015-09-10,33368
2015-09-11,33368
2015-09-12,33368
2015-09-13,33368
2015-09-14,33368
2015-09-15,33368
2015-09-16,33368
2015-09-17,31745
2015-09-18,31745
2015-09-19,31745
2015-09-20,31745
2015-09-21,31745
2015-09-22,31745
2015-09-23,31745
2015-09-24,31745
2015-09-25,31745
2015-09-26,31745
2015-09-27,31745
2015-09-28,31745
2015-09-29,31745
2015-09-30,31745
2015-10-01,31745
2015-10-02,31745
2015-10-03,31745
2015-10-04,31745
2015-10-05,31745
2015-10-06,31745
2015-10-07,31745
2015-10-08,30190
2015-10-09,30190
2015-10-10,30190
2015-10-11,30190
2015-10-12,30190
2015-10-13,30190
2015-10-14,30190
2015-10-15,30190
2015-10-16,30190
2015-10-17,30190
2015-10-18,30190
2015-10-19,30190
2015-10-20,30190
2015-10-21,30190
2015-10-22,30190
2015-10-23,30190
2015-10-24,30190
2015-10-25,30190
2015-10-26,30190
2015-10-27,30190
2015-10-28,30190
2015-10-29,30190
2015-10-30,30190
2015-10-31,30190
2015-11-01,30190
2015-11-02,28695
2015-11-03,28695
2015-11-04,28695
2015-11-05,28695
2015-11-06,28695
2015-11-07,28695
2015-11-08,28695
2015-11-09,28695
2015-11-10,28695
2015-11-11,28695
2015-11-12,28695
2015-11-13,28695
2015-11-14,28695
2015-11-15,28695
2015-11-16,28695
2015-11-17,28695
