date_obj,Bronze%20crossbow price
2015-03-26,345
2015-03-27,345
2015-03-28,353
2015-03-29,353
2015-03-30,353
2015-03-31,353
2015-04-01,353
2015-04-02,353
2015-04-03,353
2015-04-04,353
2015-04-05,353
2015-04-06,353
2015-04-07,370
2015-04-08,370
2015-04-09,370
2015-04-10,370
2015-04-11,370
2015-04-12,370
2015-04-13,370
2015-04-14,370
2015-04-15,370
2015-04-16,370
2015-04-17,370
2015-04-18,370
2015-04-19,377
2015-04-20,377
2015-04-21,377
2015-04-22,377
2015-04-23,377
2015-04-24,377
2015-04-25,377
2015-04-26,377
2015-04-27,377
2015-04-28,377
2015-04-29,377
2015-04-30,377
2015-05-01,374
2015-05-02,374
2015-05-03,374
2015-05-04,374
2015-05-05,374
2015-05-06,374
2015-05-07,374
2015-05-08,374
2015-05-09,374
2015-05-10,374
2015-05-11,374
2015-05-12,374
2015-05-13,374
2015-05-14,374
2015-05-15,364
2015-05-16,364
2015-05-17,364
2015-05-18,364
2015-05-19,364
2015-05-20,364
2015-05-21,364
2015-05-22,364
2015-05-23,364
2015-05-24,364
2015-05-25,364
2015-05-26,364
2015-05-27,364
2015-05-28,356
2015-05-29,356
2015-05-30,356
2015-05-31,356
2015-06-01,356
2015-06-02,356
2015-06-03,356
2015-06-04,356
2015-06-05,356
2015-06-06,347
2015-06-07,347
2015-06-08,347
2015-06-09,347
2015-06-10,347
2015-06-11,347
2015-06-12,347
2015-06-13,347
2015-06-14,347
2015-06-15,340
2015-06-16,340
2015-06-17,340
2015-06-18,340
2015-06-19,340
2015-06-20,340
2015-06-21,340
2015-06-22,340
2015-06-23,340
2015-06-24,339
2015-06-25,339
2015-06-26,339
2015-06-27,339
2015-06-28,339
2015-06-29,339
2015-06-30,339
2015-07-01,339
2015-07-02,339
2015-07-03,323
2015-07-04,323
2015-07-05,323
2015-07-06,323
2015-07-07,323
2015-07-08,323
2015-07-09,323
2015-07-10,323
2015-07-11,323
2015-07-12,323
2015-07-13,309
2015-07-14,309
2015-07-15,309
2015-07-16,309
2015-07-17,309
2015-07-18,309
2015-07-19,309
2015-07-20,309
2015-07-21,309
2015-07-22,293
2015-07-23,293
2015-07-24,293
2015-07-25,293
2015-07-26,293
2015-07-27,293
2015-07-28,293
2015-07-29,293
2015-07-30,293
2015-07-31,293
2015-08-01,280
2015-08-02,280
2015-08-03,280
2015-08-04,280
2015-08-05,280
2015-08-06,280
2015-08-07,280
2015-08-08,280
2015-08-09,268
2015-08-10,268
2015-08-11,268
2015-08-12,268
2015-08-13,268
2015-08-14,268
2015-08-15,268
2015-08-16,268
2015-08-17,268
2015-08-18,255
2015-08-19,255
2015-08-20,255
2015-08-21,255
2015-08-22,255
2015-08-23,255
2015-08-24,255
2015-08-25,255
2015-08-26,255
2015-08-27,255
2015-08-28,246
2015-08-29,246
2015-08-30,246
2015-08-31,246
2015-09-01,246
2015-09-02,246
2015-09-03,246
2015-09-04,246
2015-09-05,246
2015-09-06,246
2015-09-07,246
2015-09-08,246
2015-09-09,239
2015-09-10,239
2015-09-11,239
2015-09-12,239
2015-09-13,239
2015-09-14,239
2015-09-15,239
2015-09-16,239
2015-09-17,239
2015-09-18,239
2015-09-19,239
2015-09-20,232
2015-09-21,232
2015-09-22,232
2015-09-23,232
2015-09-24,232
2015-09-25,232
2015-09-27,232
2015-09-28,232
2015-09-29,232
2015-09-30,232
2015-10-05,231
2015-10-06,231
2015-10-07,231
2015-10-08,231
2015-10-09,231
2015-10-10,231
2015-10-11,231
2015-10-12,231
2015-10-13,231
2015-10-14,231
2015-10-15,229
2015-10-16,229
2015-10-17,229
2015-10-18,229
2015-10-19,229
2015-10-20,229
2015-10-22,229
2015-10-23,229
2015-10-24,229
2015-10-25,229
2015-10-26,229
2015-10-27,229
2015-10-29,237
2015-10-30,237
2015-10-31,237
2015-11-01,237
2015-11-02,237
2015-11-03,237
2015-11-04,237
2015-11-05,237
2015-11-06,237
2015-11-07,237
2015-11-08,240
2015-11-09,240
2015-11-10,240
2015-11-11,240
2015-11-12,240
2015-11-13,240
2015-11-14,240
2015-11-15,240
2015-11-16,240
2015-11-17,240
2015-11-18,240
2015-11-19,240
2015-11-20,248
2015-11-21,248
2015-11-22,248
2015-11-23,248
2015-11-24,248
2015-11-25,248
2015-11-26,248
2015-11-27,248
2015-11-28,248
2015-11-29,248
2015-11-30,249
2015-12-01,249
2015-12-02,249
2015-12-03,249
2015-12-04,249
2015-12-05,238
2015-12-06,238
2015-12-07,238
2015-12-08,238
2015-12-09,238
2015-12-10,228
2015-12-11,228
2015-12-12,228
2015-12-13,228
2015-12-14,228
2015-12-15,228
2015-12-16,217
2015-12-17,217
2015-12-18,217
2015-12-19,217
2015-12-20,217
2015-12-21,217
2015-12-22,207
2015-12-23,207
2015-12-24,207
2015-12-25,207
2015-12-26,207
2015-12-27,207
2015-12-28,207
2015-12-29,196
2015-12-30,196
2015-12-31,196
2016-01-01,196
2016-01-02,196
2016-01-03,196
2016-01-04,189
2016-01-05,189
2016-01-06,189
2016-01-07,189
2016-01-08,189
2016-01-09,189
2016-01-10,189
2016-01-11,189
2016-01-12,187
2016-01-13,187
2016-01-14,187
2016-01-15,187
2016-01-16,187
2016-01-17,187
2016-01-18,187
2016-01-19,187
2016-01-20,185
2016-01-21,185
2016-01-22,185
2016-01-23,185
2016-01-24,185
2016-01-25,185
2016-01-26,185
2016-01-27,177
2016-01-28,177
2016-01-29,177
2016-01-30,177
2016-01-31,177
2016-02-01,177
2016-02-02,177
2016-02-03,174
2016-02-04,174
2016-02-05,174
2016-02-06,174
2016-02-07,174
2016-02-08,174
2016-02-09,174
2016-02-10,174
2016-02-11,174
2016-02-12,169
2016-02-13,169
2016-02-14,169
2016-02-15,169
2016-02-16,169
2016-02-17,169
2016-02-18,169
2016-02-19,163
2016-02-20,163
2016-02-21,163
2016-02-22,163
2016-02-23,163
2016-02-24,163
2016-02-25,163
2016-02-26,158
2016-02-27,158
2016-02-28,158
2016-02-29,158
2016-03-01,158
2016-03-02,158
2016-03-03,158
2016-03-04,152
2016-03-05,152
2016-03-06,152
2016-03-07,152
2016-03-08,152
2016-03-09,152
2016-03-10,152
2016-03-11,148
2016-03-12,148
2016-03-13,148
2016-03-14,148
2016-03-15,148
2016-03-16,148
2016-03-17,148
2016-03-18,147
2016-03-19,147
2016-03-20,147
2016-03-21,147
2016-03-22,147
2016-03-23,147
2016-03-24,147
2016-03-25,140
2016-03-26,140
2016-03-27,140
2016-03-28,140
2016-03-29,140
2016-03-30,140
2016-03-31,137
2016-04-01,137
2016-04-02,137
2016-04-03,137
2016-04-04,137
2016-04-05,137
2016-04-06,133
2016-04-07,133
2016-04-08,133
2016-04-09,133
2016-04-10,133
2016-04-11,133
2016-04-12,133
2016-04-13,138
2016-04-14,138
2016-04-15,138
2016-04-16,138
2016-04-17,138
2016-04-18,138
2016-04-19,139
2016-04-20,139
2016-04-21,139
2016-04-22,139
2016-04-23,139
2016-04-24,139
2016-04-25,139
2016-04-26,135
2016-04-27,135
2016-04-28,135
