date_obj,Body%20tiara price
2015-03-26,9201
2015-03-27,8746
2015-03-28,8746
2015-03-29,8746
2015-03-30,8746
2015-03-31,8319
2015-04-01,8319
2015-04-02,8319
2015-04-03,8319
2015-04-04,8319
2015-04-05,7914
2015-04-06,7914
2015-04-07,7914
2015-04-08,7914
2015-04-09,7914
2015-04-10,7527
2015-04-11,7527
2015-04-12,7527
2015-04-13,7527
2015-04-14,7527
2015-04-15,7158
2015-04-16,7158
2015-04-17,7158
2015-04-18,7158
2015-04-19,6803
2015-04-20,6803
2015-04-21,6803
2015-04-22,6803
2015-04-23,6803
2015-04-24,6468
2015-04-25,6468
2015-04-26,6468
2015-04-27,6468
2015-04-28,6150
2015-04-29,6150
2015-04-30,6150
2015-05-01,6150
2015-05-02,5847
2015-05-03,5847
2015-05-04,5847
2015-05-05,5847
2015-05-06,5847
2015-05-07,5556
2015-05-08,5556
2015-05-09,5556
2015-05-10,5556
2015-05-11,5556
2015-05-12,5281
2015-05-13,5281
2015-05-14,5281
2015-05-15,5281
2015-05-16,5281
2015-05-17,5025
2015-05-18,5025
2015-05-19,5025
2015-05-20,5025
2015-05-21,5025
2015-05-22,4782
2015-05-23,4782
2015-05-24,4782
2015-05-25,4782
2015-05-26,4551
2015-05-27,4551
2015-05-28,4551
2015-05-29,4551
2015-05-30,4323
2015-05-31,4323
2015-06-01,4323
2015-06-02,4323
2015-06-03,4108
2015-06-04,4108
2015-06-05,4108
2015-06-06,3906
2015-06-07,3906
2015-06-08,3906
2015-06-09,3720
2015-06-10,3720
2015-06-11,3720
2015-06-12,3720
2015-06-13,3540
2015-06-14,3540
2015-06-15,3540
2015-06-16,3367
2015-06-17,3367
2015-06-18,3367
2015-06-19,3367
2015-06-20,3201
2015-06-21,3201
2015-06-22,3201
2015-06-23,3201
2015-06-24,3044
2015-06-25,3044
2015-06-26,3044
2015-06-27,3044
2015-06-28,2896
2015-06-29,2896
2015-06-30,2896
2015-07-01,2896
2015-07-02,2756
2015-07-03,2756
2015-07-04,2756
2015-07-05,2620
2015-07-06,2620
2015-07-07,2620
2015-07-08,2491
2015-07-09,2491
2015-07-10,2491
2015-07-11,2491
2015-07-12,2491
2015-07-13,2370
2015-07-14,2370
2015-07-15,2370
2015-07-16,2370
2015-07-17,2254
2015-07-18,2254
2015-07-19,2254
2015-07-20,2144
2015-07-21,2144
2015-07-22,2039
2015-07-23,2039
2015-07-24,2039
2015-07-25,1941
2015-07-26,1941
2015-07-27,1941
2015-07-28,1846
2015-07-29,1846
2015-07-30,1754
2015-07-31,1754
2015-08-01,1754
2015-08-02,1667
2015-08-03,1667
2015-08-04,1667
2015-08-05,1584
2015-08-06,1584
2015-08-07,1584
2015-08-08,1506
2015-08-09,1506
2015-08-10,1506
2015-08-11,1432
2015-08-12,1432
2015-08-13,1432
2015-08-14,1362
2015-08-15,1362
2015-08-16,1362
2015-08-17,1296
2015-08-18,1296
2015-08-19,1296
2015-08-20,1233
2015-08-21,1233
2015-08-22,1172
2015-08-23,1172
2015-08-24,1172
2015-08-25,1172
2015-08-26,1114
2015-08-27,1114
2015-08-28,1060
2015-08-29,1060
2015-08-30,1060
2015-08-31,1010
2015-09-01,1010
2015-09-02,1010
2015-09-03,962
2015-09-04,962
2015-09-05,962
2015-09-06,962
2015-09-07,914
2015-09-08,914
2015-09-09,914
2015-09-10,870
2015-09-11,870
2015-09-12,870
2015-09-13,827
2015-09-14,827
2015-09-15,827
2015-09-16,827
2015-09-17,786
2015-09-18,786
2015-09-19,786
2015-09-20,786
2015-09-21,746
2015-09-22,746
2015-09-23,746
2015-09-24,746
2015-09-25,709
2015-09-27,709
2015-09-28,709
2015-09-29,674
2015-09-30,674
2015-10-05,641
2015-10-06,641
2015-10-07,609
2015-10-08,609
2015-10-09,609
2015-10-10,609
2015-10-11,579
2015-10-12,579
2015-10-13,579
2015-10-14,579
2015-10-15,551
2015-10-16,551
2015-10-17,551
2015-10-18,551
2015-10-19,524
2015-10-20,524
2015-10-22,524
2015-10-23,498
2015-10-24,498
2015-10-25,498
2015-10-26,475
2015-10-27,475
2015-10-29,475
2015-10-30,475
2015-10-31,452
2015-11-01,452
2015-11-02,452
2015-11-03,452
2015-11-04,452
2015-11-05,430
2015-11-06,430
2015-11-07,430
2015-11-08,430
2015-11-09,430
2015-11-10,409
2015-11-11,409
2015-11-12,409
2015-11-13,409
2015-11-14,389
2015-11-15,389
2015-11-16,389
2015-11-17,389
2015-11-18,371
2015-11-19,371
2015-11-20,371
2015-11-21,371
2015-11-22,353
2015-11-23,353
2015-11-24,353
2015-11-25,353
2015-11-26,353
2015-11-27,336
2015-11-28,336
2015-11-29,336
2015-11-30,336
2015-12-01,321
2015-12-02,321
2015-12-03,321
2015-12-04,321
2015-12-05,305
2015-12-06,305
2015-12-07,305
2015-12-08,305
2015-12-09,289
2015-12-10,289
2015-12-11,289
2015-12-12,289
2015-12-13,274
2015-12-14,274
2015-12-15,274
2015-12-16,274
2015-12-17,260
