date_obj,Adamant%20platebody%20(h2) price
2020-01-08,9384
2020-01-09,9384
2020-01-10,9384
2020-01-11,9388
2020-01-12,9388
2020-01-13,9388
2020-01-14,9388
2020-01-15,9446
2020-01-16,9446
2020-01-17,9446
2020-01-18,9466
2020-01-19,9466
2020-01-20,9552
2020-01-21,9552
2020-01-22,9552
2020-01-23,9422
2020-01-24,9422
2020-01-25,9422
2020-01-26,9367
2020-01-27,9367
2020-01-28,9367
2020-01-29,9317
2020-01-30,9317
2020-01-31,9317
2020-02-01,9325
2020-02-02,9325
2020-02-03,9346
2020-02-04,9346
2020-02-05,9346
2020-02-06,9348
2020-02-07,9348
2020-02-08,9348
2020-02-09,9409
2020-02-10,9409
2020-02-11,9409
2020-02-12,9398
2020-02-13,9398
2020-02-14,9398
2020-02-15,9371
2020-02-16,9371
2020-02-17,9200
2020-02-18,9200
2020-02-19,9200
2020-02-20,9242
2020-02-21,9242
2020-02-22,9356
2020-02-23,9356
2020-02-24,9356
2020-02-25,9333
2020-02-26,9333
2020-02-27,9333
2020-02-28,9406
2020-02-29,9406
2020-03-01,9406
2020-03-02,9456
2020-03-03,9456
2020-03-04,9456
2020-03-05,9299
2020-03-06,9299
2020-03-07,9299
2020-03-08,9338
2020-03-09,9338
2020-03-10,9428
2020-03-11,9428
2020-03-12,9428
2020-03-13,9438
2020-03-14,9438
2020-03-15,9438
2020-03-16,9253
2020-03-17,9253
2020-03-18,9324
2020-03-19,9324
2020-03-20,9334
2020-03-21,9334
2020-03-22,9232
2020-03-23,9232
2020-03-24,9330
2020-03-25,9330
2020-03-26,9308
2020-03-27,9308
2020-03-28,9341
2020-03-29,9327
2020-03-30,9364
2020-03-31,9364
2020-04-01,9331
2020-04-02,9331
2020-04-03,9491
2020-04-04,9393
2020-04-05,9393
2020-04-06,9306
2020-04-07,9306
2020-04-08,9355
2020-04-09,9355
2020-04-10,9171
2020-04-11,9294
2020-04-12,9294
2020-04-13,9329
2020-04-14,9329
2020-04-15,9348
2020-04-16,9348
2020-04-17,9348
2020-04-18,9312
2020-04-19,9344
2020-04-20,9344
2020-04-21,9426
2020-04-22,9550
2020-04-23,9550
2020-04-24,9381
2020-04-25,9381
2020-04-26,9280
2020-04-27,9280
2020-04-28,9230
2020-04-29,9230
2020-04-30,9426
2020-05-01,9426
2020-05-02,9493
2020-05-03,9360
2020-05-04,9360
2020-05-05,9282
2020-05-06,9382
2020-05-07,9382
2020-05-08,9418
2020-05-09,9347
2020-05-10,9347
2020-05-11,9362
2020-05-12,9362
2020-05-13,9287
