date_obj,Odium%20shard%202 price
2015-03-26,500000
2015-03-27,500000
2015-03-28,493452
2015-03-29,493452
2015-03-30,493452
2015-03-31,493452
2015-04-01,493452
2015-04-02,493452
2015-04-03,493452
2015-04-04,493452
2015-04-05,493452
2015-04-06,493452
2015-04-07,493452
2015-04-08,493452
2015-04-09,493452
2015-04-10,493452
2015-04-11,493452
2015-04-12,493452
2015-04-13,493452
2015-04-14,493452
2015-04-15,493452
2015-04-16,493452
2015-04-17,493452
2015-04-18,493452
2015-04-19,493452
2015-04-20,493452
2015-04-21,493452
2015-04-22,493452
2015-04-23,493452
2015-04-24,493452
2015-04-25,493452
2015-04-26,493452
2015-04-27,493452
2015-04-28,493452
2015-04-29,493452
2015-04-30,493452
2015-05-01,493452
2015-05-02,493452
2015-05-03,493452
2015-05-04,493452
2015-05-05,493452
2015-05-06,493452
2015-05-07,511938
2015-05-08,511938
2015-05-09,511938
2015-05-10,511938
2015-05-11,511938
2015-05-12,511938
2015-05-13,511938
2015-05-14,511938
2015-05-15,511938
2015-05-16,511938
2015-05-17,511938
2015-05-18,511938
2015-05-19,511938
2015-05-20,511938
2015-05-21,511938
2015-05-22,511938
2015-05-23,511938
2015-05-24,511938
2015-05-25,511938
2015-05-26,511938
2015-05-27,511938
2015-05-28,507739
2015-05-29,507739
2015-05-30,507739
2015-05-31,507739
2015-06-01,507739
2015-06-02,507739
2015-06-03,507739
2015-06-04,507739
2015-06-05,507739
2015-06-06,507739
2015-06-07,507739
2015-06-08,507739
2015-06-09,507739
2015-06-10,507739
2015-06-11,507739
2015-06-12,507739
2015-06-13,507739
2015-06-14,482743
2015-06-15,482743
2015-06-16,482743
2015-06-17,482743
2015-06-18,482743
2015-06-19,482743
2015-06-20,482743
2015-06-21,482743
2015-06-22,482743
2015-06-23,482743
2015-06-24,482743
2015-06-25,482743
2015-06-26,482743
2015-06-27,482743
2015-06-28,482743
2015-06-29,482743
2015-06-30,482743
2015-07-01,482743
2015-07-02,482743
2015-07-03,482743
2015-07-04,482743
2015-07-05,482743
2015-07-06,458900
2015-07-07,458900
2015-07-08,458900
2015-07-09,458900
2015-07-10,458900
2015-07-11,458900
2015-07-12,458900
2015-07-13,458900
2015-07-14,458900
2015-07-15,458900
2015-07-16,458900
2015-07-17,458900
2015-07-18,458900
2015-07-19,458900
2015-07-20,458900
2015-07-21,458900
2015-07-22,458900
2015-07-23,458900
2015-07-24,458900
2015-07-25,458900
2015-07-26,458900
2015-07-27,458900
2015-07-28,438564
2015-07-29,438564
2015-07-30,438564
2015-07-31,438564
2015-08-01,438564
2015-08-02,438564
2015-08-03,438564
2015-08-04,438564
2015-08-05,438564
2015-08-06,438564
2015-08-07,438564
2015-08-08,438564
2015-08-09,438564
2015-08-10,438564
2015-08-11,438564
2015-08-12,438564
2015-08-13,438564
2015-08-14,438564
2015-08-15,438564
2015-08-16,438564
2015-08-17,438564
2015-08-18,438564
2015-08-19,438564
2015-08-20,438564
2015-08-21,438564
2015-08-22,458679
2015-08-23,458679
2015-08-24,458679
2015-08-25,458679
2015-08-26,458679
2015-08-27,458679
2015-08-28,458679
2015-08-29,458679
2015-08-30,458679
2015-08-31,458679
2015-09-01,458679
2015-09-02,458679
2015-09-03,458679
2015-09-04,458679
2015-09-05,458679
2015-09-06,458679
2015-09-07,458679
2015-09-08,458679
2015-09-09,458679
2015-09-10,458679
2015-09-11,458679
2015-09-12,480486
2015-09-13,480486
2015-09-14,480486
2015-09-15,480486
2015-09-16,480486
2015-09-17,480486
2015-09-18,480486
2015-09-19,480486
2015-09-20,480486
2015-09-21,480486
2015-09-22,480486
2015-09-23,480486
2015-09-24,480486
2015-09-25,480486
2015-09-27,480486
2015-09-28,480486
2015-09-29,480486
2015-09-30,480486
2015-10-05,480486
2015-10-06,489855
2015-10-07,489855
2015-10-08,489855
2015-10-09,489855
2015-10-10,489855
2015-10-11,489855
2015-10-12,489855
2015-10-13,489855
2015-10-14,489855
2015-10-15,489855
2015-10-16,489855
2015-10-17,489855
2015-10-18,489855
2015-10-19,489855
2015-10-20,489855
2015-10-22,489855
2015-10-23,489855
2015-10-24,489855
