date_obj,Teak%20table%20(flatpack) price
2015-03-05,2500
2015-03-06,2500
2015-03-07,2500
2015-03-08,2500
2015-03-09,2500
2015-03-10,2500
2015-03-11,2500
2015-03-12,2500
2015-03-13,2500
2015-03-14,2500
2015-03-15,2500
2015-03-16,2500
2015-03-17,2500
2015-03-18,2500
2015-03-19,2500
2015-03-20,2500
2015-03-21,2500
2015-03-22,2500
2015-03-23,2500
2015-03-24,2500
2015-03-25,2500
2015-03-26,2500
2015-03-27,2500
2015-03-28,2500
2015-03-29,2381
2015-03-30,2381
2015-03-31,2381
2015-04-01,2381
2015-04-02,2381
2015-04-03,2381
2015-04-04,2381
2015-04-05,2381
2015-04-06,2381
2015-04-07,2381
2015-04-08,2381
2015-04-09,2381
2015-04-10,2381
2015-04-11,2381
2015-04-12,2381
2015-04-13,2381
2015-04-14,2381
2015-04-15,2381
2015-04-16,2381
2015-04-17,2381
2015-04-18,2381
2015-04-19,2381
2015-04-20,2381
2015-04-21,2381
2015-04-22,2381
2015-04-23,2381
2015-04-24,2381
2015-04-25,2381
2015-04-26,2381
2015-04-27,2381
2015-04-28,2381
2015-04-29,2381
2015-04-30,2381
2015-05-01,2381
2015-05-02,2265
2015-05-03,2265
2015-05-04,2265
2015-05-05,2265
2015-05-06,2265
2015-05-07,2265
2015-05-08,2265
2015-05-09,2265
2015-05-10,2265
2015-05-11,2265
2015-05-12,2265
2015-05-13,2265
2015-05-14,2265
2015-05-15,2265
2015-05-16,2265
2015-05-17,2265
2015-05-18,2265
2015-05-19,2265
2015-05-20,2265
2015-05-21,2265
2015-05-22,2265
2015-05-23,2265
2015-05-24,2265
2015-05-25,2265
2015-05-26,2265
2015-05-27,2158
2015-05-28,2158
2015-05-29,2158
2015-05-30,2158
2015-05-31,2158
2015-06-01,2158
2015-06-02,2158
2015-06-03,2158
2015-06-04,2158
2015-06-05,2158
2015-06-06,2158
2015-06-07,2158
2015-06-08,2158
2015-06-09,2158
2015-06-10,2158
2015-06-11,2158
2015-06-12,2158
2015-06-13,2158
2015-06-14,2158
2015-06-15,2158
2015-06-16,2158
2015-06-17,2158
2015-06-18,2158
2015-06-19,2158
2015-06-20,2158
2015-06-21,2053
2015-06-22,2053
2015-06-23,2053
2015-06-24,2053
2015-06-25,2053
2015-06-26,2053
2015-06-27,2053
2015-06-28,2053
2015-06-29,2053
2015-06-30,2053
2015-07-01,2053
2015-07-02,2053
2015-07-03,2053
2015-07-04,2053
2015-07-05,2053
2015-07-06,2053
2015-07-07,2053
2015-07-08,2053
2015-07-09,2053
2015-07-10,2053
2015-07-11,2053
2015-07-12,2053
2015-07-13,1954
2015-07-14,1954
2015-07-15,1954
2015-07-16,1954
2015-07-17,1954
2015-07-18,1954
2015-07-19,1954
2015-07-20,1954
2015-07-21,1954
2015-07-22,1954
2015-07-23,1954
2015-07-24,1954
2015-07-25,1954
2015-07-26,1954
2015-07-27,1858
2015-07-28,1858
2015-07-29,1858
2015-07-30,1858
2015-07-31,1858
2015-08-01,1858
2015-08-02,1858
2015-08-03,1858
2015-08-04,1858
2015-08-05,1858
2015-08-06,1858
2015-08-07,1858
2015-08-08,1858
2015-08-09,1858
2015-08-10,1858
2015-08-11,1858
2015-08-12,1768
2015-08-13,1768
2015-08-14,1768
2015-08-15,1768
2015-08-16,1768
2015-08-17,1768
2015-08-18,1768
2015-08-19,1768
2015-08-20,1768
2015-08-21,1768
2015-08-22,1768
2015-08-23,1768
2015-08-24,1768
2015-08-25,1768
2015-08-26,1768
2015-08-27,1768
2015-08-28,1768
2015-08-29,1768
2015-08-30,1768
2015-08-31,1681
2015-09-02,1681
2015-09-07,1681
2015-09-08,1681
2015-09-10,1681
2015-09-14,1681
2015-09-16,1681
2015-09-22,1598
2015-09-23,1598
2015-09-24,1598
2015-09-25,1598
2015-09-27,1598
2015-09-28,1598
2015-09-29,1598
2015-09-30,1598
2015-10-05,1598
2015-10-06,1598
2015-10-07,1598
2015-10-08,1598
2015-10-09,1598
2015-10-10,1598
2015-10-11,1598
2015-10-12,1522
2015-10-13,1522
2015-10-14,1522
2015-10-15,1522
2015-10-16,1522
2015-10-17,1522
2015-10-18,1522
2015-10-19,1522
2015-10-20,1522
2015-10-22,1522
2015-10-23,1522
2015-10-24,1522
2015-10-25,1522
2015-10-26,1522
2015-10-27,1522
2015-10-29,1522
2015-10-30,1522
2015-10-31,1522
2015-11-01,1522
2015-11-02,1522
2015-11-03,1522
2015-11-04,1522
2015-11-05,1522
2015-11-06,1451
2015-11-07,1451
2015-11-08,1451
2015-11-09,1451
2015-11-10,1451
2015-11-11,1451
2015-11-12,1451
2015-11-13,1451
2015-11-14,1451
2015-11-15,1451
2015-11-16,1451
2015-11-17,1451
2015-11-18,1451
2015-11-19,1451
2015-11-20,1451
2015-11-21,1451
2015-11-22,1451
2015-11-23,1451
2015-11-24,1451
2015-11-25,1382
2015-11-26,1382
2015-11-27,1382
2015-11-28,1382
2015-11-29,1382
2015-11-30,1382
2015-12-01,1382
2015-12-02,1382
2015-12-03,1382
2015-12-04,1382
2015-12-05,1382
2015-12-06,1382
2015-12-07,1382
2015-12-08,1382
2015-12-09,1382
2015-12-10,1313
2015-12-11,1313
2015-12-13,1313
2015-12-14,1313
2015-12-15,1313
2015-12-16,1313
2015-12-17,1313
2015-12-18,1313
2015-12-19,1313
2015-12-20,1313
2015-12-21,1313
2015-12-22,1313
2015-12-23,1249
2015-12-24,1249
2015-12-25,1249
2015-12-26,1249
