date_obj,Adamant%20shield%20(h5) price
2015-03-26,6632
2015-03-27,6632
2015-03-28,6341
2015-03-29,6341
2015-03-30,6041
2015-03-31,6041
2015-04-01,6041
2015-04-02,5809
2015-04-03,5809
2015-04-04,5545
2015-04-05,5545
2015-04-06,5384
2015-04-07,5384
2015-04-08,5384
2015-04-09,5114
2015-04-10,5114
2015-04-11,4875
2015-04-12,4875
2015-04-13,4875
2015-04-14,4666
2015-04-15,4666
2015-04-16,4666
2015-04-17,4432
2015-04-18,4432
2015-04-19,4432
2015-04-20,4258
2015-04-21,4258
2015-04-22,4258
2015-04-23,4079
2015-04-24,4079
2015-04-25,4079
2015-04-26,3903
2015-04-27,3903
2015-04-28,3735
2015-04-29,3735
2015-04-30,3735
2015-05-01,3563
2015-05-02,3563
2015-05-03,3395
2015-05-04,3395
2015-05-05,3244
2015-05-06,3244
2015-05-07,3121
2015-05-08,3121
2015-05-09,3121
2015-05-10,3011
2015-05-11,3011
2015-05-12,3011
2015-05-13,2884
2015-05-14,2884
2015-05-15,2884
2015-05-16,2767
2015-05-17,2767
2015-05-18,2676
2015-05-19,2676
2015-05-20,2676
2015-05-21,2676
2015-05-22,2656
2015-05-23,2656
2015-05-24,2656
2015-05-25,2724
2015-05-26,2724
2015-05-27,2724
2015-05-28,2643
2015-05-29,2643
2015-05-30,2594
2015-05-31,2594
2015-06-01,2594
2015-06-02,2700
2015-06-03,2700
2015-06-04,2700
2015-06-05,2700
2015-06-06,2771
2015-06-07,2771
2015-06-08,2771
2015-06-09,2771
2015-06-10,2804
2015-06-11,2804
2015-06-12,2804
2015-06-13,2804
2015-06-14,2906
2015-06-15,2906
2015-06-16,2906
2015-06-17,2906
2015-06-18,3013
2015-06-19,3013
2015-06-20,3013
2015-06-21,3013
2015-06-22,2882
2015-06-23,2882
2015-06-24,2882
2015-06-25,2882
2015-06-26,2819
2015-06-27,2819
2015-06-28,2819
2015-06-29,2819
2015-06-30,2847
2015-07-01,2847
2015-07-02,2847
2015-07-03,2847
2015-07-04,2857
2015-07-05,2857
2015-07-06,2857
2015-07-07,2857
2015-07-08,2857
2015-07-09,2923
2015-07-10,2923
2015-07-11,2923
2015-07-12,2923
2015-07-13,2999
2015-07-14,2999
2015-07-15,2999
2015-07-16,2999
2015-07-17,2940
2015-07-18,2940
2015-07-19,2940
2015-07-20,2940
2015-07-21,2989
2015-07-22,2989
2015-07-23,2989
2015-07-24,3006
2015-07-25,3006
2015-07-26,3006
2015-07-27,3006
2015-07-28,3006
2015-07-29,3005
2015-07-30,3005
2015-07-31,3005
2015-08-01,3005
2015-08-02,3034
2015-08-03,3034
2015-08-04,3034
2015-08-05,3034
2015-08-06,3024
2015-08-07,3024
2015-08-08,3024
2015-08-09,3024
2015-08-10,2986
2015-08-11,2986
2015-08-12,2986
2015-08-13,2986
2015-08-14,2857
2015-08-15,2857
2015-08-16,2857
2015-08-17,2901
2015-08-18,2901
