date_obj,Mage's%20book price
2016-01-10,6523962
2016-01-11,6683017
2016-01-12,6646117
2016-01-13,6730195
2016-01-14,6718346
2016-01-15,6788038
2016-01-16,6784666
2016-01-17,6677293
2016-01-18,6655584
2016-01-19,6715702
2016-01-20,6769614
2016-01-21,6725249
2016-01-22,6709128
2016-01-23,6716500
2016-01-24,6706304
2016-01-25,6781328
2016-01-26,6817179
2016-01-27,6776207
2016-01-28,6777198
2016-01-29,6763425
2016-01-30,6776841
2016-01-31,6759382
2016-02-01,6724390
2016-02-02,6676468
2016-02-03,6475517
2016-02-04,6466842
2016-02-05,6384260
2016-02-06,6313087
2016-02-07,6291218
2016-02-08,6392914
2016-02-09,6501178
2016-02-10,6408212
2016-02-11,6340732
2016-02-12,6297569
2016-02-13,6342323
2016-02-14,6297361
2016-02-15,6162775
2016-02-16,6264770
2016-02-17,6273847
2016-02-18,6192188
2016-02-19,6141316
2016-02-20,6238196
2016-02-21,6354895
2016-02-22,6348577
2016-02-23,6334364
2016-02-24,6424330
2016-02-25,6575033
2016-02-26,6731073
2016-02-27,6919864
2016-02-28,6867268
2016-02-29,6879650
2016-03-01,6873843
2016-03-02,6853623
2016-03-03,6812623
2016-03-04,6770755
2016-03-05,6687365
2016-03-06,6443733
2016-03-07,6322288
2016-03-08,6212868
2016-03-09,6148945
2016-03-10,6210571
2016-03-11,6245693
2016-03-12,6176077
2016-03-13,6118000
2016-03-14,6003469
2016-03-15,5972807
2016-03-16,5912709
2016-03-17,5990775
2016-03-18,5934114
2016-03-19,5895684
2016-03-20,5846496
2016-03-21,5939202
2016-03-22,6054318
2016-03-23,6226939
2016-03-24,6406633
2016-03-25,6606032
2016-03-26,6531962
2016-03-27,6520967
2016-03-28,6441832
2016-03-29,6183982
2016-03-30,6140277
2016-03-31,6010090
2016-04-01,5939560
2016-04-02,6030577
2016-04-03,5958247
2016-04-04,5890831
2016-04-05,5922108
2016-04-06,6015309
2016-04-07,6048319
2016-04-08,6011694
2016-04-09,5993273
2016-04-10,5984233
2016-04-11,5938845
2016-04-12,5956785
2016-04-13,5957634
2016-04-14,5941344
2016-04-15,5949904
2016-04-16,5966494
2016-04-17,5965918
2016-04-18,5982429
2016-04-19,6093324
2016-04-20,6070216
2016-04-21,6073664
2016-04-22,6042747
2016-04-23,5949728
2016-04-24,5835830
2016-04-25,5994756
2016-04-26,5975951
2016-04-27,5996920
2016-04-28,5985770
2016-04-29,5978111
2016-04-30,5984429
2016-05-01,6005143
2016-05-02,6136030
2016-05-03,6121594
2016-05-04,6064052
2016-05-05,6027709
2016-05-06,5957722
2016-05-07,5882707
2016-05-08,5750645
2016-05-09,5749810
2016-05-10,5756801
2016-05-11,5798161
2016-05-12,5818300
2016-05-13,5855788
2016-05-14,5897618
2016-05-15,5995347
2016-05-16,6083608
2016-05-17,6135176
2016-05-18,6326734
2016-05-19,6565674
2016-05-22,6762577
2016-05-23,6751210
2016-05-24,6649135
2016-05-25,6625200
2016-05-26,6598074
2016-05-27,6506717
2016-05-28,6342545
2016-05-29,6255405
2016-05-30,6198957
2016-05-31,6136986
2016-06-01,6097116
2016-06-02,6135330
2016-06-03,6306804
2016-06-04,6284529
2016-06-05,6284066
2016-06-06,6244727
2016-06-07,6346270
2016-06-08,6346662
2016-06-09,6501943
2016-06-10,6765273
2016-06-11,6780318
2016-06-12,6728807
2016-06-13,6710642
2016-06-14,6824395
2016-06-15,6916348
2016-06-16,7172379
2016-06-17,6937120
2016-06-18,7023847
2016-06-19,7232931
2016-06-20,7332567
2016-06-21,7446284
2016-06-22,7285524
2016-06-23,7358072
2016-06-24,7040199
2016-06-25,6714601
2016-06-26,6379311
2016-06-27,6312736
2016-06-28,6364855
2016-06-29,6431118
2016-06-30,6666416
2016-07-01,6823085
2016-07-02,7159752
2016-07-03,7215385
2016-07-04,7149004
2016-07-05,7123019
2016-07-06,7032376
2016-07-07,6953560
2016-07-08,6999696
2016-07-09,7232384
2016-07-10,7211299
2016-07-11,7560167
2016-07-12,7665814
2016-07-13,7416314
2016-07-14,7542736
2016-07-15,7395998
2016-07-16,7438174
2016-07-17,7434480
2016-07-18,7648271
2016-07-23,8006594
2016-07-24,8183293
2016-07-25,8207393
2016-07-26,8194714
2016-07-27,8384555
2016-07-28,8484346
2016-07-29,8558484
2016-07-30,8649283
2016-07-31,8591037
2016-08-01,9002492
2016-08-02,9076063
2016-08-03,9304150
2016-08-04,9384195
2016-08-05,9518818
2016-08-06,9114816
2016-08-07,8845446
2016-08-08,8415041
2016-08-09,8043500
2016-08-10,7798564
2016-08-11,7930505
2016-08-12,7884256
2016-08-13,7836059
2016-08-14,8138279
2016-08-15,8521926
2016-08-16,8332850
2016-08-17,8152160
2016-08-18,8011338
2016-08-19,8263254
2016-08-20,8408333
2016-08-21,8139062
2016-08-22,7933560
2016-08-23,7538022
2016-08-24,7461983
2016-08-25,7756351
2016-08-26,8143526
2016-08-28,8209837
2016-08-31,7947689
2016-09-01,7970688
2016-09-02,7940418
2016-09-03,7847499
2016-09-04,7728158
2016-09-05,7678174
2016-09-06,7471214
2016-09-07,7655691
2016-09-08,7389855
2016-09-09,7162501
2016-09-10,7094252
2016-09-11,7074724
2016-09-12,6901056
2016-09-13,6907799
2016-09-14,6899027
2016-09-15,6870552
2016-09-16,6847758
2016-09-17,6814870
2016-09-18,6720804
2016-09-19,6704552
2016-09-20,6832769
2016-09-21,6796948
2016-09-22,6858688
2016-09-23,6936925
2016-09-24,6944943
2016-09-25,6921124
2016-09-26,6888741
2016-09-27,6834146
2016-09-28,6804632
2016-09-29,6609167
2016-09-30,6425723
2016-10-01,6291980
2016-10-02,6241346
2016-10-03,6205777
2016-10-04,6330907
2016-10-05,6369532
2016-10-06,6466010
2016-10-07,6472074
2016-10-08,6384270
2016-10-09,6128195
2016-10-10,6113584
2016-10-11,6169136
2016-10-12,6335734
2016-10-13,6403364
2016-10-14,6469274
2016-10-15,6384284
2016-10-16,6474797
2016-10-17,6497983
2016-10-18,6458794
2016-10-19,6576348
2016-10-20,6729775
2016-10-21,6900971
2016-10-22,6837825
2016-10-23,6642140
2016-10-24,6511318
2016-10-25,6437571
2016-10-26,6358938
2016-10-27,6223685
2016-10-28,6341134
2016-10-29,6319034
2016-10-30,6276921
2016-10-31,6231248
2016-11-01,6265107
2016-11-02,6218692
2016-11-03,6154840
2016-11-04,6201972
2016-11-05,6259909
2016-11-06,6249856
2016-11-07,6482036
2016-11-08,6700365
2016-11-09,6580244
2016-11-10,6658973
