date_obj,Armadyl%20coif price
2015-03-26,34490
2015-03-27,34490
2015-03-28,34916
2015-03-29,35173
2015-03-30,35438
2015-03-31,35170
2015-04-01,35646
2015-04-02,35844
2015-04-03,36252
2015-04-04,36652
2015-04-05,37097
2015-04-06,37455
2015-04-07,37056
2015-04-08,37368
2015-04-09,37160
2015-04-10,37513
2015-04-11,38079
2015-04-12,38811
2015-04-13,38928
2015-04-14,38611
2015-04-15,37873
2015-04-16,36823
2015-04-17,36422
2015-04-18,35997
2015-04-19,35853
2015-04-20,35932
2015-04-21,35851
2015-04-22,35851
2015-04-23,35793
2015-04-24,36107
2015-04-25,36780
2015-04-26,37340
2015-04-27,38163
2015-04-28,39006
2015-04-29,39353
2015-04-30,39134
2015-05-01,38767
2015-05-02,38706
2015-05-03,38619
2015-05-04,38020
2015-05-05,37824
2015-05-06,36928
2015-05-07,36429
2015-05-08,36154
2015-05-09,36071
2015-05-10,35555
2015-05-11,34952
2015-05-12,34651
2015-05-13,34872
2015-05-14,35415
2015-05-15,36521
2015-05-16,37687
2015-05-17,38594
2015-05-18,38489
2015-05-19,37527
2015-05-20,36961
2015-05-21,37039
2015-05-22,36807
2015-05-23,35882
2015-05-24,34935
2015-05-25,34162
2015-05-26,33940
2015-05-27,33711
2015-05-28,33306
2015-05-29,32968
2015-05-30,32342
2015-05-31,32442
2015-06-01,31516
2015-06-02,30672
2015-06-03,29957
2015-06-04,29671
2015-06-05,29210
2015-06-06,28747
2015-06-07,28238
2015-06-08,28280
2015-06-09,28225
2015-06-10,28110
2015-06-11,27790
2015-06-12,27438
2015-06-13,27505
2015-06-14,26797
2015-06-15,27079
2015-06-16,26953
2015-06-17,27700
2015-06-18,28809
2015-06-19,29820
2015-06-20,30614
2015-06-21,31718
2015-06-22,32379
2015-06-23,32712
2015-06-24,33010
2015-06-25,33637
2015-06-26,34201
2015-06-27,33822
2015-06-28,33745
2015-06-29,33045
2015-06-30,33631
2015-07-01,34232
2015-07-02,35394
2015-07-03,35836
2015-07-04,36238
2015-07-05,36850
2015-07-06,37885
2015-07-07,38496
2015-07-08,38858
2015-07-09,38858
2015-07-10,38846
2015-07-11,39456
2015-07-12,40048
2015-07-13,39616
2015-07-14,38359
2015-07-15,37367
2015-07-16,37623
2015-07-17,36683
2015-07-18,36302
2015-07-19,36221
2015-07-20,36192
2015-07-21,36478
2015-07-22,36282
2015-07-23,36282
2015-07-24,36068
2015-07-25,35498
2015-07-26,35225
2015-07-27,34961
2015-07-28,34493
2015-07-29,34429
2015-07-30,34652
2015-07-31,34499
2015-08-01,34595
2015-08-02,34667
2015-08-03,34480
2015-08-04,34722
2015-08-05,34968
2015-08-06,36021
2015-08-07,36542
2015-08-08,37506
2015-08-09,37307
2015-08-10,38067
2015-08-11,39002
2015-08-12,39946
2015-08-13,40725
2015-08-14,40836
2015-08-15,40161
2015-08-16,40605
2015-08-17,41720
2015-08-18,42518
2015-08-19,42434
2015-08-20,42686
2015-08-21,42574
2015-08-22,42872
2015-08-23,42897
2015-08-24,42614
2015-08-25,43483
2015-08-26,43550
2015-08-27,43272
2015-08-28,42757
2015-08-29,42799
2015-08-30,42952
2015-08-31,42470
2015-09-01,42361
2015-09-02,42246
2015-09-03,41696
2015-09-04,41707
2015-09-05,41430
2015-09-06,41239
2015-09-07,40757
2015-09-08,40728
2015-09-09,40543
2015-09-10,40518
2015-09-11,40343
2015-09-12,40300
2015-09-13,39611
