date_obj,Black%20boater price
2015-03-26,31423
2015-03-27,31423
2015-03-28,29936
2015-03-29,29936
2015-03-30,29936
2015-03-31,29936
2015-04-01,29936
2015-04-02,29936
2015-04-03,29936
2015-04-04,28519
2015-04-05,28519
2015-04-06,28519
2015-04-07,28519
2015-04-08,28519
2015-04-09,28519
2015-04-10,28519
2015-04-11,27170
2015-04-12,27170
2015-04-13,27170
2015-04-14,27170
2015-04-15,27170
2015-04-16,27170
2015-04-17,27170
2015-04-18,25883
2015-04-19,25883
2015-04-20,25883
2015-04-21,25883
2015-04-22,25883
2015-04-23,25883
2015-04-24,25883
2015-04-25,24670
2015-04-26,24670
2015-04-27,24670
2015-04-28,24670
2015-04-29,24670
2015-04-30,24670
2015-05-01,24670
2015-05-02,23532
2015-05-03,23532
2015-05-04,23532
2015-05-05,23532
2015-05-06,23532
2015-05-07,23532
2015-05-08,23532
2015-05-09,22411
2015-05-10,22411
2015-05-11,22411
2015-05-12,22411
2015-05-13,22411
2015-05-14,22411
2015-05-15,22411
2015-05-16,21355
2015-05-17,21355
2015-05-18,21355
2015-05-19,21355
2015-05-20,21355
2015-05-21,21355
2015-05-22,20370
2015-05-23,20370
2015-05-24,20370
2015-05-25,20370
2015-05-26,20370
2015-05-27,20370
2015-05-28,19351
2015-05-29,19351
2015-05-30,19351
2015-05-31,19351
2015-06-01,18423
2015-06-02,18423
2015-06-03,18423
2015-06-04,18423
2015-06-05,18423
2015-06-06,17570
2015-06-07,17570
2015-06-08,17570
2015-06-09,17570
2015-06-10,17570
2015-06-11,16871
2015-06-12,16871
2015-06-13,16871
2015-06-14,16871
2015-06-15,16871
2015-06-16,16871
2015-06-17,16871
2015-06-18,16390
2015-06-19,16390
2015-06-20,16390
2015-06-21,16390
2015-06-22,16390
2015-06-23,16390
2015-06-24,15813
2015-06-25,15813
2015-06-26,15813
2015-06-27,15813
2015-06-28,15813
2015-06-29,15813
2015-06-30,15813
2015-07-01,15437
2015-07-02,15437
2015-07-03,15437
2015-07-04,15437
2015-07-05,15437
2015-07-06,15437
2015-07-07,14855
2015-07-08,14855
2015-07-09,14855
2015-07-10,14855
2015-07-11,14855
2015-07-12,14855
2015-07-13,14149
2015-07-14,14149
2015-07-15,14149
2015-07-16,14149
2015-07-17,14149
2015-07-18,13483
2015-07-19,13483
2015-07-20,13483
2015-07-21,13483
2015-07-22,12845
2015-07-23,12845
2015-07-24,12845
2015-07-25,12845
2015-07-26,12845
2015-07-27,12845
2015-07-28,12231
2015-07-29,12231
2015-07-30,12231
2015-07-31,12231
2015-08-01,12231
2015-08-02,11722
2015-08-03,11722
2015-08-04,11722
2015-08-05,11722
2015-08-06,11722
2015-08-07,11389
2015-08-08,11389
2015-08-09,11389
2015-08-10,11389
2015-08-11,11389
2015-08-12,10893
2015-08-13,10893
2015-08-14,10893
2015-08-15,10893
2015-08-16,10893
2015-08-17,10596
2015-08-18,10596
2015-08-19,10596
2015-08-20,10596
2015-08-21,10596
