date_obj,Hosidius%20hood price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,4750737
2016-07-10,4750737
2016-07-11,4750737
2016-07-12,4750737
2016-07-13,4750737
2016-07-14,4515302
2016-07-15,4515302
2016-07-16,4515302
2016-07-17,4515302
2016-07-18,4515302
2016-07-23,4289536
2016-07-24,4289536
2016-07-25,4289536
2016-07-26,4289536
2016-07-27,4289536
2016-07-28,4289536
2016-07-29,4289536
2016-07-30,4076197
2016-07-31,4076197
2016-08-01,4076197
2016-08-02,4076197
2016-08-03,4076197
2016-08-04,4076197
2016-08-05,4076197
2016-08-06,4076197
2016-08-07,4076197
2016-08-08,3875257
2016-08-09,3875257
2016-08-10,3875257
2016-08-11,3875257
2016-08-12,3875257
2016-08-13,3875257
2016-08-14,3875257
2016-08-15,3875257
2016-08-16,3875257
2016-08-17,3875257
2016-08-18,3683840
2016-08-19,3683840
2016-08-20,3683840
2016-08-21,3683840
2016-08-22,3683840
2016-08-23,3683840
2016-08-24,3683840
2016-08-25,3683840
2016-08-26,3683840
2016-08-28,3500895
2016-08-31,3500895
2016-09-01,3500895
2016-09-02,3500895
2016-09-03,3500895
2016-09-04,3500895
2016-09-05,3500895
2016-09-06,3500895
2016-09-07,3500895
2016-09-08,3327103
2016-09-09,3327103
2016-09-10,3327103
2016-09-11,3327103
2016-09-12,3327103
2016-09-13,3327103
2016-09-14,3327103
2016-09-15,3327103
2016-09-16,3327103
2016-09-17,3327103
2016-09-18,3327103
2016-09-19,3327103
2016-09-20,3327103
2016-09-21,3327103
2016-09-22,3162325
2016-09-23,3162325
2016-09-24,3162325
2016-09-25,3162325
2016-09-26,3162325
2016-09-27,3162325
2016-09-28,3162325
2016-09-29,3162325
2016-09-30,3162325
2016-10-01,3162325
2016-10-02,3162325
2016-10-03,3162325
2016-10-04,3162325
2016-10-05,3005526
2016-10-06,3005526
2016-10-07,3005526
2016-10-08,3005526
2016-10-09,3005526
2016-10-10,3005526
2016-10-11,3005526
2016-10-12,3005526
2016-10-13,3005526
2016-10-14,3005526
2016-10-15,3005526
2016-10-16,3005526
2016-10-17,3005526
2016-10-18,3005526
2016-10-19,2856947
2016-10-20,2856947
2016-10-21,2856947
2016-10-22,2856947
2016-10-23,2856947
2016-10-24,2856947
2016-10-25,2856947
2016-10-26,2856947
2016-10-27,2856947
2016-10-28,2856947
2016-10-29,2856947
2016-10-30,2856947
2016-10-31,2856947
2016-11-01,2856947
2016-11-02,2856947
2016-11-03,2714949
2016-11-04,2714949
2016-11-05,2714949
2016-11-06,2714949
2016-11-07,2714949
2016-11-08,2714949
2016-11-09,2714949
2016-11-10,2714949
2016-11-11,2714949
2016-11-12,2714949
2016-11-13,2714949
2016-11-14,2714949
2016-11-15,2714949
2016-12-07,2455953
2016-12-08,2335266
2016-12-09,2335266
2016-12-10,2335266
2016-12-11,2335266
2016-12-12,2335266
2016-12-13,2335266
2016-12-14,2335266
2016-12-15,2335266
2016-12-16,2335266
2016-12-17,2335266
2016-12-18,2335266
2016-12-19,2223142
2016-12-20,2223142
2016-12-21,2223142
2016-12-22,2223142
2016-12-23,2223142
2016-12-24,2223142
2016-12-25,2223142
2016-12-26,2223142
2016-12-27,2223142
2016-12-28,2223142
2016-12-29,2113733
2016-12-30,2113733
2016-12-31,2113733
2017-01-01,2113733
2017-01-02,2113733
2017-01-03,2113733
2017-01-04,2113733
2017-01-05,2113733
2017-01-06,2113733
2017-01-07,2009518
2017-01-08,2009518
2017-01-09,2009518
2017-01-10,2009518
2017-01-11,2009518
2017-01-12,2009518
2017-01-13,2009518
2017-01-14,2009518
2017-01-15,1911490
2017-01-16,1911490
2017-01-17,1911490
2017-01-18,1911490
2017-01-19,1911490
2017-01-20,1911490
2017-01-21,1911490
2017-01-22,1911490
2017-01-23,1818222
2017-01-27,1818222
2017-01-28,1818222
2017-01-29,1818222
2017-01-30,1818222
2017-01-31,1818222
2017-02-01,1818222
2017-02-02,1728516
2017-02-03,1728516
2017-02-04,1728516
2017-02-05,1728516
2017-02-06,1728516
2017-02-07,1728516
2017-02-08,1728516
2017-02-09,1728516
2017-02-10,1644515
2017-02-11,1644515
2017-02-12,1644515
2017-02-13,1644515
2017-02-14,1644515
2017-02-15,1644515
2017-02-16,1644515
2017-02-18,1563515
2017-02-19,1563515
2017-02-20,1563515
2017-02-21,1563515
2017-02-22,1563515
2017-02-23,1563515
2017-02-24,1563515
2017-02-25,1563515
2017-02-26,1563515
2017-02-27,1487393
2017-02-28,1487393
2017-03-01,1487393
2017-03-02,1487393
2017-03-03,1487393
2017-03-04,1487393
2017-03-05,1487393
2017-03-06,1413950
2017-03-07,1413950
2017-03-08,1413950
2017-03-09,1413950
2017-03-10,1413950
2017-03-11,1413950
2017-03-12,1413950
2017-03-13,1413950
2017-03-14,1345261
2017-03-15,1345261
2017-03-16,1345261
2017-03-17,1345261
2017-03-18,1345261
2017-03-19,1345261
2017-03-20,1345261
2017-03-21,1278974
2017-03-22,1278974
2017-03-23,1278974
2017-03-24,1278974
2017-03-25,1278974
2017-03-26,1278974
2017-03-27,1278974
2017-03-28,1278974
2017-03-29,1216483
2017-03-30,1216483
2017-03-31,1216483
2017-04-01,1216483
2017-04-02,1216483
2017-04-03,1216483
2017-04-04,1156767
2017-04-12,97511
2017-04-13,97511
2017-04-14,97511
2017-04-15,97511
2017-04-16,97511
2017-04-17,97511
2017-04-18,97511
2017-04-19,97511
2017-04-20,93824
2017-04-21,93824
2017-04-22,93824
2017-04-23,93824
2017-04-24,93824
2017-04-25,93824
2017-04-26,93824
2017-04-27,93824
2017-04-28,93824
2017-04-29,93824
2017-04-30,93824
2017-05-01,89487
2017-05-02,89487
2017-05-03,89487
2017-05-04,89487
2017-05-05,89487
2017-05-06,89487
2017-05-07,89487
2017-05-08,89487
2017-05-09,89487
2017-05-10,89487
2017-05-11,85084
2017-05-12,85084
2017-05-13,85084
2017-05-14,85084
2017-05-15,85084
2017-05-16,85084
2017-05-17,85084
2017-05-18,85084
2017-05-19,85084
2017-05-20,85084
2017-05-21,85084
2017-05-22,80972
2017-05-23,80972
2017-05-24,80972
2017-05-25,80972
2017-05-26,80972
2017-05-27,80972
2017-05-28,80972
2017-05-29,80972
2017-05-30,80972
2017-05-31,80972
2017-06-01,77097
2017-06-02,77097
2017-06-03,77097
2017-06-04,77097
2017-06-06,77097
2017-06-07,77097
2017-06-08,77097
2017-06-09,77097
2017-06-10,73349
2017-06-11,73349
2017-06-12,73349
2017-06-13,73349
2017-06-14,73349
2017-06-15,73349
2017-06-16,73349
2017-06-17,73349
2017-06-18,73349
2017-06-19,73349
2017-06-20,73349
