date_obj,Mithril%20javelin%20heads price
2016-05-05,240
2016-05-06,240
2016-05-07,240
2016-05-08,240
2016-05-09,240
2016-05-10,240
2016-05-11,240
2016-05-12,240
2016-05-13,240
2016-05-14,240
2016-05-15,240
2016-05-16,240
2016-05-17,231
2016-05-18,231
2016-05-19,231
2016-05-22,231
2016-05-23,231
2016-05-24,231
2016-05-25,231
2016-05-26,231
2016-05-27,231
2016-05-28,231
2016-05-29,231
2016-05-30,231
2016-05-31,231
2016-06-01,231
2016-06-02,231
2016-06-03,231
2016-06-04,231
2016-06-05,231
2016-06-06,231
2016-06-07,231
2016-06-08,231
2016-06-09,231
2016-06-10,231
2016-06-11,231
2016-06-12,231
2016-06-13,231
2016-06-14,231
2016-06-15,231
2016-06-16,231
2016-06-17,231
2016-06-18,231
2016-06-19,231
2016-06-20,231
2016-06-21,231
2016-06-22,226
2016-06-23,226
2016-06-24,226
2016-06-25,226
2016-06-26,226
2016-06-27,226
2016-06-28,226
2016-06-29,226
2016-06-30,226
2016-07-01,226
2016-07-02,226
2016-07-03,226
2016-07-04,226
2016-07-05,226
2016-07-06,226
2016-07-07,226
2016-07-08,226
2016-07-09,226
2016-07-10,226
2016-07-11,226
2016-07-12,226
2016-07-13,226
2016-07-14,226
2016-07-15,226
2016-07-16,226
2016-07-17,226
2016-07-18,226
2016-07-23,226
2016-07-24,226
2016-07-25,226
2016-07-26,226
2016-07-27,226
2016-07-28,226
2016-07-29,226
2016-07-30,226
2016-07-31,226
2016-08-01,226
2016-08-02,226
2016-08-03,226
2016-08-04,226
2016-08-05,226
2016-08-06,226
2016-08-07,226
2016-08-08,225
2016-08-09,225
2016-08-10,225
2016-08-11,225
2016-08-12,225
2016-08-13,225
2016-08-14,225
2016-08-15,225
2016-08-16,225
2016-08-17,225
2016-08-18,225
2016-08-19,225
2016-08-20,225
2016-08-22,225
2016-08-23,225
2016-08-24,225
2016-08-25,225
2016-08-26,225
2016-08-28,225
2016-08-31,225
2016-09-01,225
2016-09-02,225
2016-09-03,225
2016-09-04,225
2016-09-05,225
2016-09-06,225
2016-09-07,225
2016-09-08,225
2016-09-09,225
2016-09-10,225
2016-09-11,225
2016-09-12,225
2016-09-13,225
2016-09-14,225
2016-09-15,225
2016-09-16,225
2016-09-17,225
2016-09-18,225
2016-09-19,225
2016-09-20,225
2016-09-21,225
2016-09-22,225
2016-09-23,225
2016-09-24,218
2016-09-25,218
2016-09-26,218
2016-09-27,218
2016-09-28,218
2016-09-29,218
2016-09-30,218
2016-10-01,218
2016-10-02,218
2016-10-03,218
2016-10-04,218
2016-10-05,218
2016-10-06,218
2016-10-07,218
2016-10-08,218
2016-10-09,218
2016-10-10,218
2016-10-11,218
2016-10-12,218
2016-10-13,218
2016-10-14,218
2016-10-15,218
2016-10-16,218
2016-10-17,218
2016-10-18,218
2016-10-19,218
2016-10-20,218
2016-10-21,218
2016-10-22,218
2016-10-23,218
2016-10-24,218
