date_obj,Initiate%20hauberk price
2015-03-26,6415
2015-03-27,6415
2015-03-28,6172
2015-03-29,6060
2015-03-30,6060
2015-03-31,5964
2015-04-01,5964
2015-04-02,5907
2015-04-03,5907
2015-04-04,5800
2015-04-05,5800
2015-04-06,5810
2015-04-07,5810
2015-04-08,5852
2015-04-09,5852
2015-04-10,5685
2015-04-11,5685
2015-04-12,5668
2015-04-13,5668
2015-04-14,5765
2015-04-15,5765
2015-04-16,5854
2015-04-17,5854
2015-04-18,5982
2015-04-19,5982
2015-04-20,6071
2015-04-21,6071
2015-04-22,5965
2015-04-23,5965
2015-04-24,5856
2015-04-25,5856
2015-04-26,5714
2015-04-27,5714
2015-04-28,5689
2015-04-29,5689
2015-04-30,5543
2015-05-01,5543
2015-05-02,5580
2015-05-03,5580
2015-05-04,5583
2015-05-05,5583
2015-05-06,5696
2015-05-07,5696
2015-05-08,5867
2015-05-09,5867
2015-05-10,5820
2015-05-11,5820
2015-05-12,5885
2015-05-13,5885
2015-05-14,5838
2015-05-15,5838
2015-05-16,5838
2015-05-17,5867
2015-05-18,5867
2015-05-19,5994
2015-05-20,5994
2015-05-21,5994
2015-05-22,5935
2015-05-23,5935
2015-05-24,5875
2015-05-25,5875
2015-05-26,5822
2015-05-27,5822
2015-05-28,5796
2015-05-29,5796
2015-05-30,5871
2015-05-31,5871
2015-06-01,6002
2015-06-02,6002
2015-06-03,5833
2015-06-04,5833
2015-06-05,5817
2015-06-06,5851
2015-06-07,5851
2015-06-08,5869
2015-06-09,5823
2015-06-10,5853
2015-06-11,5853
2015-06-12,5719
2015-06-13,5769
2015-06-14,5769
2015-06-15,5819
2015-06-16,5819
2015-06-17,5994
2015-06-18,6176
2015-06-19,6176
2015-06-20,6060
2015-06-21,6060
2015-06-22,5894
2015-06-23,5894
2015-06-24,5889
2015-06-25,5889
2015-06-26,5876
2015-06-27,5876
2015-06-28,5894
2015-06-29,5894
2015-06-30,5890
2015-07-01,5951
2015-07-02,5951
2015-07-03,5895
2015-07-04,5895
2015-07-05,5826
2015-07-06,5826
2015-07-07,5799
2015-07-08,5799
2015-07-09,5943
2015-07-10,6032
2015-07-11,6032
2015-07-12,5983
2015-07-13,6045
