date_obj,Expeditious%20bracelet price
2017-02-01,1531
2017-02-02,1469
2017-02-03,1421
2017-02-04,1364
2017-02-05,1364
2017-02-06,1303
2017-02-07,1303
2017-02-08,1294
2017-02-09,1294
2017-02-10,1294
2017-02-11,1294
2017-02-12,1290
2017-02-13,1290
2017-02-14,1265
2017-02-15,1265
2017-02-16,1321
2017-02-18,1321
2017-02-19,1292
2017-02-20,1292
2017-02-21,1240
2017-02-22,1240
2017-02-23,1240
2017-02-24,1210
2017-02-25,1210
2017-02-26,1175
2017-02-27,1175
2017-02-28,1138
2017-03-01,1138
2017-03-02,1138
2017-03-03,1138
2017-03-04,1138
2017-03-05,1138
2017-03-06,1128
2017-03-07,1128
2017-03-08,1128
2017-03-09,1103
2017-03-10,1103
2017-03-11,1080
2017-03-12,1080
2017-03-13,1080
2017-03-14,1057
2017-03-15,1057
2017-03-16,1057
2017-03-17,1061
2017-03-18,1061
2017-03-19,1114
2017-03-20,1168
2017-03-21,1168
2017-03-22,1185
2017-03-23,1185
2017-03-24,1233
2017-03-25,1233
2017-03-26,1233
2017-03-27,1198
2017-03-28,1198
2017-03-29,1138
2017-03-30,1138
2017-03-31,1081
2017-04-01,1081
2017-04-02,1082
2017-04-03,1082
2017-04-04,1118
2017-04-12,1039
2017-04-13,1073
2017-04-14,1080
2017-04-15,1080
2017-04-16,1039
2017-04-17,1009
2017-04-18,1009
2017-04-19,969
2017-04-20,969
2017-04-21,1001
2017-04-22,1001
2017-04-23,1038
2017-04-24,1038
2017-04-25,1020
2017-04-26,1020
2017-04-27,1028
2017-04-28,1028
2017-04-29,1069
2017-04-30,1069
2017-05-01,1122
2017-05-02,1122
2017-05-03,1171
2017-05-04,1171
2017-05-05,1183
2017-05-06,1183
2017-05-07,1175
2017-05-08,1175
2017-05-09,1119
2017-05-10,1119
2017-05-11,1063
2017-05-12,1009
2017-05-13,1010
2017-05-14,1010
2017-05-15,980
2017-05-16,980
2017-05-17,940
2017-05-18,940
2017-05-19,967
2017-05-20,962
2017-05-21,962
2017-05-22,962
2017-05-23,946
2017-05-24,946
2017-05-25,949
2017-05-26,949
2017-05-27,916
2017-05-28,916
2017-05-29,884
2017-05-30,884
2017-05-31,839
2017-06-01,839
2017-06-02,827
2017-06-03,827
2017-06-04,831
2017-06-05,831
2017-06-06,807
2017-06-07,807
2017-06-08,797
2017-06-09,797
2017-06-10,775
2017-06-11,775
2017-06-12,736
2017-06-13,736
2017-06-14,703
2017-06-15,703
2017-06-16,693
2017-06-17,693
2017-06-18,713
2017-06-19,713
2017-06-20,714
2017-06-21,714
2017-06-22,714
2017-06-23,722
2017-06-24,722
2017-06-25,724
2017-06-26,724
2017-06-27,725
2017-06-28,725
2017-06-29,713
2017-06-30,713
2017-07-01,713
2017-07-02,678
2017-07-03,678
2017-07-04,650
2017-07-05,650
2017-07-06,631
2017-07-07,631
2017-07-08,631
2017-07-13,642
2017-07-14,665
2017-07-15,665
2017-07-16,665
2017-07-17,686
2017-07-18,686
2017-07-19,686
2017-07-20,715
2017-07-21,715
2017-07-22,715
2017-07-23,726
2017-07-24,726
2017-07-25,726
2017-07-26,742
2017-07-27,742
2017-07-28,736
2017-07-29,736
2017-07-30,708
2017-07-31,708
2017-08-01,708
2017-08-02,712
2017-08-03,712
2017-08-04,712
2017-08-05,724
2017-08-06,724
2017-08-09,747
2017-08-10,773
2017-08-11,773
2017-08-12,773
2017-08-13,808
2017-08-14,808
2017-08-15,839
2017-08-16,839
2017-08-17,821
2017-08-18,821
2017-08-19,821
2017-08-20,827
2017-08-21,827
2017-08-22,827
2017-08-23,821
2017-08-24,821
2017-08-25,821
2017-08-26,839
2017-08-27,839
2017-08-28,839
2017-08-29,873
2017-08-30,873
2017-08-31,892
2017-09-01,892
2017-09-02,892
2017-09-03,892
2017-09-04,892
2017-09-05,901
2017-09-06,901
2017-09-07,886
2017-09-08,886
2017-09-09,886
2017-09-10,898
2017-09-11,898
2017-09-12,898
2017-09-13,911
2017-09-14,911
2017-09-15,911
2017-09-16,926
2017-09-17,926
2017-09-18,913
2017-09-19,913
2017-09-20,913
2017-09-21,953
2017-09-22,953
2017-09-23,953
2017-09-24,988
2017-09-25,988
2017-09-26,988
2017-09-27,1026
2017-09-28,1026
2017-09-29,1007
2017-09-30,1007
2017-10-01,1007
2017-10-02,957
2017-10-03,957
2017-10-04,957
2017-10-05,963
2017-10-06,963
2017-10-07,963
2017-10-08,1002
2017-10-09,1002
2017-10-10,1042
2017-10-11,1042
2017-10-12,1042
2017-10-13,1078
2017-10-14,1078
2017-10-15,1078
2017-10-16,1104
2017-10-17,1104
2017-10-18,1104
2017-10-19,1086
2017-10-20,1086
2017-10-21,1086
2017-10-22,1096
2017-10-23,1096
2017-10-24,1096
2017-10-25,1126
2017-10-26,1126
2017-10-27,1182
2017-10-28,1182
2017-10-29,1241
2017-10-30,1241
2017-10-31,1280
2017-11-01,1280
2017-11-02,1249
2017-11-03,1249
2017-11-04,1188
2017-11-05,1188
2017-11-06,1143
2017-11-07,1143
2017-11-08,1143
2017-11-09,1088
2017-11-10,1088
2017-11-11,1088
2017-11-12,1033
2017-11-13,1033
2017-11-14,1033
2017-11-15,981
2017-11-16,981
2017-11-17,931
2017-11-18,931
2017-11-19,884
2017-11-20,884
2017-11-21,902
2017-11-22,902
2017-11-23,928
2017-11-24,928
2017-11-25,966
2017-11-26,966
2017-11-27,966
2017-11-28,1013
2017-11-29,1013
