date_obj,Rune%20plateskirt price
2015-03-26,41808
2015-03-27,41808
2015-03-28,41770
2015-03-29,41958
2015-03-30,41957
2015-03-31,42170
2015-04-01,42069
2015-04-02,41433
2015-04-03,41370
2015-04-04,40654
2015-04-05,40386
2015-04-06,40404
2015-04-07,40613
2015-04-08,40496
2015-04-09,40788
2015-04-10,40836
2015-04-11,40216
2015-04-12,40350
2015-04-13,41298
2015-04-14,40909
2015-04-15,41397
2015-04-16,41241
2015-04-17,40904
2015-04-18,41098
2015-04-19,41246
2015-04-20,41752
2015-04-21,41850
2015-04-22,41994
2015-04-23,41858
2015-04-24,41682
2015-04-25,41725
2015-04-26,41700
2015-04-27,41705
2015-04-28,41941
2015-04-29,41863
2015-04-30,42181
2015-05-01,42323
2015-05-02,42101
2015-05-03,42111
2015-05-04,41971
2015-05-05,42060
2015-05-06,41802
2015-05-07,41606
2015-05-08,41598
2015-05-09,42103
2015-05-10,41632
2015-05-11,41771
2015-05-12,41751
2015-05-13,41553
2015-05-14,41683
2015-05-15,41665
2015-05-16,41665
2015-05-17,41454
2015-05-18,41445
2015-05-19,41846
2015-05-20,41778
2015-05-21,42104
2015-05-22,42070
2015-05-23,41746
2015-05-24,41592
2015-05-25,41905
2015-05-26,41906
2015-05-27,41970
2015-05-28,41915
2015-05-29,41721
2015-05-30,40969
2015-05-31,41307
2015-06-01,41890
2015-06-02,41645
2015-06-03,41650
2015-06-04,41394
2015-06-05,40865
2015-06-06,40496
2015-06-07,40835
2015-06-08,40906
2015-06-09,41215
2015-06-10,40537
2015-06-11,40389
2015-06-12,39850
2015-06-13,40717
2015-06-14,40750
2015-06-15,40959
2015-06-16,41216
2015-06-17,41109
2015-06-18,40719
2015-06-19,40148
2015-06-20,40275
2015-06-21,40752
2015-06-22,41272
2015-06-23,41141
2015-06-24,41064
2015-06-25,40970
2015-06-26,40806
2015-06-27,40784
2015-06-28,40827
2015-06-29,41146
2015-06-30,41103
2015-07-01,41754
2015-07-02,41405
2015-07-03,41130
2015-07-04,40463
2015-07-05,40281
2015-07-06,40137
2015-07-07,40495
2015-07-08,40612
2015-07-09,40392
2015-07-10,40634
2015-07-11,40928
2015-07-12,41001
2015-07-13,41356
2015-07-14,41296
2015-07-15,40483
2015-07-16,41159
2015-07-17,41584
2015-07-18,41101
2015-07-19,41172
2015-07-20,42105
2015-07-21,42665
2015-07-22,42070
2015-07-23,41411
2015-07-24,40840
2015-07-25,40351
2015-07-26,39881
2015-07-27,40069
2015-07-28,40529
2015-07-29,41223
2015-07-30,41397
2015-07-31,41750
2015-08-01,40602
2015-08-02,41171
2015-08-03,41890
2015-08-04,41959
2015-08-05,42176
2015-08-06,42075
2015-08-07,41538
2015-08-08,41836
2015-08-09,41990
2015-08-10,41976
2015-08-11,42328
2015-08-12,42272
2015-08-13,41791
2015-08-14,41999
2015-08-15,42054
2015-08-16,41643
2015-08-17,41875
2015-08-18,41982
2015-08-19,42129
2015-08-20,42201
2015-08-21,42114
2015-08-22,41657
2015-08-23,41723
2015-08-24,41971
2015-08-25,41895
2015-08-26,41762
2015-08-27,41563
2015-08-28,41301
2015-08-29,41813
2015-08-30,41219
2015-08-31,40903
2015-09-01,41317
2015-09-02,41426
2015-09-03,41477
2015-09-04,41667
2015-09-05,41507
2015-09-06,41256
2015-09-07,41411
2015-09-08,41790
2015-09-09,41616
2015-09-10,42106
2015-09-11,41661
2015-09-12,41749
2015-09-13,41259
2015-09-14,41217
2015-09-15,41671
2015-09-16,41303
2015-09-17,40928
2015-09-18,40916
2015-09-19,41345
2015-09-20,41310
2015-09-21,41679
2015-09-22,41755
2015-09-23,41671
2015-09-24,42044
2015-09-25,42347
2015-09-27,41684
2015-09-28,41929
2015-09-29,42511
2015-09-30,42074
2015-10-05,41682
2015-10-06,41668
2015-10-07,41984
2015-10-08,41945
2015-10-09,41504
2015-10-10,41410
2015-10-11,41450
2015-10-12,41676
2015-10-13,41914
2015-10-14,41407
2015-10-15,41509
2015-10-16,41299
2015-10-17,39270
2015-10-18,38437
2015-10-19,40359
2015-10-20,42108
2015-10-22,41926
2015-10-23,41812
2015-10-24,41408
2015-10-25,41125
2015-10-26,41663
2015-10-27,41911
2015-10-29,41990
2015-10-30,42063
2015-10-31,42499
2015-11-01,42491
2015-11-02,42116
2015-11-03,42073
2015-11-04,41989
2015-11-05,42303
2015-11-06,42100
2015-11-07,42392
2015-11-08,42270
2015-11-09,41981
2015-11-10,42331
2015-11-11,42124
2015-11-12,42330
2015-11-13,42239
2015-11-14,42104
2015-11-15,42509
2015-11-16,42563
2015-11-17,42847
2015-11-18,43297
2015-11-19,43031
2015-11-20,42757
2015-11-21,42457
2015-11-22,42670
2015-11-23,42940
2015-11-24,43011
2015-11-25,42650
2015-11-26,42702
2015-11-27,42658
2015-11-28,42545
2015-11-29,42618
2015-11-30,42868
2015-12-01,42671
2015-12-02,42483
2015-12-03,42817
2015-12-04,42883
2015-12-05,42667
2015-12-06,42707
2015-12-07,42551
2015-12-08,42769
2015-12-09,42283
2015-12-10,42824
2015-12-11,42385
2015-12-12,42174
2015-12-13,42436
2015-12-14,42681
2015-12-15,42588
2015-12-16,42869
2015-12-17,42792
2015-12-18,42544
2015-12-19,42724
2015-12-20,42789
2015-12-21,42531
2015-12-22,42676
2015-12-23,42836
2015-12-24,42807
2015-12-25,42810
2015-12-26,42913
2015-12-27,42713
2015-12-28,42507
2015-12-29,42430
2015-12-30,42586
2015-12-31,42223
2016-01-01,42343
2016-01-02,41920
2016-01-03,42039
2016-01-04,41829
2016-01-05,41485
2016-01-06,41555
2016-01-07,42464
2016-01-08,42280
2016-01-09,42119
2016-01-10,41861
2016-01-11,41661
2016-01-12,41865
2016-01-13,41523
2016-01-14,41411
2016-01-15,41539
2016-01-16,41601
2016-01-17,41700
2016-01-18,41737
2016-01-19,42518
2016-01-20,42173
2016-01-21,42277
2016-01-22,42047
2016-01-23,42328
2016-01-24,42237
2016-01-25,41851
2016-01-26,41345
2016-01-27,41303
2016-01-28,40880
2016-01-29,41311
2016-01-30,41253
2016-01-31,41521
2016-02-01,41989
2016-02-02,42340
2016-02-03,41955
2016-02-04,41118
2016-02-05,40993
2016-02-06,41267
2016-02-07,41584
2016-02-08,41387
2016-02-09,41639
2016-02-10,41645
2016-02-11,41743
2016-02-12,41868
2016-02-13,42156
2016-02-14,42249
2016-02-15,42216
2016-02-16,42098
2016-02-17,42187
2016-02-18,41981
2016-02-19,41346
2016-02-20,41461
2016-02-21,41869
2016-02-22,42107
2016-02-23,42176
2016-02-24,42557
2016-02-25,42298
2016-02-26,42088
2016-02-27,42124
2016-02-28,42050
2016-02-29,42095
2016-03-01,42093
2016-03-02,41948
2016-03-03,42043
2016-03-04,42131
2016-03-05,42063
2016-03-06,41857
2016-03-07,41932
2016-03-08,42074
2016-03-09,41613
2016-03-10,41116
2016-03-11,41691
2016-03-12,41902
2016-03-13,41835
2016-03-14,41814
2016-03-15,41597
2016-03-16,41779
2016-03-17,41540
2016-03-18,41671
2016-03-19,41818
2016-03-20,42086
2016-03-21,41482
2016-03-22,41430
2016-03-23,41829
2016-03-24,41326
2016-03-25,41258
2016-03-26,41455
2016-03-27,41772
2016-03-28,42015
2016-03-29,42165
2016-03-30,41977
2016-03-31,41920
2016-04-01,41808
2016-04-02,41787
2016-04-03,41735
2016-04-04,41953
2016-04-05,41682
2016-04-06,41939
2016-04-07,41935
2016-04-08,41849
2016-04-09,42001
2016-04-10,42066
2016-04-11,42102
2016-04-12,41589
2016-04-13,41746
2016-04-14,42221
2016-04-15,42162
2016-04-16,42296
2016-04-17,42380
2016-04-18,42511
2016-04-19,42510
2016-04-20,42110
2016-04-21,41946
2016-04-22,41972
2016-04-23,42055
2016-04-24,41795
2016-04-25,41873
2016-04-26,41621
2016-04-27,41971
2016-04-28,41970
2016-04-29,41871
2016-04-30,41069
2016-05-01,40876
2016-05-02,41460
2016-05-03,41828
2016-05-04,41342
2016-05-05,41277
2016-05-06,40583
2016-05-07,40474
2016-05-08,40394
2016-05-09,40461
2016-05-10,39983
2016-05-11,39572
2016-05-12,39510
2016-05-13,39568
2016-05-14,39103
2016-05-15,39644
2016-05-16,39788
2016-05-17,39588
2016-05-18,39470
2016-05-19,40167
2016-05-22,38754
2016-05-23,39376
2016-05-24,40006
2016-05-25,40246
2016-05-26,40961
2016-05-27,41411
2016-05-28,41657
2016-05-29,41434
2016-05-30,41152
2016-05-31,41571
2016-06-01,41487
2016-06-02,41585
2016-06-03,40897
2016-06-04,41123
2016-06-05,41599
2016-06-06,41400
2016-06-07,41091
2016-06-08,41101
2016-06-09,40870
2016-06-10,40402
2016-06-11,40323
2016-06-12,40378
2016-06-13,40664
2016-06-14,40445
2016-06-15,40461
2016-06-16,40832
2016-06-17,40362
2016-06-18,40286
2016-06-19,40536
2016-06-20,39948
2016-06-21,39581
2016-06-22,40514
2016-06-23,40605
2016-06-24,39962
2016-06-25,39737
2016-06-26,39998
2016-06-27,40429
2016-06-28,40580
2016-06-29,40691
2016-06-30,40705
2016-07-01,41092
2016-07-02,41235
2016-07-03,40995
2016-07-04,40769
2016-07-05,40741
2016-07-06,41409
2016-07-07,41484
2016-07-08,41405
2016-07-09,40908
2016-07-10,40831
2016-07-11,39918
2016-07-12,39876
2016-07-13,40550
2016-07-14,40901
2016-07-15,40978
2016-07-16,40974
2016-07-17,40955
2016-07-18,40773
2016-07-23,40177
2016-07-24,40374
2016-07-25,40192
2016-07-26,40810
2016-07-27,41341
2016-07-28,41279
2016-07-29,41652
2016-07-30,41616
2016-07-31,41498
2016-08-01,41731
2016-08-02,41895
2016-08-03,41534
2016-08-04,41568
2016-08-05,41387
2016-08-06,41287
2016-08-07,41183
2016-08-08,41151
2016-08-09,41721
2016-08-10,41462
2016-08-11,41685
2016-08-12,41518
2016-08-13,41626
2016-08-14,41401
2016-08-15,41544
2016-08-16,41808
2016-08-17,41916
2016-08-18,41612
2016-08-19,41144
2016-08-20,41062
2016-08-21,41096
2016-08-22,41220
2016-08-23,41142
2016-08-24,40858
2016-08-25,41028
2016-08-26,41324
2016-08-28,40884
2016-08-31,41272
2016-09-01,41244
2016-09-02,41399
2016-09-03,41268
2016-09-04,41306
2016-09-05,41694
2016-09-06,41791
2016-09-07,41638
2016-09-08,41678
2016-09-09,41766
2016-09-10,41719
2016-09-11,41503
2016-09-12,41425
2016-09-13,41903
2016-09-14,41831
2016-09-15,41286
2016-09-16,41470
2016-09-17,41330
2016-09-18,40753
2016-09-19,41070
2016-09-20,41361
2016-09-21,41437
2016-09-22,41109
2016-09-23,41346
2016-09-24,41212
2016-09-25,41332
2016-09-26,41370
2016-09-27,41286
2016-09-28,41128
2016-09-29,41146
2016-09-30,41193
2016-10-01,40966
2016-10-02,40904
2016-10-03,41149
2016-10-04,40748
2016-10-05,40253
2016-10-06,40598
2016-10-07,41223
2016-10-08,41340
2016-10-09,40969
2016-10-10,40604
2016-10-11,40940
2016-10-12,40976
2016-10-13,41084
2016-10-14,41158
2016-10-15,41089
2016-10-16,40844
2016-10-17,41301
2016-10-18,41373
2016-10-19,41249
2016-10-20,41285
2016-10-21,40870
2016-10-22,40963
2016-10-23,41126
2016-10-24,41195
2016-10-25,40942
2016-10-26,41310
2016-10-27,41031
2016-10-28,40883
2016-10-29,41101
2016-10-30,40811
2016-10-31,41245
2016-11-01,40827
2016-11-02,40918
2016-11-03,41083
2016-11-04,41146
2016-11-05,40498
2016-11-06,41189
2016-11-07,40855
2016-11-08,40394
2016-11-09,40929
2016-11-10,40973
2016-11-11,41030
2016-11-12,40906
2016-11-13,40758
2016-11-14,41009
2016-12-08,40696
2016-12-09,40581
2016-12-10,40475
2016-12-11,40594
2016-12-12,40411
2016-12-13,40764
2016-12-14,40814
2016-12-15,40671
2016-12-16,41260
2016-12-17,41052
2016-12-18,40754
2016-12-19,41012
2016-12-20,41424
2016-12-21,41329
2016-12-22,41482
2016-12-23,40937
2016-12-24,41291
2016-12-25,41593
2016-12-26,41243
2016-12-27,41313
2016-12-28,41257
2016-12-29,40933
2016-12-30,40947
2016-12-31,41209
2017-01-01,40923
2017-01-02,41016
2017-01-03,40830
2017-01-04,40445
2017-01-05,39518
2017-01-06,38841
2017-01-07,39429
2017-01-08,40375
2017-01-09,39965
2017-01-10,40346
2017-01-11,40703
2017-01-12,40992
2017-01-13,40897
2017-01-14,40846
2017-01-15,41090
2017-01-16,41163
2017-01-17,41151
2017-01-18,41369
2017-01-19,41428
2017-01-20,41427
2017-01-21,41428
2017-01-22,41214
2017-01-27,41306
2017-01-28,41231
2017-01-29,41081
2017-01-30,40844
2017-01-31,40549
2017-02-01,40943
2017-02-02,41205
2017-02-03,41015
2017-02-04,40710
2017-02-05,40936
2017-02-06,40746
2017-02-07,40666
2017-02-08,40983
2017-02-09,41064
2017-02-10,41109
2017-02-11,40913
2017-02-12,40742
2017-02-13,40736
2017-02-14,40513
2017-02-15,40037
2017-02-16,40316
2017-02-18,40728
2017-02-19,40794
2017-02-20,40941
2017-02-21,40782
2017-02-22,41020
2017-02-23,40889
2017-02-24,40908
2017-02-25,40301
2017-02-26,40704
2017-02-27,40974
2017-02-28,41152
2017-03-01,40826
2017-03-02,40928
2017-03-03,40924
2017-03-04,41108
2017-03-05,41031
2017-03-06,41221
2017-03-07,41209
2017-03-08,40959
2017-03-09,41254
2017-03-10,41097
2017-03-11,41316
2017-03-12,41227
2017-03-13,41136
2017-03-14,40933
2017-03-15,40814
2017-03-16,40907
2017-03-17,41098
2017-03-18,40987
2017-03-19,41121
2017-03-20,41044
2017-03-21,40802
2017-03-22,40614
2017-03-23,40781
2017-03-24,40860
2017-03-25,40884
2017-03-26,40936
2017-03-27,40513
2017-03-28,40674
2017-03-29,41068
2017-03-30,40962
2017-03-31,41084
2017-04-01,41360
2017-04-02,41241
2017-04-03,41349
2017-04-04,41367
2017-04-12,41248
2017-04-13,41471
2017-04-14,41496
2017-04-15,41401
2017-04-16,41556
