date_obj,Splitbark%20gauntlets price
2015-03-26,15594
2015-03-27,15594
2015-03-28,15594
2015-03-29,14826
2015-03-30,14826
2015-03-31,14826
2015-04-01,14826
2015-04-02,14826
2015-04-03,14826
2015-04-04,14103
2015-04-05,14103
2015-04-06,14103
2015-04-07,14103
2015-04-08,14103
2015-04-09,14103
2015-04-10,13415
2015-04-11,13415
2015-04-12,13415
2015-04-13,13415
2015-04-14,13415
2015-04-15,13415
2015-04-16,12755
2015-04-17,12755
2015-04-18,12755
2015-04-19,12755
2015-04-20,12755
2015-04-21,12755
2015-04-22,12755
2015-04-23,12149
2015-04-24,12149
2015-04-25,12149
2015-04-26,12149
2015-04-27,12149
2015-04-28,12149
2015-04-29,12149
2015-04-30,11552
2015-05-01,11552
2015-05-02,11552
2015-05-03,11552
2015-05-04,11552
2015-05-05,11552
2015-05-06,11552
2015-05-07,10984
2015-05-08,10984
2015-05-09,10984
2015-05-10,10984
2015-05-11,10984
2015-05-12,10984
2015-05-13,10984
2015-05-14,10463
2015-05-15,10463
2015-05-16,10463
2015-05-17,10463
2015-05-18,10463
2015-05-19,10463
2015-05-20,10463
2015-05-21,10463
2015-05-22,9962
2015-05-23,9962
2015-05-24,9962
2015-05-25,9962
2015-05-26,9962
2015-05-27,9962
2015-05-28,9472
2015-05-29,9472
2015-05-30,9472
2015-05-31,9472
2015-06-01,9011
2015-06-02,9011
2015-06-03,9011
2015-06-04,9011
2015-06-05,9011
2015-06-06,8576
2015-06-07,8576
2015-06-08,8576
2015-06-09,8576
2015-06-10,8174
2015-06-11,8174
2015-06-12,8174
2015-06-13,8174
2015-06-14,8174
2015-06-15,7784
2015-06-16,7784
2015-06-17,7784
2015-06-18,7784
2015-06-19,7784
2015-06-20,7412
2015-06-21,7412
2015-06-22,7412
2015-06-23,7412
2015-06-24,7412
2015-06-25,7058
2015-06-26,7058
2015-06-27,7058
2015-06-28,7058
2015-06-29,7058
2015-06-30,6719
2015-07-01,6719
2015-07-02,6719
2015-07-03,6719
2015-07-04,6719
2015-07-05,6719
2015-07-06,6397
2015-07-07,6397
2015-07-08,6397
2015-07-09,6397
2015-07-10,6397
2015-07-11,6397
2015-07-12,6105
2015-07-13,6105
2015-07-14,6105
2015-07-15,6105
2015-07-16,6105
2015-07-17,5823
2015-07-18,5823
2015-07-19,5823
2015-07-20,5823
2015-07-21,5823
2015-07-22,5542
2015-07-23,5542
2015-07-24,5542
2015-07-25,5542
2015-07-26,5542
2015-07-27,5279
2015-07-28,5279
2015-07-29,5279
2015-07-30,5279
2015-07-31,5279
2015-08-01,5279
2015-08-02,5015
2015-08-03,5015
2015-08-04,5015
2015-08-05,5015
2015-08-06,5015
2015-08-07,5015
2015-08-08,4769
2015-08-09,4769
2015-08-10,4769
2015-08-11,4769
2015-08-12,4769
2015-08-13,4769
2015-08-14,4530
2015-08-15,4530
2015-08-16,4530
2015-08-17,4530
2015-08-18,4530
2015-08-19,4530
2015-08-20,4320
2015-08-21,4320
2015-08-22,4320
2015-08-23,4320
2015-08-24,4320
2015-08-25,4320
2015-08-26,4115
2015-08-27,4115
2015-08-28,4115
2015-08-29,4115
2015-08-30,4115
2015-08-31,3926
2015-09-01,3926
2015-09-02,3926
2015-09-03,3926
2015-09-04,3926
2015-09-05,3926
2015-09-06,3748
2015-09-07,3748
2015-09-08,3748
2015-09-09,3748
2015-09-10,3748
2015-09-11,3748
2015-09-12,3573
2015-09-13,3573
2015-09-14,3573
2015-09-15,3573
2015-09-16,3573
2015-09-17,3573
2015-09-18,3428
2015-09-19,3428
2015-09-20,3428
2015-09-21,3428
2015-09-22,3428
2015-09-23,3428
2015-09-24,3428
2015-09-25,3260
2015-09-27,3260
2015-09-28,3260
2015-09-29,3260
2015-09-30,3260
2015-10-05,3112
2015-10-06,3112
2015-10-07,3112
2015-10-08,3112
2015-10-09,2984
2015-10-10,2984
2015-10-11,2984
2015-10-12,2984
