date_obj,Frozen%20whip%20mix price
2015-03-26,151485
2015-03-27,144288
2015-03-28,144288
2015-03-29,146496
2015-03-30,146496
2015-03-31,146496
2015-04-01,146496
2015-04-02,145285
2015-04-03,145285
2015-04-04,145285
2015-04-05,143341
2015-04-06,143341
2015-04-07,143341
2015-04-08,143341
2015-04-09,139850
2015-04-10,139850
2015-04-11,139850
2015-04-12,139850
2015-04-13,134588
2015-04-14,134588
2015-04-15,134588
2015-04-16,134588
2015-04-17,132673
2015-04-18,132673
2015-04-19,132673
2015-04-20,137057
2015-04-21,137057
2015-04-22,137057
2015-04-23,138016
2015-04-24,138016
2015-04-25,138016
2015-04-26,138016
2015-04-27,132464
2015-04-28,132464
2015-04-29,132464
2015-04-30,132464
2015-05-01,129184
2015-05-02,129184
2015-05-03,129184
2015-05-04,129184
2015-05-05,133568
2015-05-06,133568
2015-05-07,133568
2015-05-08,136829
2015-05-09,136829
2015-05-10,136829
2015-05-11,141965
2015-05-12,141965
2015-05-13,141965
2015-05-14,147454
2015-05-15,147454
2015-05-16,147454
2015-05-17,147454
2015-05-18,145321
2015-05-19,145321
2015-05-20,145321
2015-05-21,145321
2015-05-22,145321
2015-05-23,145933
2015-05-24,145933
2015-05-25,145933
2015-05-26,146112
2015-05-27,146112
2015-05-28,148223
2015-05-29,148223
2015-05-30,150369
2015-05-31,150369
2015-06-01,150132
2015-06-02,150132
2015-06-03,150132
2015-06-04,147852
2015-06-05,147852
2015-06-06,148886
2015-06-07,148886
2015-06-08,148886
2015-06-09,150688
2015-06-10,150688
2015-06-11,152261
2015-06-12,152261
2015-06-13,156179
2015-06-14,156179
2015-06-15,156705
2015-06-16,156705
2015-06-17,153537
2015-06-18,153537
2015-06-19,148304
2015-06-20,148304
2015-06-21,148304
2015-06-22,141298
2015-06-23,141298
2015-06-24,134764
2015-06-25,134764
2015-06-26,131407
2015-06-27,131407
2015-06-28,131407
2015-06-29,128398
2015-06-30,128398
2015-07-01,129933
2015-07-02,129933
2015-07-03,132287
2015-07-04,132287
2015-07-05,132287
2015-07-06,130124
2015-07-07,130124
2015-07-08,127867
2015-07-09,127867
2015-07-10,127867
2015-07-11,128344
2015-07-12,128344
2015-07-13,132731
2015-07-14,132731
2015-07-15,135766
2015-07-16,135766
2015-07-17,133828
2015-07-18,133828
2015-07-19,133828
2015-07-20,135053
2015-07-21,135053
2015-07-22,134532
2015-07-23,134532
2015-07-24,137765
2015-07-25,137765
2015-07-26,137765
2015-07-27,136075
2015-07-28,136075
2015-07-29,130903
2015-07-30,130903
2015-07-31,130903
2015-08-01,124409
2015-08-02,124409
2015-08-03,118312
2015-08-04,118312
2015-08-05,121919
2015-08-06,121919
2015-08-07,127181
2015-08-08,127181
2015-08-09,132114
2015-08-10,132114
2015-08-11,130243
2015-08-12,130243
2015-08-13,130243
2015-08-14,132761
2015-08-15,132761
2015-08-16,132761
2015-08-17,133771
2015-08-18,133771
2015-08-19,131347
2015-08-20,131347
2015-08-21,137336
2015-08-22,137336
2015-08-23,137336
2015-08-24,140807
2015-08-25,140807
2015-08-26,140807
2015-08-27,147692
2015-08-28,147692
2015-08-29,149448
2015-08-30,149448
2015-08-31,149448
2015-09-01,146455
2015-09-02,146455
2015-09-03,146455
2015-09-04,139954
2015-09-05,139954
2015-09-06,139954
2015-09-07,138071
2015-09-08,138071
2015-09-09,139920
2015-09-10,139920
2015-09-11,141680
2015-09-12,141680
2015-09-13,146595
2015-09-14,146595
2015-09-15,148318
2015-09-16,148318
2015-09-17,151804
2015-09-18,151804
2015-09-19,151804
2015-09-20,149323
2015-09-21,149323
2015-09-22,146221
2015-09-23,146221
2015-09-24,146221
2015-09-25,144433
2015-09-27,144433
2015-09-28,146740
2015-09-29,146740
2015-09-30,145684
2015-10-05,142037
2015-10-06,142643
2015-10-07,142643
2015-10-08,142643
2015-10-09,144167
2015-10-10,144167
2015-10-11,144167
2015-10-12,145313
2015-10-13,145313
2015-10-14,145313
2015-10-15,139132
2015-10-16,139132
2015-10-17,139132
2015-10-18,136084
2015-10-19,136084
2015-10-20,137003
2015-10-22,137003
2015-10-23,134976
2015-10-24,134976
2015-10-25,134976
2015-10-26,130028
2015-10-27,130028
2015-10-29,131749
2015-10-30,131749
2015-10-31,131749
2015-11-01,134014
2015-11-02,134014
2015-11-03,134014
2015-11-04,133757
2015-11-05,133757
2015-11-06,133757
2015-11-07,134455
2015-11-08,134455
2015-11-09,134455
2015-11-10,134455
2015-11-11,137714
2015-11-12,137714
2015-11-13,137714
2015-11-14,137714
2015-11-15,137949
2015-11-16,137949
2015-11-17,137949
2015-11-18,137949
2015-11-19,136413
2015-11-20,136413
2015-11-21,136413
2015-11-22,140064
2015-11-23,140064
2015-11-24,140064
2015-11-25,144860
2015-11-26,144860
2015-11-27,144860
2015-11-28,149714
2015-11-29,149714
2015-11-30,155310
2015-12-01,155310
2015-12-02,155310
2015-12-03,153704
2015-12-04,153704
2015-12-05,153704
2015-12-06,156372
2015-12-07,156372
2015-12-08,156372
2015-12-09,158333
2015-12-10,158333
2015-12-11,158333
2015-12-12,159182
2015-12-13,159182
2015-12-14,159182
2015-12-15,153643
2015-12-16,153643
2015-12-17,153643
2015-12-18,151137
2015-12-19,151137
2015-12-20,149606
2015-12-21,149606
2015-12-22,149606
2015-12-23,144884
2015-12-24,144884
2015-12-25,144884
2015-12-26,139473
2015-12-27,139473
2015-12-28,138386
2015-12-29,138386
2015-12-30,141286
2015-12-31,141286
2016-01-01,141286
2016-01-02,142643
2016-01-03,142643
2016-01-04,148472
2016-01-05,148472
2016-01-06,150086
2016-01-07,150086
2016-01-08,150086
2016-01-09,151485
2016-01-10,151485
2016-01-11,155111
2016-01-12,155111
2016-01-13,153195
2016-01-14,153195
2016-01-15,151097
2016-01-16,151097
2016-01-17,154374
2016-01-18,154374
2016-01-19,156070
2016-01-20,156070
2016-01-21,156070
2016-01-22,153484
2016-01-23,153484
2016-01-24,155625
2016-01-25,155625
2016-01-26,157286
2016-01-27,157286
2016-01-28,156166
2016-01-29,155969
2016-01-30,155969
2016-01-31,155969
2016-02-01,150714
2016-02-02,150714
2016-02-03,149098
2016-02-04,149098
2016-02-05,149098
2016-02-06,148844
2016-02-07,148844
2016-02-08,148844
2016-02-09,154109
2016-02-10,154109
2016-02-11,152357
2016-02-12,152357
2016-02-13,150940
2016-02-14,150940
2016-02-15,147751
2016-02-16,147751
2016-02-17,145738
2016-02-18,145738
2016-02-19,145738
2016-02-20,145288
2016-02-21,148172
2016-02-22,148172
2016-02-23,148172
2016-02-24,150820
2016-02-25,150820
2016-02-26,150318
2016-02-27,150318
2016-02-28,148167
2016-02-29,148167
2016-03-01,147556
2016-03-02,147556
2016-03-03,147556
2016-03-04,147735
2016-03-05,147735
2016-03-06,147871
2016-03-07,147871
2016-03-08,147871
2016-03-09,148116
2016-03-10,148116
2016-03-11,148116
2016-03-12,151087
2016-03-13,151087
2016-03-14,151087
2016-03-15,150526
2016-03-16,150526
2016-03-17,154001
2016-03-18,154001
2016-03-19,153660
2016-03-20,153660
2016-03-21,149000
2016-03-22,149000
2016-03-23,146921
2016-03-24,146921
2016-03-25,144908
2016-03-26,144908
2016-03-27,144908
2016-03-28,143134
2016-03-29,143134
2016-03-30,143134
2016-03-31,141183
2016-04-01,141183
2016-04-02,141183
2016-04-03,141623
2016-04-04,141623
2016-04-05,138572
2016-04-06,138572
2016-04-07,138572
2016-04-08,141013
2016-04-09,141013
2016-04-10,144348
2016-04-11,144348
2016-04-12,144348
2016-04-13,145685
2016-04-14,145685
2016-04-15,148353
2016-04-16,148353
2016-04-17,148353
2016-04-18,146911
2016-04-19,146911
2016-04-20,146911
2016-04-21,140905
2016-04-22,140905
2016-04-23,140905
2016-04-24,144817
2016-04-25,144817
2016-04-26,146869
2016-04-27,146869
2016-04-28,149436
2016-04-29,149436
2016-04-30,149436
2016-05-01,152041
2016-05-02,152041
2016-05-03,152065
2016-05-04,152065
2016-05-05,153202
2016-05-06,153202
2016-05-07,147140
2016-05-08,147140
2016-05-09,148173
2016-05-10,148173
2016-05-11,142480
2016-05-12,142480
2016-05-13,140656
2016-05-14,140656
2016-05-15,135841
2016-05-16,135841
2016-05-17,134023
2016-05-18,134023
2016-05-19,131472
2016-05-22,131273
2016-05-23,133475
2016-05-24,133475
2016-05-25,131149
2016-05-26,131149
2016-05-27,132612
2016-05-28,132612
2016-05-29,133639
2016-05-30,133639
2016-05-31,133639
2016-06-01,131994
2016-06-02,131994
2016-06-03,134966
2016-06-04,134966
2016-06-05,136411
2016-06-06,136411
2016-06-07,139925
2016-06-08,139925
2016-06-09,140786
2016-06-10,140786
2016-06-11,141177
2016-06-12,141177
2016-06-13,139658
2016-06-14,139658
2016-06-15,133177
2016-06-16,133177
2016-06-17,126743
2016-06-18,126743
2016-06-19,122791
2016-06-20,122791
2016-06-21,125600
2016-06-22,125600
2016-06-23,123616
2016-06-24,123616
2016-06-25,127972
2016-06-26,127972
2016-06-27,127972
2016-06-28,126597
2016-06-29,126597
2016-06-30,122923
2016-07-01,122923
