date_obj,Beer price
2015-03-26,200
2015-03-27,200
2015-03-28,192
2015-03-29,191
2015-03-30,197
2015-03-31,204
2015-04-01,208
2015-04-02,207
2015-04-03,207
2015-04-04,206
2015-04-05,201
2015-04-06,194
2015-04-07,195
2015-04-08,196
2015-04-09,197
2015-04-10,190
2015-04-11,183
2015-04-12,176
2015-04-13,176
2015-04-14,179
2015-04-15,183
2015-04-16,182
2015-04-17,176
2015-04-18,167
2015-04-19,158
2015-04-20,152
2015-04-21,149
2015-04-22,146
2015-04-23,139
2015-04-24,135
2015-04-25,128
2015-04-26,121
2015-04-27,114
2015-04-28,108
2015-04-29,102
2015-04-30,96
2015-05-01,93
2015-05-02,92
2015-05-03,92
2015-05-04,92
2015-05-05,94
2015-05-06,98
2015-05-07,101
2015-05-08,107
2015-05-09,110
2015-05-10,104
2015-05-11,98
2015-05-12,97
2015-05-13,98
2015-05-14,102
2015-05-15,108
2015-05-16,114
2015-05-17,120
2015-05-18,123
2015-05-19,119
2015-05-20,113
2015-05-21,107
2015-05-22,102
2015-05-23,104
2015-05-24,99
2015-05-25,104
2015-05-26,110
2015-05-27,115
2015-05-28,118
2015-05-29,114
2015-05-30,110
2015-05-31,104
2015-06-01,99
2015-06-02,100
2015-06-03,105
2015-06-04,111
2015-06-05,116
2015-06-06,113
2015-06-07,107
2015-06-08,101
2015-06-09,97
2015-06-10,93
2015-06-11,88
2015-06-12,87
2015-06-13,86
2015-06-14,84
2015-06-15,81
2015-06-16,81
2015-06-17,85
2015-06-18,85
2015-06-19,83
2015-06-20,85
2015-06-21,88
2015-06-22,92
2015-06-23,91
2015-06-24,92
2015-06-25,92
2015-06-26,94
2015-06-27,91
2015-06-28,87
2015-06-29,89
2015-06-30,86
2015-07-01,84
2015-07-02,89
2015-07-03,90
2015-07-04,90
2015-07-05,85
2015-07-06,81
2015-07-07,79
2015-07-08,78
2015-07-09,82
2015-07-10,83
2015-07-11,80
2015-07-12,82
2015-07-13,82
2015-07-14,81
2015-07-15,82
2015-07-16,78
2015-07-17,82
2015-07-18,87
2015-07-19,92
2015-07-20,97
2015-07-21,101
2015-07-22,99
2015-07-23,100
2015-07-24,96
2015-07-25,91
2015-07-26,86
2015-07-27,81
2015-07-28,76
2015-07-29,72
2015-07-30,72
2015-07-31,74
2015-08-01,71
2015-08-02,74
2015-08-03,73
2015-08-04,75
2015-08-05,76
2015-08-06,79
2015-08-07,81
2015-08-08,83
2015-08-09,86
2015-08-10,84
2015-08-11,85
2015-08-12,87
2015-08-13,87
2015-08-14,85
2015-08-15,81
2015-08-16,76
2015-08-17,75
2015-08-18,76
2015-08-19,73
2015-08-20,71
2015-08-21,68
2015-08-22,64
2015-08-23,60
2015-08-24,57
2015-08-25,59
2015-08-26,57
2015-08-27,57
2015-08-28,59
2015-08-29,62
2015-08-30,66
2015-08-31,62
2015-09-01,65
2015-09-02,68
2015-09-03,68
2015-09-04,68
2015-09-05,71
2015-09-06,69
2015-09-07,68
2015-09-08,66
2015-09-09,65
2015-09-10,68
2015-09-11,70
2015-09-12,71
2015-09-13,72
2015-09-14,69
2015-09-15,71
2015-09-16,75
2015-09-17,79
2015-09-18,83
2015-09-19,86
2015-09-20,87
2015-09-21,91
2015-09-22,90
2015-09-23,94
2015-09-24,99
2015-09-25,104
2015-09-27,115
2015-09-28,116
2015-09-29,119
2015-09-30,124
2015-10-05,134
2015-10-06,134
