date_obj,Boots%20of%20brimstone price
2019-01-10,155000
2019-01-10,162750
2019-01-11,170888
2019-01-12,179433
2019-01-13,188405
2019-01-14,197826
2019-01-15,207718
2019-01-16,218104
2019-01-17,229010
2019-01-18,240461
2019-01-19,252485
2019-01-20,265110
2019-01-21,278366
2019-01-22,292285
2019-01-23,306900
2019-01-24,322245
2019-01-25,338358
2019-01-26,355276
2019-01-27,373040
2019-01-28,391692
2019-01-29,411277
2019-01-30,431841
2019-01-31,453434
2019-02-01,476106
2019-02-02,499912
2019-02-03,524908
2019-02-04,551154
2019-02-05,578712
2019-02-06,607648
2019-02-07,638031
2019-02-08,669933
2019-02-09,703430
2019-02-10,738602
2019-02-11,775533
2019-02-12,814310
2019-02-13,855026
2019-02-14,897778
2019-02-15,942667
2019-02-16,989801
2019-02-17,1039292
2019-02-18,1091257
2019-02-19,1145820
2019-02-20,1203111
2019-02-21,1263267
2019-02-22,1326431
2019-02-23,1392753
2019-02-24,1462391
2019-02-25,1530026
2019-02-26,1530322
2019-02-27,1516686
2019-02-28,1445412
2019-03-01,1399553
2019-03-02,1379904
2019-03-03,1362288
2019-03-04,1346184
2019-03-05,1325856
2019-03-06,1287051
2019-03-07,1300516
2019-03-08,1294515
2019-03-09,1287879
2019-03-10,1344655
2019-03-11,1401090
2019-03-12,1401656
2019-03-13,1428854
2019-03-14,1409110
2019-03-15,1388171
2019-03-16,1370187
2019-03-17,1337448
2019-03-18,1278516
2019-03-19,1272547
2019-03-20,1239284
2019-03-21,1209205
2019-03-22,1193961
2019-03-23,1173491
2019-03-24,1158387
2019-03-25,1155863
2019-03-26,1186559
2019-03-27,1157747
2019-03-28,1155839
2019-03-29,1138707
2019-03-30,1129971
2019-03-31,1133112
2019-04-01,1135334
2019-04-02,1177595
2019-04-03,1177526
2019-04-04,1164893
2019-04-05,1145734
2019-04-06,1154460
2019-04-07,1165979
2019-04-08,1157061
2019-04-09,1144565
2019-04-10,1140112
2019-04-11,1137564
2019-04-12,1121253
2019-04-13,1094069
2019-04-14,1074587
2019-04-15,1063928
2019-04-16,1026872
2019-04-17,991196
2019-04-18,961243
2019-04-19,953834
2019-04-20,936265
2019-04-21,951344
2019-04-22,950824
2019-04-23,955495
2019-04-24,948647
2019-04-25,941838
2019-04-26,931925
2019-04-27,925027
2019-04-28,950816
2019-04-29,971807
2019-04-30,966957
2019-05-01,971545
2019-05-02,1016986
2019-05-03,999859
2019-05-04,991709
2019-05-05,1001522
2019-05-06,1023705
2019-05-07,1059444
2019-05-08,1051701
2019-05-09,1070461
2019-05-10,1049279
2019-05-11,1048907
2019-05-12,1058786
2019-05-13,1111702
2019-05-14,1166045
2019-05-15,1171676
2019-05-16,1187290
2019-05-17,1181867
2019-05-18,1225961
2019-05-19,1264074
2019-05-20,1313180
2019-05-21,1346422
2019-05-22,1363467
2019-05-23,1399320
2019-05-24,1408388
2019-05-25,1426527
2019-05-26,1367223
2019-05-27,1334292
2019-05-28,1315959
2019-05-29,1279259
2019-05-30,1250868
2019-05-31,1233876
2019-06-01,1225592
2019-06-02,1230047
2019-06-03,1200689
2019-06-04,1149464
2019-06-05,1105607
2019-06-06,1079347
2019-06-07,1073784
2019-06-08,1055666
2019-06-09,1041910
2019-06-10,1012273
2019-06-11,1010726
2019-06-12,1016371
2019-06-13,1029207
2019-06-14,1032689
2019-06-15,1025726
2019-06-16,1028730
2019-06-17,1054355
2019-06-18,1060837
2019-06-19,1085036
2019-06-20,1092653
2019-06-21,1085415
2019-06-22,1077781
2019-06-23,1075001
2019-06-24,1062235
2019-06-25,1051207
2019-06-26,1041879
2019-06-27,1033598
2019-06-28,1050771
2019-06-29,1063594
2019-06-30,1107859
2019-07-01,1162731
