date_obj,Avantoe price
2015-03-26,1922
2015-03-27,1922
2015-03-28,1976
2015-03-29,2075
2015-03-30,2126
2015-03-31,2177
2015-04-01,2177
2015-04-02,2285
2015-04-03,2400
2015-04-04,2507
2015-04-05,2507
2015-04-06,2574
2015-04-07,2630
2015-04-08,2630
2015-04-09,2651
2015-04-10,2762
2015-04-11,2796
2015-04-12,2758
2015-04-13,2719
2015-04-14,2719
2015-04-15,2784
2015-04-16,2784
2015-04-17,2838
2015-04-18,2811
2015-04-19,2730
2015-04-20,2730
2015-04-21,2675
2015-04-22,2675
2015-04-23,2689
2015-04-24,2689
2015-04-25,2653
2015-04-26,2653
2015-04-27,2541
2015-04-28,2494
2015-04-29,2494
2015-04-30,2525
2015-05-01,2566
2015-05-02,2534
2015-05-03,2534
2015-05-04,2531
2015-05-05,2531
2015-05-06,2507
2015-05-07,2482
2015-05-08,2482
2015-05-09,2440
2015-05-10,2403
2015-05-11,2403
2015-05-12,2384
2015-05-13,2384
2015-05-14,2357
2015-05-15,2357
2015-05-16,2404
2015-05-17,2379
2015-05-18,2413
2015-05-19,2413
2015-05-20,2400
2015-05-21,2400
2015-05-22,2461
2015-05-23,2461
2015-05-24,2456
2015-05-25,2497
2015-05-26,2497
2015-05-27,2498
2015-05-28,2597
2015-05-29,2636
2015-05-30,2750
2015-05-31,2789
2015-06-01,2719
2015-06-02,2719
2015-06-03,2661
2015-06-04,2687
2015-06-05,2673
2015-06-06,2664
2015-06-07,2574
2015-06-08,2548
2015-06-09,2430
2015-06-10,2321
2015-06-11,2309
2015-06-12,2331
2015-06-13,2349
2015-06-14,2296
2015-06-15,2338
2015-06-16,2361
2015-06-17,2288
2015-06-18,2185
2015-06-19,2226
2015-06-20,2243
2015-06-21,2243
2015-06-22,2248
2015-06-23,2172
2015-06-24,2107
2015-06-25,2107
2015-06-26,2025
2015-06-27,2025
2015-06-28,1991
2015-06-29,1968
2015-06-30,1998
2015-07-01,1921
2015-07-02,1921
2015-07-03,1856
2015-07-04,1827
2015-07-05,1827
2015-07-06,1832
2015-07-07,1798
2015-07-08,1826
2015-07-09,1826
2015-07-10,1890
2015-07-11,1890
2015-07-12,1842
2015-07-13,1848
2015-07-14,1817
2015-07-15,1782
2015-07-16,1753
2015-07-17,1764
2015-07-18,1764
2015-07-19,1715
2015-07-20,1671
2015-07-21,1671
2015-07-22,1623
2015-07-23,1623
2015-07-24,1612
2015-07-25,1612
2015-07-26,1645
2015-07-27,1639
2015-07-28,1644
2015-07-29,1663
2015-07-30,1663
2015-07-31,1655
2015-08-01,1655
2015-08-02,1595
2015-08-03,1595
2015-08-04,1545
2015-08-05,1551
2015-08-06,1574
2015-08-07,1574
2015-08-08,1594
2015-08-09,1631
2015-08-10,1645
2015-08-11,1653
2015-08-12,1653
2015-08-13,1625
2015-08-14,1604
2015-08-15,1604
2015-08-16,1575
2015-08-17,1575
2015-08-18,1592
2015-08-19,1592
2015-08-20,1615
2015-08-21,1615
2015-08-22,1610
2015-08-23,1610
2015-08-24,1626
2015-08-25,1626
2015-08-26,1626
2015-08-27,1629
2015-08-28,1629
2015-08-29,1625
2015-08-30,1625
2015-08-31,1648
2015-09-01,1648
2015-09-02,1731
2015-09-03,1731
2015-09-04,1786
2015-09-05,1786
2015-09-06,1796
2015-09-07,1796
2015-09-08,1778
2015-09-09,1778
2015-09-10,1771
2015-09-11,1771
2015-09-12,1764
2015-09-13,1764
2015-09-14,1725
2015-09-15,1725
2015-09-16,1731
2015-09-17,1731
2015-09-18,1656
2015-09-19,1656
2015-09-20,1576
2015-09-21,1576
2015-09-22,1576
2015-09-23,1576
2015-09-24,1581
2015-09-25,1581
2015-09-27,1583
2015-09-28,1632
2015-09-29,1632
2015-09-30,1690
2015-10-05,1846
2015-10-06,1846
2015-10-07,1938
2015-10-08,1938
2015-10-09,1992
2015-10-10,1992
2015-10-11,1977
2015-10-12,1977
2015-10-13,1978
2015-10-14,1978
2015-10-15,2064
2015-10-16,2064
2015-10-17,2064
2015-10-18,2161
