date_obj,Comp%20ogre%20bow price
2015-03-26,22675
2015-03-27,22675
2015-03-28,22675
2015-03-29,22675
2015-03-30,21548
2015-03-31,21548
2015-04-01,21548
2015-04-02,21548
2015-04-03,21548
2015-04-04,20523
2015-04-05,20523
2015-04-06,20523
2015-04-07,20523
2015-04-08,20523
2015-04-09,20523
2015-04-10,19527
2015-04-11,19527
2015-04-12,19527
2015-04-13,19527
2015-04-14,19527
2015-04-15,18550
2015-04-16,18550
2015-04-17,18550
2015-04-18,18550
2015-04-19,18550
2015-04-20,17637
2015-04-21,17637
2015-04-22,17637
2015-04-23,17637
2015-04-24,16764
2015-04-25,16764
2015-04-26,16764
2015-04-27,16764
2015-04-28,15925
2015-04-29,15925
2015-04-30,15925
2015-05-01,15925
2015-05-02,15128
2015-05-03,15128
2015-05-04,15128
2015-05-05,15128
2015-05-06,14376
2015-05-07,14376
2015-05-08,14376
2015-05-09,14376
2015-05-10,13663
2015-05-11,13663
2015-05-12,13663
2015-05-13,13663
2015-05-14,12985
2015-05-15,12985
2015-05-16,12985
2015-05-17,12985
2015-05-18,12335
2015-05-19,12335
2015-05-20,12335
2015-05-21,12335
2015-05-22,12335
2015-05-23,11731
2015-05-24,11731
2015-05-25,11731
2015-05-26,11731
2015-05-27,11155
2015-05-28,11155
2015-05-29,11155
2015-05-30,10597
2015-05-31,10597
2015-06-01,10597
2015-06-02,10080
2015-06-03,10080
2015-06-04,10080
2015-06-05,9586
2015-06-06,9586
2015-06-07,9586
2015-06-08,9106
2015-06-09,9106
2015-06-10,9106
2015-06-11,8650
2015-06-12,8650
2015-06-13,8650
2015-06-14,8217
2015-06-15,8217
2015-06-16,8217
2015-06-17,7871
2015-06-18,7871
2015-06-19,7871
2015-06-20,7477
2015-06-21,7477
2015-06-22,7477
2015-06-23,7109
2015-06-24,7109
2015-06-25,7109
2015-06-26,6753
2015-06-27,6753
2015-06-28,6753
2015-06-29,6753
2015-06-30,6415
2015-07-01,6415
2015-07-02,6415
2015-07-03,6104
2015-07-04,6104
2015-07-05,6104
2015-07-06,5833
2015-07-07,5833
2015-07-08,5833
2015-07-09,5656
2015-07-10,5656
2015-07-11,5656
2015-07-12,5656
2015-07-13,5373
2015-07-14,5373
2015-07-15,5373
2015-07-16,5104
2015-07-17,5104
2015-07-18,5104
2015-07-19,4848
2015-07-20,4848
2015-07-21,4848
2015-07-22,4605
2015-07-23,4605
2015-07-24,4605
2015-07-25,4377
2015-07-26,4377
2015-07-27,4377
2015-07-28,4172
2015-07-29,4172
2015-07-30,4172
2015-07-31,3971
2015-08-01,3971
2015-08-02,3903
2015-08-03,3903
2015-08-04,3903
2015-08-05,4001
2015-08-06,4001
2015-08-07,4001
2015-08-08,4051
2015-08-09,4051
2015-08-10,4051
2015-08-11,4013
2015-08-12,4013
2015-08-13,4013
2015-08-14,4013
2015-08-15,4119
2015-08-16,4119
2015-08-17,4119
2015-08-18,4086
2015-08-19,4086
2015-08-20,4086
2015-08-21,4008
2015-08-22,4008
2015-08-23,4008
2015-08-24,4008
2015-08-25,3807
2015-08-26,3807
2015-08-27,3807
2015-08-28,3616
2015-08-29,3616
2015-08-30,3616
2015-08-31,3435
2015-09-01,3435
2015-09-02,3435
2015-09-03,3435
2015-09-04,3263
2015-09-05,3263
2015-09-06,3263
2015-09-07,3263
2015-09-08,3099
2015-09-09,3099
2015-09-10,3099
2015-09-11,2957
2015-09-12,2957
2015-09-13,2957
2015-09-14,2957
2015-09-15,2859
2015-09-16,2859
2015-09-17,2859
2015-09-18,2859
2015-09-19,2716
2015-09-20,2716
2015-09-21,2716
2015-09-22,2683
2015-09-23,2683
2015-09-24,2683
2015-09-25,2683
2015-09-27,2753
2015-09-28,2753
2015-09-29,2753
2015-09-30,2710
2015-10-05,2736
2015-10-06,2736
2015-10-07,2736
2015-10-08,2788
2015-10-09,2788
2015-10-10,2788
2015-10-11,2862
2015-10-12,2862
2015-10-13,2862
2015-10-14,2862
2015-10-15,2937
2015-10-16,2937
2015-10-17,2937
2015-10-18,2937
2015-10-19,2997
2015-10-20,2997
2015-10-22,2997
2015-10-23,2979
2015-10-24,2979
2015-10-25,2979
2015-10-26,3040
2015-10-27,3040
2015-10-29,3040
2015-10-30,3109
2015-10-31,3109
2015-11-01,3109
2015-11-02,3109
2015-11-03,3170
2015-11-04,3170
2015-11-05,3170
2015-11-06,3170
2015-11-07,3200
2015-11-08,3200
2015-11-09,3200
2015-11-10,3200
2015-11-11,3200
2015-11-12,3232
2015-11-13,3232
2015-11-14,3232
2015-11-15,3232
2015-11-16,3216
2015-11-17,3216
2015-11-18,3216
2015-11-19,3216
2015-11-20,3195
2015-11-21,3195
2015-11-22,3195
2015-11-23,3195
2015-11-24,3195
2015-11-25,3085
2015-11-26,3085
2015-11-27,3085
2015-11-28,3085
2015-11-29,3111
2015-11-30,3111
2015-12-01,3111
2015-12-02,3111
2015-12-03,3159
2015-12-04,3159
2015-12-05,3159
2015-12-06,3159
2015-12-07,3065
2015-12-08,3065
2015-12-09,3065
2015-12-10,2914
2015-12-11,2914
2015-12-12,2914
2015-12-13,2770
2015-12-14,2770
2015-12-15,2770
2015-12-16,2634
2015-12-17,2634
2015-12-18,2634
2015-12-19,2634
2015-12-20,2542
2015-12-21,2542
2015-12-22,2542
2015-12-23,2582
2015-12-24,2582
2015-12-25,2582
2015-12-26,2601
2015-12-27,2601
2015-12-28,2601
2015-12-29,2536
2015-12-30,2536
2015-12-31,2536
2016-01-01,2409
2016-01-02,2409
2016-01-03,2409
2016-01-04,2288
2016-01-05,2288
2016-01-06,2282
2016-01-07,2282
2016-01-08,2282
2016-01-09,2296
2016-01-10,2296
2016-01-11,2296
2016-01-12,2203
2016-01-13,2203
2016-01-14,2203
2016-01-15,2232
2016-01-16,2232
2016-01-17,2232
2016-01-18,2242
2016-01-19,2242
2016-01-20,2242
2016-01-21,2272
2016-01-22,2272
2016-01-23,2272
2016-01-24,2326
2016-01-25,2326
2016-01-26,2326
2016-01-27,2367
2016-01-28,2367
2016-01-29,2367
2016-01-30,2367
2016-01-31,2411
2016-02-01,2411
2016-02-02,2411
2016-02-03,2353
2016-02-04,2353
2016-02-05,2353
2016-02-06,2380
2016-02-07,2380
2016-02-08,2380
2016-02-09,2423
2016-02-10,2423
2016-02-11,2423
2016-02-12,2447
2016-02-13,2447
2016-02-14,2447
2016-02-15,2491
2016-02-16,2491
2016-02-17,2491
2016-02-18,2512
2016-02-19,2512
2016-02-20,2512
2016-02-21,2513
2016-02-22,2513
2016-02-23,2513
2016-02-24,2513
2016-02-25,2517
2016-02-26,2517
2016-02-27,2517
2016-02-28,2439
2016-02-29,2439
2016-03-01,2439
2016-03-02,2428
2016-03-03,2428
2016-03-04,2428
2016-03-05,2424
2016-03-06,2424
2016-03-07,2396
2016-03-08,2396
2016-03-09,2333
2016-03-10,2333
2016-03-11,2333
2016-03-12,2322
2016-03-13,2322
2016-03-14,2322
2016-03-15,2266
2016-03-16,2266
2016-03-17,2266
2016-03-18,2344
2016-03-19,2344
2016-03-20,2344
2016-03-21,2418
2016-03-22,2418
2016-03-23,2418
2016-03-24,2379
2016-03-25,2379
2016-03-26,2357
2016-03-27,2357
2016-03-28,2403
2016-03-29,2403
2016-03-30,2403
2016-03-31,2420
2016-04-01,2420
2016-04-02,2420
2016-04-03,2451
2016-04-04,2451
2016-04-05,2451
2016-04-06,2491
2016-04-07,2491
2016-04-08,2491
2016-04-09,2552
2016-04-10,2552
2016-04-11,2552
2016-04-12,2597
2016-04-13,2597
2016-04-14,2597
2016-04-15,2598
2016-04-16,2598
2016-04-17,2598
2016-04-18,2627
2016-04-19,2627
2016-04-20,2627
2016-04-21,2668
2016-04-22,2668
2016-04-23,2668
2016-04-24,2645
2016-04-25,2645
2016-04-26,2596
2016-04-27,2596
2016-04-28,2513
2016-04-29,2513
2016-04-30,2513
2016-05-01,2387
2016-05-02,2387
2016-05-03,2267
2016-05-04,2267
2016-05-05,2153
2016-05-06,2153
2016-05-07,2153
2016-05-08,2098
2016-05-09,2098
2016-05-10,2066
2016-05-11,2066
2016-05-12,2066
2016-05-13,2053
2016-05-14,2053
2016-05-15,2032
2016-05-16,2032
2016-05-17,2032
2016-05-18,2017
2016-05-19,2017
2016-05-22,1929
2016-05-23,1832
2016-05-24,1832
2016-05-25,1741
2016-05-26,1741
2016-05-27,1749
2016-05-28,1749
2016-05-29,1749
2016-05-30,1749
2016-05-31,1749
2016-06-01,1762
2016-06-02,1762
2016-06-03,1762
2016-06-04,1767
2016-06-05,1767
2016-06-06,1749
2016-06-07,1749
2016-06-08,1749
2016-06-09,1722
2016-06-10,1722
2016-06-11,1680
2016-06-12,1680
2016-06-13,1680
2016-06-14,1701
2016-06-15,1701
2016-06-16,1701
2016-06-17,1707
2016-06-18,1707
2016-06-19,1714
2016-06-20,1714
2016-06-21,1714
2016-06-22,1782
2016-06-23,1782
2016-06-24,1782
2016-06-25,1747
2016-06-26,1747
2016-06-27,1747
2016-06-28,1685
2016-06-29,1685
2016-06-30,1709
2016-07-01,1709
2016-07-02,1728
2016-07-03,1728
2016-07-04,1764
2016-07-05,1764
2016-07-06,1764
2016-07-07,1773
2016-07-08,1773
2016-07-09,1800
2016-07-10,1800
2016-07-11,1786
2016-07-12,1786
2016-07-13,1773
