date_obj,Calquat%20fruit price
2015-03-26,882
2015-03-27,882
2015-03-28,882
2015-03-29,882
2015-03-30,882
2015-03-31,882
2015-04-01,840
2015-04-02,840
2015-04-03,840
2015-04-04,840
2015-04-05,840
2015-04-06,840
2015-04-07,840
2015-04-08,840
2015-04-09,840
2015-04-10,840
2015-04-11,840
2015-04-12,840
2015-04-13,840
2015-04-14,840
2015-04-15,840
2015-04-16,840
2015-04-17,840
2015-04-18,840
2015-04-19,801
2015-04-20,801
2015-04-21,801
2015-04-22,801
2015-04-23,801
2015-04-24,801
2015-04-25,801
2015-04-26,801
2015-04-27,801
2015-04-28,801
2015-04-29,801
2015-04-30,801
2015-05-01,801
2015-05-02,801
2015-05-03,801
2015-05-04,801
2015-05-05,762
2015-05-06,762
2015-05-07,762
2015-05-08,762
2015-05-09,762
2015-05-10,762
2015-05-11,762
2015-05-12,762
2015-05-13,762
2015-05-14,762
2015-05-15,762
2015-05-16,762
2015-05-17,762
2015-05-18,762
2015-05-19,762
2015-05-20,762
2015-05-21,762
2015-05-22,725
2015-05-23,725
2015-05-24,725
2015-05-25,725
2015-05-26,725
2015-05-27,725
2015-05-28,725
2015-05-29,725
2015-05-30,725
2015-05-31,725
2015-06-01,691
2015-06-02,691
2015-06-03,691
2015-06-04,691
2015-06-05,691
2015-06-06,691
2015-06-07,691
2015-06-08,691
2015-06-09,691
2015-06-10,691
2015-06-11,691
2015-06-12,691
2015-06-13,658
2015-06-14,658
2015-06-15,658
2015-06-16,658
2015-06-17,658
2015-06-18,658
2015-06-19,658
2015-06-20,658
2015-06-21,658
2015-06-22,628
2015-06-23,628
2015-06-24,628
2015-06-25,628
2015-06-26,628
2015-06-27,628
2015-06-28,628
2015-06-29,628
2015-06-30,628
2015-07-01,628
2015-07-02,599
2015-07-03,599
2015-07-04,599
2015-07-05,599
2015-07-06,599
2015-07-07,599
2015-07-08,599
2015-07-09,599
2015-07-10,599
2015-07-11,599
2015-07-12,599
2015-07-13,576
2015-07-14,576
2015-07-15,576
2015-07-16,576
2015-07-17,576
2015-07-18,576
2015-07-19,576
2015-07-20,576
2015-07-21,576
2015-07-22,548
2015-07-23,548
