date_obj,Blue%20wizard%20robe price
2015-03-04,5228
2015-03-05,5096
2015-03-06,5020
2015-03-07,4960
2015-03-08,5055
2015-03-09,5167
2015-03-10,5043
2015-03-11,4790
2015-03-12,4554
2015-03-13,4459
2015-03-14,4418
2015-03-15,4441
2015-03-16,4390
2015-03-17,4407
2015-03-18,4283
2015-03-19,4172
2015-03-20,4081
2015-03-21,4171
2015-03-22,4281
2015-03-23,4342
2015-03-24,4396
2015-03-25,4347
2015-03-26,4381
2015-03-27,4417
2015-03-28,4372
2015-03-29,4362
2015-03-30,4355
2015-03-31,4396
2015-04-01,4365
2015-04-02,4351
2015-04-03,4401
2015-04-04,4448
2015-04-05,4487
2015-04-06,4375
2015-04-07,4309
2015-04-08,4287
2015-04-09,4183
2015-04-10,4001
2015-04-11,3932
2015-04-12,3825
2015-04-13,3776
2015-04-14,3779
2015-04-15,3790
2015-04-16,3834
2015-04-17,3881
2015-04-18,3940
2015-04-19,4056
2015-04-20,4200
2015-04-21,4269
2015-04-22,4225
2015-04-23,4259
2015-04-24,4245
2015-04-25,4240
2015-04-26,4226
2015-04-27,4167
2015-04-28,4128
2015-04-29,4125
2015-04-30,4082
2015-05-01,3949
2015-05-02,3858
2015-05-03,3879
2015-05-04,3835
2015-05-05,3747
2015-05-06,3564
2015-05-07,3387
2015-05-08,3256
2015-05-09,3256
2015-05-10,3255
2015-05-11,3228
2015-05-12,3219
2015-05-13,3119
2015-05-14,3074
2015-05-15,3031
2015-05-16,2984
2015-05-17,3068
2015-05-18,3131
2015-05-19,3243
2015-05-20,3348
2015-05-21,3409
2015-05-22,3404
2015-05-23,3544
2015-05-24,3711
2015-05-25,3867
2015-05-26,4024
2015-05-27,4185
2015-05-28,4236
2015-05-29,4086
2015-05-30,4000
2015-05-31,3902
2015-06-01,3811
2015-06-02,3702
2015-06-03,3689
2015-06-04,3644
2015-06-05,3664
2015-06-06,3727
2015-06-07,3835
2015-06-08,3806
2015-06-09,3783
2015-06-10,3777
2015-06-11,3830
2015-06-12,3778
2015-06-13,3819
2015-06-14,3881
2015-06-15,3947
2015-06-16,3998
2015-06-17,3938
2015-06-18,3838
2015-06-19,3745
2015-06-20,3807
2015-06-21,3834
2015-06-22,3968
2015-06-23,4070
2015-06-24,4144
2015-06-25,4144
2015-06-26,4049
2015-06-27,3968
2015-06-28,3963
2015-06-29,4026
2015-06-30,4087
2015-07-01,4166
2015-07-02,4164
2015-07-03,4242
2015-07-04,4354
2015-07-05,4411
2015-07-06,4437
2015-07-07,4372
2015-07-08,4282
2015-07-09,4243
2015-07-10,4210
2015-07-11,4154
2015-07-12,4085
2015-07-13,4052
2015-07-14,4084
2015-07-15,4125
2015-07-16,4096
2015-07-17,4050
2015-07-18,4022
2015-07-19,4025
2015-07-20,4028
2015-07-21,3999
2015-07-22,4045
2015-07-23,4095
2015-07-24,4135
2015-07-25,4201
2015-07-26,4237
2015-07-27,4240
2015-07-28,4367
2015-07-29,4522
2015-07-30,4599
2015-07-31,4532
2015-08-01,4457
2015-08-02,4425
2015-08-03,4311
2015-08-04,4302
2015-08-05,4240
2015-08-06,4079
2015-08-07,3943
2015-08-08,3845
2015-08-09,3855
2015-08-10,3773
2015-08-11,3806
2015-08-12,3837
2015-08-13,3819
2015-08-14,3759
2015-08-15,3749
2015-08-16,3734
2015-08-17,3762
2015-08-18,3876
