date_obj,Harralander%20potion%20(unf) price
2015-03-26,537
2015-03-27,537
2015-03-28,549
2015-03-29,549
2015-03-30,533
2015-03-31,533
2015-04-01,533
2015-04-02,532
2015-04-03,532
2015-04-04,546
2015-04-05,546
2015-04-06,560
2015-04-07,560
2015-04-08,560
2015-04-09,565
2015-04-10,565
2015-04-11,561
2015-04-12,561
2015-04-13,569
2015-04-14,569
2015-04-15,569
2015-04-16,575
2015-04-17,575
2015-04-18,575
2015-04-19,575
2015-04-20,575
2015-04-21,577
2015-04-22,577
2015-04-23,577
2015-04-24,578
2015-04-25,578
2015-04-26,578
2015-04-27,570
2015-04-28,570
2015-04-29,570
2015-04-30,566
2015-05-01,566
2015-05-02,581
2015-05-03,581
2015-05-04,581
2015-05-05,608
2015-05-06,608
2015-05-07,636
2015-05-08,636
2015-05-09,636
2015-05-10,666
2015-05-11,666
2015-05-12,666
2015-05-13,640
2015-05-14,640
2015-05-15,640
2015-05-16,637
2015-05-17,637
2015-05-18,646
2015-05-19,646
2015-05-20,646
2015-05-21,646
2015-05-22,669
2015-05-23,669
2015-05-24,669
2015-05-25,696
2015-05-26,696
2015-05-27,696
2015-05-28,693
2015-05-29,693
2015-05-30,662
2015-05-31,662
2015-06-01,652
2015-06-02,652
2015-06-03,652
2015-06-04,631
2015-06-05,631
2015-06-06,599
2015-06-07,599
2015-06-08,570
2015-06-09,570
2015-06-10,551
2015-06-11,551
2015-06-12,551
2015-06-13,557
2015-06-14,557
2015-06-15,562
2015-06-16,562
2015-06-17,575
2015-06-18,575
2015-06-19,567
2015-06-20,567
2015-06-21,553
2015-06-22,553
2015-06-23,540
2015-06-24,540
2015-06-25,547
2015-06-26,547
2015-06-27,525
2015-06-28,525
2015-06-29,520
2015-06-30,520
2015-07-01,526
2015-07-02,526
2015-07-03,545
2015-07-04,545
2015-07-05,544
2015-07-06,544
2015-07-07,533
2015-07-08,533
2015-07-09,521
2015-07-10,521
2015-07-11,512
2015-07-12,512
2015-07-13,491
2015-07-14,491
2015-07-15,472
2015-07-16,472
2015-07-17,468
2015-07-18,468
2015-07-19,468
2015-07-20,486
2015-07-21,486
2015-07-22,501
2015-07-23,501
2015-07-24,515
2015-07-25,515
2015-07-26,515
2015-07-27,537
2015-07-28,537
2015-07-29,546
2015-07-30,546
2015-07-31,546
2015-08-01,541
2015-08-02,541
2015-08-03,553
2015-08-04,553
2015-08-05,561
2015-08-06,561
2015-08-07,566
2015-08-08,566
2015-08-09,562
