date_obj,Rake price
2015-03-26,115
2015-03-27,115
2015-03-28,115
2015-03-29,118
2015-03-30,118
2015-03-31,118
2015-04-01,122
2015-04-02,122
2015-04-03,122
2015-04-04,127
2015-04-05,127
2015-04-06,127
2015-04-07,127
2015-04-08,127
2015-04-09,127
2015-04-10,127
2015-04-11,126
2015-04-12,126
2015-04-13,126
2015-04-14,129
2015-04-15,129
2015-04-16,129
2015-04-17,136
2015-04-18,136
2015-04-19,136
2015-04-20,140
2015-04-21,140
2015-04-22,140
2015-04-23,143
2015-04-24,143
2015-04-25,143
2015-04-26,143
2015-04-27,147
2015-04-28,147
2015-04-29,147
2015-04-30,153
2015-05-01,153
2015-05-02,153
2015-05-03,160
2015-05-04,160
2015-05-05,160
2015-05-06,167
2015-05-07,167
2015-05-08,167
2015-05-09,173
2015-05-10,173
2015-05-11,173
2015-05-12,180
2015-05-13,180
2015-05-14,180
2015-05-15,186
2015-05-16,186
2015-05-17,186
2015-05-18,194
2015-05-19,194
2015-05-20,194
2015-05-21,194
2015-05-22,192
2015-05-23,192
2015-05-24,192
2015-05-25,182
2015-05-26,182
2015-05-27,182
2015-05-28,185
2015-05-29,185
2015-05-30,191
2015-05-31,191
2015-06-01,191
2015-06-02,199
2015-06-03,199
2015-06-04,199
2015-06-05,205
2015-06-06,205
2015-06-07,214
2015-06-08,214
2015-06-09,214
2015-06-10,220
2015-06-11,220
2015-06-12,220
2015-06-13,230
2015-06-14,230
2015-06-15,230
2015-06-16,237
2015-06-17,237
2015-06-18,237
2015-06-19,238
2015-06-20,238
2015-06-21,238
2015-06-22,246
2015-06-23,246
2015-06-24,246
2015-06-25,255
2015-06-26,255
2015-06-27,255
2015-06-28,259
2015-06-29,259
2015-06-30,259
2015-07-01,263
2015-07-02,263
2015-07-03,263
2015-07-04,262
2015-07-05,262
2015-07-06,262
2015-07-07,274
2015-07-08,274
2015-07-09,274
2015-07-10,282
2015-07-11,282
2015-07-12,282
2015-07-13,276
2015-07-14,276
2015-07-15,276
2015-07-16,276
2015-07-17,276
2015-07-18,279
2015-07-19,279
2015-07-20,277
2015-07-21,277
2015-07-22,277
2015-07-23,277
2015-07-24,277
2015-07-25,271
2015-07-26,271
2015-07-27,271
2015-07-28,271
2015-07-29,271
2015-07-30,279
2015-07-31,279
2015-08-01,279
2015-08-02,288
2015-08-03,288
2015-08-04,288
2015-08-05,300
2015-08-06,300
2015-08-07,300
2015-08-08,304
2015-08-09,304
2015-08-10,297
2015-08-11,297
2015-08-12,297
2015-08-13,296
2015-08-14,296
2015-08-15,296
2015-08-16,307
2015-08-17,307
2015-08-18,307
2015-08-19,312
2015-08-20,312
2015-08-21,312
2015-08-22,312
2015-08-23,312
2015-08-24,311
2015-08-25,311
2015-08-26,311
2015-08-27,313
2015-08-28,313
2015-08-29,313
2015-08-30,304
2015-08-31,304
2015-09-01,296
2015-09-02,296
2015-09-03,296
2015-09-04,285
2015-09-05,285
2015-09-06,285
2015-09-07,270
2015-09-08,270
2015-09-09,270
2015-09-10,266
2015-09-11,266
2015-09-12,266
2015-09-13,273
2015-09-14,273
2015-09-15,273
2015-09-16,280
2015-09-17,280
2015-09-18,280
2015-09-19,282
2015-09-20,282
2015-09-21,282
2015-09-22,285
2015-09-23,285
2015-09-24,285
2015-09-25,285
2015-09-27,285
2015-09-28,274
2015-09-29,274
2015-09-30,274
2015-10-05,251
2015-10-06,251
2015-10-07,260
2015-10-08,260
2015-10-09,260
2015-10-10,269
2015-10-11,269
2015-10-12,275
2015-10-13,275
2015-10-14,275
2015-10-15,275
2015-10-16,275
2015-10-17,275
2015-10-18,281
2015-10-19,281
2015-10-20,281
2015-10-22,278
2015-10-23,278
2015-10-24,279
2015-10-25,279
2015-10-26,282
2015-10-27,282
2015-10-29,284
2015-10-30,284
2015-10-31,284
2015-11-01,284
2015-11-02,280
2015-11-03,280
2015-11-04,280
2015-11-05,277
2015-11-06,277
2015-11-07,277
2015-11-08,288
2015-11-09,288
2015-11-10,288
2015-11-11,298
2015-11-12,298
2015-11-13,298
2015-11-14,298
2015-11-15,301
2015-11-16,301
2015-11-17,301
2015-11-18,301
2015-11-19,307
2015-11-20,307
2015-11-21,307
2015-11-22,313
2015-11-23,313
2015-11-24,313
2015-11-25,309
2015-11-26,309
2015-11-27,309
2015-11-28,309
2015-11-29,312
2015-11-30,312
2015-12-01,312
2015-12-02,322
2015-12-03,322
2015-12-04,322
2015-12-05,334
2015-12-06,334
2015-12-07,334
2015-12-08,344
2015-12-09,344
2015-12-10,330
2015-12-11,330
2015-12-12,330
2015-12-13,317
2015-12-14,317
2015-12-15,317
2015-12-16,321
2015-12-17,321
2015-12-18,321
2015-12-19,315
2015-12-20,315
2015-12-21,328
2015-12-22,328
2015-12-23,337
2015-12-24,337
2015-12-25,337
2015-12-26,337
2015-12-27,337
2015-12-28,330
2015-12-29,330
2015-12-30,318
2015-12-31,318
2016-01-01,318
2016-01-02,311
2016-01-03,311
2016-01-04,314
2016-01-05,314
2016-01-06,315
2016-01-07,315
2016-01-08,316
2016-01-09,316
