date_obj,Maple%20seed price
2015-03-05,21924
2015-03-06,23014
2015-03-07,24165
2015-03-08,25374
2015-03-09,26643
2015-03-10,27976
2015-03-11,29375
2015-03-12,30685
2015-03-13,32220
2015-03-14,33831
2015-03-15,35523
2015-03-16,36846
2015-03-17,37640
2015-03-18,37640
2015-03-19,39454
2015-03-20,41426
2015-03-21,43189
2015-03-22,43965
2015-03-23,43965
2015-03-24,45056
2015-03-25,44499
2015-03-26,45691
2015-03-27,45691
2015-03-28,47797
2015-03-29,47388
2015-03-30,45756
2015-03-31,44291
2015-04-01,44291
2015-04-02,43902
2015-04-03,43756
2015-04-04,44077
2015-04-05,44077
2015-04-06,42403
2015-04-07,40479
2015-04-08,40479
2015-04-09,38554
2015-04-10,36626
2015-04-11,35427
2015-04-12,35693
2015-04-13,34889
2015-04-14,34889
2015-04-15,35079
2015-04-16,36676
2015-04-17,38209
2015-04-18,39554
2015-04-19,39817
2015-04-20,39817
2015-04-21,41448
2015-04-22,41448
2015-04-23,43393
2015-04-24,43393
2015-04-25,44637
2015-04-26,44653
2015-04-27,45885
2015-04-28,45859
2015-04-29,45859
2015-04-30,44815
2015-05-01,45205
2015-05-02,43735
2015-05-03,43735
2015-05-04,42677
2015-05-05,42677
2015-05-06,44746
2015-05-07,46945
2015-05-08,46945
2015-05-09,48017
2015-05-10,47574
2015-05-11,47574
2015-05-12,45202
2015-05-13,45202
2015-05-14,44057
2015-05-15,44057
2015-05-16,44071
2015-05-17,44237
2015-05-18,44063
2015-05-19,44063
2015-05-20,43698
2015-05-21,43698
2015-05-22,42871
2015-05-23,42871
2015-05-24,42993
2015-05-25,42472
2015-05-26,42472
2015-05-27,41059
2015-05-28,39999
2015-05-29,40908
2015-05-30,40162
2015-05-31,39812
2015-06-01,40583
2015-06-02,40583
2015-06-03,41944
2015-06-04,42395
2015-06-05,41373
2015-06-06,41306
2015-06-07,41911
2015-06-08,42336
2015-06-09,41127
2015-06-10,40885
2015-06-11,40885
2015-06-12,41208
2015-06-13,39952
2015-06-14,40472
2015-06-15,41003
2015-06-16,41620
2015-06-17,41862
2015-06-18,42512
2015-06-19,44289
2015-06-20,44859
2015-06-21,44344
2015-06-22,43661
2015-06-23,44343
2015-06-24,43559
2015-06-25,43559
2015-06-26,43541
2015-06-27,43541
2015-06-28,42329
2015-06-29,40788
2015-06-30,41426
2015-07-01,41870
2015-07-02,41870
2015-07-03,41560
2015-07-04,42118
2015-07-05,41136
2015-07-06,41133
2015-07-07,40895
2015-07-08,40476
2015-07-09,40476
2015-07-10,40454
2015-07-11,42293
2015-07-12,41346
2015-07-13,40606
2015-07-14,40612
2015-07-15,42088
2015-07-16,44177
2015-07-17,45718
2015-07-18,45718
2015-07-19,45686
2015-07-20,47166
2015-07-21,47166
2015-07-22,47402
2015-07-23,47402
2015-07-24,47781
2015-07-25,46842
2015-07-26,45446
2015-07-27,46646
2015-07-28,47468
2015-07-29,47296
2015-07-30,45920
2015-07-31,45920
2015-08-01,45450
2015-08-02,46130
2015-08-03,46574
2015-08-04,47159
2015-08-05,47162
2015-08-06,47181
2015-08-07,46632
2015-08-08,46583
2015-08-09,46507
2015-08-10,47052
2015-08-11,47703
2015-08-12,47703
2015-08-13,48595
2015-08-14,49272
2015-08-15,48257
2015-08-16,48862
2015-08-17,49640
2015-08-18,50394
2015-08-19,49993
2015-08-20,49917
2015-08-21,48639
2015-08-22,50260
2015-08-23,49161
2015-08-24,49345
2015-08-25,49345
2015-08-26,49995
2015-08-27,51453
2015-08-28,51373
2015-08-29,50211
2015-08-30,49216
2015-08-31,49216
2015-09-02,48921
2015-09-07,47146
2015-09-08,46442
2015-09-10,46022
2015-09-14,46401
2015-09-16,47406
2015-09-22,51587
2015-09-23,51558
2015-09-24,51558
2015-09-25,50337
2015-09-27,51571
2015-09-28,52975
2015-09-29,52096
2015-09-30,50229
2015-10-05,47739
2015-10-06,47572
2015-10-07,47844
2015-10-08,48918
2015-10-09,49872
2015-10-10,49872
2015-10-11,48952
2015-10-12,47966
2015-10-13,47966
2015-10-14,48736
2015-10-15,49298
2015-10-16,49166
2015-10-17,49166
2015-10-18,48719
2015-10-19,48696
2015-10-20,48722
2015-10-22,48691
2015-10-23,49947
2015-10-24,49503
2015-10-25,49894
2015-10-26,48754
2015-10-27,48754
2015-10-29,49178
2015-10-30,48760
2015-10-31,48177
2015-11-01,48177
2015-11-02,48800
2015-11-03,49394
2015-11-04,49221
2015-11-05,49304
2015-11-06,48908
2015-11-07,47674
2015-11-08,46963
2015-11-09,47578
2015-11-10,48048
2015-11-11,48591
2015-11-12,48296
2015-11-13,48614
2015-11-14,48654
2015-11-15,48707
2015-11-16,49135
2015-11-17,49777
2015-11-18,48950
2015-11-19,49065
2015-11-20,50417
2015-11-21,50417
2015-11-22,50620
2015-11-23,50620
2015-11-24,48777
2015-11-25,50219
2015-11-26,50219
2015-11-27,49856
2015-11-28,50554
2015-11-29,49526
2015-11-30,49472
2015-12-01,49472
2015-12-02,49629
2015-12-03,51567
2015-12-04,51732
2015-12-05,52674
2015-12-06,53992
2015-12-07,56616
2015-12-08,58076
2015-12-09,58044
2015-12-10,58479
2015-12-11,58290
2015-12-12,57045
2015-12-13,56473
2015-12-14,56473
2015-12-15,57810
2015-12-16,56503
2015-12-17,54399
2015-12-18,54189
2015-12-19,55543
2015-12-20,56965
2015-12-21,56713
2015-12-22,57433
2015-12-23,59054
2015-12-24,59273
2015-12-25,58645
2015-12-26,56693
2015-12-27,56551
2015-12-28,55514
2015-12-29,54589
2015-12-30,52292
2015-12-31,50388
2016-01-01,49501
2016-01-02,51212
2016-01-03,52492
2016-01-04,54338
