date_obj,Rune%20kiteshield%20(t) price
2015-03-26,50306
2015-03-27,50306
2015-03-28,48884
2015-03-29,48884
2015-03-30,47402
2015-03-31,47402
2015-04-01,47402
2015-04-02,46533
2015-04-03,46533
2015-04-04,45784
2015-04-05,45784
2015-04-06,44123
2015-04-07,44123
2015-04-08,44123
2015-04-09,43113
2015-04-10,43113
2015-04-11,42761
2015-04-12,42761
2015-04-13,42072
2015-04-14,42072
2015-04-15,41971
2015-04-16,41971
2015-04-17,42011
2015-04-18,42011
2015-04-19,41860
2015-04-20,41860
2015-04-21,41860
2015-04-22,40803
2015-04-23,40803
2015-04-24,40064
2015-04-25,40064
2015-04-26,39911
2015-04-27,39911
2015-04-28,39540
2015-04-29,39540
2015-04-30,39540
2015-05-01,39140
2015-05-02,39140
2015-05-03,39140
2015-05-04,38865
2015-05-05,38865
2015-05-06,38865
2015-05-07,38617
2015-05-08,38617
2015-05-09,38386
2015-05-10,38386
2015-05-11,38386
2015-05-12,38278
2015-05-13,38278
2015-05-14,38202
2015-05-15,38202
2015-05-16,38202
2015-05-17,38141
2015-05-18,38141
2015-05-19,38141
2015-05-20,38427
2015-05-21,38427
2015-05-22,38427
2015-05-23,38897
2015-05-24,38897
2015-05-25,39612
2015-05-26,39612
2015-05-27,39612
2015-05-28,39222
2015-05-29,39222
2015-05-30,39481
2015-05-31,39481
2015-06-01,39825
2015-06-02,39825
2015-06-03,39825
2015-06-04,39828
2015-06-05,39828
2015-06-06,39155
2015-06-07,39155
2015-06-08,38352
2015-06-09,38352
2015-06-10,38046
2015-06-11,38046
2015-06-12,37722
2015-06-13,37722
2015-06-14,37587
2015-06-15,37587
2015-06-16,37310
2015-06-17,37310
2015-06-18,37419
2015-06-19,37419
2015-06-20,37587
2015-06-21,37587
2015-06-22,37120
2015-06-23,37120
2015-06-24,36894
2015-06-25,36894
2015-06-26,36729
2015-06-27,36729
2015-06-28,36448
2015-06-29,36448
2015-06-30,36315
2015-07-01,36315
2015-07-02,36456
2015-07-03,36283
2015-07-04,36283
2015-07-05,36851
2015-07-06,36851
2015-07-07,36592
2015-07-08,36105
2015-07-09,36105
2015-07-10,36140
2015-07-11,36140
2015-07-12,36409
2015-07-13,36409
2015-07-14,35829
2015-07-15,35829
2015-07-16,35824
2015-07-17,35824
2015-07-18,36305
2015-07-19,36305
2015-07-20,36675
2015-07-21,36675
2015-07-22,36433
2015-07-23,36433
2015-07-24,36256
2015-07-25,36256
2015-07-26,36453
2015-07-27,36453
2015-07-28,36509
2015-07-29,37291
2015-07-30,37291
2015-07-31,37575
2015-08-01,37575
2015-08-02,37689
2015-08-03,37689
2015-08-04,37882
2015-08-05,38132
2015-08-06,38132
2015-08-07,38596
2015-08-08,38596
2015-08-09,38246
2015-08-10,38246
2015-08-11,37778
