date_obj,Ancient%20platelegs price
2015-03-26,39346
2015-03-27,39346
2015-03-28,39793
2015-03-29,40740
2015-03-30,41902
2015-03-31,43007
2015-04-01,43007
2015-04-02,43681
2015-04-03,43613
2015-04-04,43878
2015-04-05,44313
2015-04-06,43999
2015-04-07,44274
2015-04-08,44274
2015-04-09,44022
2015-04-10,43541
2015-04-11,42685
2015-04-12,42949
2015-04-13,43258
2015-04-14,43258
2015-04-15,42809
2015-04-16,42859
2015-04-17,43188
2015-04-18,43135
2015-04-19,43665
2015-04-20,43665
2015-04-21,43596
2015-04-22,43596
2015-04-23,43391
2015-04-24,42940
2015-04-25,43025
2015-04-26,43768
2015-04-27,43566
2015-04-28,43327
2015-04-29,43327
2015-04-30,43476
2015-05-01,43773
2015-05-02,43463
2015-05-03,43463
2015-05-04,43187
2015-05-05,42552
2015-05-06,43170
2015-05-07,43169
2015-05-08,43921
2015-05-09,42862
2015-05-10,42638
2015-05-11,42638
2015-05-12,41921
2015-05-13,41601
2015-05-14,42112
2015-05-15,41660
2015-05-16,41660
2015-05-17,41668
2015-05-18,42310
2015-05-19,41429
2015-05-20,41429
2015-05-21,40753
2015-05-22,40738
2015-05-23,40575
2015-05-24,40429
2015-05-25,39873
2015-05-26,39364
2015-05-27,38666
2015-05-28,38069
2015-05-29,38667
2015-05-30,38690
2015-05-31,38690
2015-06-01,39840
2015-06-02,39840
2015-06-03,41412
2015-06-04,41907
2015-06-05,41992
2015-06-06,43123
2015-06-07,43668
2015-06-08,43448
2015-06-09,44067
2015-06-10,44744
2015-06-11,44744
2015-06-12,44392
2015-06-13,43693
2015-06-14,42952
2015-06-15,42424
2015-06-16,41814
2015-06-17,40900
2015-06-18,41109
2015-06-19,41574
2015-06-20,41343
2015-06-21,41562
2015-06-22,41920
2015-06-23,41920
2015-06-24,42132
2015-06-25,42132
2015-06-26,41932
2015-06-27,41932
2015-06-28,42246
2015-06-29,41915
2015-06-30,40350
2015-07-01,39224
2015-07-02,39224
2015-07-03,39505
2015-07-04,38984
2015-07-05,38984
2015-07-06,38295
2015-07-07,39123
2015-07-08,40356
2015-07-09,40356
2015-07-10,40236
2015-07-11,40236
2015-07-12,40369
2015-07-13,40794
2015-07-14,40763
2015-07-15,41002
2015-07-16,42289
2015-07-17,42413
2015-07-18,42413
2015-07-19,43063
2015-07-20,42870
2015-07-21,42870
2015-07-22,43915
2015-07-23,43915
2015-07-24,44488
2015-07-25,45186
2015-07-26,45186
2015-07-27,45170
2015-07-28,46344
2015-07-29,47847
2015-07-30,47847
2015-07-31,47197
2015-08-01,46789
2015-08-02,45234
2015-08-03,44423
2015-08-04,44423
2015-08-05,43561
2015-08-06,42059
2015-08-07,42071
2015-08-08,42020
2015-08-09,41645
2015-08-10,42184
2015-08-11,42714
2015-08-12,42714
2015-08-13,43177
2015-08-14,42978
2015-08-15,42978
2015-08-16,43183
2015-08-17,43255
2015-08-18,43717
2015-08-19,43195
2015-08-20,43195
2015-08-21,42704
2015-08-22,41499
