date_obj,Dinh's%20bulwark price
2017-11-07,6860445
2017-11-08,6809194
2017-11-09,6858177
2017-11-10,6815489
2017-11-11,6843069
2017-11-12,6868263
2017-11-13,6925408
2017-11-14,7032305
2017-11-15,7137688
2017-11-16,7069234
2017-11-17,7207030
2017-11-18,7117905
2017-11-19,7219657
2017-11-20,7059574
2017-11-21,6978017
2017-11-22,6940962
2017-11-23,7091570
2017-11-24,7033693
2017-11-25,7141931
2017-11-26,7112890
2017-11-27,7044151
2017-11-28,6955041
2017-11-29,6898347
2017-11-30,6883664
2017-12-01,6968728
2017-12-02,6915020
2017-12-03,6963656
2017-12-04,6925935
2017-12-05,6880064
2017-12-06,6863696
2017-12-07,6988757
2017-12-08,6980441
2017-12-09,7084016
2017-12-10,7436492
2017-12-11,7495483
2017-12-12,7771817
2017-12-13,7650728
2017-12-14,7607077
2017-12-15,7589457
2017-12-16,7572744
2017-12-17,7583272
2017-12-18,7557821
2017-12-19,7502941
2017-12-20,7651003
2017-12-21,7989331
2017-12-22,8030949
2017-12-23,8295255
2017-12-24,7992142
2017-12-25,8078302
2017-12-26,8025943
2017-12-27,7977421
2017-12-28,8076272
2017-12-29,8074016
2017-12-30,8110233
2017-12-31,7978257
2018-01-01,7944911
2018-01-02,7988629
2018-01-03,8003636
2018-01-04,7723385
2018-01-05,7699346
2018-01-06,7575418
2018-01-07,7512431
2018-01-08,7698067
2018-01-09,7599430
2018-01-10,7786350
2018-01-11,7811084
2018-01-12,7985485
2018-01-13,7998037
2018-01-14,8015211
2018-01-15,7956278
2018-01-16,7924574
2018-01-17,8224536
2018-01-18,8635763
2018-01-19,9067552
2018-01-20,9261082
2018-01-21,9200626
2018-01-22,9525529
2018-01-23,9661947
2018-01-25,9851692
2018-01-26,9509556
2018-01-27,9112829
2018-01-28,9101518
2018-01-29,9372725
2018-01-30,9464365
2018-01-31,9579593
2018-02-01,9691499
2018-02-02,9815968
2018-02-03,9873340
2018-02-04,9946711
2018-02-05,10115008
2018-02-06,9960559
2018-02-07,9919789
2018-02-08,9810386
2018-02-09,9768250
2018-02-10,10209462
2018-02-11,10407213
2018-02-12,10407927
2018-02-13,10556156
2018-02-14,10946455
2018-02-15,11462899
2018-02-16,12036044
2018-02-17,12513031
2018-02-18,12970868
2018-02-19,12527976
2018-02-20,11910486
2018-02-21,11314961
2018-02-22,10763100
2018-02-23,10602953
2018-02-24,11006108
2018-02-25,11556414
2018-02-26,12132628
2018-02-27,12739260
2018-02-28,13376223
2018-03-01,14015325
2018-03-02,14709899
2018-03-03,15260059
2018-03-04,15472402
2018-03-05,15800174
2018-03-06,16524017
2018-03-07,17350218
2018-03-08,18098067
2018-03-09,17647696
2018-03-10,16961474
2018-03-11,16249800
2018-03-12,15469687
2018-03-13,14954743
2018-03-14,15606935
2018-03-15,16201923
2018-03-16,16210316
2018-03-17,16770385
2018-03-18,17348544
2018-03-19,17248740
2018-03-20,18006311
2018-03-21,18131977
2018-03-23,17804165
2018-03-24,17162522
2018-03-25,17100436
2018-03-26,16994068
2018-03-27,16897623
2018-03-28,16875755
2018-03-29,16640969
2018-03-30,16932585
2018-03-31,17456608
2018-04-01,17065275
2018-04-02,16841537
2018-04-03,16760001
2018-04-04,16761105
2018-04-05,16907024
2018-04-06,16830977
2018-04-07,16776865
2018-04-08,16519883
2018-04-09,16688910
2018-04-10,16590675
2018-04-11,16447931
2018-04-12,16233725
2018-04-13,16326961
2018-04-14,16518606
2018-04-15,16446734
2018-04-16,16128804
2018-04-17,16350521
2018-04-18,16718668
2018-04-19,16996549
2018-04-20,16908325
2018-04-21,16802504
2018-04-22,16487556
2018-04-23,16037729
2018-04-24,15754260
2018-04-25,16048592
2018-04-26,16537385
2018-04-27,16663789
2018-04-28,16780605
2018-04-29,16841191
2018-04-30,16602760
2018-05-01,16384309
2018-05-03,16641272
2018-05-04,17027161
2018-05-05,17438998
2018-05-07,16782407
2018-05-08,17157648
2018-05-09,17161556
2018-05-10,17027166
2018-05-11,17076297
2018-05-12,17530396
2018-05-13,18372078
2018-05-14,19080793
2018-05-15,19942354
2018-05-16,20929950
2018-05-17,20695258
2018-05-18,19858722
2018-05-19,20257685
2018-05-20,21113697
2018-05-21,22169382
2018-05-22,23039651
2018-05-23,22488538
2018-05-24,21364111
2018-05-25,20879065
2018-05-26,20580741
2018-05-27,20573922
2018-05-28,20338655
2018-05-29,19879019
2018-05-30,19726759
2018-05-31,19862452
2018-06-01,20775872
2018-06-02,21514583
2018-06-03,22150522
2018-06-04,21841589
2018-06-05,21430330
2018-06-06,20893329
2018-06-07,19848662
2018-06-08,18856228
2018-06-09,17913416
2018-06-10,17017745
2018-06-11,16166857
2018-06-12,15358514
2018-06-13,14612370
2018-06-14,13881751
2018-06-15,13187663
2018-06-16,12528279
2018-06-17,11901865
2018-06-18,11306771
2018-06-19,10748056
2018-06-20,10342990
2018-06-21,9960611
2018-06-22,9670843
2018-06-23,9735689
2018-06-24,9672464
2018-06-25,9744888
2018-06-26,9778465
2018-06-27,10118936
2018-06-28,10548016
2018-06-29,10083842
2018-06-30,9579649
2018-07-01,9103059
2018-07-02,8998607
2018-07-03,9032306
2018-07-04,8904412
2018-07-05,8889331
2018-07-06,8780287
2018-07-07,8643822
2018-07-08,8754730
2018-07-09,8643344
2018-07-10,8750595
2018-07-11,8779724
2018-07-12,8575204
2018-07-13,8604335
2018-07-14,8482048
2018-07-15,8459792
2018-07-16,8613831
2018-07-17,8728548
2018-07-18,8732124
2018-07-19,8895386
2018-07-20,8957320
2018-07-21,9236241
2018-07-22,9046257
2018-07-23,9138481
2018-07-24,9244043
2018-07-25,9223220
2018-07-26,9342834
2018-07-27,9112610
2018-07-28,8657324
2018-07-29,8425188
2018-07-30,8303506
2018-07-31,8136314
2018-08-01,8052566
2018-08-02,8124561
2018-08-03,8082662
2018-08-04,8199183
2018-08-05,8465693
2018-08-06,8854080
2018-08-07,8833253
2018-08-08,8693638
2018-08-09,8658185
2018-08-10,8624804
2018-08-11,8394048
2018-08-12,8298865
2018-08-14,8111183
2018-08-16,7845586
2018-08-17,7771054
2018-08-18,7537043
2018-08-19,7770079
2018-08-20,8049315
2018-08-21,8161428
2018-08-22,8493409
2018-08-23,8588481
2018-08-24,8551443
2018-08-25,8644944
2018-08-26,8302255
2018-08-27,8178610
2018-08-28,8116410
2018-08-29,8298702
2018-08-30,8245279
2018-08-31,8315547
2018-09-01,8332846
2018-09-02,8455147
2018-09-03,8633313
2018-09-04,8631765
2018-09-05,8695396
2018-09-06,8696916
2018-09-07,8790809
2018-09-08,8709624
2018-09-09,8625317
2018-09-10,8484442
2018-09-11,8271554
2018-09-12,8007769
2018-09-13,7902124
2018-09-14,7839021
2018-09-15,7705207
2018-09-16,7690862
2018-09-17,7696346
2018-09-18,7633532
2018-09-19,7618598
2018-09-20,7889856
2018-09-21,8045899
2018-09-22,8055326
2018-09-23,8077692
2018-09-24,8201110
2018-09-25,8143736
2018-09-26,8121167
2018-09-27,8033819
2018-09-28,8025718
2018-09-29,8048418
2018-09-30,8094056
2018-10-01,8041721
2018-10-02,8037463
2018-10-03,8053456
2018-10-04,8039684
2018-10-05,8041115
2018-10-06,8046358
2018-10-07,8022102
2018-10-08,8035683
2018-10-09,8042355
2018-10-10,8035455
2018-10-11,8028785
2018-10-12,8019763
2018-10-13,8044815
2018-10-14,8042360
2018-10-15,8015334
2018-10-16,7931938
2018-10-17,7769579
2018-10-18,7676092
2018-10-19,7703422
2018-10-20,7653116
2018-10-21,7564230
2018-10-22,7410914
2018-10-23,7452796
2018-10-24,7354826
2018-10-25,7119569
2018-10-26,7042555
2018-10-27,6989991
2018-10-28,7158373
2018-10-29,7344778
2018-10-30,7512200
2018-10-31,7584543
2018-11-01,7237125
2018-11-03,7081949
2018-11-04,6727851
2018-11-05,6506087
2018-11-06,6471146
2018-11-07,6475117
2018-11-08,6463646
2018-11-09,6371118
2018-11-10,6296660
2018-11-11,6340818
2018-11-12,6446403
2018-11-13,6583895
2018-11-14,6498992
2018-11-15,6464101
2018-11-16,6300622
2018-11-17,6157866
2018-11-18,6134534
2018-11-19,6221534
2018-11-20,6289990
2018-11-21,6333450
2018-11-22,6235026
2018-11-23,6170186
2018-11-24,6132494
2018-11-25,5969210
2018-11-26,5806325
2018-11-27,5716389
2018-11-28,5831695
2018-11-29,6112324
2018-12-01,6099214
2018-12-02,6134519
2018-12-03,6124881
2018-12-04,6106622
2018-12-05,6125595
2018-12-07,6256152
2018-12-09,6706734
2018-12-10,6896867
2018-12-11,6841865
2018-12-12,6858684
2018-12-13,7191945
2018-12-14,7153200
2018-12-15,7195873
2018-12-16,7213875
2018-12-17,7127344
2018-12-18,6946940
2018-12-19,6739762
2018-12-20,6499163
2018-12-21,6202308
2018-12-22,6191345
2018-12-23,6151470
2018-12-24,6104677
2018-12-25,6070357
2018-12-26,6066044
2018-12-27,6227610
2018-12-28,6151582
2018-12-29,6093437
2018-12-30,6150206
2018-12-31,6145921
2019-01-01,6245601
2019-01-02,6158644
2019-01-03,6146431
2019-01-04,6118785
2019-01-05,6170255
2019-01-06,6182429
2019-01-08,6629507
2019-01-10,6524242
2019-01-11,6198029
2019-01-12,5888153
2019-01-13,5594752
2019-01-14,5407106
2019-01-15,5348806
2019-01-16,5425129
2019-01-17,5538476
2019-01-18,5475203
2019-01-19,5499785
2019-01-20,5637301
2019-01-21,5710690
2019-01-22,5792511
2019-01-23,5569538
2019-01-24,5607304
2019-01-25,5661059
2019-01-26,5585172
2019-01-27,5508302
2019-01-28,5546947
2019-01-29,5697737
2019-01-30,5799011
2019-01-31,5998828
2019-02-01,6140803
2019-02-02,6103072
2019-02-03,6232168
2019-02-04,6182699
2019-02-05,6395148
2019-02-06,6379639
2019-02-07,6318807
2019-02-08,6185948
2019-02-09,6049865
2019-02-10,5983202
2019-02-11,5924614
2019-02-12,5857175
2019-02-13,5645995
2019-02-14,5491456
2019-02-15,5655289
2019-02-16,5839998
2019-02-17,5842747
2019-02-18,5862443
2019-02-19,5852430
2019-02-20,5911223
2019-02-21,5849844
2019-02-22,5824397
2019-02-23,5783912
2019-02-24,5785343
