date_obj,Dragon%20bones price
2015-03-26,2214
2015-03-27,2221
2015-03-28,2216
2015-03-29,2289
2015-03-30,2319
2015-03-31,2321
2015-04-01,2349
2015-04-02,2346
2015-04-03,2332
2015-04-04,2312
2015-04-05,2308
2015-04-06,2293
2015-04-07,2266
2015-04-08,2244
2015-04-09,2226
2015-04-10,2250
2015-04-11,2291
2015-04-12,2324
2015-04-13,2332
2015-04-14,2344
2015-04-15,2395
2015-04-16,2467
2015-04-17,2490
2015-04-18,2478
2015-04-19,2470
2015-04-20,2470
2015-04-21,2466
2015-04-22,2442
2015-04-23,2436
2015-04-24,2474
2015-04-25,2503
2015-04-26,2545
2015-04-27,2583
2015-04-28,2602
2015-04-29,2670
2015-04-30,2748
2015-05-01,2812
2015-05-02,2754
2015-05-03,2719
2015-05-04,2658
2015-05-05,2637
2015-05-06,2607
2015-05-07,2618
2015-05-08,2631
2015-05-09,2655
2015-05-10,2663
2015-05-11,2686
2015-05-12,2685
2015-05-13,2660
2015-05-14,2657
2015-05-15,2656
2015-05-16,2653
2015-05-17,2633
2015-05-18,2640
2015-05-19,2651
2015-05-20,2647
2015-05-21,2650
2015-05-22,2666
2015-05-23,2648
2015-05-24,2625
2015-05-25,2611
2015-05-26,2590
2015-05-27,2618
2015-05-28,2652
2015-05-29,2661
2015-05-30,2659
2015-05-31,2661
2015-06-01,2678
2015-06-02,2682
2015-06-03,2663
2015-06-04,2692
2015-06-05,2758
2015-06-06,2773
2015-06-07,2761
2015-06-08,2800
2015-06-09,2779
2015-06-10,2742
2015-06-11,2722
2015-06-12,2703
2015-06-13,2668
2015-06-14,2664
2015-06-15,2669
2015-06-16,2650
2015-06-17,2633
2015-06-18,2616
2015-06-19,2624
2015-06-20,2590
2015-06-21,2557
2015-06-22,2529
2015-06-23,2515
2015-06-24,2473
2015-06-25,2462
2015-06-26,2412
2015-06-27,2364
2015-06-28,2370
2015-06-29,2454
2015-06-30,2559
2015-07-01,2590
2015-07-02,2589
2015-07-03,2567
2015-07-04,2494
2015-07-05,2427
2015-07-06,2456
2015-07-07,2506
2015-07-08,2507
2015-07-09,2533
2015-07-10,2497
2015-07-11,2461
2015-07-12,2413
2015-07-13,2399
2015-07-14,2441
2015-07-15,2456
2015-07-16,2472
2015-07-17,2453
2015-07-18,2413
2015-07-19,2370
2015-07-20,2329
2015-07-21,2371
2015-07-22,2380
2015-07-23,2415
2015-07-24,2405
2015-07-25,2398
2015-07-26,2406
2015-07-27,2446
2015-07-28,2473
2015-07-29,2526
2015-07-30,2611
2015-07-31,2637
2015-08-01,2633
2015-08-02,2665
2015-08-03,2690
2015-08-04,2762
2015-08-05,2786
2015-08-06,2858
2015-08-07,2913
2015-08-08,2911
2015-08-09,2874
2015-08-10,2924
2015-08-11,2952
2015-08-12,3017
2015-08-13,3029
2015-08-14,2943
2015-08-15,2819
2015-08-16,2699
2015-08-17,2747
2015-08-18,2877
2015-08-19,2925
2015-08-20,2998
2015-08-21,2969
2015-08-22,2906
2015-08-23,2850
2015-08-24,2848
2015-08-25,2912
2015-08-26,2926
2015-08-27,2880
2015-08-28,2903
2015-08-29,2903
2015-08-30,2912
2015-08-31,2935
2015-09-01,2974
2015-09-02,2938
2015-09-03,2967
2015-09-04,2982
2015-09-05,2978
2015-09-06,3013
2015-09-07,3048
2015-09-08,3078
2015-09-09,3008
2015-09-10,3006
2015-09-11,3066
2015-09-12,3105
2015-09-13,3008
2015-09-14,2984
2015-09-15,2979
2015-09-16,3027
2015-09-17,3059
2015-09-18,3071
2015-09-19,3065
2015-09-20,3027
2015-09-21,3010
2015-09-22,2995
2015-09-23,3020
2015-09-24,3055
2015-09-25,3086
2015-09-27,3067
2015-09-28,3013
2015-09-29,3035
2015-09-30,3040
2015-10-05,2961
2015-10-06,2964
2015-10-07,2987
2015-10-08,2983
2015-10-09,2960
2015-10-10,2955
2015-10-11,2945
2015-10-12,2981
2015-10-13,3004
2015-10-14,3013
2015-10-15,3048
2015-10-16,3062
2015-10-17,3109
2015-10-18,3042
2015-10-19,3003
2015-10-20,2990
2015-10-22,3079
2015-10-23,3045
2015-10-24,3055
2015-10-25,3060
2015-10-26,3101
2015-10-27,3138
2015-10-29,3160
2015-10-30,3206
2015-10-31,3166
2015-11-01,3118
2015-11-02,3187
2015-11-03,3178
2015-11-04,3233
2015-11-05,3261
2015-11-06,3256
2015-11-07,3215
2015-11-08,3177
2015-11-09,3134
2015-11-10,3096
2015-11-11,3156
2015-11-12,3250
2015-11-13,3318
2015-11-14,3331
2015-11-15,3286
2015-11-16,3309
2015-11-17,3321
2015-11-18,3348
2015-11-19,3449
2015-11-20,3478
2015-11-21,3435
2015-11-22,3417
2015-11-23,3441
2015-11-24,3445
2015-11-25,3461
2015-11-26,3567
2015-11-27,3604
2015-11-28,3565
2015-11-29,3527
2015-11-30,3531
2015-12-01,3592
2015-12-02,3636
2015-12-03,3682
2015-12-04,3687
2015-12-05,3682
2015-12-06,3663
2015-12-07,3675
2015-12-08,3672
2015-12-09,3725
2015-12-10,3799
2015-12-11,3900
2015-12-12,3850
2015-12-13,3791
2015-12-14,3779
2015-12-15,3765
2015-12-16,3756
2015-12-17,3740
2015-12-18,3719
2015-12-19,3665
2015-12-20,3601
2015-12-21,3553
2015-12-22,3538
2015-12-23,3515
2015-12-24,3501
2015-12-25,3510
2015-12-26,3467
2015-12-27,3338
2015-12-28,3339
2015-12-29,3390
2015-12-30,3429
2015-12-31,3430
2016-01-01,3386
2016-01-02,3351
2016-01-03,3275
2016-01-04,3350
2016-01-05,3403
2016-01-06,3410
2016-01-07,3344
2016-01-08,3315
2016-01-09,3332
2016-01-10,3315
2016-01-11,3292
2016-01-12,3359
2016-01-13,3406
2016-01-14,3403
2016-01-15,3380
2016-01-16,3347
2016-01-17,3321
2016-01-18,3295
2016-01-19,3299
2016-01-20,3323
2016-01-21,3290
2016-01-22,3238
2016-01-23,3193
2016-01-24,3144
2016-01-25,3115
2016-01-26,3145
2016-01-27,3194
2016-01-28,3236
2016-01-29,3281
2016-01-30,3351
2016-01-31,3358
2016-02-01,3330
2016-02-02,3345
2016-02-03,3367
2016-02-04,3371
2016-02-05,3360
2016-02-06,3328
2016-02-07,3327
2016-02-08,3357
2016-02-09,3385
2016-02-10,3393
2016-02-11,3421
2016-02-12,3430
2016-02-13,3422
2016-02-14,3428
2016-02-15,3476
2016-02-16,3496
2016-02-17,3505
2016-02-18,3464
2016-02-19,3448
2016-02-20,3429
2016-02-21,3345
2016-02-22,3320
2016-02-23,3312
2016-02-24,3310
2016-02-25,3301
2016-02-26,3284
2016-02-27,3267
2016-02-28,3239
2016-02-29,3245
2016-03-01,3310
2016-03-02,3365
2016-03-03,3365
