date_obj,Spotted%20cape price
2015-03-26,5564
2015-03-27,5564
2015-03-28,5302
2015-03-29,5051
2015-03-30,5051
2015-03-31,4798
2015-04-01,4798
2015-04-02,4565
2015-04-03,4349
2015-04-04,4147
2015-04-05,4147
2015-04-06,3939
2015-04-07,3758
2015-04-08,3758
2015-04-09,3576
2015-04-10,3576
2015-04-11,3397
2015-04-12,3397
2015-04-13,3227
2015-04-14,3227
2015-04-15,3065
2015-04-16,3065
2015-04-17,2911
2015-04-18,2911
2015-04-19,2765
2015-04-20,2765
2015-04-21,2632
2015-04-22,2632
2015-04-23,2500
2015-04-24,2500
2015-04-25,2385
2015-04-26,2385
2015-04-27,2265
2015-04-28,2265
2015-04-29,2159
2015-04-30,2159
2015-05-01,2051
2015-05-02,2051
2015-05-03,1948
2015-05-04,1948
2015-05-05,1850
2015-05-06,1850
2015-05-07,1765
2015-05-08,1765
2015-05-09,1680
2015-05-10,1680
2015-05-11,1672
2015-05-12,1672
2015-05-13,1604
2015-05-14,1604
2015-05-15,1523
2015-05-16,1523
2015-05-17,1467
2015-05-18,1467
2015-05-19,1454
2015-05-20,1454
2015-05-21,1454
2015-05-22,1423
2015-05-23,1423
2015-05-24,1362
2015-05-25,1362
2015-05-26,1386
2015-05-27,1386
2015-05-28,1372
2015-05-29,1372
2015-05-30,1363
2015-05-31,1363
2015-06-01,1334
2015-06-02,1334
2015-06-03,1268
2015-06-04,1268
2015-06-05,1204
2015-06-06,1204
2015-06-07,1143
2015-06-08,1143
2015-06-09,1138
2015-06-10,1138
2015-06-11,1085
2015-06-12,1085
2015-06-13,1033
2015-06-14,1033
2015-06-15,987
2015-06-16,987
2015-06-17,955
2015-06-18,955
2015-06-19,946
2015-06-20,946
2015-06-21,948
2015-06-22,948
2015-06-23,990
2015-06-24,990
2015-06-25,975
2015-06-26,975
2015-06-27,935
2015-06-28,935
2015-06-29,889
2015-06-30,889
2015-07-01,885
2015-07-02,885
2015-07-03,905
2015-07-04,905
2015-07-05,912
2015-07-06,912
2015-07-07,901
2015-07-08,901
2015-07-09,884
2015-07-10,884
2015-07-11,901
2015-07-12,901
2015-07-13,903
2015-07-14,903
2015-07-15,910
2015-07-16,910
2015-07-17,897
2015-07-18,897
2015-07-19,897
2015-07-20,930
2015-07-21,930
2015-07-22,940
2015-07-23,940
2015-07-24,969
2015-07-25,969
2015-07-26,969
2015-07-27,978
2015-07-28,978
2015-07-29,983
2015-07-30,983
2015-07-31,983
2015-08-01,971
2015-08-02,971
2015-08-03,945
2015-08-04,945
2015-08-05,954
2015-08-06,954
2015-08-07,957
2015-08-08,957
2015-08-09,955
2015-08-10,955
2015-08-11,952
2015-08-12,952
2015-08-13,952
2015-08-14,933
2015-08-15,933
2015-08-16,933
2015-08-17,946
2015-08-18,946
2015-08-19,947
2015-08-20,947
2015-08-21,941
2015-08-22,941
2015-08-23,942
2015-08-24,942
2015-08-25,942
2015-08-26,927
2015-08-27,927
2015-08-28,943
2015-08-29,943
2015-08-30,952
2015-08-31,952
2015-09-01,933
2015-09-02,933
2015-09-03,933
2015-09-04,912
2015-09-05,912
2015-09-06,912
2015-09-07,876
2015-09-08,876
2015-09-09,868
2015-09-10,868
2015-09-11,854
2015-09-12,854
2015-09-13,846
2015-09-14,846
2015-09-15,854
2015-09-16,854
2015-09-17,854
2015-09-18,871
2015-09-19,871
2015-09-20,871
2015-09-21,880
2015-09-22,880
2015-09-23,854
2015-09-24,854
2015-09-25,854
2015-09-27,843
2015-09-28,843
2015-09-29,834
2015-09-30,834
2015-10-05,835
2015-10-06,845
2015-10-07,845
2015-10-08,834
2015-10-09,834
2015-10-10,834
2015-10-11,816
2015-10-12,816
2015-10-13,816
2015-10-14,853
2015-10-15,853
2015-10-16,896
2015-10-17,896
2015-10-18,896
2015-10-19,939
2015-10-20,939
2015-10-22,984
2015-10-23,984
2015-10-24,1004
2015-10-25,1004
2015-10-26,1000
2015-10-27,1000
2015-10-29,982
2015-10-30,982
2015-10-31,982
2015-11-01,1010
2015-11-02,1010
2015-11-03,1038
2015-11-04,1038
2015-11-05,1038
2015-11-06,1021
2015-11-07,1021
2015-11-08,1030
2015-11-09,1030
2015-11-10,1030
2015-11-11,1052
2015-11-12,1052
2015-11-13,1052
2015-11-14,1038
2015-11-15,1038
2015-11-16,1021
2015-11-17,1021
2015-11-18,1021
2015-11-19,1005
2015-11-20,1005
2015-11-21,1005
2015-11-22,1009
2015-11-23,1009
2015-11-24,1009
2015-11-25,1022
2015-11-26,1022
2015-11-27,1022
2015-11-28,1021
2015-11-29,1021
2015-11-30,974
2015-12-01,974
2015-12-02,974
2015-12-03,964
2015-12-04,964
2015-12-05,964
2015-12-06,954
2015-12-07,954
2015-12-08,954
