date_obj,Lovakengj%20scarf price
2016-07-06,2500000
2016-07-07,2500000
2016-07-08,2500000
2016-07-09,2500000
2016-07-10,2500000
2016-07-11,2500000
2016-07-12,2500000
2016-07-13,2500000
2016-07-14,2500000
2016-07-15,2500000
2016-07-16,2394940
2016-07-17,2394940
2016-07-18,2394940
2016-07-23,2394940
2016-07-24,2394940
2016-07-25,2394940
2016-07-26,2394940
2016-07-27,2394940
2016-07-28,2394940
2016-07-29,2394940
2016-07-30,2394940
2016-07-31,2394940
2016-08-01,2275560
2016-08-02,2275560
2016-08-03,2275560
2016-08-04,2275560
2016-08-05,2275560
2016-08-06,2275560
2016-08-07,2275560
2016-08-08,2275560
2016-08-09,2275560
2016-08-10,2275560
2016-08-11,2275560
2016-08-12,2275560
2016-08-13,2275560
2016-08-14,2275560
2016-08-15,2275560
2016-08-16,2275560
2016-08-17,2275560
2016-08-18,2275560
2016-08-19,2162502
2016-08-20,2162502
2016-08-21,2162502
2016-08-22,2162502
2016-08-23,2162502
2016-08-24,2162502
2016-08-25,2162502
2016-08-26,2162502
2016-08-28,2162502
2016-08-31,2162502
2016-09-01,2162502
2016-09-02,2162502
2016-09-03,2162502
2016-09-04,2162502
2016-09-05,2055445
2016-09-06,2055445
2016-09-07,2055445
2016-09-08,2055445
2016-09-09,2055445
2016-09-10,2055445
2016-09-11,2055445
2016-09-12,2055445
2016-09-13,2055445
2016-09-14,2055445
2016-09-15,2055445
2016-09-16,2055445
2016-09-17,2055445
2016-09-18,2055445
2016-09-19,1954363
2016-09-20,1954363
2016-09-21,1954363
2016-09-22,1954363
2016-09-23,1954363
2016-09-24,1954363
2016-09-25,1954363
2016-09-26,1954363
2016-09-27,1954363
2016-09-28,1954363
2016-09-29,1954363
2016-09-30,1954363
2016-10-01,1954363
2016-10-02,1954363
2016-10-03,1954363
2016-10-04,1954363
2016-10-05,1954363
2016-10-06,1954363
2016-10-07,1954363
2016-10-08,1858213
2016-10-09,1858213
2016-10-10,1858213
2016-10-11,1858213
2016-10-12,1858213
2016-10-13,1858213
2016-10-14,1858213
2016-10-15,1858213
2016-10-16,1858213
2016-10-17,1858213
2016-10-18,1858213
2016-10-19,1858213
2016-10-20,1858213
2016-10-21,1858213
2016-10-22,1858213
2016-10-23,1858213
2016-10-24,1858213
