date_obj,Adamant%20full%20helm%20(t) price
2015-03-26,8804
2015-03-27,8804
2015-03-28,8804
2015-03-29,8804
2015-03-30,8676
2015-03-31,8676
2015-04-01,8676
2015-04-02,8676
2015-04-03,8676
2015-04-04,8676
2015-04-05,8419
2015-04-06,8419
2015-04-07,8419
2015-04-08,8419
2015-04-09,8419
2015-04-10,8125
2015-04-11,8125
2015-04-12,8125
2015-04-13,8125
2015-04-14,8125
2015-04-15,7931
2015-04-16,7931
2015-04-17,7931
2015-04-18,7931
2015-04-19,7931
2015-04-20,7931
2015-04-21,7718
2015-04-22,7718
2015-04-23,7718
2015-04-24,7718
2015-04-25,7718
2015-04-26,7429
2015-04-27,7429
2015-04-28,7429
2015-04-29,7429
2015-04-30,7429
2015-05-01,7163
2015-05-02,7163
2015-05-03,7163
2015-05-04,7163
2015-05-05,7163
2015-05-06,6938
2015-05-07,6938
2015-05-08,6938
2015-05-09,6938
2015-05-10,6938
2015-05-11,6938
2015-05-12,6847
2015-05-13,6847
2015-05-14,6847
2015-05-15,6847
2015-05-16,6847
2015-05-17,6847
2015-05-18,6794
2015-05-19,6794
2015-05-20,6794
2015-05-21,6794
2015-05-22,6794
2015-05-23,6794
2015-05-24,6794
2015-05-25,6586
2015-05-26,6586
2015-05-27,6586
2015-05-28,6586
2015-05-29,6369
2015-05-30,6369
2015-05-31,6369
2015-06-01,6068
2015-06-02,6068
2015-06-03,6068
2015-06-04,6068
2015-06-05,5805
2015-06-06,5805
2015-06-07,5805
2015-06-08,5805
2015-06-09,5658
2015-06-10,5658
2015-06-11,5658
2015-06-12,5658
2015-06-13,5580
2015-06-14,5580
2015-06-15,5580
2015-06-16,5580
2015-06-17,5523
2015-06-18,5523
2015-06-19,5523
2015-06-20,5523
2015-06-21,5415
2015-06-22,5415
2015-06-23,5415
2015-06-24,5255
2015-06-25,5255
2015-06-26,5255
2015-06-27,5255
2015-06-28,5163
2015-06-29,5163
2015-06-30,5163
2015-07-01,5163
2015-07-02,5163
2015-07-03,5224
2015-07-04,5224
2015-07-05,5224
2015-07-06,5224
2015-07-07,5224
2015-07-08,5138
2015-07-09,5138
2015-07-10,5138
